step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.737284,-3347.33,0,0.663473,-1.10183,0,100,-4215.48,868.141,631.119,1130.53,-6427.95,450.823,1142.76,-274.62
1,0.723905,-3347.23,0.108819,0.650204,-0.484988,-0.0105281,100,-4215.25,868.028,630.891,1130.73,-6427.83,450.957,1142.36,-274.33
2,0.710642,-3346.84,0.490393,0.636934,-2.68834,-0.0315823,100,-4215.24,868.398,630.9,1130.73,-6427.83,450.956,1142.73,-274.331
3,0.697372,-3346.87,0.460371,0.623665,-1.84138,-0.0616357,100,-4215.24,868.365,630.884,1130.75,-6427.83,450.958,1142.69,-274.325
4,0.684103,-3346.89,0.441365,0.610395,-1.02872,-0.0806781,100,-4215.24,868.346,630.883,1130.75,-6427.83,450.955,1142.67,-274.325
5,0.670833,-3346.9,0.432939,0.597126,-0.245022,-0.089129,100,-4215.23,868.331,630.877,1130.76,-6427.82,450.954,1142.65,-274.324
6,0.657565,-3346.9,0.434785,0.583856,0.521549,-0.0872944,100,-4215.23,868.331,630.878,1130.76,-6427.82,450.952,1142.65,-274.323
7,0.644295,-3346.53,0.804183,0.570587,-1.33394,-0.0926844,100,-4215.21,868.683,630.879,1130.77,-6427.81,450.951,1143,-274.321
8,0.631026,-3346.51,0.829634,0.557317,-0.58565,-0.10542,100,-4215.21,868.707,630.87,1130.77,-6427.81,450.951,1143.03,-274.32
9,0.617758,-3346.94,0.397463,0.544048,-2.70128,-0.127228,100,-4215.23,868.296,630.841,1130.78,-6427.81,450.955,1142.61,-274.318
10,0.604487,-3346.97,0.366896,0.530778,-1.90105,-0.157763,100,-4215.23,868.265,630.831,1130.79,-6427.81,450.955,1142.58,-274.317
11,0.591218,-3346.99,0.347166,0.517509,-1.06583,-0.177448,100,-4215.23,868.246,630.821,1130.79,-6427.8,450.954,1142.56,-274.316
12,0.577949,-3347,0.338814,0.504239,-0.184739,-0.185745,100,-4215.24,868.241,630.809,1130.8,-6427.8,450.955,1142.56,-274.315
13,0.564681,-3346.99,0.342487,0.49097,0.746709,-0.182017,100,-4215.24,868.245,630.8,1130.8,-6427.8,450.955,1142.56,-274.314
14,0.551412,-3346.98,0.358844,0.477701,1.72618,-0.16561,100,-4215.24,868.264,630.788,1130.81,-6427.79,450.956,1142.58,-274.313
15,0.538143,-3347.43,-0.0947572,0.464431,-0.547405,-0.157789,100,-4215.27,867.836,630.734,1130.83,-6427.79,450.963,1142.14,-274.308
16,0.524872,-3347.57,-0.237233,0.451162,-1.13292,-0.168937,100,-4215.29,867.713,630.715,1130.82,-6427.78,450.966,1142.02,-274.303
17,0.511602,-3347.58,-0.248459,0.437892,-0.564989,-0.180202,100,-4215.29,867.707,630.701,1130.82,-6427.78,450.969,1142.01,-274.3
18,0.498333,-3347.2,0.138217,0.424623,-2.92749,-0.203374,100,-4215.29,868.09,630.691,1130.82,-6427.77,450.973,1142.39,-274.296
19,0.485064,-3347.23,0.10429,0.411353,-2.19999,-0.237394,100,-4215.29,868.063,630.675,1130.82,-6427.76,450.978,1142.36,-274.293
20,0.471795,-3347.26,0.0794454,0.398084,-1.5596,-0.262337,100,-4215.3,868.046,630.657,1130.82,-6427.76,450.983,1142.34,-274.29
21,0.458525,-3347.27,0.0625001,0.384814,-1.00948,-0.279383,100,-4215.31,868.039,630.637,1130.81,-6427.75,450.989,1142.33,-274.287
22,0.445256,-3347.28,0.052269,0.371545,-0.546562,-0.289707,100,-4215.32,868.036,630.621,1130.81,-6427.75,450.994,1142.32,-274.283
23,0.431987,-3347.29,0.0476478,0.358275,-0.161979,-0.294408,100,-4215.33,868.04,630.601,1130.81,-6427.74,451.001,1142.32,-274.279
24,0.418717,-3346.92,0.417737,0.345006,-2.59055,-0.31267,100,-4215.32,868.407,630.594,1130.8,-6427.73,451.009,1142.68,-274.273
25,0.405448,-3346.95,0.38692,0.331736,-2.06359,-0.343549,100,-4215.34,868.391,630.572,1130.79,-6427.72,451.015,1142.66,-274.269
26,0.392179,-3346.97,0.362777,0.318467,-1.58028,-0.367725,100,-4215.35,868.378,630.552,1130.79,-6427.71,451.023,1142.64,-274.263
27,0.378909,-3347.4,-0.069782,0.305198,-4.28107,-0.406613,100,-4215.38,867.976,630.504,1130.78,-6427.7,451.035,1142.22,-274.247
28,0.365637,-3347.46,-0.125521,0.291928,-4.11672,-0.46233,100,-4215.39,867.934,630.481,1130.78,-6427.7,451.044,1142.17,-274.239
29,0.352367,-3347.51,-0.178815,0.278659,-3.90173,-0.515531,100,-4215.41,867.892,630.459,1130.77,-6427.69,451.053,1142.12,-274.23
30,0.339097,-3347.58,-0.243298,0.265389,-3.64647,-0.565611,100,-4215.42,867.837,630.438,1130.76,-6427.68,451.064,1142.06,-274.221
31,0.325828,-3347.62,-0.2881,0.25212,-3.04989,-0.61004,100,-4215.42,867.798,630.419,1130.76,-6427.67,451.073,1142.01,-274.213
32,0.312558,-3347.66,-0.322271,0.23885,-2.00506,-0.643578,100,-4215.42,867.765,630.405,1130.76,-6427.67,451.082,1141.97,-274.208
33,0.299289,-3347.71,-0.378208,0.225581,-0.522258,-0.660346,100,-4215.42,867.705,630.397,1130.76,-6427.66,451.087,1141.91,-274.207
34,0.286021,-3347.9,-0.564295,0.212311,-2.04516,-0.67738,100,-4215.42,867.521,630.396,1130.77,-6427.67,451.078,1141.73,-274.211
35,0.27275,-3347.72,-0.381727,0.199042,1.13417,-0.683424,100,-4215.39,867.677,630.405,1130.81,-6427.68,451.073,1141.91,-274.233
36,0.259484,-3347.66,-0.322052,0.185772,8.36896,-0.620374,100,-4215.37,867.708,630.433,1130.87,-6427.72,451.05,1141.99,-274.281
37,0.24622,-3347.53,-0.193788,0.172503,19.2364,-0.437219,100,-4215.33,867.8,630.486,1130.98,-6427.8,451.002,1142.17,-274.374
38,0.232959,-3347.25,0.0851058,0.159234,35.0488,-0.0770509,100,-4215.28,868.026,630.594,1131.13,-6427.92,450.919,1142.55,-274.523
39,0.219703,-3346.65,0.683079,0.145964,57.2654,0.535429,100,-4215.22,868.567,630.769,1131.33,-6428.11,450.783,1143.33,-274.758
40,0.206451,-3345.33,2.00757,0.132695,84.3711,1.47515,100,-4215.14,869.817,631.057,1131.6,-6428.38,450.574,1144.92,-275.105
41,0.193207,-3343.96,3.37505,0.119425,123.189,2.85226,100,-4215.1,871.144,631.465,1131.96,-6428.78,450.25,1146.76,-275.613
42,0.179973,-3342.02,5.31388,0.106156,170.313,4.79956,100,-4215.09,873.07,632.063,1132.4,-6429.34,449.78,1149.39,-276.323
43,0.166747,-3339.42,7.91646,0.0928862,223.715,7.41383,100,-4215.13,875.712,632.894,1132.91,-6430.06,449.129,1152.98,-277.27
44,0.15353,-3336.08,11.2538,0.0796168,279.168,10.7503,100,-4215.25,879.168,634.004,1133.44,-6430.97,448.269,1157.64,-278.468
45,0.140318,-3332.53,14.8062,0.0663473,327.213,14.7735,100,-4215.48,882.949,635.385,1133.97,-6432.03,447.197,1162.85,-279.905
46,0.127105,-3328.04,19.2978,0.0530778,366.003,19.3728,100,-4215.79,887.751,637.046,1134.41,-6433.19,445.944,1169.27,-281.522
47,0.113889,-3323.08,24.2579,0.0398084,385.305,24.3575,100,-4216.22,893.143,638.912,1134.69,-6434.38,444.562,1176.36,-283.216
48,0.100661,-3317.97,29.3607,0.0265389,379.238,29.4301,100,-4216.82,898.844,640.908,1134.67,-6435.52,443.127,1183.72,-284.88
49,0.0874153,-3313.14,34.1962,0.0132695,344.733,34.2334,100,-4217.62,904.478,642.915,1134.26,-6436.53,441.735,1190.87,-286.393
50,0.0741488,-3309.44,37.8909,0,279.08,38.3723,100,-4218.64,909.191,644.812,1133.41,-6437.34,440.484,1196.85,-287.656
51,0.0608557,-3305.77,41.5644,-0.0132695,189.071,41.4783,100,-4219.8,914.033,646.478,1132.13,-6437.88,439.475,1202.6,-288.563
52,0.0475449,-3303.94,43.3962,-0.0265389,84.6823,43.2946,100,-4221.39,917.447,647.73,1130.29,-6438.17,438.768,1206.52,-289.071
53,0.0342069,-3303.56,43.7748,-0.0398084,-28.2967,43.6687,100,-4222.92,919.357,648.565,1128.2,-6438.13,438.444,1208.46,-289.099
54,0.0208688,-3304.68,42.6519,-0.0530778,-139.604,42.5547,100,-4224.41,919.725,648.808,1126.11,-6437.81,438.487,1208.46,-288.736
55,0.00750116,-3307.36,39.9723,-0.0663473,-238.904,40.0434,100,-4225.78,918.421,648.315,1124.18,-6437.22,438.947,1206.38,-287.961
56,-0.00584585,-3310.61,36.7206,-0.0796168,-320.214,36.3338,100,-4226.63,916.017,647.415,1122.55,-6436.36,439.758,1202.8,-286.784
57,-0.0191944,-3315.18,32.1553,-0.0928862,-370.726,31.7496,100,-4226.98,911.798,645.807,1121.72,-6435.36,440.86,1197.15,-285.357
58,-0.032524,-3320.27,27.0669,-0.106156,-391.09,26.6952,100,-4226.65,906.385,644.02,1121.34,-6434.18,442.169,1190.13,-283.742
59,-0.0458343,-3325.31,22.0282,-0.119425,-382.798,21.5606,100,-4225.83,900.528,641.895,1121.74,-6433.04,443.571,1182.62,-282.095
60,-0.0591289,-3330.44,16.8941,-0.132695,-352.754,16.6805,100,-4224.56,894.121,639.758,1122.6,-6431.91,444.991,1174.6,-280.476
61,-0.0724035,-3334.99,12.3419,-0.145964,-306.34,12.3075,100,-4222.98,887.99,637.773,1123.81,-6430.89,446.326,1167,-279.008
62,-0.0856663,-3338.69,8.64025,-0.159234,-250.907,8.61036,100,-4221.37,882.68,636.032,1125.11,-6430.01,447.5,1160.41,-277.734
63,-0.0989181,-3341.57,5.76672,-0.172503,-194.945,5.65225,100,-4219.83,878.262,634.625,1126.36,-6429.3,448.485,1154.95,-276.69
64,-0.112166,-3343.81,3.52712,-0.185772,-143.698,3.40545,100,-4218.55,874.743,633.463,1127.49,-6428.76,449.257,1150.63,-275.886
65,-0.125413,-3345.18,2.15937,-0.199042,-101.695,1.77734,100,-4217.48,872.304,632.641,1128.4,-6428.36,449.836,1147.6,-275.296
66,-0.138663,-3346.72,0.61966,-0.212311,-69.9129,0.638769,100,-4216.68,869.964,632.021,1129.13,-6428.09,450.259,1144.84,-274.875
67,-0.151915,-3347.08,0.256861,-0.225581,-46.2542,-0.131968,100,-4216.08,869,631.64,1129.64,-6427.9,450.547,1143.59,-274.594
68,-0.165173,-3347.43,-0.0953548,-0.23885,-26.7749,-0.616497,100,-4215.66,868.234,631.346,1130.01,-6427.78,450.751,1142.63,-274.395
69,-0.178432,-3347.69,-0.353921,-0.25212,-13.0361,-0.880632,100,-4215.4,867.71,631.164,1130.27,-6427.71,450.875,1141.99,-274.282
70,-0.191694,-3347.8,-0.460667,-0.265389,-3.678,-0.991525,100,-4215.23,867.437,631.052,1130.43,-6427.67,450.95,1141.66,-274.219
71,-0.204958,-3347.8,-0.465664,-0.278659,2.47671,-0.999495,100,-4215.13,867.334,630.989,1130.54,-6427.65,450.992,1141.52,-274.187
72,-0.218224,-3347.74,-0.404905,-0.291928,6.37036,-0.940798,100,-4215.08,867.343,630.954,1130.6,-6427.65,451.013,1141.52,-274.175
73,-0.231491,-3347.6,-0.263352,-0.305198,8.4223,-0.842652,100,-4215.07,867.471,630.902,1130.65,-6427.65,451.029,1141.64,-274.173
74,-0.244759,-3347.33,0.00463806,-0.318467,8.68891,-0.729124,100,-4215.05,867.716,630.944,1130.65,-6427.66,451.02,1141.9,-274.183
75,-0.258029,-3347.21,0.125995,-0.331736,9.51762,-0.608329,100,-4215.06,867.849,630.945,1130.65,-6427.67,451.017,1142.04,-274.195
76,-0.271298,-3347.49,-0.156167,-0.345006,6.90575,-0.499364,100,-4215.09,867.595,630.937,1130.66,-6427.69,451.01,1141.8,-274.208
77,-0.284567,-3347.39,-0.0505054,-0.358275,6.77969,-0.408565,100,-4215.11,867.721,630.941,1130.65,-6427.7,451.003,1141.94,-274.222
78,-0.297837,-3347.3,0.0387252,-0.371545,6.66352,-0.319373,100,-4215.13,867.83,630.944,1130.65,-6427.71,450.997,1142.07,-274.235
79,-0.311106,-3347.21,0.126344,-0.384814,6.54822,-0.231716,100,-4215.15,867.937,630.944,1130.64,-6427.73,450.993,1142.18,-274.246
80,-0.324376,-3347.12,0.212747,-0.398084,6.48731,-0.145229,100,-4215.16,868.041,630.948,1130.64,-6427.74,450.988,1142.3,-274.258
81,-0.337645,-3347.27,0.0622343,-0.411353,5.2854,-0.0671205,100,-4215.37,868.047,630.818,1130.62,-6427.79,450.976,1142.37,-274.32
82,-0.350912,-3347.39,-0.0565097,-0.424623,3.33954,-0.00989628,100,-4215.2,867.807,630.949,1130.64,-6427.76,450.977,1142.09,-274.28
83,-0.364184,-3347.35,-0.0128978,-0.437892,3.24432,0.0337859,100,-4215.21,867.865,630.942,1130.64,-6427.77,450.977,1142.15,-274.285
84,-0.377454,-3347.3,0.0299313,-0.451162,3.22253,0.0766917,100,-4215.22,867.917,630.941,1130.64,-6427.78,450.976,1142.21,-274.291
85,-0.390724,-3347.08,0.259344,-0.464431,1.89266,0.11063,100,-4215.22,868.144,630.932,1130.65,-6427.78,450.975,1142.44,-274.297
86,-0.403994,-3347.05,0.28588,-0.477701,2.11371,0.137211,100,-4215.23,868.179,630.93,1130.66,-6427.79,450.974,1142.48,-274.302
87,-0.417264,-3347.02,0.315598,-0.49097,2.37124,0.166967,100,-4215.23,868.213,630.932,1130.66,-6427.79,450.973,1142.52,-274.306
88,-0.430533,-3346.99,0.348949,-0.504239,2.66092,0.200354,100,-4215.24,868.252,630.93,1130.66,-6427.8,450.974,1142.56,-274.31
89,-0.443802,-3346.76,0.578252,-0.517509,1.46001,0.227696,100,-4215.26,868.502,630.938,1130.65,-6427.81,450.963,1142.83,-274.324
90,-0.457072,-3346.71,0.627132,-0.530778,1.72401,0.248821,100,-4215.27,868.558,630.93,1130.65,-6427.82,450.965,1142.88,-274.326
91,-0.470341,-3346.59,0.746299,-0.544048,1.42644,0.269723,100,-4215.27,868.686,630.944,1130.64,-6427.82,450.958,1143.02,-274.33
92,-0.483611,-3346.61,0.729619,-0.557317,-3.86312,0.253556,100,-4215.27,868.667,630.924,1130.67,-6427.83,450.967,1143,-274.333
93,-0.496882,-3346.65,0.683187,-0.570587,-3.13407,0.207132,100,-4215.27,868.617,630.924,1130.67,-6427.83,450.966,1142.95,-274.334
94,-0.510151,-3346.69,0.64651,-0.583856,-2.39043,0.170478,100,-4215.27,868.578,630.919,1130.68,-6427.83,450.966,1142.91,-274.332
95,-0.52342,-3346.71,0.619878,-0.597126,-1.61779,0.143885,100,-4215.26,868.549,630.917,1130.69,-6427.83,450.965,1142.88,-274.332
96,-0.536689,-3346.73,0.603749,-0.610395,-0.805999,0.127804,100,-4215.26,868.53,630.912,1130.7,-6427.84,450.965,1142.86,-274.331
97,-0.549958,-3346.82,0.518275,-0.623665,-0.55591,0.118768,100,-4215.26,868.443,630.913,1130.7,-6427.84,450.963,1142.78,-274.333
98,-0.563227,-3347.17,0.165185,-0.636934,-2.34344,0.0995313,100,-4215.26,868.095,630.897,1130.71,-6427.84,450.96,1142.42,-274.33
99,-0.576497,-3347.15,0.188569,-0.650204,-1.1266,0.0765085,100,-4215.05,867.903,630.748,1130.94,-6427.8,451.06,1141.96,-274.061
100,-0.589759,-3347.22,0.119355,-0.663473,-1.10559,0.0616985,100,-4215.26,868.045,630.89,1130.73,-6427.84,450.958,1142.37,-274.328
