step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.589662,-3347.22,0,-0.663473,1.10558,0,271,-4215.26,868.044,630.891,1130.73,-6427.84,450.958,1142.37,-274.328
1,-0.576496,-3347.2,0.0188039,-0.650204,1.72822,0.0188015,57,-4215.26,868.065,630.893,1130.72,-6427.84,450.959,1142.39,-274.329
2,-0.563227,-3347.17,0.0458367,-0.636934,2.34343,0.0458158,44,-4215.26,868.089,630.903,1130.71,-6427.84,450.96,1142.42,-274.334
3,-0.549957,-3346.82,0.398087,-0.623665,0.561358,0.0650883,500,-4215.26,868.438,630.913,1130.7,-6427.84,450.965,1142.77,-274.333
4,-0.536688,-3346.73,0.484394,-0.610395,0.806003,0.0741604,99,-4215.26,868.531,630.913,1130.7,-6427.84,450.964,1142.86,-274.332
5,-0.523419,-3346.71,0.500524,-0.597126,1.61779,0.0902416,44,-4215.26,868.549,630.917,1130.69,-6427.83,450.965,1142.88,-274.331
6,-0.51015,-3346.69,0.527161,-0.583856,2.3901,0.116833,74,-4215.28,868.589,630.903,1130.69,-6427.83,450.967,1142.92,-274.332
7,-0.496881,-3346.65,0.563835,-0.570587,3.13407,0.153484,34,-4215.27,868.617,630.923,1130.67,-6427.83,450.966,1142.95,-274.333
8,-0.483612,-3346.61,0.610272,-0.557317,3.86313,0.199909,44,-4215.25,868.647,630.94,1130.66,-6427.82,450.97,1142.98,-274.332
9,-0.470343,-3346.59,0.626949,-0.544048,-1.42643,0.216076,58,-4215.27,868.685,630.945,1130.64,-6427.82,450.958,1143.02,-274.33
10,-0.457072,-3346.71,0.507799,-0.530778,-1.72344,0.195177,45,-4215.26,868.555,630.939,1130.65,-6427.82,450.959,1142.88,-274.329
11,-0.443801,-3346.76,0.458956,-0.517509,-1.45994,0.174056,53,-4215.26,868.501,630.938,1130.65,-6427.81,450.963,1142.83,-274.324
12,-0.430533,-3346.99,0.229613,-0.504239,-2.65969,0.146723,21,-4215.25,868.267,630.937,1130.66,-6427.81,450.964,1142.59,-274.324
13,-0.417264,-3347.02,0.196246,-0.49097,-2.37124,0.113345,77,-4215.23,868.213,630.933,1130.65,-6427.79,450.973,1142.52,-274.306
14,-0.403994,-3347.05,0.166533,-0.477701,-2.11338,0.0835904,42,-4215.22,868.168,630.935,1130.66,-6427.79,450.973,1142.47,-274.306
15,-0.390723,-3347.08,0.13999,-0.464431,-1.89267,0.0570114,54,-4215.22,868.144,630.933,1130.65,-6427.78,450.975,1142.44,-274.297
16,-0.377455,-3347.3,-0.0894111,-0.451162,-3.22139,0.023081,31,-4215.22,867.915,630.957,1130.64,-6427.79,450.974,1142.21,-274.299
17,-0.364185,-3347.35,-0.132252,-0.437892,-3.24434,-0.0198174,68,-4215.21,867.864,630.943,1130.64,-6427.77,450.977,1142.15,-274.285
18,-0.350915,-3347.39,-0.17585,-0.424623,-3.33981,-0.0635014,96,-4215.2,867.809,630.942,1130.64,-6427.76,450.98,1142.09,-274.277
19,-0.337646,-3347.16,0.0585807,-0.411353,-5.60492,-0.122847,21,-4215.2,868.045,630.948,1130.64,-6427.77,450.978,1142.32,-274.278
20,-0.324376,-3347.12,0.0933974,-0.398084,-6.48732,-0.203076,80,-4215.16,868.04,630.95,1130.64,-6427.74,450.988,1142.3,-274.258
21,-0.311106,-3347.21,0.00699126,-0.384814,-6.54824,-0.289563,96,-4215.14,867.936,630.946,1130.64,-6427.73,450.993,1142.18,-274.247
22,-0.297837,-3347.3,-0.0806184,-0.371545,-6.66227,-0.377212,34,-4215.14,867.844,630.962,1130.65,-6427.73,450.981,1142.09,-274.251
23,-0.284568,-3347.39,-0.16986,-0.358275,-6.77971,-0.466396,67,-4215.11,867.721,630.941,1130.65,-6427.7,451.003,1141.94,-274.223
24,-0.271298,-3347.49,-0.275508,-0.345006,-6.90454,-0.557187,47,-4215.09,867.602,630.943,1130.67,-6427.7,450.995,1141.82,-274.222
25,-0.258027,-3347.21,0.00664079,-0.331736,-9.51762,-0.666143,48,-4215.06,867.848,630.945,1130.65,-6427.67,451.017,1142.04,-274.195
26,-0.244759,-3347.33,-0.114692,-0.318467,-8.68884,-0.786938,67,-4215.04,867.707,630.962,1130.65,-6427.66,451.015,1141.9,-274.188
27,-0.23149,-3347.78,-0.56343,-0.305198,-3.62856,-0.868661,454,-4215.02,867.241,631.049,1130.56,-6427.64,451.012,1141.44,-274.195
28,-0.21822,-3347.74,-0.52426,-0.291928,-6.37036,-0.935001,142,-4215.08,867.344,630.953,1130.6,-6427.65,451.013,1141.52,-274.175
29,-0.204952,-3347.8,-0.585018,-0.278659,-2.47667,-0.993699,21,-4215.13,867.334,630.986,1130.54,-6427.65,450.992,1141.52,-274.187
30,-0.191685,-3347.8,-0.579928,-0.265389,3.69584,-0.98561,21,-4215.15,867.359,630.959,1130.55,-6427.66,450.993,1141.55,-274.191
31,-0.178416,-3347.69,-0.473275,-0.25212,13.0361,-0.874598,130,-4215.4,867.71,631.164,1130.27,-6427.71,450.875,1141.99,-274.283
32,-0.165155,-3347.43,-0.213953,-0.23885,26.9173,-0.609518,21,-4215.41,867.977,631.166,1130.26,-6427.71,450.875,1142.26,-274.283
33,-0.151885,-3347.08,0.137461,-0.225581,46.2533,-0.124051,367,-4216.08,869,631.636,1129.64,-6427.9,450.548,1143.59,-274.594
34,-0.138634,-3346.7,0.517662,-0.212311,70.6662,0.651678,21,-4216.08,869.38,631.636,1129.64,-6427.9,450.548,1143.97,-274.594
35,-0.125364,-3345.18,2.03988,-0.199042,101.696,1.79526,279,-4217.47,872.296,632.636,1128.41,-6428.36,449.839,1147.59,-275.294
36,-0.112124,-3343.79,3.4249,-0.185772,146.723,3.44345,21,-4217.47,873.681,632.639,1128.41,-6428.36,449.839,1148.97,-275.294
37,-0.0988544,-3341.57,5.64715,-0.172503,194.947,5.71034,240,-4219.86,878.293,634.577,1126.38,-6429.31,448.484,1154.98,-276.69
38,-0.0856266,-3338.56,8.65518,-0.159234,259.772,8.72729,21,-4219.86,881.295,634.583,1126.38,-6429.31,448.484,1157.98,-276.69
39,-0.0723571,-3334.65,12.5694,-0.145964,330.777,12.6454,21,-4219.83,885.185,634.605,1126.38,-6429.3,448.483,1161.87,-276.69
40,-0.0590876,-3329.58,17.6313,-0.132695,399.959,17.4937,21,-4219.79,890.202,634.645,1126.37,-6429.28,448.483,1166.89,-276.69
41,-0.045818,-3325.31,21.9083,-0.119425,382.843,22.6873,221,-4225.84,900.53,641.892,1121.75,-6433.04,443.563,1182.62,-282.09
42,-0.0325882,-3319.99,27.2255,-0.106156,414.285,27.9761,21,-4225.84,905.847,641.892,1121.75,-6433.04,443.563,1187.94,-282.09
43,-0.0193187,-3314.44,32.7751,-0.0928862,416.518,33.4882,21,-4225.84,911.397,641.892,1121.75,-6433.04,443.563,1193.49,-282.09
44,-0.00604924,-3309.1,38.1134,-0.0796168,381.406,38.7822,21,-4225.84,916.735,641.892,1121.75,-6433.04,443.563,1198.83,-282.09
45,0.00722022,-3307.36,39.8515,-0.0663473,238.965,42.8982,152,-4225.77,918.406,648.328,1124.17,-6437.21,438.939,1206.34,-287.936
46,0.0206949,-3304.77,42.4437,-0.0530778,147.127,45.4598,21,-4225.77,921,648.318,1124.17,-6437.2,438.942,1208.94,-287.935
47,0.0339641,-3303.54,43.6776,-0.0398084,36.8511,46.6805,21,-4225.77,922.235,648.316,1124.17,-6437.2,438.943,1210.17,-287.934
48,0.0472335,-3303.81,43.4016,-0.0265389,-77.92,46.408,21,-4225.77,921.959,648.316,1124.17,-6437.2,438.943,1209.89,-287.934
49,0.0605029,-3305.77,41.4444,-0.0132695,-189.08,44.6365,157,-4219.88,914.111,646.473,1132.07,-6437.9,439.471,1202.68,-288.566
50,0.0740792,-3309.44,37.7715,0,-279.084,41.5304,199,-4218.65,909.203,644.803,1133.41,-6437.34,440.481,1196.86,-287.657
51,0.0873936,-3313.11,34.1019,0.0132695,-328.952,37.4962,21,-4218.65,905.534,644.803,1133.41,-6437.34,440.481,1193.19,-287.657
52,0.100663,-3317.97,29.241,0.0265389,-379.236,32.7976,179,-4216.81,898.838,640.916,1134.67,-6435.52,443.123,1183.72,-284.885
53,0.113953,-3322.93,24.2824,0.0398084,-363.935,27.8668,21,-4216.81,893.879,640.917,1134.67,-6435.52,443.123,1178.76,-284.885
54,0.127223,-3328.04,19.1781,0.0530778,-365.994,23.024,177,-4215.79,887.751,637.047,1134.41,-6433.19,445.944,1169.28,-281.526
55,0.140427,-3332.53,14.6844,0.0663473,-309.96,18.5392,21,-4215.79,883.258,637.037,1134.43,-6433.19,445.942,1164.79,-281.531
56,0.153696,-3336.08,11.1343,0.0796168,-279.161,14.6305,234,-4215.26,879.177,633.997,1133.44,-6430.96,448.271,1157.65,-278.469
57,0.166856,-3339.35,7.86327,0.0928862,-214.879,11.3527,21,-4215.26,875.906,633.997,1133.44,-6430.96,448.271,1154.38,-278.469
58,0.180126,-3341.82,5.39736,0.106156,-158.318,8.87664,21,-4215.26,873.44,633.997,1133.44,-6430.96,448.271,1151.91,-278.469
59,0.193395,-3343.6,3.61814,0.119425,-111.539,7.08621,21,-4215.26,871.658,634.003,1133.43,-6430.96,448.271,1150.13,-278.47
60,0.206665,-3345.33,1.88818,0.132695,-84.3681,5.78641,239,-4215.15,869.823,631.052,1131.61,-6428.38,450.572,1144.93,-275.105
61,0.219746,-3346.65,0.563327,0.145964,-56.4959,4.85182,21,-4215.13,868.479,631.045,1131.61,-6428.37,450.577,1143.58,-275.098
62,0.233015,-3347.25,-0.0301365,0.159234,-34.209,4.25002,21,-4215.11,867.868,631.04,1131.62,-6428.36,450.582,1142.96,-275.091
63,0.246285,-3347.59,-0.373904,0.172503,-18.5678,3.89986,21,-4215.1,867.509,631.036,1131.63,-6428.35,450.586,1142.59,-275.085
64,0.259554,-3347.66,-0.441406,0.185772,-8.36898,3.72114,78,-4215.37,867.709,630.43,1130.88,-6427.72,451.051,1141.99,-274.281
65,0.272758,-3347.72,-0.501082,0.199042,-1.13409,3.65809,69,-4215.4,867.679,630.404,1130.81,-6427.68,451.072,1141.91,-274.234
66,0.286023,-3347.9,-0.683596,0.212311,2.05016,3.66417,21,-4215.39,867.493,630.41,1130.82,-6427.69,451.069,1141.73,-274.235
67,0.299292,-3347.67,-0.45733,0.225581,0.224976,3.67926,21,-4215.38,867.711,630.426,1130.81,-6427.69,451.067,1141.95,-274.235
