step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.589662,-3347.33,0,-0.663473,1.10183,0,100,-4215.48,868.141,631.119,1130.53,-6427.95,450.823,1142.76,-274.62
1,-0.576502,-3347.2,0.138169,-0.650204,1.72822,0.0187766,100,-4215.26,868.064,630.898,1130.72,-6427.84,450.959,1142.4,-274.332
2,-0.563227,-3347.17,0.165189,-0.636934,2.34342,0.0457909,100,-4215.26,868.095,630.901,1130.71,-6427.84,450.96,1142.43,-274.331
3,-0.549959,-3346.78,0.558524,-0.623665,0.252236,0.0630124,100,-4215.26,868.486,630.916,1130.7,-6427.84,450.962,1142.82,-274.333
4,-0.536688,-3346.73,0.603751,-0.610395,0.805996,0.0700335,100,-4215.26,868.53,630.915,1130.7,-6427.83,450.964,1142.86,-274.332
5,-0.523419,-3346.71,0.619879,-0.597126,1.61773,0.0861143,100,-4215.26,868.548,630.923,1130.68,-6427.83,450.963,1142.88,-274.333
6,-0.51015,-3346.69,0.646511,-0.583856,2.39044,0.112707,100,-4215.27,868.578,630.92,1130.68,-6427.83,450.965,1142.91,-274.333
7,-0.496881,-3346.65,0.683189,-0.570587,3.13407,0.149361,100,-4215.27,868.617,630.926,1130.67,-6427.83,450.965,1142.95,-274.333
8,-0.483612,-3346.61,0.729621,-0.557317,3.86313,0.195786,100,-4215.27,868.665,630.927,1130.66,-6427.83,450.967,1143,-274.334
9,-0.470343,-3346.59,0.746304,-0.544048,-1.42655,0.211952,100,-4215.28,868.689,630.949,1130.64,-6427.82,450.957,1143.02,-274.333
10,-0.457072,-3346.71,0.627145,-0.530778,-1.7237,0.19105,100,-4215.26,868.554,630.939,1130.65,-6427.81,450.962,1142.88,-274.326
11,-0.443802,-3346.76,0.57831,-0.517509,-1.45999,0.169928,100,-4215.26,868.501,630.938,1130.65,-6427.81,450.963,1142.82,-274.324
12,-0.430533,-3346.99,0.348953,-0.504239,-2.66087,0.142587,100,-4215.24,868.251,630.931,1130.66,-6427.8,450.973,1142.56,-274.31
13,-0.417263,-3347.02,0.3156,-0.49097,-2.37126,0.1092,100,-4215.23,868.212,630.933,1130.65,-6427.79,450.973,1142.52,-274.306
14,-0.403994,-3347.05,0.285881,-0.477701,-2.11369,0.0794434,100,-4215.23,868.179,630.931,1130.66,-6427.79,450.974,1142.48,-274.302
15,-0.390725,-3347.08,0.259344,-0.464431,-1.89265,0.0528624,100,-4215.22,868.145,630.932,1130.65,-6427.78,450.974,1142.44,-274.297
16,-0.377455,-3347.3,0.0299316,-0.451162,-3.22255,0.0189245,100,-4215.22,867.919,630.94,1130.64,-6427.78,450.976,1142.21,-274.291
17,-0.364185,-3347.35,-0.0128976,-0.437892,-3.2443,-0.0239814,100,-4215.21,867.866,630.942,1130.64,-6427.77,450.977,1142.15,-274.286
18,-0.350915,-3347.39,-0.0564959,-0.424623,-3.33982,-0.0676652,100,-4215.2,867.809,630.943,1130.64,-6427.76,450.979,1142.09,-274.277
19,-0.337646,-3347.16,0.177917,-0.411353,-5.60651,-0.127022,100,-4215.18,868.02,630.947,1130.64,-6427.75,450.986,1142.29,-274.267
20,-0.324376,-3347.12,0.212752,-0.398084,-6.48732,-0.207261,100,-4215.16,868.041,630.948,1130.64,-6427.74,450.988,1142.3,-274.258
21,-0.311106,-3347.21,0.126346,-0.384814,-6.54818,-0.293748,100,-4215.15,867.939,630.948,1130.64,-6427.73,450.992,1142.19,-274.248
22,-0.297837,-3347.3,0.038726,-0.371545,-6.66356,-0.381404,100,-4215.13,867.83,630.943,1130.65,-6427.71,450.998,1142.07,-274.235
23,-0.284567,-3347.39,-0.0505051,-0.358275,-6.77976,-0.470597,100,-4215.11,867.723,630.939,1130.65,-6427.7,451.003,1141.94,-274.222
24,-0.271298,-3347.49,-0.156166,-0.345006,-6.90559,-0.561396,100,-4215.09,867.598,630.936,1130.66,-6427.69,451.008,1141.81,-274.21
25,-0.258028,-3347.21,0.125996,-0.331736,-9.51758,-0.670359,100,-4215.06,867.847,630.945,1130.65,-6427.67,451.018,1142.04,-274.195
26,-0.244759,-3347.33,0.00465327,-0.318467,-8.68906,-0.791155,100,-4215.05,867.718,630.945,1130.64,-6427.66,451.02,1141.9,-274.184
