step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.589662,-3347.33,0,-0.663473,1.10174,100,-4215.48,868.141,631.119,1130.53,-6427.95,450.823,1142.76,-274.62
1,-0.576633,-3347.2,0.137932,-0.650335,1.72209,100,-4215.26,868.062,630.898,1130.72,-6427.84,450.959,1142.39,-274.332
2,-0.56349,-3347.04,0.293772,-0.637197,1.10261,100,-4214.84,867.797,630.005,1131.58,-6427.74,451.327,1141.59,-273.791
3,-0.550311,-3347.16,0.178784,-0.624059,2.53186,100,-4214.23,867.225,631.255,1131.24,-6427.73,451.011,1141.55,-274.328
4,-0.53723,-3346.73,0.601596,-0.610921,0.774419,100,-4215.28,868.548,630.892,1130.71,-6427.85,450.962,1142.89,-274.339
5,-0.524074,-3346.72,0.61884,-0.597783,1.57866,100,-4215.26,868.545,630.923,1130.69,-6427.83,450.964,1142.88,-274.334
6,-0.510938,-3346.71,0.621288,-0.584645,1.65349,100,-4215.66,868.945,630.274,1131.16,-6428.02,450.928,1142.98,-274.032
7,-0.4978,-3346.82,0.518828,-0.571506,3.1101,100,-4215.32,868.5,630.863,1130.74,-6427.88,450.957,1142.95,-274.445
8,-0.484663,-3346.61,0.725175,-0.558368,3.80609,100,-4215.29,868.677,630.904,1130.67,-6427.83,450.971,1143,-274.325
9,-0.471525,-3346.85,0.481099,-0.54523,0.797293,100,-4215.35,868.498,630.983,1130.82,-6427.95,450.798,1143.04,-274.546
10,-0.458398,-3346.66,0.673524,-0.532092,-1.30979,100,-4215.25,868.591,630.926,1130.62,-6427.8,450.992,1142.9,-274.31
11,-0.445252,-3347.01,0.32529,-0.518954,-2.30014,100,-4214.99,867.976,631.285,1130.56,-6427.75,450.914,1142.39,-274.418
12,-0.432086,-3346.96,0.37422,-0.505816,-1.64511,100,-4215.44,868.476,630.023,1131.2,-6427.82,451.158,1142.51,-274.033
13,-0.41893,-3347.02,0.316192,-0.492678,-2.41395,100,-4215.23,868.207,630.925,1130.67,-6427.79,450.968,1142.53,-274.319
14,-0.405834,-3347.05,0.289839,-0.47954,-2.14736,100,-4215.23,868.184,630.932,1130.65,-6427.79,450.974,1142.49,-274.303
15,-0.392695,-3347.07,0.263135,-0.466402,-1.92287,100,-4215.22,868.15,630.936,1130.65,-6427.78,450.973,1142.45,-274.299
16,-0.379557,-3347.3,0.036731,-0.453264,-3.22535,100,-4215.22,867.925,630.936,1130.64,-6427.78,450.977,1142.22,-274.291
