step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.738722,-3458.17,0,0.664813,9.0925,-0.0739094,-4201.51,743.343,632.808,1147.44,-6433.91,452.148,1017.25,-273.904,0,0
1,0.725426,-3457.94,0.231004,0.651517,16.0179,-0.0739094,-4201.56,743.618,632.78,1147.3,-6433.87,452.228,1017.53,-273.917,0,0
2,0.71213,-3457.61,0.564851,0.63822,22.2153,-0.0739094,-4201.47,743.859,632.751,1147.42,-6433.83,452.201,1017.78,-273.917,0,0
3,0.698834,-3454.74,3.42967,0.624924,9.89753,-0.0739094,-4201.47,746.724,632.752,1147.42,-6433.83,452.201,1020.64,-273.917,0,0
4,0.685537,-3454.57,3.59701,0.611628,15.0353,-0.0739094,-4201.45,746.88,632.761,1147.42,-6433.83,452.201,1020.8,-273.917,0,0
5,0.672241,-3454.35,3.82339,0.598332,18.8016,-0.0739094,-4201.44,747.093,632.772,1147.42,-6433.83,452.202,1021.01,-273.917,0,0
6,0.658945,-3454.08,4.09197,0.585035,21.4407,-0.0739094,-4201.43,747.349,632.783,1147.42,-6433.83,452.202,1021.27,-273.917,0,0
7,0.645649,-3453.78,4.39042,0.571739,23.3784,-0.0739094,-4201.42,747.634,632.794,1147.41,-6433.83,452.202,1021.55,-273.917,0,0
8,0.632352,-3453.64,4.53302,0.558443,-12.5604,-0.0739094,-4201.23,747.589,633.199,1146.81,-6433.65,452.413,1021.51,-273.923,0,0
9,0.619056,-3453.79,4.37981,0.545147,-10.4294,-0.0739094,-4201.22,747.433,633.199,1146.81,-6433.64,452.413,1021.36,-273.922,0,0
10,0.60576,-3453.91,4.25985,0.53185,-7.43185,-0.0739094,-4201.22,747.305,633.2,1146.81,-6433.64,452.414,1021.23,-273.92,0,0
11,0.592464,-3453.98,4.18781,0.518554,-3.16966,-0.0739094,-4201.21,747.222,633.202,1146.81,-6433.64,452.416,1021.14,-273.918,0,0
12,0.579167,-3453.99,4.18209,0.505258,2.55901,-0.0739094,-4201.19,747.205,633.203,1146.82,-6433.63,452.417,1021.12,-273.915,0,0
13,0.565871,-3453.91,4.26224,0.491962,9.72,-0.0739094,-4201.18,747.272,633.205,1146.82,-6433.63,452.419,1021.18,-273.912,0,0
14,0.552575,-3455.9,2.27158,0.478665,4.71056,-0.0739094,-4201.18,745.275,633.206,1146.82,-6433.62,452.42,1019.19,-273.91,0,0
15,0.539279,-3456.98,1.19592,0.465369,4.70393,-0.0739094,-4201.17,744.191,633.207,1146.83,-6433.62,452.421,1018.1,-273.908,0,0
16,0.525982,-3457.91,0.257206,0.452073,2.81692,-0.0739094,-4201.15,743.236,633.209,1146.83,-6433.61,452.424,1017.14,-273.904,0,0
17,0.512686,-3457.83,0.342375,0.438777,8.63931,-0.0739094,-4201.14,743.308,633.211,1146.83,-6433.61,452.426,1017.21,-273.901,0,0
18,0.49939,-3457.68,0.489116,0.42548,13.1763,-0.0739094,-4201.13,743.443,633.212,1146.84,-6433.6,452.427,1017.34,-273.899,0,0
19,0.486093,-3454.92,3.25438,0.412184,-1.79845,-0.0739094,-4201.12,746.2,633.213,1146.84,-6433.6,452.429,1020.1,-273.896,0,0
20,0.472797,-3454.92,3.24794,0.398888,0.491961,-0.0739094,-4201.11,746.185,633.214,1146.84,-6433.59,452.43,1020.08,-273.894,0,0
21,0.459501,-3454.91,3.25881,0.385592,0.839709,-0.0739094,-4201.1,746.19,633.215,1146.84,-6433.59,452.431,1020.08,-273.893,0,0
22,0.446205,-3454.91,3.26316,0.372295,-0.407642,-0.0739094,-4201.1,746.189,633.215,1146.85,-6433.59,452.432,1020.08,-273.892,0,0
23,0.432908,-3454.93,3.24368,0.358999,-2.61667,-0.0739094,-4201.09,746.166,633.216,1146.85,-6433.59,452.432,1020.06,-273.891,0,0
24,0.419612,-3452.3,5.86815,0.345703,-23.382,-0.0739094,-4201.09,748.789,633.216,1146.85,-6433.59,452.433,1022.68,-273.89,0,0
25,0.406316,-3452.61,5.55685,0.332406,-23.1778,-0.0739094,-4201.09,748.477,633.216,1146.85,-6433.59,452.433,1022.37,-273.89,0,0
26,0.39302,-3453.18,4.9871,0.31911,-22.7285,-0.0739094,-4201.09,747.907,633.216,1146.85,-6433.59,452.433,1021.8,-273.89,0,0
27,0.379723,-3456.12,2.05645,0.305814,-35.3067,-0.0739094,-4201.09,744.974,633.216,1146.85,-6433.59,452.433,1018.86,-273.89,0,0
28,0.366427,-3456.52,1.64703,0.292518,-25.1851,-0.0739094,-4201.09,744.565,633.217,1146.85,-6433.59,452.433,1018.45,-273.89,0,0
