step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.590904,-3458.17,0,-0.664813,-9.09248,-0.0739094,-4201.51,743.343,632.808,1147.44,-6433.91,452.148,1017.25,-273.904,0,0
1,-0.577607,-3458.32,-0.150724,-0.651517,-1.82578,-0.0739094,-4201.53,743.211,632.952,1147.42,-6433.97,452.064,1017.12,-273.906,0,0
2,-0.564311,-3458.29,-0.118818,-0.63822,5.36881,-0.0739094,-4201.53,743.235,632.947,1147.4,-6433.97,452.097,1017.13,-273.893,0,0
3,-0.551015,-3458.17,-0.00223878,-0.624924,11.9792,-0.0739094,-4201.52,743.344,632.949,1147.41,-6433.97,452.096,1017.23,-273.891,0,0
4,-0.537719,-3455.35,2.81834,-0.611628,-0.871473,-0.0739094,-4201.51,746.159,632.951,1147.42,-6433.97,452.096,1020.05,-273.89,0,0
5,-0.524422,-3455.32,2.84695,-0.598332,4.94936,-0.0739094,-4201.5,746.178,632.953,1147.42,-6433.97,452.095,1020.07,-273.888,0,0
6,-0.511126,-3455.23,2.94403,-0.585035,9.44042,-0.0739094,-4201.49,746.267,632.956,1147.43,-6433.97,452.093,1020.15,-273.886,0,0
7,-0.49783,-3455.3,2.86883,-0.571739,12.5534,-0.0739094,-4201.41,746.11,633.176,1147.48,-6434.07,452.009,1019.98,-273.868,0,0
8,-0.484534,-3457.33,0.843207,-0.558443,-0.207584,-0.0739094,-4201.42,744.087,633.179,1147.47,-6434.08,452.008,1017.96,-273.868,0,0
9,-0.471237,-3457.38,0.792371,-0.545147,-7.10988,-0.0739094,-4201.42,744.04,633.183,1147.47,-6434.08,452.007,1017.91,-273.869,0,0
10,-0.457941,-3456.45,1.71928,-0.53185,-29.3257,-0.0739094,-4201.42,744.972,633.188,1147.46,-6434.08,452.005,1018.84,-273.87,0,0
11,-0.444645,-3458.22,-0.0453283,-0.518554,-37.7779,-0.0739094,-4201.43,743.212,633.194,1147.46,-6434.08,452.003,1017.08,-273.87,0,0
