step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738722,-3394.02,0,0.664813,9.52951,0,212,-4199.65,805.635,645.639,1139.25,-6433.55,449.005,1083.71,-278.071
1,0.725186,-3393.84,0.174083,0.651517,16.5531,0.173401,197,-4199.63,805.79,645.644,1139.2,-6433.51,449.037,1083.86,-278.073
2,0.711886,-3393.58,0.437404,0.63822,22.8573,0.435407,21,-4199.63,806.054,645.647,1139.19,-6433.51,449.037,1084.13,-278.072
3,0.698589,-3390.71,3.30649,0.624924,10.3069,0.655887,172,-4199.51,808.801,645.718,1139.07,-6433.42,449.121,1086.88,-278.074
4,0.68528,-3390.54,3.47931,0.611628,15.4202,0.826924,21,-4199.51,808.974,645.717,1139.07,-6433.42,449.12,1087.05,-278.073
5,0.671983,-3390.31,3.71046,0.598332,19.1301,1.05662,21,-4199.51,809.205,645.714,1139.07,-6433.42,449.12,1087.28,-278.07
6,0.658686,-3389.76,4.26111,0.585035,21.5064,1.32678,203,-4199.4,809.645,645.855,1138.86,-6433.31,449.193,1087.72,-278.075
7,0.645381,-3389.46,4.5602,0.571739,23.3776,1.62517,21,-4199.4,809.944,645.854,1138.87,-6433.31,449.193,1088.02,-278.076
8,0.632085,-3389.35,4.67107,0.558443,-12.3215,1.69867,21,-4199.4,810.054,645.851,1138.87,-6433.31,449.192,1088.13,-278.078
9,0.618788,-3389.5,4.51659,0.545147,-10.4404,1.54735,176,-4199.45,809.952,645.854,1138.75,-6433.33,449.271,1088.02,-278.066
10,0.605477,-3389.62,4.39587,0.53185,-7.56211,1.42767,21,-4199.46,809.842,645.852,1138.75,-6433.33,449.27,1087.91,-278.068
11,0.59218,-3389.77,4.2486,0.518554,-3.56737,1.35368,97,-4199.54,809.771,645.876,1138.7,-6433.41,449.287,1087.84,-278.07
12,0.578884,-3389.85,4.16544,0.505258,1.94389,1.34288,158,-4199.59,809.739,645.896,1138.68,-6433.46,449.291,1087.81,-278.074
13,0.565589,-3389.78,4.237,0.491962,9.01449,1.41573,21,-4199.59,809.812,645.897,1138.68,-6433.46,449.294,1087.89,-278.075
14,0.552293,-3391.48,2.54123,0.478665,6.08773,1.51614,21,-4199.6,808.12,645.9,1138.67,-6433.46,449.299,1086.2,-278.075
15,0.538997,-3393.36,0.653056,0.465369,0.271809,1.55842,109,-4199.91,806.543,645.735,1138.69,-6433.67,449.34,1084.59,-278.048
16,0.525691,-3393.95,0.0690709,0.452073,1.70243,1.57154,21,-4199.91,805.959,645.737,1138.69,-6433.67,449.34,1084.01,-278.048
17,0.512395,-3393.89,0.131616,0.438777,7.54061,1.63299,21,-4199.91,806.021,645.745,1138.68,-6433.67,449.34,1084.07,-278.05
18,0.499099,-3393.76,0.253623,0.42548,11.6458,1.76054,210,-4200,806.235,645.988,1138.47,-6433.83,449.367,1084.25,-278.019
19,0.485796,-3391.16,2.85888,0.412184,-3.39743,1.81538,175,-4199.92,808.765,646.164,1138.41,-6433.86,449.37,1086.77,-278.009
20,0.472498,-3391.18,2.83237,0.398888,-0.978587,1.78629,21,-4199.92,808.732,646.165,1138.41,-6433.86,449.372,1086.74,-278.008
21,0.459202,-3391.19,2.82463,0.385592,-0.48847,1.77653,21,-4199.91,808.714,646.165,1138.42,-6433.87,449.376,1086.72,-278.005
