step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738722,-3393.75,0,0.664813,9.46337,0,100,-4199.37,805.618,646.219,1138.91,-6433.47,448.969,1083.69,-278.069
1,0.725185,-3393.84,-0.0977759,0.651517,16.5535,0.172963,100,-4199.63,805.788,645.645,1139.2,-6433.51,449.037,1083.86,-278.073
2,0.711886,-3393.58,0.164859,0.63822,22.7582,0.434313,100,-4199.65,806.073,645.654,1139.11,-6433.47,449.055,1084.15,-278.075
3,0.698589,-3390.71,3.03472,0.624924,10.3081,0.654142,100,-4199.52,808.809,645.719,1139.06,-6433.42,449.116,1086.88,-278.075
4,0.685279,-3390.4,3.34825,0.611628,15.3237,0.824545,100,-4199.45,809.055,645.753,1139,-6433.36,449.163,1087.13,-278.071
5,0.671982,-3390.1,3.64843,0.598332,18.9812,1.05261,100,-4199.43,809.337,645.813,1138.92,-6433.34,449.171,1087.41,-278.075
6,0.65868,-3389.76,3.9894,0.585035,21.5096,1.3218,100,-4199.36,809.608,645.877,1138.87,-6433.31,449.192,1087.68,-278.075
7,0.645384,-3389.46,4.28796,0.571739,23.3314,1.6199,100,-4199.38,809.926,645.898,1138.81,-6433.3,449.211,1088,-278.076
8,0.632084,-3389.35,4.3974,0.558443,-12.4009,1.69257,100,-4199.43,810.086,645.835,1138.79,-6433.3,449.244,1088.15,-278.068
9,0.618771,-3389.5,4.24484,0.545147,-10.4405,1.54072,100,-4199.45,809.953,645.862,1138.74,-6433.33,449.269,1088.02,-278.068
10,0.605477,-3389.62,4.12352,0.53185,-7.62736,1.4206,100,-4199.5,809.877,645.857,1138.72,-6433.36,449.282,1087.94,-278.066
11,0.592181,-3389.77,3.97687,0.518554,-3.56482,1.34619,100,-4199.54,809.776,645.881,1138.7,-6433.41,449.284,1087.85,-278.074
12,0.578884,-3389.85,3.89373,0.505258,1.94289,1.33541,100,-4199.61,809.754,645.895,1138.68,-6433.47,449.285,1087.83,-278.072
13,0.565589,-3389.91,3.83066,0.491962,8.8822,1.40738,100,-4199.65,809.735,645.914,1138.67,-6433.53,449.297,1087.81,-278.079
14,0.552294,-3391.62,2.12424,0.478665,5.8007,1.50499,100,-4199.79,808.167,645.755,1138.74,-6433.61,449.322,1086.23,-278.065
15,0.538996,-3393.36,0.381306,0.465369,0.274975,1.54538,100,-4199.91,806.547,645.724,1138.7,-6433.67,449.339,1084.6,-278.049
16,0.525691,-3393.95,-0.204143,0.452073,1.53125,1.55739,100,-4199.98,806.031,645.785,1138.59,-6433.71,449.357,1084.06,-278.027
17,0.512391,-3393.89,-0.144995,0.438777,7.2062,1.61548,100,-4199.99,806.097,645.886,1138.53,-6433.77,449.365,1084.12,-278.02
18,0.499095,-3393.83,-0.0887184,0.42548,11.646,1.74081,100,-4200,806.162,645.989,1138.47,-6433.83,449.371,1084.18,-278.018
19,0.485797,-3391.16,2.58727,0.412184,-3.39634,1.79566,100,-4199.92,808.762,646.165,1138.41,-6433.86,449.369,1086.77,-278.006
20,0.472499,-3391.19,2.55964,0.398888,-1.08583,1.76586,100,-4199.92,808.73,646.249,1138.37,-6433.91,449.376,1086.73,-278.001
21,0.4592,-3391.2,2.54999,0.385592,-0.659961,1.75425,100,-4199.88,808.685,646.375,1138.31,-6433.94,449.376,1086.68,-277.995
22,0.445902,-3391.21,2.53519,0.372295,-1.77959,1.73803,100,-4199.85,808.641,646.467,1138.28,-6433.97,449.37,1086.63,-277.99
23,0.432603,-3391.24,2.50643,0.358999,-3.81786,1.70082,100,-4199.82,808.574,646.553,1138.27,-6434,449.355,1086.56,-277.986
24,0.419305,-3388.63,5.11423,0.345703,-24.4353,1.51299,100,-4199.71,811.075,646.703,1138.22,-6433.98,449.344,1089.05,-277.978
25,0.40601,-3388.95,4.79835,0.332406,-23.9985,1.191,100,-4199.69,810.747,646.722,1138.26,-6434,449.318,1088.73,-277.98
26,0.392714,-3390.09,3.65877,0.31911,-27.3524,0.849608,100,-4199.7,809.614,646.677,1138.31,-6433.98,449.3,1087.57,-277.958
27,0.379417,-3392.48,1.26183,0.305814,-35.6141,0.430999,100,-4199.75,807.271,646.552,1138.47,-6434.02,449.249,1085.23,-277.955
28,0.366113,-3392.89,0.858816,0.292518,-25.0838,0.0274707,100,-4199.71,806.82,646.514,1138.65,-6434.06,449.183,1084.81,-277.995
29,0.352827,-3393.1,0.649138,0.279221,-7.02474,-0.185991,100,-4199.61,806.511,646.503,1138.91,-6434.12,449.1,1084.59,-278.076
30,0.339545,-3393.1,0.641062,0.265925,21.6507,-0.088756,100,-4199.45,806.348,646.509,1139.28,-6434.23,448.988,1084.55,-278.204
31,0.326272,-3392.44,1.30392,0.252629,65.5448,0.490931,100,-4199.19,806.751,646.568,1139.82,-6434.41,448.827,1085.18,-278.433
32,0.313012,-3391.1,2.64381,0.239333,129.153,1.78531,100,-4198.81,807.707,646.741,1140.57,-6434.71,448.593,1086.51,-278.807
33,0.299767,-3391.75,1.99276,0.226036,199.341,3.96917,100,-4198.39,806.633,646.969,1141.65,-6435.18,448.176,1085.99,-279.36
34,0.286529,-3388.48,5.26726,0.21274,320.604,7.42584,100,-4197.57,809.091,647.498,1143.17,-6435.89,447.657,1089.33,-280.24
35,0.273331,-3380.61,13.1392,0.199444,463.286,12.6372,100,-4196.25,815.649,648.389,1145.36,-6436.9,446.905,1097.18,-281.526
36,0.260165,-3373.12,20.6218,0.186148,669.709,20.1695,100,-4194.45,821.325,649.573,1148.5,-6438.34,445.814,1104.66,-283.334
37,0.247043,-3362.61,31.1384,0.172851,918.838,30.7304,100,-4191.72,829.11,651.301,1152.93,-6440.22,444.276,1114.9,-285.786
38,0.23396,-3348.68,45.0639,0.159555,1201.8,44.8287,100,-4187.74,839.063,653.583,1159,-6442.55,442.218,1127.99,-288.924
39,0.220913,-3330.91,62.8307,0.146259,1503.62,62.8147,100,-4182.01,851.091,656.559,1167.05,-6445.21,439.595,1143.77,-292.682
40,0.207891,-3308.78,84.9638,0.132963,1799.15,84.772,100,-4174.28,865.499,659.964,1177.51,-6448.13,436.377,1162.48,-296.979
41,0.194869,-3280.18,113.569,0.119666,2050.6,110.366,100,-4163.89,883.717,664.123,1190.38,-6451.03,432.626,1185.41,-301.689
42,0.181836,-3251.49,142.254,0.10637,2270.46,139.093,100,-4151.2,899.707,668.199,1205.94,-6453.86,428.523,1206.31,-306.601
43,0.168773,-3220.53,173.213,0.0930738,2428.98,170.335,100,-4136.22,915.683,672.731,1223.28,-6456.36,424.135,1227.06,-311.374
44,0.155671,-3187.71,206.035,0.0797776,2521.62,203.247,100,-4119.86,932.153,676.941,1241.96,-6458.48,419.718,1248.01,-315.862
45,0.14252,-3156.92,236.825,0.0664813,2529.05,236.825,100,-4103.15,946.225,681.086,1260.78,-6460.21,415.2,1265.92,-319.69
46,0.129289,-3123.33,270.42,0.053185,2478.88,270.118,100,-4086.42,963.094,685.717,1278.55,-6461.57,410.879,1286.04,-322.941
47,0.116015,-3090.79,302.952,0.0398888,2357.63,302.272,100,-4070.33,979.541,690.208,1294.95,-6462.38,406.883,1305.07,-325.53
48,0.102709,-3060.32,333.43,0.0265925,2161.85,332.318,100,-4057.39,997.081,695.32,1307.36,-6463.14,403.074,1324.66,-327.579
49,0.0892978,-3033.55,360.192,0.0132963,1893.8,359.28,100,-4045.9,1012.62,701.265,1316.34,-6463.41,399.896,1341.62,-328.991
50,0.0758892,-3012.08,381.665,0,1543.57,382.133,100,-4039.06,1026.93,707.689,1319.74,-6463.42,396.935,1356.96,-330.031
51,0.0623927,-2992.35,401.398,-0.0132963,1142.18,399.988,100,-4035.97,1043.63,713.4,1319.74,-6463.74,394.625,1374.03,-330.408
52,0.0489111,-2979.28,414.47,-0.0265925,691.89,412.181,100,-4037.85,1058.57,720.492,1312.33,-6463.53,392.86,1389.19,-330.613
53,0.0353495,-2973.17,420.58,-0.0398888,208.433,418.166,100,-4044.86,1071.7,726.569,1300.35,-6463.53,391.746,1402.14,-330.439
54,0.0217652,-2973.65,420.093,-0.053185,-306.409,417.515,100,-4057.37,1083.72,732.374,1282.36,-6463.37,391.266,1413.8,-330.084
55,0.00814299,-2981.12,412.626,-0.0664813,-830.363,409.958,100,-4073.52,1092.4,737.663,1260.32,-6463.02,391.517,1421.67,-329.27
56,-0.00550053,-2995.49,398.256,-0.0797776,-1345.93,395.489,100,-4093.97,1098.48,741.514,1234.63,-6462.63,392.515,1426.75,-328.27
