step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.590904,-3394.02,0,-0.664813,-9.52973,0,194,-4199.65,805.636,645.636,1139.26,-6433.55,449.005,1083.71,-278.072
1,-0.577847,-3394.17,-0.148329,-0.651517,-2.14624,-0.0776234,21,-4199.66,805.499,645.638,1139.31,-6433.59,448.975,1083.56,-278.066
2,-0.564547,-3394.14,-0.127602,-0.63822,5.14723,-0.0576724,30,-4199.55,805.405,645.725,1139.35,-6433.6,448.973,1083.47,-278.065
3,-0.551239,-3394.1,-0.0848091,-0.624924,11.7045,0.0543598,28,-4199.43,805.332,645.876,1139.42,-6433.7,448.976,1083.41,-278.079
4,-0.537925,-3391.29,2.72519,-0.611628,-1.18563,0.12429,47,-4199.59,808.299,645.77,1139.42,-6433.68,448.899,1086.36,-278.058
5,-0.524642,-3391.27,2.75002,-0.598332,4.62961,0.147186,34,-4199.54,808.275,645.694,1139.5,-6433.7,448.963,1086.31,-278.031
6,-0.511343,-3391.17,2.84315,-0.585035,9.13224,0.238677,21,-4199.47,808.293,645.832,1139.5,-6433.68,448.885,1086.31,-278.018
7,-0.498039,-3391.03,2.98713,-0.571739,12.4752,0.382326,56,-4199.55,808.518,645.844,1139.49,-6433.73,448.846,1086.56,-278.046
8,-0.484747,-3393.05,0.969196,-0.558443,-0.335677,0.463032,43,-4199.53,806.483,645.955,1139.46,-6433.7,448.759,1084.55,-278.063
9,-0.47145,-3393.11,0.907226,-0.545147,-7.306,0.412229,56,-4199.58,806.468,645.866,1139.52,-6433.72,448.757,1084.49,-278.021
10,-0.458141,-3392.17,1.84227,-0.53185,-29.4851,0.167637,48,-4199.45,807.275,645.738,1139.74,-6433.71,448.775,1085.26,-277.987
11,-0.444847,-3393.94,0.0766339,-0.518554,-37.9955,-0.280983,51,-4199.34,805.4,645.728,1139.74,-6433.68,448.865,1083.3,-277.899
12,-0.431535,-3394.44,-0.418846,-0.505258,-36.4079,-0.775626,23,-4199.2,804.766,645.798,1139.77,-6433.62,448.856,1082.65,-277.885
13,-0.418238,-3394.9,-0.886652,-0.491962,-33.8197,-1.24251,21,-4199.13,804.223,645.841,1139.78,-6433.61,448.856,1082.09,-277.87
14,-0.404939,-3395.33,-1.31454,-0.478665,-30.1663,-1.6679,52,-4199.37,804.037,645.484,1139.93,-6433.7,448.909,1081.88,-277.84
15,-0.391645,-3395.7,-1.68463,-0.465369,-25.4057,-2.03735,37,-4199.37,803.673,645.433,1139.94,-6433.65,448.903,1081.49,-277.819
16,-0.378356,-3397.55,-3.53361,-0.452073,-29.7651,-2.40413,64,-4199.42,801.865,645.371,1139.96,-6433.72,448.965,1079.66,-277.795
17,-0.365041,-3397.91,-3.89247,-0.438777,-24.1643,-2.76266,28,-4199.48,801.565,645.286,1139.98,-6433.68,448.938,1079.35,-277.784
18,-0.351745,-3398.26,-4.24436,-0.42548,-18.1164,-3.04375,25,-4199.43,801.167,645.265,1140,-6433.63,448.935,1078.93,-277.762
19,-0.338448,-3398.46,-4.44429,-0.412184,-11.5699,-3.2411,42,-4199.38,800.917,645.176,1140.08,-6433.71,449.071,1078.66,-277.741
20,-0.32515,-3395.86,-1.84495,-0.398888,-22.5561,-3.46798,37,-4199.27,803.41,645.275,1140.03,-6433.65,449.071,1081.16,-277.751
21,-0.311854,-3396.1,-2.0786,-0.385592,-12.1398,-3.69864,61,-4199.37,803.273,645.197,1139.99,-6433.69,449.133,1081.02,-277.75
22,-0.298557,-3396.1,-2.08526,-0.372295,1.07176,-3.77222,23,-4199.4,803.296,645.21,1139.88,-6433.65,449.161,1081.04,-277.743
23,-0.285261,-3396.2,-2.18067,-0.358999,18.0835,-3.64488,21,-4199.47,803.27,645.21,1139.74,-6433.63,449.214,1081.02,-277.746
24,-0.271967,-3395.79,-1.77716,-0.345703,43.3055,-3.23675,59,-4200.03,804.239,645.503,1139.35,-6433.87,448.987,1082.24,-278.004
25,-0.258693,-3392.07,1.94396,-0.332406,61.2285,-2.5418,94,-4200.53,808.459,645.893,1138.74,-6433.97,448.809,1086.69,-278.233
26,-0.245417,-3390.89,3.1307,-0.31911,115.784,-1.36499,109,-4201.43,810.544,646.414,1137.92,-6434.24,448.473,1089.16,-278.612
27,-0.23215,-3390.29,3.72596,-0.305814,186.651,0.645636,21,-4201.43,811.138,646.392,1137.95,-6434.25,448.476,1089.76,-278.619
28,-0.218851,-3387.09,6.93133,-0.292518,302.425,3.89707,21,-4201.5,814.414,646.321,1137.97,-6434.28,448.489,1093.06,-278.646
29,-0.205547,-3382.45,11.5716,-0.279221,432.789,8.78487,97,-4207.25,824.803,650.233,1132.51,-6435.95,445.958,1105.96,-281.155
30,-0.192438,-3375.5,18.5214,-0.265925,620.334,15.7862,77,-4210.42,834.922,652.905,1129.35,-6436.99,444.322,1117.67,-282.744
31,-0.179246,-3365.41,28.6036,-0.252629,912.085,25.9739,21,-4210.37,844.954,652.893,1129.38,-6436.99,444.345,1127.69,-282.738
32,-0.165949,-3352.61,41.4078,-0.239333,1136.99,39.5964,87,-4218.26,865.654,661.56,1120.81,-6440.02,439.385,1153.11,-287.46
33,-0.152929,-3335.45,58.5676,-0.226036,1456.52,56.8384,89,-4222.17,886.718,667.946,1115.88,-6442.02,436.026,1177.35,-290.633
34,-0.139795,-3315.39,78.6256,-0.21274,1997.27,79.7997,21,-4222.17,906.777,667.946,1115.88,-6442.02,436.026,1197.41,-290.634
35,-0.126499,-3291,103.02,-0.199444,2121.75,107.184,85,-4226.97,935.969,684.679,1107.34,-6446.75,427.769,1234.24,-298.273
36,-0.113508,-3260.16,133.853,-0.186148,2407.24,137.293,96,-4226.08,965.916,694.841,1105.29,-6449.3,423.09,1268.41,-302.496
37,-0.100325,-3223.6,170.421,-0.172851,3109.04,173.966,21,-4226.19,1002.59,694.83,1105.16,-6449.28,423.109,1305.11,-302.52
38,-0.0870289,-3189.28,204.734,-0.159555,2824.55,213.413,79,-4213.26,1023.97,716.586,1111.16,-6454.28,413.277,1335.05,-311.071
39,-0.0738001,-3151.34,242.674,-0.146259,2869.64,251.269,96,-4200.2,1048.86,726.445,1121.33,-6456.52,408.547,1364.02,-315.162
40,-0.0604169,-3110.16,283.854,-0.132963,3304.05,292.312,21,-4200.24,1090.07,726.449,1121.3,-6456.53,408.553,1405.23,-315.159
41,-0.0471197,-3075.21,318.805,-0.119666,2565.56,331.334,114,-4162.31,1087.09,740.247,1157.13,-6459.91,400.224,1409.2,-322.101
42,-0.0334281,-3040.3,353.72,-0.10637,2641.03,365.948,21,-4162.29,1121.99,740.254,1157.13,-6459.9,400.226,1444.09,-322.101
43,-0.020132,-3005.59,388.423,-0.0930738,2548.55,400.449,21,-4162.22,1156.62,740.284,1157.12,-6459.86,400.232,1478.73,-322.102
44,-0.00683616,-2976.09,417.931,-0.0797776,2244.8,432.316,21,-4162.12,1186.03,740.33,1157.11,-6459.8,400.241,1508.13,-322.103
45,0.0064595,-2981.05,412.965,-0.0664813,830.966,452.764,131,-4073.52,1092.47,737.865,1260.13,-6463.02,391.512,1421.79,-329.32
46,0.0210889,-2972.48,421.537,-0.053185,392.769,460.9,21,-4073.5,1101.02,737.872,1260.17,-6463.05,391.502,1430.37,-329.348
47,0.0343827,-2973.17,420.847,-0.0398888,-207.534,462.131,167,-4045.04,1071.87,726.717,1300.08,-6463.53,391.701,1402.36,-330.494
48,0.0483543,-2978.42,415.601,-0.0265925,-637.578,456.513,21,-4045.04,1066.62,726.718,1300.08,-6463.53,391.701,1397.12,-330.494
49,0.0616505,-2989.43,404.582,-0.0132963,-1006.73,445.581,21,-4045.04,1055.61,726.719,1300.07,-6463.53,391.702,1386.1,-330.494
50,0.074947,-3007.75,386.263,0,-1304.84,430.213,21,-4045.05,1037.3,726.724,1300.04,-6463.52,391.705,1367.79,-330.491
51,0.0882443,-3024.97,369.044,0.0132963,-1485.95,411.66,21,-4045.06,1020.09,726.732,1300,-6463.51,391.71,1350.58,-330.488
52,0.101542,-3060.34,333.681,0.0265925,-2161.91,387.409,90,-4056.72,996.388,695.593,1307.63,-6463.05,403.104,1323.95,-327.561
53,0.115919,-3090.81,303.205,0.0398888,-2357.49,357.363,120,-4070.55,979.736,690.381,1294.66,-6462.42,406.831,1305.31,-325.571
54,0.129291,-3120.68,273.336,0.053185,-2144.82,327.431,21,-4070.41,949.731,690.568,1294.56,-6462.38,406.844,1275.31,-325.578
55,0.142591,-3147.41,246.611,0.0664813,-1868.34,300.751,21,-4070.25,922.842,690.781,1294.45,-6462.34,406.858,1248.43,-325.584
56,0.155892,-3167.56,226.453,0.0797776,-1585.83,277.787,21,-4070.08,902.518,690.987,1294.36,-6462.3,406.873,1228.11,-325.591
57,0.169192,-3186.65,207.364,0.0930738,-1288.25,258.68,21,-4069.93,883.273,691.175,1294.27,-6462.26,406.886,1208.87,-325.596
58,0.182492,-3251.64,142.382,0.10637,-2269.99,235.024,167,-4151.24,899.606,668.169,1205.93,-6453.87,428.521,1206.18,-306.578
59,0.195361,-3278.04,115.981,0.119666,-1720.46,208.495,21,-4151.26,873.225,668.217,1205.83,-6453.86,428.549,1179.81,-306.589
60,0.20866,-3308.78,85.2353,0.132963,-1799.14,185.097,175,-4174.29,865.509,659.981,1177.5,-6448.13,436.359,1162.5,-296.991
61,0.22146,-3329.52,64.495,0.146259,-1299.82,164.494,21,-4174.29,844.768,659.981,1177.5,-6448.13,436.359,1141.76,-296.991
62,0.234756,-3344.14,49.8813,0.159555,-916.213,149.762,21,-4174.29,830.155,659.981,1177.5,-6448.13,436.359,1127.15,-296.991
63,0.248052,-3362.68,31.3386,0.172851,-918.775,137.563,110,-4191.75,829.072,651.273,1152.92,-6440.23,444.28,1114.85,-285.777
64,0.260555,-3372.76,21.2522,0.186148,-614.91,127.366,21,-4191.76,818.996,651.354,1152.87,-6440.25,444.267,1104.77,-285.776
65,0.273851,-3379.41,14.6099,0.199444,-396.475,120.643,21,-4191.78,812.368,651.487,1152.79,-6440.3,444.246,1098.14,-285.774
66,0.287147,-3386.47,7.54224,0.21274,-260.947,116.272,21,-4191.79,805.314,651.626,1152.7,-6440.34,444.225,1091.08,-285.77
67,0.300443,-3389.18,4.83441,0.226036,-152.837,113.521,21,-4191.8,802.618,651.762,1152.61,-6440.38,444.205,1088.38,-285.766
68,0.313739,-3391.1,2.91559,0.239333,-129.15,111.646,86,-4198.79,807.687,646.736,1140.59,-6434.71,448.598,1086.49,-278.803
69,0.326361,-3392.44,1.57546,0.252629,-65.5347,110.352,99,-4199.18,806.734,646.58,1139.82,-6434.41,448.83,1085.17,-278.431
70,0.339606,-3393.1,0.912641,0.265925,-21.6454,109.773,91,-4199.44,806.338,646.51,1139.29,-6434.23,448.988,1084.54,-278.205
71,0.352866,-3393.2,0.82062,0.279221,7.20281,109.677,108,-4199.61,806.413,646.486,1138.92,-6434.12,449.103,1084.48,-278.064
72,0.366138,-3392.89,1.13046,0.292518,25.0835,109.891,70,-4199.7,806.81,646.535,1138.65,-6434.06,449.179,1084.81,-278.001
73,0.379419,-3392.48,1.53349,0.305814,35.6137,110.295,114,-4199.76,807.274,646.532,1138.48,-6434.02,449.251,1085.23,-277.952
74,0.392705,-3390.09,3.93044,0.31911,27.3539,110.713,100,-4199.69,809.601,646.689,1138.31,-6433.98,449.297,1087.56,-277.962
75,0.406009,-3388.95,5.06302,0.332406,24.0215,111.055,23,-4199.63,810.674,646.783,1138.25,-6433.98,449.321,1088.64,-277.962
76,0.419305,-3388.63,5.38587,0.345703,24.4342,111.377,99,-4199.71,811.079,646.689,1138.23,-6433.98,449.344,1089.06,-277.976
77,0.432602,-3391.25,2.77014,0.358999,3.81953,111.565,82,-4199.83,808.583,646.552,1138.26,-6434,449.357,1086.57,-277.988
78,0.445897,-3391.21,2.80679,0.372295,1.77972,111.602,98,-4199.86,808.646,646.458,1138.28,-6433.97,449.373,1086.63,-277.985
79,0.459195,-3391.2,2.8216,0.385592,0.66167,111.618,100,-4199.88,808.685,646.383,1138.31,-6433.94,449.373,1086.69,-278.001
80,0.472494,-3391.19,2.83127,0.398888,1.08631,111.63,100,-4199.92,808.73,646.252,1138.36,-6433.91,449.377,1086.73,-277.998
81,0.485792,-3391.16,2.8589,0.412184,3.39738,111.66,100,-4199.92,808.763,646.176,1138.4,-6433.86,449.368,1086.78,-278.014
82,0.499091,-3393.83,0.182945,0.42548,-11.6447,111.605,95,-4200,806.17,645.969,1138.48,-6433.83,449.369,1084.19,-278.015
83,0.512389,-3393.89,0.12669,0.438777,-7.20651,111.48,95,-4200,806.106,645.896,1138.52,-6433.77,449.356,1084.13,-278.023
84,0.525686,-3393.95,0.0675505,0.452073,-1.52795,111.422,111,-4199.98,806.03,645.801,1138.58,-6433.71,449.351,1084.05,-278.024
85,0.538983,-3393.36,0.653088,0.465369,-0.271574,111.41,85,-4199.9,806.541,645.742,1138.69,-6433.67,449.338,1084.59,-278.046
86,0.552283,-3391.62,2.39599,0.478665,-5.80254,111.369,81,-4199.77,808.149,645.748,1138.75,-6433.6,449.326,1086.2,-278.054
87,0.565589,-3389.85,4.16524,0.491962,-8.87571,111.272,120,-4199.63,809.78,645.936,1138.66,-6433.53,449.293,1087.86,-278.081
88,0.578887,-3389.85,4.16549,0.505258,-1.94508,111.2,110,-4199.59,809.74,645.89,1138.69,-6433.46,449.292,1087.82,-278.075
89,0.592181,-3389.77,4.24876,0.518554,3.56642,111.21,31,-4199.54,809.767,645.867,1138.71,-6433.4,449.293,1087.84,-278.068
90,0.605477,-3389.69,4.32526,0.53185,7.65992,111.285,27,-4199.47,809.774,645.748,1138.76,-6433.34,449.365,1087.79,-278.016
91,0.618775,-3389.5,4.51796,0.545147,10.4604,111.406,24,-4199.33,809.826,645.854,1138.68,-6433.25,449.39,1087.8,-277.979
92,0.632074,-3389.35,4.67093,0.558443,12.412,111.558,27,-4199.15,809.805,645.872,1138.77,-6433.17,449.372,1087.75,-277.949
93,0.645371,-3389.46,4.55982,0.571739,-23.3316,111.485,38,-4199.39,809.928,645.886,1138.81,-6433.3,449.213,1088,-278.07
94,0.658675,-3389.76,4.26156,0.585035,-21.5052,111.187,33,-4199.34,809.586,645.9,1138.85,-6433.3,449.207,1087.67,-278.087
95,0.671969,-3390.03,3.99171,0.598332,-18.9788,110.918,25,-4199.39,809.368,645.871,1138.88,-6433.33,449.186,1087.46,-278.09
96,0.685269,-3390.47,3.54936,0.611628,-15.3307,110.69,33,-4199.47,809.005,645.758,1139,-6433.38,449.148,1087.08,-278.075
97,0.698572,-3390.7,3.31509,0.624924,-10.3152,110.519,62,-4199.59,808.892,645.709,1139.05,-6433.48,449.131,1086.96,-278.068
98,0.711867,-3393.58,0.436574,0.63822,-22.7402,110.299,40,-4199.61,806.031,645.66,1139.12,-6433.47,449.069,1084.11,-278.074
99,0.725178,-3393.83,0.182846,0.651517,-16.5276,110.038,40,-4199.6,805.761,645.858,1139.04,-6433.52,449.027,1083.88,-278.115
100,0.738484,-3394.02,8.71477e-005,0.664813,-9.52941,109.865,56,-4199.66,805.639,645.633,1139.26,-6433.55,449.007,1083.71,-278.069
