step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.590904,-3393.75,0,-0.664813,-9.46335,0,100,-4199.37,805.618,646.219,1138.91,-6433.47,448.969,1083.69,-278.069
1,-0.577849,-3394.17,-0.420311,-0.651517,-2.14608,-0.077181,100,-4199.66,805.497,645.639,1139.31,-6433.59,448.975,1083.56,-278.067
2,-0.564547,-3394.22,-0.470809,-0.63822,5.08975,-0.0576111,100,-4199.68,805.464,645.733,1139.3,-6433.63,448.914,1083.54,-278.072
3,-0.551252,-3394.1,-0.358866,-0.624924,11.656,0.0537171,100,-4199.66,805.551,645.691,1139.39,-6433.66,448.917,1083.61,-278.062
4,-0.537947,-3391.29,2.45336,-0.611628,-1.18649,0.12332,100,-4199.55,808.258,645.797,1139.41,-6433.67,448.908,1086.3,-278.045
5,-0.524637,-3391.27,2.47769,-0.598332,4.62966,0.146211,100,-4199.57,808.299,645.806,1139.45,-6433.7,448.879,1086.35,-278.052
6,-0.511343,-3391.17,2.57053,-0.585035,9.1249,0.237653,100,-4199.56,808.385,645.833,1139.47,-6433.72,448.858,1086.43,-278.05
7,-0.498044,-3391.03,2.71524,-0.571739,12.4751,0.381252,100,-4199.54,808.509,645.847,1139.5,-6433.73,448.846,1086.56,-278.047
8,-0.484746,-3393.06,0.688961,-0.558443,-0.331752,0.461982,100,-4199.58,806.52,645.856,1139.5,-6433.72,448.787,1084.54,-278.02
9,-0.471443,-3393.11,0.635357,-0.545147,-7.30563,0.411208,100,-4199.59,806.481,645.84,1139.53,-6433.72,448.763,1084.5,-278.018
10,-0.458141,-3392.18,1.56977,-0.53185,-29.4922,0.166572,100,-4199.46,807.287,645.838,1139.62,-6433.71,448.795,1085.27,-277.98
11,-0.444836,-3393.94,-0.195248,-0.518554,-37.996,-0.282098,100,-4199.33,805.39,645.716,1139.74,-6433.67,448.875,1083.28,-277.887
12,-0.431536,-3394.44,-0.691083,-0.505258,-36.4309,-0.776898,100,-4199.34,804.908,645.671,1139.79,-6433.68,448.872,1082.79,-277.88
13,-0.418238,-3394.9,-1.15957,-0.491962,-33.8547,-1.24417,100,-4199.36,804.459,645.571,1139.87,-6433.69,448.888,1082.32,-277.86
14,-0.404939,-3395.33,-1.58642,-0.478665,-30.1619,-1.66976,100,-4199.34,804.01,645.523,1139.91,-6433.68,448.909,1081.84,-277.835
15,-0.391645,-3395.7,-1.95707,-0.465369,-25.423,-2.03929,100,-4199.34,803.639,645.42,1139.99,-6433.69,448.94,1081.46,-277.816
16,-0.378348,-3397.55,-3.80548,-0.452073,-29.7683,-2.40621,100,-4199.41,801.858,645.382,1139.95,-6433.71,448.974,1079.65,-277.793
17,-0.365042,-3397.91,-4.16498,-0.438777,-24.217,-2.76511,100,-4199.42,801.505,645.292,1140.01,-6433.72,448.999,1079.28,-277.776
18,-0.351745,-3398.19,-4.44718,-0.42548,-18.1553,-3.04681,100,-4199.38,801.191,645.242,1140.05,-6433.71,449.038,1078.95,-277.756
19,-0.338447,-3398.39,-4.64546,-0.412184,-11.5691,-3.24442,100,-4199.38,800.987,645.183,1140.08,-6433.71,449.071,1078.73,-277.744
20,-0.32515,-3395.86,-2.11749,-0.398888,-22.5738,-3.47141,100,-4199.33,803.466,645.206,1140.03,-6433.68,449.113,1081.21,-277.74
