step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.590904,-3393.75,0,-0.664813,-9.46439,100,-4199.37,805.62,646.232,1138.91,-6433.48,448.963,1083.69,-278.066
1,-0.577981,-3394.17,-0.413349,-0.651648,-2.21907,100,-4199.66,805.497,645.639,1139.31,-6433.59,448.975,1083.57,-278.068
2,-0.56481,-3394.21,-0.457594,-0.638484,4.9554,100,-4199.67,805.461,645.732,1139.3,-6433.63,448.924,1083.53,-278.071
3,-0.551648,-3394.11,-0.356757,-0.625319,11.4741,100,-4199.65,805.542,645.683,1139.4,-6433.65,448.919,1083.6,-278.06
4,-0.538474,-3391.29,2.46076,-0.612155,-1.44078,100,-4199.65,808.361,645.751,1139.38,-6433.69,448.903,1086.42,-278.062
5,-0.525306,-3391.27,2.48134,-0.59899,4.37343,100,-4199.57,808.295,645.803,1139.45,-6433.7,448.88,1086.35,-278.053
6,-0.512133,-3391.18,2.57009,-0.585825,8.89125,100,-4199.55,808.371,645.831,1139.48,-6433.72,448.853,1086.42,-278.049
7,-0.498968,-3391.04,2.71044,-0.572661,12.2734,100,-4199.54,808.499,645.844,1139.5,-6433.73,448.845,1086.54,-278.045
8,-0.4858,-3391.69,2.06354,-0.559496,9.09088,100,-4199.58,807.888,645.819,1139.53,-6433.75,448.82,1085.92,-278.036
9,-0.472631,-3393.38,0.374624,-0.546331,-5.46065,100,-4199.59,806.214,645.851,1139.53,-6433.73,448.757,1084.23,-278.019
10,-0.459459,-3392.14,1.61532,-0.533167,-29.6299,100,-4199.46,807.32,645.836,1139.62,-6433.71,448.802,1085.29,-277.975
11,-0.446284,-3392.79,0.959976,-0.520002,-30.062,100,-4199.45,806.661,645.753,1139.69,-6433.72,448.817,1084.62,-277.955
12,-0.433118,-3394.38,-0.626715,-0.506838,-36.6683,100,-4199.37,804.988,645.656,1139.79,-6433.68,448.873,1082.87,-277.88
13,-0.41995,-3394.85,-1.09468,-0.493673,-34.2477,100,-4199.36,804.51,645.589,1139.85,-6433.69,448.89,1082.37,-277.86
14,-0.406785,-3395.28,-1.52367,-0.480508,-30.7411,100,-4199.35,804.076,645.512,1139.92,-6433.69,448.908,1081.92,-277.842
