step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.590904,-3382.14,0,-0.664813,-9.57434,0,10,-4200.73,818.512,638.926,1143.81,-6433.7,450.241,1086.09,-267.575
1,-0.589717,-3384.08,-1.94623,-0.663483,-8.65151,-0.0121168,10,-4200.35,815.836,636.264,1145.07,-6433.05,451.37,1084.47,-268.632
2,-0.5886,-3388.34,-6.20144,-0.662154,-7.75915,-0.0230268,10,-4198.08,809.879,638.065,1146.04,-6432.97,450.793,1083.27,-273.388
3,-0.586971,-3392.47,-10.3302,-0.660824,-7.10548,-0.032909,10,-4203.28,811.017,642.157,1140.54,-6434.88,448.904,1089.45,-278.432
4,-0.586001,-3393.97,-11.8311,-0.659494,-6.59161,-0.042015,10,-4198.32,804.289,646.561,1139.44,-6433.24,448.923,1082.57,-278.278
5,-0.584524,-3393.97,-11.8274,-0.658165,-5.8695,-0.0502993,10,-4199.68,805.715,645.864,1139.1,-6433.62,448.973,1084.11,-278.391
6,-0.583166,-3394.07,-11.93,-0.656835,-5.11655,-0.057603,10,-4199.41,805.338,646.736,1138.66,-6433.57,448.765,1083.69,-278.356
7,-0.581841,-3394.02,-11.8841,-0.655506,-4.37743,-0.0639147,10,-4199.26,805.309,646.391,1138.95,-6433.5,448.896,1083.36,-278.053
8,-0.580507,-3393.88,-11.741,-0.654176,-3.56562,-0.0691953,10,-4199.24,805.364,646.413,1138.89,-6433.46,448.915,1083.44,-278.076
9,-0.579177,-3394.06,-11.9205,-0.652846,-2.95419,-0.0735298,10,-4199.59,805.528,646.067,1139.02,-6433.56,448.888,1083.58,-278.054
10,-0.577845,-3394.27,-12.1282,-0.651517,-2.12498,-0.0769065,10,-4199.57,805.301,646.004,1139.12,-6433.59,448.895,1083.44,-278.135
11,-0.576512,-3394.21,-12.0704,-0.650187,-1.4119,-0.0792579,10,-4199.63,805.424,645.732,1139.24,-6433.59,448.988,1083.55,-278.128
12,-0.575186,-3394.13,-11.9946,-0.648857,-0.675818,-0.0806458,10,-4199.64,805.51,645.821,1139.16,-6433.57,448.937,1083.66,-278.152
13,-0.573851,-3394.24,-12.1008,-0.647528,0.071259,-0.0810477,10,-4199.8,805.561,645.601,1139.31,-6433.64,448.933,1083.67,-278.11
14,-0.572527,-3394.17,-12.0308,-0.646198,0.791338,-0.0804743,10,-4199.63,805.466,645.668,1139.31,-6433.59,448.983,1083.53,-278.061
15,-0.571191,-3394.17,-12.0293,-0.644869,1.51874,-0.0789385,10,-4199.67,805.505,645.649,1139.33,-6433.61,448.957,1083.57,-278.064
16,-0.569863,-3394.16,-12.0269,-0.643539,2.24041,-0.0764394,10,-4199.66,805.496,645.671,1139.33,-6433.61,448.947,1083.56,-278.067
17,-0.568534,-3394.16,-12.0234,-0.642209,2.95399,-0.0729861,10,-4199.65,805.485,645.66,1139.36,-6433.62,448.948,1083.55,-278.065
18,-0.567203,-3394.23,-12.0897,-0.64088,3.66788,-0.0685838,10,-4199.68,805.449,645.646,1139.35,-6433.62,448.95,1083.51,-278.064
19,-0.565873,-3394.22,-12.0844,-0.63955,4.37338,-0.0632378,10,-4199.67,805.449,645.653,1139.36,-6433.63,448.946,1083.51,-278.064
20,-0.564544,-3394.22,-12.0781,-0.63822,5.07442,-0.0569568,10,-4199.67,805.454,645.651,1139.36,-6433.63,448.944,1083.52,-278.062
21,-0.563214,-3394.21,-12.0709,-0.636891,5.76813,-0.0497485,10,-4199.65,805.443,645.667,1139.37,-6433.63,448.939,1083.51,-278.062
22,-0.561883,-3394.2,-12.0627,-0.635561,6.4552,-0.0416223,10,-4199.66,805.46,645.661,1139.37,-6433.63,448.94,1083.52,-278.062
23,-0.560553,-3394.19,-12.0537,-0.634232,7.13394,-0.0325881,10,-4199.65,805.459,645.67,1139.37,-6433.63,448.94,1083.52,-278.06
24,-0.559222,-3394.18,-12.0438,-0.632902,7.80704,-0.0226551,10,-4199.66,805.476,645.664,1139.39,-6433.64,448.933,1083.54,-278.062
25,-0.557893,-3394.17,-12.0329,-0.631572,8.47078,-0.0118334,10,-4199.65,805.482,645.669,1139.4,-6433.65,448.929,1083.54,-278.063
26,-0.556564,-3394.16,-12.0212,-0.630243,9.12367,-0.000136385,10,-4199.67,805.507,645.662,1139.4,-6433.65,448.925,1083.57,-278.063
27,-0.555234,-3394.15,-12.0087,-0.628913,9.77528,0.0124279,10,-4199.65,805.506,645.678,1139.39,-6433.65,448.926,1083.57,-278.061
28,-0.553904,-3394.13,-11.9952,-0.627583,10.4105,0.0258477,10,-4199.64,805.505,645.686,1139.39,-6433.64,448.926,1083.56,-278.058
29,-0.552574,-3394.12,-11.981,-0.626254,11.0343,0.0401045,10,-4199.64,805.518,645.7,1139.4,-6433.65,448.917,1083.58,-278.058
30,-0.551244,-3394.1,-11.9659,-0.624924,11.6506,0.0551857,10,-4199.65,805.546,645.693,1139.4,-6433.66,448.918,1083.6,-278.057
31,-0.549914,-3394.09,-11.95,-0.623595,12.2591,0.0710811,10,-4199.67,805.582,645.653,1139.43,-6433.66,448.913,1083.64,-278.057
32,-0.548584,-3394.07,-11.9333,-0.622265,12.8536,0.0877764,10,-4199.66,805.591,645.674,1139.42,-6433.67,448.911,1083.65,-278.057
33,-0.547254,-3394.05,-11.9158,-0.620935,13.4387,0.105256,10,-4199.65,805.598,645.683,1139.42,-6433.67,448.912,1083.66,-278.059
34,-0.545924,-3393.76,-11.6245,-0.619606,12.1124,0.122243,10,-4199.64,805.874,645.675,1139.45,-6433.67,448.907,1083.93,-278.06
35,-0.544594,-3392.65,-10.513,-0.618276,5.03891,0.133645,10,-4199.62,806.964,645.694,1139.46,-6433.67,448.901,1085.02,-278.06
36,-0.543263,-3391.28,-9.14041,-0.616946,-3.88113,0.134415,10,-4199.61,808.33,645.743,1139.41,-6433.67,448.915,1086.39,-278.061
37,-0.541929,-3391.28,-9.14512,-0.615617,-3.18942,0.129714,10,-4199.59,808.307,645.77,1139.41,-6433.67,448.906,1086.37,-278.059
38,-0.540598,-3391.29,-9.1489,-0.614287,-2.51072,0.125925,10,-4199.59,808.301,645.755,1139.43,-6433.68,448.907,1086.36,-278.056
39,-0.539268,-3391.29,-9.15179,-0.612958,-1.84514,0.123029,10,-4199.58,808.287,645.782,1139.42,-6433.68,448.898,1086.34,-278.058
40,-0.537938,-3391.29,-9.1538,-0.611628,-1.18764,0.121013,10,-4199.58,808.29,645.783,1139.42,-6433.68,448.899,1086.35,-278.057
41,-0.536608,-3391.29,-9.15495,-0.610298,-0.546379,0.11986,10,-4199.58,808.285,645.786,1139.42,-6433.68,448.893,1086.34,-278.055
42,-0.535278,-3391.29,-9.15525,-0.608969,0.0799588,0.11955,10,-4199.57,808.274,645.795,1139.42,-6433.68,448.898,1086.33,-278.053
43,-0.533948,-3391.29,-9.15472,-0.607639,0.69681,0.120066,10,-4199.59,808.296,645.775,1139.43,-6433.69,448.89,1086.35,-278.054
44,-0.532619,-3391.28,-9.1455,-0.606309,1.29587,0.121391,10,-4199.57,808.29,645.786,1139.44,-6433.69,448.892,1086.34,-278.053
45,-0.531288,-3391.28,-9.14339,-0.60498,1.89027,0.123509,10,-4199.57,808.29,645.792,1139.44,-6433.69,448.89,1086.34,-278.053
46,-0.529958,-3391.29,-9.14837,-0.60365,2.46267,0.126403,10,-4199.57,808.284,645.807,1139.44,-6433.69,448.879,1086.34,-278.056
47,-0.528629,-3391.28,-9.14472,-0.602321,3.02279,0.13005,10,-4199.58,808.293,645.785,1139.45,-6433.69,448.882,1086.35,-278.054
48,-0.527299,-3391.28,-9.14033,-0.600991,3.57276,0.134435,10,-4199.56,808.283,645.799,1139.45,-6433.69,448.885,1086.34,-278.053
