step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.738722,-3382.05,0,0.664813,9.57559,10,-4200.73,818.516,638.923,1143.81,-6433.7,450.24,1086.09,-267.575
1,0.725415,-3384.05,-1.99984,0.651648,16.3681,10,-4200.17,815.77,636.465,1145.1,-6433.03,451.292,1084.44,-268.67
2,0.712021,-3386.92,-4.87255,0.638484,15.0599,10,-4197.72,811.074,638.133,1146.22,-6432.91,450.834,1084.43,-273.358
3,0.699153,-3389.1,-7.05714,0.625319,10.2068,10,-4202.5,813.542,642.669,1140.63,-6434.72,448.929,1091.95,-278.41
4,0.685613,-3390.39,-8.33993,0.612155,15.1201,10,-4198.16,807.786,646.674,1139.27,-6433.16,449.044,1086.11,-278.323
5,0.672592,-3390.22,-8.17192,0.59899,18.8638,10,-4199.44,809.227,646.032,1138.81,-6433.43,449.14,1087.63,-278.4
6,0.659467,-3389.76,-7.71778,0.585825,21.3751,10,-4199.01,809.244,647.068,1138.29,-6433.3,448.933,1087.62,-278.374
7,0.646287,-3389.35,-7.30084,0.572661,23.2078,10,-4198.86,809.518,646.701,1138.62,-6433.28,449.094,1087.59,-278.067
8,0.633125,-3388.84,-6.7911,0.559496,-12.5495,10,-4198.71,809.804,646.617,1138.62,-6433.2,449.243,1087.86,-278.058
9,0.619941,-3389.31,-7.26272,0.546331,-10.6453,10,-4199.18,809.872,646.484,1138.53,-6433.33,449.141,1087.95,-278.078
10,0.606795,-3389.64,-7.59214,0.533167,-7.9585,10,-4199.15,809.516,646.428,1138.52,-6433.32,449.223,1087.66,-278.148
11,0.593624,-3389.87,-7.82527,0.520002,-4.10237,10,-4199.41,809.537,646.113,1138.6,-6433.39,449.27,1087.7,-278.162
12,0.58046,-3390.03,-7.98093,0.506838,1.17421,10,-4199.56,809.609,646.07,1138.63,-6433.5,449.235,1087.79,-278.182
13,0.567304,-3389.97,-7.92445,0.493673,7.85866,10,-4199.51,809.544,646.224,1138.52,-6433.48,449.225,1087.69,-278.142
14,0.554129,-3391.56,-9.51087,0.480508,4.64034,10,-4199.98,808.42,645.476,1138.89,-6433.68,449.332,1086.52,-278.1
15,0.540961,-3392.99,-10.9439,0.467344,2.54188,10,-4199.94,806.946,645.728,1138.82,-6433.77,449.286,1085.04,-278.096
16,0.527798,-3393.88,-11.8337,0.454179,0.526229,10,-4199.82,805.943,645.885,1138.51,-6433.65,449.442,1083.93,-277.984
