step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.707313,-5131.14,0,0.636768,-4.3632,-0.0705454,-5425.76,294.613,90.6569,304.854,-6566.64,745.37,332.808,-38.1951,0,0
1,0.694578,-5130.54,0.60205,0.624033,-5.59235,-0.0705454,-5425.8,295.255,90.6409,304.807,-6566.64,745.396,333.454,-38.1988,0,0
2,0.681843,-5130.32,0.827826,0.611297,-4.65183,-0.0705454,-5425.8,295.481,90.6409,304.807,-6566.64,745.397,333.68,-38.1988,0,0
3,0.669107,-5130.36,0.787245,0.598562,-1.76547,-0.0705454,-5425.8,295.44,90.6409,304.806,-6566.64,745.397,333.639,-38.1986,0,0
4,0.656372,-5130.36,0.78164,0.585827,0.835741,-0.0705454,-5425.8,295.434,90.6411,304.806,-6566.64,745.398,333.633,-38.1985,0,0
5,0.643637,-5130.34,0.807265,0.573091,3.14084,-0.0705454,-5425.8,295.459,90.6413,304.805,-6566.64,745.399,333.658,-38.1983,0,0
6,0.630901,-5129.43,1.71592,0.560356,-0.74538,-0.0705454,-5425.8,296.368,90.6416,304.805,-6566.64,745.4,334.566,-38.1981,0,0
7,0.618166,-5128.84,2.2988,0.54762,-2.60975,-0.0705454,-5425.8,296.95,90.6419,304.804,-6566.64,745.402,335.148,-38.1979,0,0
8,0.605431,-5128.86,2.28163,0.534885,-0.0993584,-0.0705454,-5425.79,296.933,90.642,304.804,-6566.64,745.403,335.13,-38.1978,0,0
9,0.592695,-5128.85,2.29616,0.52215,2.3873,-0.0705454,-5425.79,296.947,90.6422,304.804,-6566.64,745.403,335.144,-38.1976,0,0
10,0.57996,-5129.42,1.72192,0.509414,0.519417,-0.0705454,-5425.76,296.34,90.6771,304.813,-6566.63,745.379,334.536,-38.1957,0,0
11,0.567224,-5130.17,0.975528,0.496679,-2.37094,-0.0705454,-5425.76,295.594,90.6772,304.814,-6566.63,745.379,333.79,-38.1957,0,0
