step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.566223,-5131.14,0,-0.636768,4.36321,-0.0705454,-5425.76,294.613,90.6569,304.854,-6566.64,745.37,332.808,-38.1951,0,0
1,-0.553487,-5130.77,0.374382,-0.624033,-3.02275,-0.0705454,-5425.79,295.023,90.6254,304.838,-6566.64,745.38,333.229,-38.2061,0,0
2,-0.540752,-5130.21,0.930474,-0.611297,-4.30482,-0.0705454,-5425.79,295.579,90.6238,304.842,-6566.64,745.379,333.785,-38.2059,0,0
3,-0.528017,-5130.25,0.894987,-0.598562,-1.26738,-0.0705454,-5425.79,295.54,90.6485,304.816,-6566.63,745.378,333.749,-38.2087,0,0
4,-0.515281,-5130.25,0.896981,-0.585827,1.5069,-0.0705454,-5425.79,295.542,90.6481,304.816,-6566.63,745.377,333.751,-38.2087,0,0
5,-0.502546,-5130.21,0.932028,-0.573091,3.97763,-0.0705454,-5425.78,295.569,90.6698,304.792,-6566.62,745.38,333.779,-38.2094,0,0
6,-0.48981,-5130,1.14327,-0.560356,5.15954,-0.0705454,-5425.78,295.781,90.6697,304.792,-6566.62,745.38,333.99,-38.2094,0,0
7,-0.477075,-5129.24,1.90676,-0.54762,2.12902,-0.0705454,-5425.78,296.545,90.6673,304.796,-6566.62,745.378,334.754,-38.2094,0,0
8,-0.46434,-5128.69,2.44963,-0.534885,-0.270869,-0.0705454,-5425.78,297.088,90.6658,304.799,-6566.62,745.377,335.298,-38.2094,0,0
9,-0.451604,-5128.68,2.46155,-0.52215,2.13409,-0.0705454,-5425.78,297.101,90.6645,304.801,-6566.62,745.377,335.31,-38.2094,0,0
10,-0.438869,-5129.26,1.88861,-0.509414,0.0979134,-0.0705454,-5425.78,296.528,90.6627,304.803,-6566.63,745.376,334.738,-38.2094,0,0
11,-0.426134,-5129.85,1.29,-0.496679,-2.04517,-0.0705454,-5425.78,295.93,90.6601,304.807,-6566.63,745.375,334.14,-38.2095,0,0
12,-0.413398,-5130.43,0.718,-0.483944,-3.51906,-0.0705454,-5425.76,295.338,90.7079,304.711,-6566.51,745.327,333.57,-38.2323,0,0
13,-0.400663,-5130.93,0.217731,-0.471208,-5.36835,-0.0705454,-5425.78,294.852,90.6912,304.619,-6566.44,745.352,333.093,-38.241,0,0
14,-0.387928,-5131.15,-0.00180029,-0.458473,-4.91855,-0.0705454,-5425.78,294.633,90.6946,304.575,-6566.41,745.36,332.879,-38.2452,0,0
15,-0.375192,-5131.2,-0.0532931,-0.445738,-3.16717,-0.0705454,-5425.78,294.582,90.6947,304.575,-6566.41,745.36,332.827,-38.2452,0,0
16,-0.362457,-5131.38,-0.233167,-0.433002,-2.3669,-0.0705454,-5425.78,294.401,90.6952,304.574,-6566.41,745.361,332.646,-38.2451,0,0
17,-0.349721,-5131.71,-0.562019,-0.420267,-2.66174,-0.0705454,-5425.78,294.069,90.697,304.574,-6566.41,745.361,332.314,-38.2449,0,0
18,-0.336986,-5131.19,-0.0472666,-0.407532,-9.03705,-0.0705454,-5425.76,294.572,90.7611,304.427,-6566.33,745.374,332.833,-38.2609,0,0
19,-0.324251,-5130.73,0.418041,-0.394796,-11.3067,-0.0705454,-5425.76,295.036,90.7802,304.378,-6566.29,745.375,333.302,-38.2661,0,0
20,-0.311515,-5130.86,0.287414,-0.382061,-9.24066,-0.0705454,-5425.76,294.906,90.7963,304.319,-6566.26,745.384,333.175,-38.2695,0,0
21,-0.29878,-5130.96,0.181836,-0.369325,-7.37161,-0.0705454,-5425.76,294.802,90.8112,304.257,-6566.23,745.393,333.075,-38.2733,0,0
22,-0.286045,-5131.04,0.0989319,-0.35659,-5.67154,-0.0705454,-5425.76,294.715,90.8311,304.194,-6566.19,745.402,332.992,-38.2769,0,0
23,-0.273309,-5130.67,0.4745,-0.343855,-7.11101,-0.0705454,-5425.76,295.091,90.8308,304.195,-6566.19,745.401,333.368,-38.2769,0,0
24,-0.260574,-5130.04,1.10699,-0.331119,-10.3493,-0.0705454,-5425.71,295.677,90.8835,304.082,-6566.1,745.419,333.964,-38.2863,0,0
25,-0.247839,-5129.87,1.26915,-0.318384,-9.92301,-0.0705454,-5425.71,295.838,90.883,304.085,-6566.1,745.418,334.125,-38.2864,0,0
26,-0.235103,-5130.13,1.01185,-0.305649,-8.00975,-0.0705454,-5425.71,295.581,90.8832,304.086,-6566.1,745.417,333.867,-38.2864,0,0
27,-0.222368,-5130.68,0.466539,-0.292913,-7.86013,-0.0705454,-5425.71,295.035,90.9368,303.934,-6566.03,745.444,333.332,-38.2965,0,0
28,-0.209633,-5131.38,-0.236666,-0.280178,-8.11481,-0.0705454,-5425.73,294.346,90.9467,303.92,-6566.03,745.441,332.647,-38.301,0,0
29,-0.196897,-5131.77,-0.622706,-0.267443,-5.26004,-0.0705454,-5425.73,293.96,90.9467,303.92,-6566.03,745.441,332.261,-38.301,0,0
30,-0.184162,-5131.8,-0.651604,-0.254707,0.990503,-0.0705454,-5425.73,293.932,90.947,303.922,-6566.04,745.439,332.233,-38.3011,0,0
31,-0.171426,-5131.73,-0.589985,-0.241972,9.00606,-0.0705454,-5425.73,293.994,90.9474,303.926,-6566.04,745.437,332.295,-38.3011,0,0
32,-0.158691,-5131.56,-0.413515,-0.229236,19.0705,-0.0705454,-5425.73,294.171,90.9479,303.93,-6566.04,745.434,332.472,-38.3011,0,0
33,-0.145956,-5132.02,-0.874285,-0.216501,25.8462,-0.0705454,-5425.73,293.71,90.9478,303.93,-6566.04,745.434,332.011,-38.3012,0,0
34,-0.13322,-5131.94,-0.791364,-0.203766,31.7111,-0.0705454,-5425.73,293.795,90.9506,303.951,-6566.05,745.422,332.097,-38.3014,0,0
35,-0.120485,-5130.72,0.425058,-0.19103,42.7375,-0.0705454,-5425.73,295.012,90.9507,303.952,-6566.05,745.421,333.313,-38.3014,0,0
36,-0.10775,-5129.78,1.36193,-0.178295,58.7145,-0.0705454,-5425.73,295.949,90.9508,303.953,-6566.05,745.421,334.25,-38.3014,0,0
37,-0.0950143,-5128.92,2.22829,-0.16556,77.2753,-0.0705454,-5425.73,296.815,90.9507,303.953,-6566.05,745.421,335.117,-38.3014,0,0
38,-0.0822789,-5128.06,3.08327,-0.152824,85.4926,-0.0705454,-5425.22,297.158,92.0438,309.817,-6570.53,743.45,335.071,-37.9131,0,0
39,-0.0695435,-5126.9,4.24343,-0.140089,95.8896,-0.0705454,-5425.02,298.122,92.2778,311.467,-6571.67,742.901,335.935,-37.8135,0,0
40,-0.0568082,-5124.94,6.20118,-0.127354,95.5398,-0.0705454,-5424.76,299.813,92.522,313.251,-6572.84,742.31,337.524,-37.7102,0,0
41,-0.0440728,-5122.95,8.18967,-0.114618,90.9518,-0.0705454,-5424.76,301.802,92.5222,313.25,-6572.84,742.31,339.512,-37.7102,0,0
42,-0.0313375,-5121.84,9.30212,-0.101883,82.2238,-0.0705454,-5424.76,302.914,92.5222,313.25,-6572.84,742.31,340.624,-37.7102,0,0
43,-0.0186021,-5120.9,10.2459,-0.0891475,64.588,-0.0705454,-5424.76,303.858,92.5223,313.25,-6572.84,742.31,341.568,-37.7102,0,0
44,-0.00586675,-5121.49,9.65216,-0.0764122,30.9012,-0.0705454,-5423.85,302.357,93.0041,318.891,-6576.26,740.518,339.781,-37.4245,0,0
45,0.00686861,-5122.05,9.09324,-0.0636768,-1.99154,-0.0705454,-5423.82,301.767,92.9211,319.245,-6576.41,740.429,339.189,-37.4225,0,0
46,0.019604,-5122.18,8.96094,-0.0509414,-29.9141,-0.0705454,-5423.82,301.635,92.922,319.241,-6576.41,740.43,339.057,-37.4225,0,0
47,0.0323393,-5122.72,8.42048,-0.0382061,-54.0434,-0.0705454,-5423.82,301.094,92.9222,319.24,-6576.41,740.43,338.517,-37.4225,0,0
48,0.0450747,-5123.53,7.61348,-0.0254707,-71.3709,-0.0705454,-5423.82,300.287,92.9227,319.238,-6576.41,740.431,337.71,-37.4225,0,0
49,0.0578101,-5125.12,6.02754,-0.0127354,-84.661,-0.0705454,-5423.82,298.702,92.9233,319.235,-6576.41,740.432,336.124,-37.4225,0,0
50,0.0705454,-5126.83,4.31669,0,-91.6746,-0.0705454,-5423.82,296.991,92.9243,319.231,-6576.41,740.433,334.414,-37.4225,0,0
51,0.0832808,-5127.42,3.72185,0.0127354,-91.3354,-0.0705454,-5423.82,296.397,92.9252,319.227,-6576.41,740.435,333.819,-37.4225,0,0
52,0.0960161,-5127.96,3.18867,0.0254707,-83.4904,-0.0705454,-5423.82,295.864,92.9265,319.221,-6576.4,740.437,333.286,-37.4226,0,0
53,0.108751,-5128.92,2.22035,0.0382061,-68.2579,-0.0705454,-5423.82,294.896,92.9278,319.215,-6576.4,740.439,332.318,-37.4226,0,0
54,0.121487,-5129.69,1.45414,0.0509414,-52.0537,-0.0705454,-5423.82,294.13,92.9291,319.209,-6576.4,740.441,331.553,-37.4226,0,0
55,0.134222,-5130.25,0.891929,0.0636768,-36.4359,-0.0705454,-5423.82,293.568,92.9301,319.205,-6576.4,740.443,330.991,-37.4227,0,0
56,0.146958,-5129.78,1.36156,0.0764122,-28.1857,-0.0705454,-5423.82,294.038,92.9309,319.201,-6576.4,740.444,331.461,-37.4227,0,0
57,0.159693,-5129.49,1.65236,0.0891475,-19.824,-0.0705454,-5423.82,294.329,92.9314,319.199,-6576.4,740.445,331.752,-37.4227,0,0
58,0.172428,-5129.67,1.46964,0.101883,-9.21992,-0.0705454,-5423.82,294.146,92.9321,319.196,-6576.39,740.446,331.569,-37.4227,0,0
59,0.185164,-5129.73,1.40916,0.114618,-0.580884,-0.0705454,-5423.82,294.086,92.9325,319.194,-6576.39,740.446,331.509,-37.4227,0,0
60,0.197899,-5130.31,0.833355,0.127354,1.97026,-0.0705454,-5423.82,293.51,92.933,319.191,-6576.39,740.447,330.933,-37.4227,0,0
61,0.210634,-5131.02,0.125642,0.140089,1.97806,-0.0705454,-5423.82,292.803,92.9335,319.189,-6576.39,740.448,330.225,-37.4227,0,0
62,0.22337,-5131.13,0.0169682,0.152824,4.95276,-0.0705454,-5423.82,292.694,92.9338,319.188,-6576.39,740.449,330.117,-37.4227,0,0
63,0.236105,-5131.04,0.102188,0.16556,8.35407,-0.0705454,-5423.82,292.779,92.934,319.187,-6576.39,740.449,330.202,-37.4228,0,0
64,0.24884,-5131.77,-0.631028,0.178295,11.558,-0.0705454,-5425.81,294.04,90.901,303.986,-6566.19,745.49,332.309,-38.2689,0,0
65,0.261576,-5131.91,-0.762492,0.19103,12.3382,-0.0705454,-5425.8,293.895,90.8787,304.034,-6566.19,745.48,332.16,-38.2645,0,0
66,0.274311,-5132.35,-1.20368,0.203766,10.5707,-0.0705454,-5425.82,293.471,90.8401,304.068,-6566.2,745.476,331.734,-38.263,0,0
67,0.287047,-5132.33,-1.18322,0.216501,4.38125,-0.0705454,-5425.82,293.492,90.7819,304.191,-6566.25,745.461,331.746,-38.2546,0,0
68,0.299782,-5131.83,-0.687769,0.229236,3.35271,-0.0705454,-5425.83,294.003,90.7528,304.235,-6566.28,745.458,332.256,-38.2528,0,0
69,0.312517,-5131.36,-0.216864,0.241972,2.37521,-0.0705454,-5425.81,294.452,90.745,304.332,-6566.33,745.441,332.695,-38.2437,0,0
70,0.325253,-5131.32,-0.17294,0.254707,4.48338,-0.0705454,-5425.81,294.496,90.7424,304.373,-6566.35,745.426,332.736,-38.2397,0,0
71,0.337988,-5131.16,-0.0185502,0.267443,6.35146,-0.0705454,-5425.81,294.65,90.7415,304.419,-6566.38,745.412,332.885,-38.2348,0,0
72,0.350723,-5130.79,0.354437,0.280178,6.10343,-0.0705454,-5425.8,295.014,90.7329,304.44,-6566.38,745.403,333.245,-38.231,0,0
73,0.363459,-5130.42,0.724826,0.292913,5.7283,-0.0705454,-5425.8,295.385,90.7327,304.44,-6566.38,745.403,333.616,-38.231,0,0
74,0.376194,-5130.2,0.945295,0.305649,6.35701,-0.0705454,-5425.79,295.595,90.728,304.493,-6566.4,745.387,333.819,-38.2242,0,0
