step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.707313,-5131.32,0,0.636768,-4.3724,-0.0705454,-5425.77,294.454,90.6387,304.845,-6566.65,745.392,332.655,-38.2015,0,0
1,0.694601,-5130.62,0.6951,0.624033,-5.59975,-0.0705682,-5425.79,295.167,90.6322,304.833,-6566.64,745.388,333.37,-38.2035,0,0
2,0.681868,-5130.4,0.920881,0.611297,-4.65943,-0.0705708,-5425.79,295.393,90.6324,304.833,-6566.64,745.388,333.596,-38.2036,0,0
3,0.669133,-5130.44,0.880207,0.598562,-1.77247,-0.0705707,-5425.79,295.352,90.6329,304.833,-6566.64,745.387,333.556,-38.2036,0,0
4,0.656397,-5130.45,0.874183,0.585827,0.822508,-0.0705707,-5425.79,295.345,90.641,304.823,-6566.64,745.387,333.548,-38.2026,0,0
5,0.643662,-5130.42,0.899815,0.573091,3.1291,-0.0705709,-5425.79,295.37,90.6419,304.823,-6566.64,745.387,333.573,-38.2026,0,0
6,0.630927,-5129.51,1.80846,0.560356,-0.756768,-0.0705709,-5425.79,296.278,90.6434,304.824,-6566.64,745.386,334.481,-38.2027,0,0
7,0.618191,-5128.93,2.39082,0.54762,-2.62596,-0.0705709,-5425.75,296.821,90.691,304.802,-6566.62,745.379,335.021,-38.1997,0,0
8,0.605456,-5128.95,2.37364,0.534885,-0.114101,-0.0705709,-5425.75,296.803,90.6927,304.798,-6566.62,745.38,335.002,-38.1997,0,0
9,0.592721,-5128.93,2.38777,0.52215,2.37062,-0.070571,-5425.75,296.819,90.6922,304.798,-6566.62,745.379,335.019,-38.1999,0,0
10,0.579987,-5129.5,1.81508,0.509414,0.517735,-0.0705727,-5425.75,296.246,90.6923,304.798,-6566.62,745.381,334.446,-38.1998,0,0
11,0.567252,-5130.25,1.06848,0.496679,-2.37322,-0.0705729,-5425.75,295.5,90.6923,304.797,-6566.62,745.381,333.699,-38.1998,0,0
12,0.554517,-5130.43,0.891122,0.483944,-1.20749,-0.0705729,-5425.75,295.322,90.6926,304.796,-6566.62,745.385,333.522,-38.1997,0,0
13,0.541782,-5130.43,0.891072,0.471208,1.24765,-0.0705733,-5425.75,295.322,90.6928,304.795,-6566.63,745.387,333.522,-38.1996,0,0
14,0.529047,-5130.55,0.772297,0.458473,2.84976,-0.0705736,-5425.8,295.258,90.6399,304.829,-6566.64,745.369,333.459,-38.2008,0,0
15,0.516311,-5130.8,0.514926,0.445738,3.48003,-0.070573,-5425.81,295.001,90.6397,304.829,-6566.64,745.369,333.201,-38.2008,0,0
16,0.503575,-5131.37,-0.0518398,0.433002,1.90939,-0.070573,-5425.81,294.436,90.6369,304.834,-6566.64,745.364,332.637,-38.2007,0,0
17,0.49084,-5131.08,0.235687,0.420267,-1.8906,-0.0705732,-5425.81,294.726,90.6337,304.84,-6566.64,745.359,332.927,-38.2006,0,0
18,0.478105,-5130.72,0.597894,0.407532,-4.78713,-0.0705735,-5425.81,295.091,90.6307,304.845,-6566.64,745.354,333.292,-38.2005,0,0
19,0.46537,-5130.49,0.83147,0.394796,-4.09903,-0.0705737,-5425.82,295.327,90.6279,304.851,-6566.64,745.349,333.527,-38.2003,0,0
20,0.452635,-5130.52,0.796443,0.382061,-1.44714,-0.0705739,-5425.82,295.294,90.6253,304.856,-6566.64,745.345,333.494,-38.2003,0,0
21,0.4399,-5130.53,0.792133,0.369325,0.899996,-0.0705741,-5425.81,295.285,90.6693,304.785,-6566.6,745.33,333.495,-38.2107,0,0
