step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.566223,-5131.32,0,-0.636768,4.3724,-0.0705454,-5425.77,294.454,90.6387,304.845,-6566.65,745.392,332.655,-38.2015,0,0
1,-0.553464,-5130.85,0.467321,-0.624033,-3.01677,-0.0705682,-5425.79,294.936,90.6338,304.829,-6566.63,745.381,333.144,-38.2084,0,0
2,-0.540723,-5130.3,1.0232,-0.611297,-4.30082,-0.0705746,-5425.77,295.473,90.6721,304.781,-6566.61,745.387,333.685,-38.2115,0,0
3,-0.527984,-5130.33,0.987921,-0.598562,-1.26035,-0.0705777,-5425.78,295.452,90.6533,304.816,-6566.63,745.377,333.664,-38.2114,0,0
4,-0.515251,-5130.33,0.989822,-0.585827,1.51106,-0.0705755,-5425.78,295.453,90.6568,304.814,-6566.63,745.376,333.665,-38.2125,0,0
5,-0.502516,-5130.29,1.02513,-0.573091,3.98416,-0.0705752,-5425.78,295.484,90.6627,304.811,-6566.63,745.375,333.698,-38.2137,0,0
6,-0.489781,-5130.08,1.23584,-0.560356,5.17234,-0.0705747,-5425.77,295.683,90.6743,304.801,-6566.62,745.375,333.898,-38.2149,0,0
7,-0.477046,-5129.32,1.99957,-0.54762,2.13169,-0.0705746,-5425.73,296.413,90.7019,304.783,-6566.6,745.378,334.63,-38.2166,0,0
8,-0.46431,-5128.78,2.54219,-0.534885,-0.269802,-0.070575,-5425.73,296.949,90.7175,304.756,-6566.58,745.381,335.169,-38.2194,0,0
9,-0.451574,-5128.77,2.55412,-0.52215,2.1336,-0.0705753,-5425.72,296.959,90.7182,304.751,-6566.58,745.383,335.18,-38.2207,0,0
10,-0.43884,-5129.34,1.98085,-0.509414,0.092782,-0.0705747,-5425.72,296.386,90.72,304.753,-6566.56,745.361,334.609,-38.2232,0,0
11,-0.426103,-5130.02,1.29689,-0.496679,-2.05354,-0.0705758,-5425.75,295.726,90.7195,304.731,-6566.53,745.336,333.956,-38.2301,0,0
