step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	14511.8	118732	141537	-2049.92	0	0	0	0	0	
10	31330.1	13583.3	62816.8	13438.8	0	0	0	0	0	
20	19708.1	16143.3	47113.4	16135.5	0	0	0	0	0	
30	13000	17117.2	37546	17103.2	0	0	0	0	0	
40	11441.5	12068.3	30047.9	12044.4	0	0	0	0	0	
50	6533.74	14347	24614.4	14313.7	0	0	0	0	0	
60	6546.23	10217.6	20504.7	10203	0	0	0	0	0	
70	4717.04	9865.46	17278	9865.94	0	0	0	0	0	
80	4628.23	6996.76	14269.8	6997.52	0	0	0	0	0	
90	3866.81	5824.33	11900.8	5824.67	0	0	0	0	0	
100	4054.84	3015.76	9387.7	3010.76	0	0	0	0	0	
110	3300.72	2022.2	7209.1	2010.52	0	0	0	0	0	
120	2726.13	1049.32	5333.28	1013.71	0	0	0	0	0	
130	2195	386.376	3835.69	243.975	0	0	0	0	0	
140	2001.07	-736.454	2408.12	-864.04	0	0	0	0	0	
150	1603.03	-1333.77	1185.3	-1400.7	0	0	0	0	0	
160	1442.06	-2061.95	204.173	-2130.05	0	0	0	0	0	
170	1080.74	-2328.49	-630.167	-2400.7	0	0	0	0	0	
180	1014.79	-2924.44	-1329.76	-2978.85	0	0	0	0	0	
190	689.259	-2981.48	-1898.35	-3023.42	0	0	0	0	0	
200	679.91	-3410.6	-2342.16	-3444.72	0	0	0	0	0	
210	479.444	-3471.15	-2717.73	-3496.13	0	0	0	0	0	
220	480.058	-3772.98	-3018.6	-3793.75	0	0	0	0	0	
230	363.076	-3846.58	-3276.03	-3847.31	0	0	0	0	0	
240	353.53	-4045.38	-3489.82	-4048.86	0	0	0	0	0	
250	269.689	-4094.69	-3670.89	-4104.63	0	0	0	0	0	
260	238.298	-4204.69	-3830.22	-4209.45	0	0	0	0	0	
270	193.585	-4258.32	-3954.11	-4261.64	0	0	0	0	0	
280	168.602	-4329.18	-4064.23	-4339.94	0	0	0	0	0	
290	145.513	-4389.44	-4160.78	-4409	0	0	0	0	0	
300	134.429	-4473.04	-4261.79	-4488.06	0	0	0	0	0	
310	120.247	-4531.37	-4342.41	-4541.83	0	0	0	0	0	
320	105.363	-4577.72	-4412.15	-4590.11	0	0	0	0	0	
330	90.6393	-4616.47	-4474.04	-4628.63	0	0	0	0	0	
340	78.922	-4651.16	-4527.14	-4658.53	0	0	0	0	0	
350	74.1269	-4685.43	-4568.94	-4690.49	0	0	0	0	0	
360	66.8515	-4710.53	-4605.47	-4715.31	0	0	0	0	0	
370	61.9739	-4734.92	-4637.53	-4738.09	0	0	0	0	0	
380	57.677	-4755.44	-4664.81	-4757.18	0	0	0	0	0	
390	51.7043	-4769	-4687.75	-4771.05	0	0	0	0	0	
400	48.5195	-4784.74	-4708.49	-4787.45	0	0	0	0	0	
410	43.8994	-4793.02	-4724.03	-4795.11	0	0	0	0	0	
420	44.4024	-4807.74	-4737.96	-4809.27	0	0	0	0	0	
430	42.3067	-4817.49	-4751.01	-4819.26	0	0	0	0	0	
440	41.6923	-4829.06	-4763.54	-4830.8	0	0	0	0	0	
450	41.0496	-4840.05	-4775.54	-4841.14	0	0	0	0	0	
460	40.4678	-4851.1	-4787.51	-4851.84	0	0	0	0	0	
470	40.726	-4862.34	-4798.34	-4862.91	0	0	0	0	0	
480	40.0311	-4872.24	-4809.33	-4872.54	0	0	0	0	0	
490	39.9592	-4881.48	-4818.69	-4881.66	0	0	0	0	0	
500	39.8524	-4891.08	-4828.45	-4891.22	0	0	0	0	0	
510	42.5065	-4902.07	-4835.27	-4902.41	0	0	0	0	0	
520	43.8402	-4912.67	-4843.78	-4912.7	0	0	0	0	0	
530	44.9016	-4923.44	-4852.88	-4923.48	0	0	0	0	0	
540	44.7268	-4932.85	-4862.56	-4933.01	0	0	0	0	0	
550	45.0397	-4943.29	-4872.51	-4943.33	0	0	0	0	0	
560	44.7785	-4952.47	-4882.1	-4952.53	0	0	0	0	0	
570	45.5019	-4962.58	-4891.08	-4962.62	0	0	0	0	0	
580	45.057	-4971.8	-4900.99	-4971.91	0	0	0	0	0	
590	44.7779	-4980.46	-4910.1	-4980.45	0	0	0	0	0	
600	43.8114	-4987.63	-4918.78	-4987.65	0	0	0	0	0	
610	45.5037	-4996.22	-4924.72	-4996.2	0	0	0	0	0	
620	46.1063	-5003.36	-4930.91	-5003.34	0	0	0	0	0	
630	46.6724	-5010.36	-4937.02	-5010.26	0	0	0	0	0	
640	46.7251	-5017.09	-4943.67	-5017.11	0	0	0	0	0	
650	46.9012	-5024.18	-4950.48	-5024.19	0	0	0	0	0	
660	46.6431	-5029.86	-4956.56	-5029.86	0	0	0	0	0	
670	46.4056	-5035.11	-4962.19	-5035.05	0	0	0	0	0	
680	45.5194	-5039.38	-4967.85	-5039.3	0	0	0	0	0	
690	45.1379	-5043.91	-4972.97	-5043.77	0	0	0	0	0	
700	44.4057	-5047.71	-4977.93	-5047.71	0	0	0	0	0	
710	46.0797	-5051.9	-4979.49	-5051.77	0	0	0	0	0	
720	46.9294	-5055.65	-4981.9	-5055.58	0	0	0	0	0	
730	46.9798	-5058.51	-4984.69	-5058.43	0	0	0	0	0	
740	46.8457	-5061.08	-4987.47	-5060.96	0	0	0	0	0	
750	46.1653	-5062.75	-4990.21	-5062.66	0	0	0	0	0	
760	45.6722	-5064.95	-4993.18	-5064.95	0	0	0	0	0	
770	45.1488	-5067.47	-4996.52	-5067.47	0	0	0	0	0	
780	44.1405	-5068.32	-4998.96	-5068.31	0	0	0	0	0	
790	43.3614	-5068.92	-5000.78	-5068.9	0	0	0	0	0	
800	42.0432	-5067.6	-5001.53	-5067.58	0	0	0	0	0	
810	42.7751	-5066.16	-4998.94	-5066.13	0	0	0	0	0	
820	42.4728	-5062.72	-4995.98	-5062.67	0	0	0	0	0	
830	41.9143	-5059.12	-4993.25	-5059.06	0	0	0	0	0	
840	40.8691	-5054.02	-4989.8	-5053.96	0	0	0	0	0	
850	40.0041	-5048.89	-4986.03	-5048.81	0	0	0	0	0	
860	38.8426	-5042.41	-4981.37	-5042.32	0	0	0	0	0	
870	37.3437	-5035.36	-4976.68	-5035.26	0	0	0	0	0	
880	36.1566	-5027.75	-4970.93	-5027.63	0	0	0	0	0	
890	34.3025	-5018.84	-4964.94	-5018.72	0	0	0	0	0	
900	33.3788	-5010.79	-4958.34	-5010.67	0	0	0	0	0	
910	33.7468	-5000.02	-4946.99	-4999.89	0	0	0	0	0	
920	34.3815	-4990.16	-4936.13	-4990.02	0	0	0	0	0	
930	33.5748	-4977.65	-4924.89	-4977.51	0	0	0	0	0	
940	33.3631	-4965.92	-4913.49	-4965.79	0	0	0	0	0	
950	32.4715	-4952.28	-4901.26	-4952.15	0	0	0	0	0	
960	31.9263	-4939.59	-4889.41	-4939.43	0	0	0	0	0	
970	31.5968	-4926.49	-4876.84	-4926.34	0	0	0	0	0	
980	32.7727	-4915.95	-4864.45	-4915.81	0	0	0	0	0	
990	35.0692	-4907.93	-4852.83	-4907.78	0	0	0	0	0	
1000	38.749	-4903.55	-4842.66	-4937.65	0	0	0	0	0	
1010	50.039	-4937.54	-4858.91	-4943.57	0	0	0	0	0	
1020	54.121	-4943.94	-4858.9	-4954.08	0	0	0	0	0	
1030	62.1435	-4961.89	-4864.23	-4961.98	0	0	0	0	0	
