step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.709283,-5116.62,0,0.638993,-2.01355,-0.0702896,-5419.81,303.192,98.2326,324.132,-6581.78,739.607,340.01,-36.8173,0,0
1,0.696503,-5116.17,0.449885,0.626213,-0.391616,-0.0702896,-5420.52,304.263,97.7691,324.423,-6582.34,739.631,341.157,-36.8942,0,0
2,0.683723,-5116.64,-0.0168812,0.613433,-1.95767,-0.0702896,-5419.83,303.197,98.2053,324.085,-6581.72,739.599,340.024,-36.8268,0,0
3,0.670943,-5117.5,-0.880166,0.600653,0.132417,-0.0702896,-5419.8,302.302,98.2888,324.566,-6582.11,739.456,339.08,-36.7781,0,0
4,0.658163,-5116.9,-0.282365,0.587874,-0.497421,-0.0702896,-5419.78,302.882,98.2703,324.014,-6581.67,739.601,339.69,-36.8084,0,0
5,0.645383,-5116.8,-0.180584,0.575094,-0.121208,-0.0702896,-5419.75,302.955,98.3291,324.096,-6581.87,739.695,339.761,-36.806,0,0
6,0.632603,-5117.38,-0.758388,0.562314,1.70086,-0.0702896,-5419.99,302.609,98.0823,324,-6581.71,739.644,339.434,-36.8241,0,0
7,0.619824,-5116.46,0.157538,0.549534,-0.940339,-0.0702896,-5419.78,303.321,98.2734,324.128,-6581.78,739.596,340.132,-36.811,0,0
8,0.607044,-5116.21,0.411449,0.536754,0.0740939,-0.0702896,-5419.78,303.572,98.2859,324.096,-6581.77,739.604,340.386,-36.8134,0,0
9,0.594264,-5117.47,-0.85203,0.523974,-0.331214,-0.0702896,-5419.89,302.508,98.121,323.953,-6581.62,739.656,339.336,-36.8277,0,0
10,0.581484,-5117.35,-0.730257,0.511194,-0.789666,-0.0702896,-5419.47,302.117,98.401,324.892,-6582.23,739.467,338.869,-36.7514,0,0
11,0.568704,-5117.44,-0.81659,0.498415,-1.76959,-0.0702896,-5419.74,302.306,98.3025,323.937,-6581.6,739.622,339.11,-36.8045,0,0
12,0.555924,-5116.58,0.0361906,0.485635,0.916896,-0.0702896,-5419.8,303.22,98.24,324.347,-6581.92,739.53,340.028,-36.808,0,0
13,0.543144,-5116.62,-0.000341818,0.472855,1.1835,-0.0702896,-5419.78,303.166,98.2641,324.166,-6581.8,739.585,339.977,-36.8115,0,0
14,0.530365,-5117.8,-1.18625,0.460075,-0.484947,-0.0702896,-5419.91,302.108,98.2832,323.976,-6581.71,739.539,338.943,-36.8348,0,0
15,0.517585,-5116.95,-0.331761,0.447295,1.1102,-0.0702896,-5419.72,302.812,98.1528,324.912,-6582.2,739.421,339.602,-36.7901,0,0
16,0.504805,-5117.67,-1.05582,0.434515,-0.408685,-0.0702896,-5419.93,302.257,98.3317,323.809,-6581.67,739.6,339.085,-36.8284,0,0
17,0.492025,-5116.52,0.0940704,0.421735,0.774421,-0.0702896,-5419.53,303.007,98.424,324.089,-6581.62,739.575,339.821,-36.8138,0,0
18,0.479245,-5117.32,-0.70619,0.408956,0.551118,-0.0702896,-5420.25,302.929,98.0305,324.286,-6582.15,739.575,339.766,-36.8377,0,0
19,0.466465,-5116.7,-0.0796965,0.396176,-1.02801,-0.0702896,-5419.8,303.108,98.2503,324.144,-6581.76,739.562,339.931,-36.8228,0,0
20,0.453685,-5116.49,0.127007,0.383396,-0.339318,-0.0702896,-5419.58,303.089,98.5682,324.012,-6581.75,739.584,339.912,-36.8237,0,0
21,0.440905,-5117.3,-0.678389,0.370616,-0.265086,-0.0702896,-5419.49,302.193,98.5305,324.135,-6581.62,739.469,339.013,-36.8202,0,0
22,0.428126,-5116.61,0.0101564,0.357836,0.397265,-0.0702896,-5419.44,302.832,98.5835,323.82,-6581.53,739.687,339.645,-36.8131,0,0
23,0.415346,-5117.77,-1.15336,0.345056,-0.454853,-0.0702896,-5419.8,302.025,98.2815,324.029,-6581.7,739.595,338.824,-36.7985,0,0
24,0.402566,-5117.02,-0.40265,0.332276,-0.408021,-0.0702896,-5419.91,302.885,98.2588,324.019,-6581.76,739.573,339.715,-36.8302,0,0
25,0.389786,-5117.6,-0.977783,0.319497,-0.934365,-0.0702896,-5419.63,302.036,98.4102,323.946,-6581.59,739.601,338.839,-36.8028,0,0
26,0.377006,-5116.71,-0.0900292,0.306717,-1.36173,-0.0702896,-5419.88,303.168,98.3209,323.765,-6581.62,739.654,340.001,-36.8332,0,0
27,0.364226,-5116.53,0.0845547,0.293937,-1.8937,-0.0702896,-5419.75,303.212,98.2882,323.763,-6581.49,739.69,340.052,-36.8401,0,0
28,0.351446,-5116.51,0.106465,0.281157,-1.1788,-0.0702896,-5419.69,303.18,98.3396,323.979,-6581.64,739.632,339.997,-36.8164,0,0
29,0.338667,-5117.76,-1.13794,0.268377,-3.31945,-0.0702896,-5419.49,301.729,98.4837,323.996,-6581.55,739.587,338.531,-36.802,0,0
30,0.325887,-5117.06,-0.440973,0.255597,-3.9028,-0.0702896,-5420.1,303.034,98.127,324.234,-6581.98,739.513,339.854,-36.82,0,0
31,0.313107,-5117.22,-0.596725,0.242817,-4.19178,-0.0702896,-5419.58,302.361,98.491,323.93,-6581.62,739.625,339.177,-36.8161,0,0
32,0.300327,-5116.87,-0.254827,0.230037,-3.33869,-0.0702896,-5419.94,303.069,98.35,323.863,-6581.71,739.558,339.922,-36.8533,0,0
33,0.287547,-5117.67,-1.05114,0.217258,-3.08501,-0.0702896,-5419.64,301.972,98.4372,323.773,-6581.49,739.635,338.81,-36.8379,0,0
34,0.274767,-5116.54,0.0747104,0.204478,-2.7981,-0.0702896,-5420.18,303.765,98.5153,324.056,-6582.13,739.378,340.618,-36.8532,0,0
35,0.261987,-5117.09,-0.471767,0.191698,-2.03892,-0.0702896,-5419.72,302.633,98.5032,324.086,-6581.89,739.573,339.456,-36.8231,0,0
36,0.249208,-5116.91,-0.294298,0.178918,-5.28389,-0.0702896,-5419.77,302.853,98.3761,323.792,-6581.57,739.635,339.697,-36.8435,0,0
37,0.236428,-5117.07,-0.451059,0.166138,-4.88092,-0.0702896,-5419.78,302.71,98.3733,323.695,-6581.49,739.645,339.561,-36.8509,0,0
