step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.568703,-5116.62,0,-0.638993,2.01355,-0.0702896,-5419.81,303.192,98.2326,324.132,-6581.78,739.607,340.01,-36.8173,0,0
1,-0.555924,-5116.24,0.37526,-0.626213,0.60739,-0.0702896,-5420.41,304.165,98.1274,324.086,-6582.25,739.625,340.996,-36.8314,0,0
2,-0.543144,-5117.71,-1.09331,-0.613433,0.971985,-0.0702896,-5419.31,301.594,98.7635,323.824,-6581.45,739.559,338.328,-36.7336,0,0
3,-0.530364,-5116.76,-0.146313,-0.600653,-0.383235,-0.0702896,-5419.87,303.101,98.2451,324.098,-6581.81,739.604,339.923,-36.8229,0,0
4,-0.517584,-5117.48,-0.859167,-0.587874,0.867972,-0.0702896,-5419.76,302.371,98.1734,324.271,-6581.8,739.602,339.156,-36.7855,0,0
5,-0.504804,-5117.53,-0.915644,-0.575094,1.13855,-0.0702896,-5419.77,302.279,98.295,323.986,-6581.65,739.602,339.089,-36.8104,0,0
6,-0.492024,-5117.19,-0.567355,-0.562314,2.09339,-0.0702896,-5419.34,302.235,98.5617,324.117,-6581.67,739.657,339.009,-36.7736,0,0
7,-0.479244,-5117.5,-0.879653,-0.549534,1.78957,-0.0702896,-5419.88,302.464,98.332,324,-6581.74,739.53,339.273,-36.8092,0,0
8,-0.466465,-5117.25,-0.627256,-0.536754,0.95276,-0.0702896,-5419.67,302.424,98.3558,324.096,-6581.74,739.615,339.227,-36.8035,0,0
9,-0.453685,-5117.81,-1.18991,-0.523974,0.570469,-0.0702896,-5419.76,301.949,98.4236,323.786,-6581.56,739.591,338.762,-36.8131,0,0
10,-0.440905,-5117.14,-0.52319,-0.511194,-0.307793,-0.0702896,-5419.52,302.379,98.427,324.275,-6581.85,739.626,339.159,-36.7797,0,0
11,-0.428125,-5117.66,-1.0453,-0.498415,-1.32942,-0.0702896,-5419.71,302.045,98.5145,323.785,-6581.6,739.594,338.847,-36.8016,0,0
12,-0.415345,-5117.04,-0.424147,-0.485635,-0.30867,-0.0702896,-5419.71,302.663,98.2883,323.969,-6581.64,739.673,339.463,-36.8005,0,0
13,-0.402565,-5117.52,-0.896971,-0.472855,-0.0298813,-0.0702896,-5419.94,302.47,98.1513,323.895,-6581.63,739.64,339.305,-36.8346,0,0
14,-0.389785,-5116.77,-0.149278,-0.460075,-0.433062,-0.0702896,-5419.63,302.866,98.4342,323.804,-6581.54,739.664,339.684,-36.8186,0,0
15,-0.377006,-5116.84,-0.224292,-0.447295,0.232297,-0.0702896,-5419.74,302.984,98.3338,323.948,-6581.65,739.629,339.818,-36.8345,0,0
16,-0.364226,-5116.86,-0.240397,-0.434515,0.385849,-0.0702896,-5419.76,302.897,98.309,323.968,-6581.66,739.624,339.735,-36.8382,0,0
17,-0.351446,-5116.5,0.114264,-0.421735,-1.82398,-0.0702896,-5419.68,303.179,98.6626,323.761,-6581.66,739.555,340.03,-36.851,0,0
18,-0.338666,-5116.81,-0.194812,-0.408956,-1.95614,-0.0702896,-5419.7,302.883,98.3115,323.942,-6581.6,739.648,339.72,-36.8373,0,0
19,-0.325886,-5116.54,0.080721,-0.396176,-2.96171,-0.0702896,-5419.76,303.226,98.3341,323.93,-6581.63,739.606,340.071,-36.8453,0,0
20,-0.313106,-5116.65,-0.0324477,-0.383396,-2.48615,-0.0702896,-5419.75,303.096,98.3449,323.924,-6581.62,739.607,339.941,-36.8451,0,0
21,-0.300326,-5116.51,0.109762,-0.370616,-2.21714,-0.0702896,-5419.74,303.236,98.2602,323.648,-6581.45,739.802,340.102,-36.8662,0,0
22,-0.287547,-5117.79,-1.17163,-0.357836,-1.77142,-0.0702896,-5419.91,302.12,98.2463,323.648,-6581.36,739.56,338.995,-36.8742,0,0
23,-0.274767,-5116.55,0.0722164,-0.345056,-2.73875,-0.0702896,-5419.71,303.159,98.4301,323.85,-6581.58,739.599,340.011,-36.8516,0,0
24,-0.261987,-5116.4,0.218159,-0.332276,-3.691,-0.0702896,-5419.73,303.329,98.4141,323.751,-6581.52,739.626,340.186,-36.8575,0,0
25,-0.249207,-5117.01,-0.390363,-0.319497,-3.66996,-0.0702896,-5419.61,302.606,98.5988,323.874,-6581.63,739.547,339.446,-36.8401,0,0
26,-0.236427,-5116.46,0.15878,-0.306717,-3.7002,-0.0702896,-5419.83,303.375,98.3622,323.657,-6581.48,739.626,340.245,-36.8703,0,0
27,-0.223647,-5116.73,-0.110995,-0.293937,-4.95529,-0.0702896,-5419.58,302.854,98.6005,323.204,-6581.21,739.824,339.732,-36.8781,0,0
28,-0.210867,-5116.94,-0.32488,-0.281157,-4.69777,-0.0702896,-5419.59,302.645,98.5528,323.626,-6581.41,739.646,339.497,-36.8522,0,0
29,-0.198088,-5116.74,-0.122392,-0.268377,-4.99063,-0.0702896,-5419.63,302.891,98.532,324.089,-6581.78,739.529,339.734,-36.8428,0,0
30,-0.185308,-5117.25,-0.634352,-0.255597,-2.76551,-0.0702896,-5419.57,302.313,98.5802,323.757,-6581.52,739.619,339.165,-36.8522,0,0
31,-0.172528,-5117.13,-0.509922,-0.242817,-2.42284,-0.0702896,-5419.88,302.754,98.3929,323.962,-6581.75,739.515,339.609,-36.8544,0,0
32,-0.159748,-5117.33,-0.71615,-0.230037,-4.16651,-0.0702896,-5419.61,302.279,98.3468,323.985,-6581.54,739.589,339.144,-36.8651,0,0
33,-0.146968,-5117.42,-0.800675,-0.217258,-1.87397,-0.0702896,-5419.53,302.116,98.6724,323.803,-6581.47,739.47,338.968,-36.853,0,0
34,-0.134188,-5117.4,-0.783453,-0.204478,4.91174,-0.0702896,-5419.56,302.153,98.5912,324.047,-6581.71,739.514,338.984,-36.8306,0,0
35,-0.121408,-5117.41,-0.788855,-0.191698,-4.13044,-0.0702896,-5419.72,302.226,98.5181,323.585,-6581.43,739.612,339.098,-36.8724,0,0
36,-0.108628,-5117.41,-0.790318,-0.178918,-2.42757,-0.0702896,-5419.7,302.292,98.5527,323.628,-6581.47,739.589,339.16,-36.8683,0,0
37,-0.0958486,-5117.43,-0.808222,-0.166138,-0.654088,-0.0702896,-5419.75,302.316,98.5342,323.659,-6581.52,739.574,339.185,-36.8691,0,0
38,-0.0830688,-5117.42,-0.801082,-0.153358,1.77831,-0.0702896,-5419.71,302.287,98.5764,323.779,-6581.59,739.531,339.147,-36.8595,0,0
39,-0.0702889,-5117.29,-0.672294,-0.140578,3.51811,-0.0702896,-5419.68,302.392,98.6146,323.967,-6581.74,739.477,339.237,-36.8451,0,0
40,-0.057509,-5117.1,-0.483818,-0.127799,4.38711,-0.0702896,-5419.69,302.592,98.6319,324.107,-6581.85,739.417,339.431,-36.8393,0,0
41,-0.0447292,-5116.82,-0.200286,-0.115019,4.13956,-0.0702896,-5419.67,302.852,98.6721,324.244,-6581.94,739.357,339.682,-36.8304,0,0
42,-0.0319493,-5116.77,-0.149352,-0.102239,4.85988,-0.0702896,-5419.68,302.909,98.6717,324.401,-6582.05,739.296,339.732,-36.823,0,0
43,-0.0191695,-5116.71,-0.0872663,-0.089459,4.73253,-0.0702896,-5419.64,302.932,98.7097,324.546,-6582.15,739.254,339.743,-36.8106,0,0
44,-0.00638961,-5116.84,-0.22636,-0.0766792,2.44806,-0.0702896,-5419.65,302.807,98.7087,324.617,-6582.21,739.233,339.613,-36.8063,0,0
45,0.00639025,-5117.11,-0.493116,-0.0638993,-0.987241,-0.0702896,-5419.65,302.533,98.6919,324.672,-6582.23,739.221,339.341,-36.8072,0,0
46,0.0191701,-5117.13,-0.51573,-0.0511194,-2.52289,-0.0702896,-5419.66,302.524,98.6704,324.638,-6582.2,739.237,339.332,-36.8088,0,0
47,0.03195,-5117.17,-0.55575,-0.0383396,-3.64005,-0.0702896,-5419.66,302.485,98.6576,324.556,-6582.15,739.275,339.298,-36.8131,0,0
48,0.0447298,-5117.22,-0.605625,-0.0255597,-4.01729,-0.0702896,-5419.67,302.444,98.6384,324.433,-6582.06,739.317,339.264,-36.8199,0,0
49,0.0575097,-5117.41,-0.796469,-0.0127799,-4.56277,-0.0702896,-5419.68,302.266,98.608,324.267,-6581.94,739.381,339.096,-36.8296,0,0
50,0.0702896,-5117.52,-0.906554,0,-5.68927,-0.0702896,-5419.64,302.118,98.6158,324.082,-6581.78,739.435,338.956,-36.8385,0,0
51,0.0830694,-5117.59,-0.974947,0.0127799,-5.7305,-0.0702896,-5419.72,302.126,98.5421,323.946,-6581.7,739.497,338.975,-36.8497,0,0
52,0.0958493,-5117.48,-0.860861,0.0255597,-4.64509,-0.0702896,-5419.72,302.24,98.5242,323.795,-6581.59,739.555,339.097,-36.8572,0,0
53,0.108629,-5117.52,-0.903885,0.0383396,-2.04968,-0.0702896,-5419.74,302.216,98.5119,323.71,-6581.54,739.583,339.075,-36.8597,0,0
54,0.121409,-5117.45,-0.835431,0.0511194,-1.11784,-0.0702896,-5419.72,302.266,98.4823,323.642,-6581.45,739.605,339.126,-36.8607,0,0
55,0.134189,-5117.43,-0.80971,0.0638993,-0.719205,-0.0702896,-5419.68,302.246,98.5154,323.783,-6581.58,739.604,339.088,-36.8426,0,0
56,0.146969,-5117.23,-0.615478,0.0766792,0.710846,-0.0702896,-5419.82,302.587,98.4251,323.729,-6581.59,739.611,339.439,-36.8523,0,0
57,0.159749,-5117.11,-0.492493,0.089459,-1.67128,-0.0702896,-5419.79,302.676,98.4694,324.147,-6581.9,739.494,339.515,-36.8383,0,0
58,0.172528,-5117.4,-0.776879,0.102239,-2.69994,-0.0702896,-5419.71,302.315,98.4549,323.773,-6581.55,739.613,339.191,-36.8757,0,0
59,0.185308,-5117.45,-0.826786,0.115019,0.0090349,-0.0702896,-5419.45,302.015,98.6185,323.836,-6581.54,739.638,338.843,-36.8278,0,0
60,0.198088,-5117.14,-0.5237,0.127799,1.8807,-0.0702896,-5419.63,302.489,98.4916,323.74,-6581.53,739.669,339.326,-36.8379,0,0
61,0.210868,-5117.37,-0.75035,0.140578,0.662164,-0.0702896,-5418.56,301.189,98.8955,323.986,-6581.18,739.738,337.951,-36.762,0,0
62,0.223648,-5117.17,-0.5539,0.153358,2.11409,-0.0702896,-5419.66,302.485,98.4686,323.792,-6581.56,739.641,339.325,-36.8398,0,0
63,0.236428,-5117.16,-0.538938,0.166138,1.30237,-0.0702896,-5419.03,301.876,98.4359,323.235,-6580.58,739.88,338.718,-36.8421,0,0
64,0.249208,-5116.88,-0.258037,0.178918,1.72175,-0.0702896,-5419.63,302.758,98.465,323.808,-6581.56,739.653,339.59,-36.8329,0,0
65,0.261987,-5117.75,-1.13119,0.191698,1.55971,-0.0702896,-5419.29,301.545,98.4919,323.955,-6581.39,739.644,338.348,-36.8033,0,0
66,0.274767,-5118.03,-1.41157,0.204478,2.00371,-0.0702896,-5419.88,301.848,98.4517,323.487,-6581.46,739.645,338.709,-36.8613,0,0
67,0.287547,-5116.88,-0.264088,0.217258,2.99601,-0.0702896,-5419.76,302.882,98.3771,323.883,-6581.63,739.603,339.726,-36.8442,0,0
68,0.300327,-5117.6,-0.983918,0.230037,3.21095,-0.0702896,-5419.58,301.973,98.4902,323.865,-6581.54,739.611,338.793,-36.8201,0,0
69,0.313107,-5116.66,-0.0431099,0.242817,3.46366,-0.0702896,-5419.4,302.734,98.4906,323.714,-6581.35,739.749,339.555,-36.8205,0,0
70,0.325887,-5116.46,0.16257,0.255597,1.70539,-0.0702896,-5419.87,303.41,98.252,323.917,-6581.65,739.619,340.244,-36.8346,0,0
