step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.568941,-5197.25,0,-0.639433,0.246902,-0.0704918,-5421.9,224.651,105.955,325.86,-6586.99,733.277,455.105,-230.455,0,0
1,-0.556153,-5197.22,0.0296403,-0.626644,0.526022,-0.0704918,-5421.81,224.59,106.071,325.186,-6586.55,733.487,455.065,-230.476,0,0
2,-0.543364,-5197.21,0.038131,-0.613856,0.801394,-0.0704918,-5421.81,224.598,106.071,325.186,-6586.55,733.487,455.074,-230.476,0,0
3,-0.530575,-5197.2,0.0463111,-0.601067,1.03811,-0.0704918,-5421.81,224.606,106.071,325.186,-6586.55,733.487,455.082,-230.476,0,0
4,-0.517787,-5197.29,-0.0479002,-0.588278,0.488257,-0.0704918,-5421.81,224.512,106.071,325.186,-6586.55,733.487,454.988,-230.476,0,0
5,-0.504998,-5197.29,-0.0405169,-0.57549,0.66456,-0.0704918,-5421.81,224.519,106.071,325.186,-6586.55,733.487,454.995,-230.476,0,0
6,-0.492209,-5197.28,-0.0309465,-0.562701,0.830569,-0.0704918,-5421.81,224.529,106.071,325.186,-6586.55,733.487,455.005,-230.476,0,0
7,-0.479421,-5197.32,-0.0747379,-0.549912,0.54059,-0.0704918,-5421.81,224.485,106.071,325.186,-6586.55,733.487,454.961,-230.476,0,0
8,-0.466632,-5197.21,0.0350509,-0.537124,-0.11768,-0.0704918,-5421.81,224.595,106.071,325.186,-6586.55,733.487,455.071,-230.476,0,0
9,-0.453843,-5197.21,0.0346069,-0.524335,0.0461744,-0.0704918,-5421.81,224.595,106.071,325.186,-6586.55,733.487,455.07,-230.476,0,0
10,-0.441055,-5197.26,-0.0169777,-0.511546,-0.188666,-0.0704918,-5421.81,224.543,106.071,325.186,-6586.55,733.487,455.019,-230.476,0,0
11,-0.428266,-5197.27,-0.0186917,-0.498758,-0.0808746,-0.0704918,-5421.81,224.541,106.071,325.186,-6586.55,733.487,455.017,-230.476,0,0
12,-0.415477,-5197.27,-0.0190795,-0.485969,0.0190928,-0.0704918,-5421.81,224.541,106.071,325.186,-6586.55,733.487,455.017,-230.476,0,0
13,-0.402689,-5197.26,-0.0182297,-0.47318,0.112839,-0.0704918,-5421.81,224.542,106.071,325.186,-6586.55,733.487,455.018,-230.476,0,0
14,-0.3899,-5197.16,0.0827061,-0.460392,-0.535069,-0.0704918,-5421.81,224.643,106.071,325.186,-6586.55,733.487,455.119,-230.476,0,0
15,-0.377111,-5197.17,0.0768411,-0.447603,-0.384369,-0.0704918,-5421.81,224.637,106.071,325.186,-6586.55,733.487,455.113,-230.476,0,0
16,-0.364323,-5197.17,0.0728157,-0.434814,-0.247609,-0.0704918,-5421.81,224.633,106.071,325.186,-6586.55,733.487,455.109,-230.476,0,0
17,-0.351534,-5197.18,0.0704419,-0.422026,-0.126354,-0.0704918,-5421.81,224.63,106.071,325.186,-6586.55,733.487,455.106,-230.476,0,0
