step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.725609,-6259.91,0,0.637901,14.6129,-0.0877075,-6209.44,-50.4714,142.238,411.343,-7500.02,737.001,448.191,-498.662,0,0
1,0.712775,-6259.59,0.327437,0.625143,32.5285,-0.0876316,-6209.44,-50.144,142.238,411.343,-7500.02,737.001,448.518,-498.662,0,0
2,0.700017,-6259.03,0.884499,0.612385,64.4224,-0.0876316,-6209.44,-49.5869,142.238,411.343,-7500.02,737.001,449.075,-498.662,0,0
3,0.687259,-6257.87,2.04668,0.599627,122.253,-0.0876316,-6209.44,-48.4248,142.238,411.343,-7500.02,737.001,450.238,-498.662,0,0
4,0.674501,-6258.55,1.36103,0.586869,28.6174,-0.0876316,-6211.39,-47.1639,142.433,410.525,-7501.54,737.191,452.097,-499.261,0,0
5,0.661891,-6260.86,-0.948246,0.574111,1.86589,-0.0877797,-6209.11,-51.7512,142.839,410.744,-7499.65,736.953,446.834,-498.585,0,0
6,0.648943,-6254.15,5.76528,0.561353,196.778,-0.0875903,-6211.28,-42.8708,143.306,408.673,-7500.56,737.309,456.216,-499.087,0,0
7,0.636323,-6261.73,-1.81938,0.548595,-1.66934,-0.0877277,-6209.91,-51.8212,142.457,410.979,-7500.07,736.719,446.77,-498.591,0,0
8,0.623445,-6253.77,6.14565,0.535837,144.803,-0.0876085,-6210.41,-43.3584,144.221,409.877,-7500.95,736.448,456.571,-499.929,0,0
9,0.611002,-6261.04,-1.13129,0.523079,-1.84601,-0.0879235,-6210.08,-50.9638,143.39,410.27,-7500.81,737.067,446.938,-497.902,0,0
10,0.597945,-6253,6.91431,0.510321,98.4384,-0.0876245,-6203.49,-49.5074,149.668,408.936,-7499.83,737.73,450.365,-499.873,0,0
11,0.58538,-6262.49,-2.57621,0.497563,-3.59999,-0.0878168,-6209.8,-52.6871,142.227,411.094,-7499.63,736.502,445.533,-498.22,0,0
12,0.572428,-6251.63,8.28674,0.484805,63.6164,-0.0876236,-6202.16,-49.465,148.32,413.227,-7504.33,740.62,448.75,-498.215,0,0
13,0.560028,-6258.19,1.72634,0.472047,-10.907,-0.0879815,-6205.51,-52.6805,144.303,410.979,-7498.39,737.598,444.487,-497.167,0,0
14,0.546586,-6252.17,7.74035,0.459289,54.1541,-0.0872975,-6200.66,-51.5139,150.058,411.435,-7499.41,737.256,446.171,-497.685,0,0
15,0.534468,-6260.9,-0.986778,0.446531,-10.2883,-0.0879375,-6208.71,-52.1899,143.635,412.48,-7500.46,735.632,445.68,-497.87,0,0
16,0.521298,-6259.46,0.449507,0.433773,12.3545,-0.0875256,-6208.32,-51.142,146.103,410.612,-7502.05,737.013,446.603,-497.745,0,0
17,0.508779,-6261.06,-1.14889,0.421015,-7.71349,-0.0877646,-6205.94,-55.1213,144.44,412.257,-7499.08,736.439,443.587,-498.708,0,0
18,0.495712,-6257.72,2.19066,0.408257,26.4251,-0.087455,-6209.46,-48.2599,143.573,412.812,-7502.03,736.179,448.621,-496.88,0,0
19,0.483454,-6261.46,-1.5496,0.395499,4.01744,-0.0879556,-6206.55,-54.9136,145.421,410.965,-7500.54,737.61,443.794,-498.708,0,0
20,0.470208,-6259.37,0.54202,0.382741,91.2314,-0.087467,-6210.64,-48.7355,144.119,408.965,-7499.98,736.256,448.953,-497.688,0,0
21,0.457663,-6260.74,-0.827101,0.369983,24.4995,-0.0876805,-6208.97,-51.773,144.469,412.908,-7501.43,735.089,446.519,-498.292,0,0
22,0.444952,-6258.82,1.09279,0.357225,148.951,-0.0877274,-6211.71,-47.1077,142.527,412.317,-7500.83,734.271,451.063,-498.171,0,0
23,0.43222,-6259.67,0.240416,0.344467,47.8908,-0.0877534,-6208.98,-50.6928,142.983,416.076,-7501.46,733.419,447.797,-498.489,0,0
24,0.419654,-6254.9,5.01039,0.331709,170.488,-0.0879457,-6208.09,-46.8115,141.872,416.744,-7499.5,732.794,450.984,-497.796,0,0
25,0.406806,-6258.14,1.77028,0.318951,131.072,-0.0878551,-6210.79,-47.3512,140.587,416.95,-7500.78,732.454,450.41,-497.761,0,0
26,0.394247,-6249.55,10.3653,0.306192,132.143,-0.0880541,-6205.26,-44.2927,142.234,418.082,-7497.16,731.585,453.324,-497.616,0,0
27,0.381414,-6257.18,2.73627,0.293434,96.4005,-0.0879797,-6210.16,-47.0132,140.225,418.368,-7501.8,733.04,450.883,-497.896,0,0
28,0.368893,-6243.85,16.0615,0.280676,97.6973,-0.0882168,-6206.7,-37.147,141.286,421.144,-7498.99,729.854,461.108,-498.255,0,0
29,0.356069,-6257.7,2.21698,0.267918,103.986,-0.0881511,-6210.1,-47.6013,143.296,413.533,-7500.8,733.871,449.848,-497.449,0,0
30,0.343142,-6252.07,7.83886,0.25516,49.5279,-0.0879811,-6210.38,-41.6943,141.196,419.622,-7502.71,731.508,455.393,-497.088,0,0
31,0.330482,-6237.17,22.7466,0.242402,28.0067,-0.0880794,-6204.24,-32.9262,142.154,426.928,-7502.71,729.392,464.823,-497.75,0,0
32,0.317874,-6233.73,26.1833,0.229644,4.08403,-0.0882295,-6201.15,-32.5796,142.071,430.162,-7502.93,729.551,464.501,-497.08,0,0
33,0.305012,-6232.73,27.184,0.216886,17.2068,-0.0881259,-6200.28,-32.4465,142.086,430.999,-7503.06,729.695,464.559,-497.005,0,0
34,0.292116,-6229.63,30.2802,0.204128,33.9875,-0.0879872,-6195.5,-34.1349,142.712,431.378,-7501.66,732.068,462.607,-496.742,0,0
35,0.279296,-6227.99,31.9213,0.19137,66.8528,-0.0879261,-6191.99,-35.9972,144.649,430.409,-7500.68,733.623,461.292,-497.289,0,0
36,0.266199,-6226.49,33.4252,0.178612,113.656,-0.0875871,-6192.02,-34.468,146.883,429.103,-7499.36,731.357,462.511,-496.979,0,0
37,0.253219,-6220.61,39.3022,0.165854,127.099,-0.0873651,-6191.06,-29.5545,144.248,430.054,-7499.83,734.473,467.03,-496.585,0,0
38,0.240905,-6233.83,26.0848,0.153096,177.189,-0.0878088,-6197.94,-35.885,144.402,427.41,-7500.93,731.173,459.498,-495.383,0,0
39,0.22811,-6069.24,190.674,0.140338,148.006,-0.0877715,-6064.54,-4.69625,164.08,526.141,-7499.95,745.181,490.907,-495.603,0,0
40,0.217306,-5211.13,1048.79,0.12758,-10027.9,-0.0897255,-5504.39,293.261,408.535,724.309,-7409.17,771.941,798.792,-505.531,0,0
41,0.193779,-5554.04,705.87,0.114822,-5646.96,-0.0789568,-5684.9,130.855,293.579,670.678,-7422.35,773.197,633.82,-502.965,0,0
42,0.184125,-6108.26,151.651,0.102064,381.685,-0.0820603,-6094.33,-13.934,165.53,504.5,-7506.07,741.706,482.748,-496.682,0,0
43,0.177246,-5601.12,658.79,0.0893061,-7990.82,-0.08794,-5832.87,231.746,285.555,582.036,-7457.9,757.438,736.711,-504.965,0,0
44,0.159493,-5775.35,484.567,0.0765481,-4442.99,-0.0829451,-5879.39,104.047,238.285,571.813,-7454.06,764.565,611.99,-507.944,0,0
45,0.147527,-5984.31,275.603,0.0637901,1233.44,-0.0837366,-6039.87,55.5647,203.03,513.436,-7495.53,739.187,555.259,-499.695,0,0
46,0.14052,-6193.46,66.4498,0.0510321,799.685,-0.0894876,-6179.67,-13.7888,150.719,427.603,-7501.6,743.601,484.699,-498.488,0,0
47,0.126043,-6186.48,73.4337,0.0382741,993.659,-0.0877685,-6178.67,-7.81117,148.137,436.337,-7502.07,738.93,489.856,-497.668,0,0
48,0.113914,-6161.32,98.5962,0.025516,1055.93,-0.0883975,-6157.55,-3.76674,154.633,446.181,-7500.12,741.752,497.888,-501.655,0,0
49,0.100931,-6084.71,175.207,0.012758,1013.58,-0.0881732,-6098.88,14.1735,172.271,482.698,-7504.37,750.517,510.63,-496.456,0,0
50,0.0880497,-6091.06,168.849,0,309.57,-0.0880497,-6080.3,-10.764,174.405,487.671,-7488.56,746.181,493.34,-504.104,0,0
51,0.0732568,-6126.6,133.314,-0.012758,769.131,-0.0860149,-6131.26,4.65944,162.853,471.465,-7502.91,737.329,502.82,-498.161,0,0
52,0.0626627,-6125.86,134.05,-0.025516,-1854.92,-0.0881788,-6121,-4.86078,166.42,454.047,-7492.38,750.916,496.846,-501.707,0,0
53,0.0474863,-6150.28,109.636,-0.0382741,-1722.49,-0.0857604,-6140.71,-9.56409,163.813,443.345,-7497.17,749.298,491.409,-500.973,0,0
54,0.0351161,-6171.91,88.0018,-0.0510321,-1631.38,-0.0861482,-6153.52,-18.3956,159.735,434.887,-7496.56,748.419,482.499,-500.894,0,0
