step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.555614,6278.51,0,-0.638607,46900.5,-0.0829931,5416.7,861.81,7027.94,4550.72,-7012.67,850.717,1014.85,-153.038,0,0
1,-0.576069,8736.29,2457.77,-0.625835,50304.4,-0.049766,7839.52,896.725,8860.59,5104.68,-6986.83,861.08,1049.93,-153.2,0,0
2,-0.563376,7513.34,1234.83,-0.613063,49820.7,-0.0496869,6600.09,913.258,7934.06,4789.15,-6987.75,864.628,1068.3,-155.038,0,0
3,-0.552692,8314.71,2036.19,-0.600291,50411.8,-0.0475982,7443.37,871.337,8552.3,4976.25,-6959.45,874.273,1026.58,-155.245,0,0
4,-0.541017,8843.84,2565.33,-0.587518,52715.5,-0.0465019,7862.03,981.808,8862.29,5071.08,-6954.72,883.388,1140.04,-158.231,0,0
5,-0.529442,9759.54,3481.02,-0.574746,54920.3,-0.0453046,8907.72,851.82,9874.08,5081.6,-6922.82,874.861,1012.09,-160.274,0,0
6,-0.517849,10425.8,4147.25,-0.561974,54583,-0.0441253,9364.81,1060.95,9863.21,5512.12,-6901.45,890.922,1216.7,-155.748,0,0
7,-0.505645,11076.1,4797.57,-0.549202,58316.4,-0.0435571,10051.2,1024.92,10597.7,5414.42,-6870.45,909.529,1190.18,-165.259,0,0
8,-0.496208,11945.1,5666.57,-0.53643,58134.2,-0.0402215,10907.5,1037.59,11108.2,5786.82,-6898.61,911.12,1190.16,-152.572,0,0
9,-0.480219,12580,6301.51,-0.523658,61050,-0.0434391,11474.2,1105.8,11646.4,5718.69,-6828.92,938.072,1270.57,-164.768,0,0
10,-0.47136,13600.4,7321.84,-0.510886,64061.4,-0.0395254,12455.9,1144.45,12382,5972.4,-6809.21,910.746,1297.24,-152.797,0,0
11,-0.457962,14201.4,7922.89,-0.498113,63816.3,-0.0401513,13104.5,1096.91,12876.4,6101.19,-6828.25,955.177,1256.3,-159.386,0,0
12,-0.448409,14952.1,8673.57,-0.485341,65606.9,-0.0369325,13769.6,1182.43,13479,6151.99,-6797.46,936.072,1341.82,-159.391,0,0
13,-0.436946,15785.5,9506.99,-0.472569,67391.4,-0.0356236,14595.1,1190.36,14259.1,6172.57,-6783.93,947.439,1351.96,-161.604,0,0
14,-0.424482,16658.2,10379.6,-0.459797,68636.2,-0.0353149,15418,1240.14,14788.3,6466.16,-6774.79,938.306,1399.92,-159.78,0,0
15,-0.413241,17487.1,11208.6,-0.447025,70553.7,-0.0337836,16264.2,1222.92,15609.3,6465.77,-6764.8,953.92,1383.32,-160.402,0,0
16,-0.40038,18419.9,12141.4,-0.434253,72478.4,-0.033873,17157,1262.92,16291.8,6661.07,-6753.82,957.853,1426.65,-163.73,0,0
17,-0.389442,19347.4,13068.9,-0.421481,74134.5,-0.0320389,18067.2,1280.22,17089.8,6738.28,-6730.96,970.085,1439.87,-159.655,0,0
18,-0.377214,20331.5,14052.9,-0.408708,76459.7,-0.0314948,19010,1321.49,17870.2,6893.64,-6722,968.114,1487.9,-166.413,0,0
19,-0.365524,21267.1,14988.6,-0.395936,77620.7,-0.0304125,19919.1,1348.05,18587.1,7042.83,-6691.55,980.715,1509.2,-161.144,0,0
20,-0.354623,22268.9,15990.4,-0.383164,79844.4,-0.0285411,20933.9,1335.02,19470.2,7166.61,-6680.29,977.356,1497.88,-162.852,0,0
21,-0.341516,23290.3,17011.8,-0.370392,81446.2,-0.0288758,21910.8,1379.48,20277.9,7298.06,-6653.44,988.277,1539.91,-160.426,0,0
22,-0.330695,24340.1,18061.6,-0.35762,83195.7,-0.0269247,22938.9,1401.16,21120.5,7452.22,-6627.97,994.202,1563.18,-162.022,0,0
23,-0.31873,25411.2,19132.7,-0.344848,84796.2,-0.0261173,23979.9,1431.25,21994.9,7585.95,-6601,1000.07,1591.99,-160.743,0,0
24,-0.307311,26503.8,20225.3,-0.332076,86419.7,-0.0247643,25046.5,1457.26,22874,7746.07,-6579.68,1006.15,1618.99,-161.724,0,0
25,-0.295431,27616.4,21337.9,-0.319304,87834.3,-0.0238729,26130.2,1486.18,23781,7886.03,-6550.72,1013.91,1647.25,-161.069,0,0
26,-0.284114,28748.1,22469.6,-0.306531,89449.5,-0.0224178,27239.5,1508.53,24694.6,8048.21,-6523.98,1020.72,1670.28,-161.746,0,0
27,-0.272209,29898.7,23620.2,-0.293759,90932.2,-0.0215503,28359.1,1539.54,25633.4,8191.13,-6494.37,1029,1701.57,-162.031,0,0
28,-0.260891,31069,24790.5,-0.280987,92456.3,-0.0200964,29501.5,1567.47,26580.3,8354.87,-6469.94,1036.35,1729.74,-162.274,0,0
29,-0.249096,32259.5,25981,-0.268215,94008,-0.0191185,30663.5,1596.01,27547.4,8505.4,-6435.64,1046.36,1758.83,-162.816,0,0
30,-0.237717,33469.4,27190.9,-0.255443,95531.6,-0.0177255,31845.3,1624.04,28528.8,8673.11,-6410.59,1054.05,1787.06,-163.016,0,0
31,-0.225977,34699.5,28421,-0.242671,97179.7,-0.0166932,33047.6,1651.86,29529.6,8824.42,-6372.27,1065.88,1815.66,-163.801,0,0
32,-0.214551,35949.7,29671.2,-0.229899,98756.8,-0.0153475,34271.8,1677.85,30540.1,9003.55,-6346.31,1074.5,1842.11,-164.258,0,0
33,-0.202885,37217.6,30939.1,-0.217126,100352,-0.0142412,35520.6,1697.05,31554,9196.47,-6313.73,1083.76,1861.81,-164.761,0,0
34,-0.191083,38457.2,32178.7,-0.204354,102261,-0.0132711,36756.9,1700.33,32638.5,9304.48,-6281.29,1095.23,1863.83,-163.498,0,0
35,-0.179077,39769.4,33490.9,-0.191582,103980,-0.0125053,38040.1,1729.34,33739.3,9428.62,-6237.44,1109.64,1893.49,-164.143,0,0
36,-0.167342,41107.8,34829.3,-0.17881,105697,-0.011468,39345.8,1762.02,34866,9566.05,-6206.04,1119.76,1926.98,-164.959,0,0
37,-0.15575,42468.6,36190,-0.166038,107393,-0.0102875,40677.3,1791.27,36026.3,9699.78,-6177.96,1129.16,1957.06,-165.789,0,0
38,-0.144049,43849.8,37571.3,-0.153266,109002,-0.00921641,42022.8,1826.98,37195.2,9845.67,-6154.73,1136.64,1993.53,-166.544,0,0
39,-0.132303,45250.9,38972.4,-0.140494,110658,-0.00819028,43393.6,1857.36,38402.7,9984.77,-6136.1,1142.18,2024.66,-167.305,0,0
40,-0.120475,46674.3,40395.8,-0.127721,112266,-0.00724615,44786.8,1887.47,39636,10118.1,-6115.69,1148.39,2055.61,-168.135,0,0
41,-0.108684,48119,41840.5,-0.114949,113901,-0.00626558,46198.9,1920.13,40889.9,10251.3,-6096.33,1153.93,2089.19,-169.058,0,0
42,-0.0968795,49581.4,43302.9,-0.102177,115486,-0.00529764,47629.7,1951.65,42162.7,10400,-6089.25,1156.24,2121.4,-169.757,0,0
43,-0.0850379,51066.5,44788,-0.089405,117116,-0.00436708,49086.7,1979.89,43465.9,10528.9,-6069.49,1161.44,2150.87,-170.987,0,0
44,-0.0732076,52572.3,46293.8,-0.0766328,118747,-0.00342525,50564.7,2007.56,44789.8,10663.2,-6053.19,1164.86,2179.83,-172.267,0,0
45,-0.0613878,54099,47820.5,-0.0638607,120394,-0.00247287,52057.3,2041.68,46121.9,10810,-6041.44,1166.81,2215.24,-173.564,0,0
46,-0.0495927,55645.5,49367,-0.0510886,122052,-0.00149591,53574.9,2070.6,47480.6,10955.1,-6030.39,1169.58,2245.25,-174.645,0,0
47,-0.0378322,57214,50935.5,-0.0383164,123849,-0.00048419,55113.6,2100.46,48862.1,11096.4,-6017.54,1172.58,2276.28,-175.825,0,0
48,-0.0260978,58806.7,52528.2,-0.0255443,125674,0.000553561,56670.6,2136.11,50259.9,11241.3,-6004.82,1174.18,2313.11,-176.997,0,0
49,-0.014352,60423,54144.5,-0.0127721,127569,0.00157991,58246.1,2176.94,51655.5,11410.4,-5995.31,1175.41,2354.98,-178.04,0,0
50,-0.00270331,62064.8,55786.3,0,129685,0.00270331,59847.1,2217.73,53084.3,11570.1,-5984.42,1177.13,2396.52,-178.791,0,0
51,0.0088936,63734.3,57455.8,0.0127721,132005,0.00387854,61473.6,2260.74,54541.9,11721.2,-5970.84,1181.31,2440.62,-179.88,0,0
52,0.0204412,65432.3,59153.8,0.0255443,134208,0.00510305,63120,2312.24,56001.5,11900,-5963.28,1181.82,2492.22,-179.977,0,0
53,0.0319122,67158.4,60879.8,0.0383164,136593,0.00640426,64798.7,2359.64,57513.6,12056.5,-5955.24,1183.85,2540.15,-180.504,0,0
54,0.0434628,68917.2,62638.7,0.0510886,138897,0.00762573,66508.1,2409.14,59047.9,12215,-5942.67,1187.86,2590.08,-180.936,0,0
55,0.0548822,70696,64417.5,0.0638607,140051,0.00897853,68270.8,2425.16,60720.7,12383,-5998.14,1165.24,2598.13,-172.971,0,0
56,0.0668935,72416.3,66137.8,0.0766328,140963,0.00973935,69962.8,2453.44,62285.2,12543.4,-6021.97,1156.24,2625.34,-171.901,0,0
57,0.0773068,74207.3,67928.8,0.089405,141517,0.0120982,71748.4,2458.96,64098,12565.7,-6051.44,1136.15,2616.57,-157.615,0,0
58,0.0872834,75798.8,69520.3,0.102177,145219,0.0148937,73320.7,2478.17,65665.6,12502,-6008.19,1161.19,2636.33,-158.161,0,0
59,0.0999655,77662,71383.5,0.114949,147007,0.0149837,75160.2,2501.8,67362,12614.7,-5985.24,1168.72,2659.7,-157.903,0,0
60,0.111456,79549.2,73270.7,0.127721,148747,0.0162657,77006,2543.16,69081.8,12739.3,-5984.19,1169.02,2701,-157.831,0,0
61,0.123152,81458.7,75180.2,0.140494,150336,0.0173419,78875.5,2583.12,70814.6,12869,-5978.67,1170.66,2740.76,-157.643,0,0
62,0.134853,83387.3,77108.8,0.153266,151804,0.0184126,80766,2621.35,72576.1,12994.5,-5974.54,1169.96,2778.89,-157.538,0,0
