step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.710416,-7203.43,0,0.639372,0.260927,0,200,-7391.11,187.682,114.165,283.045,-8465.86,677.54,426.181,-238.499
1,0.697629,-7203.44,-0.00684766,0.626585,-2.79787,-0.0162205,200,-7391.09,187.655,114.489,280.759,-8463.89,677.552,426.331,-238.676
2,0.684841,-7203.23,0.199846,0.613797,-3.72288,-0.0579124,200,-7391.01,187.782,114.676,281.268,-8464.49,677.537,426.017,-238.236
3,0.672054,-7203.27,0.161398,0.60101,-2.29477,-0.0963876,200,-7391.01,187.743,114.676,281.268,-8464.49,677.537,425.979,-238.236
4,0.659266,-7203.29,0.141166,0.588222,-0.870062,-0.116623,200,-7391.01,187.723,114.676,281.268,-8464.49,677.537,425.959,-238.236
5,0.646479,-7203.29,0.139137,0.575435,0.55263,-0.118652,200,-7391.01,187.721,114.676,281.268,-8464.49,677.537,425.957,-238.236
6,0.633692,-7203.12,0.311181,0.562647,1.07106,-0.108271,200,-7391.01,187.893,114.676,281.268,-8464.49,677.537,426.129,-238.236
7,0.620904,-7202.34,1.08815,0.54986,-1.93959,-0.113824,200,-7391.01,188.67,114.676,281.268,-8464.49,677.537,426.906,-238.236
8,0.608117,-7202.35,1.0747,0.537072,-0.163008,-0.127267,200,-7391.01,188.657,114.676,281.268,-8464.49,677.537,426.892,-238.236
9,0.595329,-7202.34,1.08397,0.524285,1.61189,-0.118004,200,-7391.01,188.666,114.676,281.268,-8464.49,677.537,426.902,-238.236
10,0.582542,-7203.07,0.358724,0.511498,-1.5126,-0.117369,200,-7391.01,187.941,114.676,281.268,-8464.49,677.537,426.176,-238.236
11,0.569754,-7203.41,0.0143418,0.49871,-2.07935,-0.140335,200,-7391.01,187.596,114.676,281.268,-8464.49,677.537,425.832,-238.236
12,0.556967,-7203.43,-0.004381,0.485923,-0.853744,-0.159088,200,-7391.01,187.577,114.676,281.268,-8464.49,677.537,425.813,-238.236
13,0.544179,-7203.44,-0.00761759,0.473135,0.342513,-0.162357,200,-7391.01,187.574,114.676,281.268,-8464.49,677.537,425.81,-238.236
14,0.531392,-7203.75,-0.321156,0.460348,-0.733103,-0.164854,200,-7391.01,187.261,114.676,281.268,-8464.49,677.537,425.496,-238.236
15,0.518605,-7204.02,-0.587269,0.44756,-1.43713,-0.17873,200,-7391.01,186.995,114.676,281.268,-8464.49,677.537,425.23,-238.236
16,0.505817,-7204.37,-0.94583,0.434773,-2.77567,-0.205665,200,-7391.01,186.636,114.676,281.268,-8464.49,677.537,424.872,-238.236
17,0.49303,-7204.57,-1.14262,0.421986,-3.17379,-0.243705,200,-7391.01,186.439,114.676,281.268,-8464.49,677.537,424.675,-238.236
18,0.480242,-7204,-0.568933,0.409198,-6.40551,-0.304952,200,-7391.01,187.013,114.676,281.268,-8464.49,677.537,425.249,-238.236
19,0.467455,-7203.78,-0.355849,0.396411,-7.58988,-0.394435,200,-7391.01,187.226,114.676,281.268,-8464.49,677.537,425.462,-238.236
20,0.454667,-7203.88,-0.448759,0.383623,-6.95261,-0.487415,200,-7391.01,187.133,114.676,281.268,-8464.49,677.537,425.369,-238.236
21,0.44188,-7203.96,-0.533897,0.370836,-6.37009,-0.572597,200,-7391.01,187.048,114.676,281.268,-8464.49,677.537,425.284,-238.236
22,0.429093,-7204.28,-0.85252,0.358048,-7.4739,-0.661111,200,-7391.01,186.729,114.676,281.268,-8464.49,677.537,424.965,-238.236
23,0.416305,-7204.63,-1.19662,0.345261,-8.71784,-0.764637,200,-7391.01,186.385,114.676,281.268,-8464.49,677.537,424.621,-238.236
24,0.403518,-7203.83,-0.399761,0.332473,-13.7007,-0.907975,200,-7391.01,187.182,114.676,281.268,-8464.49,677.537,425.418,-238.236
25,0.39073,-7204,-0.567789,0.319686,-12.4994,-1.07549,200,-7391.01,187.014,114.676,281.268,-8464.49,677.537,425.25,-238.236
26,0.377943,-7204.15,-0.716563,0.306899,-10.6181,-1.2233,200,-7391.01,186.865,114.676,281.268,-8464.49,677.537,425.101,-238.236
27,0.365155,-7204.42,-0.991264,0.294111,-8.42341,-1.34504,200,-7391.01,186.591,114.676,281.268,-8464.49,677.537,424.826,-238.236
28,0.352368,-7204.82,-1.39431,0.281324,-5.07519,-1.43135,200,-7391.01,186.188,114.676,281.268,-8464.49,677.537,424.423,-238.236
29,0.33958,-7204.84,-1.40806,0.268536,3.70858,-1.44009,200,-7391.01,186.174,114.676,281.268,-8464.49,677.537,424.41,-238.236
30,0.326793,-7204.86,-1.42932,0.255749,15.6753,-1.31615,200,-7391.3,186.44,114.713,281.075,-8464.52,677.437,424.782,-238.341
31,0.314006,-7204.51,-1.07782,0.242961,39.8271,-0.961285,200,-7391.3,186.792,114.713,281.075,-8464.52,677.437,425.133,-238.341
32,0.301218,-7204.4,-0.974548,0.230174,75.6978,-0.222651,200,-7391.3,186.895,114.713,281.075,-8464.52,677.437,425.237,-238.341
33,0.288431,-7204.57,-1.14557,0.217386,66.197,0.684585,200,-7391.23,186.655,114.479,281.242,-8464.72,677.772,424.407,-237.752
34,0.275643,-7207.92,-4.48964,0.204599,-3.94905,1.08258,200,-7391.41,183.492,114.942,282.016,-8465.41,677.039,421.26,-237.768
35,0.262856,-7208.09,-4.66329,0.191812,-3.4981,1.03497,200,-7391.03,182.935,115.005,280.545,-8464.1,677.523,421.368,-238.433
