step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.568328,-7203.43,0,-0.639372,-0.260927,0,200,-7391.11,187.682,114.165,283.045,-8465.86,677.54,426.181,-238.499
1,-0.55554,-7204.33,-0.905399,-0.626585,0.283138,0.000142006,200,-7391.06,186.729,115.003,281.175,-8464.68,677.441,424.655,-237.925
2,-0.542753,-7203.5,-0.0706577,-0.613797,-3.7112,-0.0217761,200,-7391.06,187.564,115.003,281.175,-8464.68,677.441,425.489,-237.925
3,-0.529965,-7203.62,-0.190719,-0.60101,-3.16989,-0.0657719,200,-7391.06,187.444,115.003,281.175,-8464.68,677.441,425.369,-237.925
4,-0.517178,-7203.65,-0.2241,-0.588222,-2.06002,-0.0992105,200,-7391.06,187.411,115.003,281.175,-8464.68,677.441,425.336,-237.925
5,-0.504391,-7203.69,-0.257494,-0.575435,-1.12414,-0.119569,200,-7391.06,187.377,115.003,281.175,-8464.68,677.441,425.303,-237.925
6,-0.491603,-7203.72,-0.288243,-0.562647,-0.33897,-0.128924,200,-7391.06,187.347,115.003,281.175,-8464.68,677.441,425.272,-237.925
7,-0.478816,-7203.41,0.0221995,-0.54986,-1.28839,-0.139329,200,-7391.06,187.657,115.003,281.175,-8464.68,677.441,425.582,-237.925
8,-0.466028,-7202.83,0.599476,-0.537072,-3.91161,-0.172576,200,-7391.06,188.234,115.003,281.175,-8464.68,677.441,426.16,-237.925
9,-0.453241,-7202.87,0.556617,-0.524285,-2.80492,-0.21552,200,-7391.06,188.191,115.003,281.175,-8464.68,677.441,426.117,-237.925
10,-0.440453,-7203.87,-0.442468,-0.511498,-7.58641,-0.281959,200,-7391.06,187.192,115.003,281.175,-8464.68,677.441,425.118,-237.925
11,-0.427666,-7204.05,-0.617265,-0.49871,-7.57597,-0.378903,200,-7391.06,187.018,115.003,281.175,-8464.68,677.441,424.943,-237.925
12,-0.414879,-7204.56,-1.12865,-0.485923,-9.95246,-0.490975,200,-7391.06,186.506,115.003,281.175,-8464.68,677.441,424.431,-237.925
13,-0.402091,-7204.68,-1.25444,-0.473135,-9.71765,-0.61674,200,-7391.06,186.38,115.003,281.175,-8464.68,677.441,424.306,-237.925
14,-0.389304,-7204.81,-1.37688,-0.460348,-9.41028,-0.739039,200,-7391.06,186.258,115.003,281.175,-8464.68,677.441,424.183,-237.925
15,-0.376516,-7204.92,-1.49417,-0.44756,-8.8793,-0.855977,200,-7391.06,186.141,115.003,281.175,-8464.68,677.441,424.066,-237.925
16,-0.363729,-7205.19,-1.75879,-0.434773,-8.79012,-0.96895,200,-7391.06,185.876,115.003,281.175,-8464.68,677.441,423.801,-237.925
17,-0.350941,-7205.62,-2.1908,-0.421986,-8.83624,-1.08165,200,-7391.06,185.444,115.003,281.175,-8464.68,677.441,423.369,-237.925
18,-0.338154,-7205.71,-2.28469,-0.409198,-5.50368,-1.17333,200,-7391.06,185.35,115.003,281.175,-8464.68,677.441,423.275,-237.925
19,-0.325366,-7204.86,-1.43081,-0.396411,-4.81687,-1.23932,200,-7391.06,186.204,115.003,281.175,-8464.68,677.441,424.129,-237.925
20,-0.312579,-7204.86,-1.4278,-0.383623,6.2741,-1.23,200,-7391.06,186.207,115.003,281.175,-8464.68,677.441,424.132,-237.925
21,-0.299792,-7204.67,-1.23836,-0.370836,25.1389,-1.02916,200,-7391.06,186.397,115,281.177,-8464.68,677.441,424.323,-237.925
22,-0.287004,-7204.16,-0.730812,-0.358048,56.9956,-0.504012,200,-7391.06,186.905,115,281.177,-8464.68,677.441,424.83,-237.925
