step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.710416,-7189,0,0.639372,0.00234297,0,500,-7390.63,201.628,115.183,280.691,-8464.11,677.61,439.881,-238.253
1,0.709137,-7189,3.72637e-006,0.638093,0.0149928,1.1084e-005,500,-7390.63,201.628,115.183,280.691,-8464.11,677.611,439.881,-238.253
2,0.707859,-7188.98,0.0133244,0.636815,-0.0991783,-4.27419e-005,500,-7390.63,201.642,115.183,280.691,-8464.11,677.611,439.895,-238.253
3,0.70658,-7188.98,0.0132068,0.635536,-0.0847575,-0.000160345,500,-7390.63,201.642,115.183,280.691,-8464.11,677.611,439.895,-238.253
4,0.705301,-7188.98,0.0131076,0.634257,-0.0703282,-0.000259503,500,-7390.63,201.641,115.183,280.691,-8464.11,677.611,439.894,-238.253
5,0.704022,-7188.95,0.0439445,0.632978,-0.238766,-0.000457129,500,-7390.63,201.672,115.183,280.691,-8464.11,677.611,439.925,-238.253
6,0.702744,-7188.95,0.0436492,0.6317,-0.223139,-0.000752458,500,-7390.63,201.672,115.183,280.691,-8464.11,677.611,439.925,-238.253
7,0.701465,-7188.94,0.0536751,0.630421,-0.268853,-0.00106702,500,-7390.63,201.682,115.183,280.691,-8464.11,677.611,439.935,-238.253
8,0.700186,-7188.92,0.0739767,0.629142,-0.376261,-0.00147949,500,-7390.63,201.702,115.183,280.691,-8464.11,677.611,439.955,-238.253
9,0.698908,-7188.92,0.0735063,0.627863,-0.359396,-0.00194985,500,-7390.63,201.702,115.183,280.691,-8464.11,677.611,439.955,-238.253
10,0.697629,-7188.87,0.124635,0.626585,-0.653152,-0.00259725,500,-7390.63,201.753,115.183,280.691,-8464.11,677.611,440.006,-238.253
11,0.69635,-7188.87,0.123812,0.625306,-0.634197,-0.00342034,500,-7390.63,201.752,115.183,280.691,-8464.11,677.611,440.005,-238.253
12,0.695071,-7188.86,0.133316,0.624027,-0.67766,-0.0042591,500,-7390.63,201.762,115.183,280.691,-8464.11,677.611,440.015,-238.253
13,0.693793,-7188.86,0.132461,0.622748,-0.658285,-0.00511327,500,-7390.63,201.761,115.183,280.691,-8464.11,677.611,440.014,-238.253
14,0.692514,-7188.87,0.131632,0.62147,-0.638912,-0.00594266,500,-7390.63,201.76,115.183,280.691,-8464.11,677.611,440.013,-238.253
15,0.691235,-7188.87,0.130827,0.620191,-0.619542,-0.00674728,500,-7390.63,201.759,115.183,280.691,-8464.11,677.611,440.012,-238.253
16,0.689956,-7188.87,0.130048,0.618912,-0.600172,-0.00752713,500,-7390.63,201.758,115.183,280.691,-8464.11,677.611,440.011,-238.253
17,0.688678,-7188.87,0.129292,0.617633,-0.580804,-0.00828222,500,-7390.63,201.758,115.183,280.691,-8464.11,677.611,440.011,-238.253
18,0.687399,-7188.87,0.128562,0.616355,-0.561437,-0.00901253,500,-7390.63,201.757,115.183,280.691,-8464.11,677.611,440.01,-238.253
19,0.68612,-7188.87,0.127857,0.615076,-0.542072,-0.00971809,500,-7390.63,201.756,115.183,280.691,-8464.11,677.611,440.009,-238.253
20,0.684841,-7188.87,0.127176,0.613797,-0.522707,-0.0103989,500,-7390.63,201.756,115.183,280.691,-8464.11,677.611,440.009,-238.253
21,0.683563,-7188.87,0.12652,0.612518,-0.503341,-0.0110549,500,-7390.63,201.755,115.183,280.691,-8464.11,677.611,440.008,-238.253
22,0.682284,-7188.87,0.125889,0.61124,-0.483976,-0.0116862,500,-7390.63,201.754,115.183,280.691,-8464.11,677.611,440.007,-238.253
23,0.681005,-7188.87,0.125282,0.609961,-0.46461,-0.0122927,500,-7390.63,201.754,115.183,280.691,-8464.11,677.611,440.007,-238.253
24,0.679726,-7188.87,0.1247,0.608682,-0.445243,-0.0128744,500,-7390.63,201.753,115.183,280.691,-8464.11,677.611,440.006,-238.253
25,0.678448,-7188.87,0.124143,0.607403,-0.425875,-0.0134314,500,-7390.63,201.753,115.183,280.691,-8464.11,677.611,440.006,-238.253
26,0.677169,-7188.87,0.123611,0.606125,-0.406505,-0.0139636,500,-7390.63,201.752,115.183,280.691,-8464.11,677.611,440.005,-238.253
27,0.67589,-7188.87,0.123104,0.604846,-0.387135,-0.014471,500,-7390.63,201.751,115.183,280.691,-8464.11,677.611,440.004,-238.253
28,0.674611,-7188.87,0.122621,0.603567,-0.367761,-0.0149537,500,-7390.63,201.751,115.183,280.691,-8464.11,677.611,440.004,-238.253
29,0.673333,-7188.87,0.122163,0.602288,-0.348384,-0.0154115,500,-7390.63,201.751,115.183,280.691,-8464.11,677.611,440.004,-238.253
30,0.672054,-7188.88,0.12173,0.60101,-0.329005,-0.0158446,500,-7390.63,201.75,115.183,280.691,-8464.11,677.611,440.003,-238.253
31,0.670775,-7188.88,0.121322,0.599731,-0.309622,-0.016253,500,-7390.63,201.75,115.183,280.691,-8464.11,677.611,440.003,-238.253
32,0.669496,-7188.88,0.120938,0.598452,-0.290237,-0.0166365,500,-7390.63,201.749,115.183,280.691,-8464.11,677.611,440.002,-238.253
33,0.668218,-7188.88,0.120579,0.597173,-0.270847,-0.0169952,500,-7390.63,201.749,115.183,280.691,-8464.11,677.611,440.002,-238.253
34,0.666939,-7188.88,0.120245,0.595895,-0.251453,-0.0173292,500,-7390.63,201.749,115.183,280.691,-8464.11,677.611,440.002,-238.253
35,0.66566,-7188.88,0.119936,0.594616,-0.232054,-0.0176383,500,-7390.63,201.748,115.183,280.691,-8464.11,677.611,440.001,-238.253
36,0.664381,-7188.88,0.119652,0.593337,-0.212651,-0.0179227,500,-7390.63,201.748,115.183,280.691,-8464.11,677.611,440.001,-238.253
37,0.663103,-7188.88,0.119392,0.592058,-0.193242,-0.0181822,500,-7390.63,201.748,115.183,280.691,-8464.11,677.611,440.001,-238.253
38,0.661824,-7188.88,0.119158,0.59078,-0.173827,-0.0184169,500,-7390.63,201.748,115.183,280.691,-8464.11,677.611,440.001,-238.253
39,0.660545,-7188.88,0.118948,0.589501,-0.154406,-0.0186267,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
40,0.659266,-7188.88,0.118763,0.588222,-0.13498,-0.0188118,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
41,0.657988,-7188.88,0.118603,0.586943,-0.115546,-0.0189719,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
42,0.656709,-7188.88,0.118467,0.585665,-0.0961051,-0.0191073,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
43,0.65543,-7188.88,0.118357,0.584386,-0.0766568,-0.0192177,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
44,0.654151,-7188.88,0.118271,0.583107,-0.0572017,-0.0193033,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
45,0.652873,-7188.88,0.118211,0.581829,-0.0377376,-0.019364,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
46,0.651594,-7188.88,0.118175,0.58055,-0.0182651,-0.0193998,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
47,0.650315,-7188.88,0.118164,0.579271,0.00121608,-0.0194107,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
48,0.649036,-7188.88,0.118178,0.577992,0.0207064,-0.0193967,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
49,0.647758,-7188.88,0.118217,0.576714,0.0402051,-0.0193578,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
50,0.646479,-7188.88,0.118281,0.575435,0.0597145,-0.0192939,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
51,0.6452,-7188.88,0.11837,0.574156,0.079234,-0.019205,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
52,0.643922,-7188.88,0.118483,0.572877,0.0987639,-0.0190912,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
53,0.642643,-7188.88,0.118622,0.571599,0.118303,-0.0189524,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
54,0.641364,-7188.88,0.118786,0.57032,0.137855,-0.0187887,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
55,0.640085,-7188.88,0.118975,0.569041,0.157418,-0.0185999,500,-7390.63,201.747,115.183,280.691,-8464.11,677.611,440,-238.253
56,0.638807,-7188.88,0.119189,0.567762,0.176992,-0.018386,500,-7390.63,201.748,115.183,280.691,-8464.11,677.611,440.001,-238.253
57,0.637528,-7188.88,0.119427,0.566484,0.196578,-0.0181472,500,-7390.63,201.748,115.183,280.691,-8464.11,677.611,440.001,-238.253
58,0.636249,-7188.88,0.119691,0.565205,0.216177,-0.0178833,500,-7390.63,201.748,115.183,280.691,-8464.11,677.611,440.001,-238.253
