step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.710416,-7189.03,0,0.639372,0.00218444,0,500,-7390.7,201.664,115.087,280.892,-8464.19,677.513,439.82,-238.156
1,0.709137,-7189.03,1.06549e-005,0.638093,0.0148027,1.08611e-005,500,-7390.7,201.664,115.087,280.892,-8464.19,677.513,439.82,-238.156
2,0.707859,-7189.02,0.013334,0.636815,-0.0993875,-4.322e-005,500,-7390.7,201.677,115.087,280.892,-8464.19,677.513,439.833,-238.156
3,0.70658,-7189.02,0.0132161,0.635536,-0.0849584,-0.000161086,500,-7390.7,201.677,115.087,280.892,-8464.19,677.513,439.833,-238.156
4,0.705301,-7189.02,0.0131167,0.634257,-0.0705209,-0.000260495,500,-7390.7,201.677,115.087,280.892,-8464.19,677.513,439.833,-238.156
5,0.704022,-7188.99,0.0439675,0.632978,-0.239064,-0.000458434,500,-7390.7,201.708,115.087,280.892,-8464.19,677.513,439.864,-238.156
6,0.702744,-7188.99,0.0436718,0.6317,-0.223427,-0.000754138,500,-7390.7,201.708,115.087,280.892,-8464.19,677.513,439.864,-238.156
7,0.701465,-7188.98,0.0537019,0.630421,-0.269168,-0.00106909,500,-7390.7,201.718,115.087,280.892,-8464.19,677.513,439.874,-238.156
8,0.700186,-7188.96,0.0740158,0.629142,-0.376661,-0.00148202,500,-7390.7,201.738,115.087,280.892,-8464.19,677.513,439.894,-238.156
9,0.698908,-7188.96,0.0735449,0.627863,-0.359785,-0.00195288,500,-7390.7,201.737,115.087,280.892,-8464.19,677.513,439.894,-238.156
10,0.697629,-7188.91,0.124628,0.626585,-0.653164,-0.00260053,500,-7390.7,201.789,115.087,280.892,-8464.19,677.513,439.945,-238.156
11,0.69635,-7188.91,0.123805,0.625306,-0.634203,-0.00342364,500,-7390.7,201.788,115.087,280.892,-8464.19,677.513,439.944,-238.156
12,0.695071,-7188.9,0.133305,0.624027,-0.677635,-0.00426239,500,-7390.7,201.797,115.087,280.892,-8464.19,677.513,439.953,-238.156
13,0.693793,-7188.9,0.132451,0.622748,-0.658253,-0.00511652,500,-7390.7,201.796,115.087,280.892,-8464.19,677.513,439.953,-238.156
14,0.692514,-7188.9,0.131622,0.62147,-0.638874,-0.00594586,500,-7390.7,201.796,115.087,280.892,-8464.19,677.513,439.952,-238.156
15,0.691235,-7188.9,0.130817,0.620191,-0.619497,-0.00675043,500,-7390.7,201.795,115.087,280.892,-8464.19,677.513,439.951,-238.156
16,0.689956,-7188.9,0.130037,0.618912,-0.600121,-0.00753022,500,-7390.7,201.794,115.087,280.892,-8464.19,677.513,439.95,-238.156
17,0.688678,-7188.9,0.129282,0.617633,-0.580747,-0.00828524,500,-7390.7,201.793,115.087,280.892,-8464.19,677.513,439.949,-238.156
18,0.687399,-7188.9,0.128552,0.616355,-0.561374,-0.00901548,500,-7390.7,201.792,115.087,280.892,-8464.19,677.513,439.949,-238.156
19,0.68612,-7188.9,0.127847,0.615076,-0.542003,-0.00972094,500,-7390.7,201.792,115.087,280.892,-8464.19,677.513,439.948,-238.156
20,0.684841,-7188.9,0.127166,0.613797,-0.522631,-0.0104016,500,-7390.7,201.791,115.087,280.892,-8464.19,677.513,439.947,-238.156
21,0.683563,-7188.9,0.12651,0.612518,-0.503259,-0.0110576,500,-7390.7,201.79,115.087,280.892,-8464.19,677.513,439.947,-238.156
22,0.682284,-7188.91,0.125879,0.61124,-0.483887,-0.0116887,500,-7390.7,201.79,115.087,280.892,-8464.19,677.513,439.946,-238.156
23,0.681005,-7188.91,0.125272,0.609961,-0.464516,-0.0122951,500,-7390.7,201.789,115.087,280.892,-8464.19,677.513,439.945,-238.156
24,0.679726,-7188.91,0.124691,0.608682,-0.445143,-0.0128767,500,-7390.7,201.789,115.087,280.892,-8464.19,677.513,439.945,-238.156
25,0.678448,-7188.91,0.124134,0.607403,-0.425769,-0.0134335,500,-7390.7,201.788,115.087,280.892,-8464.19,677.513,439.944,-238.156
26,0.677169,-7188.91,0.123602,0.606125,-0.406393,-0.0139656,500,-7390.7,201.788,115.087,280.892,-8464.19,677.513,439.944,-238.156
27,0.67589,-7188.91,0.123095,0.604846,-0.387016,-0.0144729,500,-7390.7,201.787,115.087,280.892,-8464.19,677.513,439.943,-238.156
28,0.674611,-7188.91,0.122612,0.603567,-0.367636,-0.0149554,500,-7390.7,201.787,115.087,280.892,-8464.19,677.513,439.943,-238.156
29,0.673333,-7188.91,0.122154,0.602288,-0.348254,-0.0154131,500,-7390.7,201.786,115.087,280.892,-8464.19,677.513,439.942,-238.156
30,0.672054,-7188.91,0.121721,0.60101,-0.328869,-0.0158461,500,-7390.7,201.786,115.087,280.892,-8464.19,677.513,439.942,-238.156
31,0.670775,-7188.91,0.121313,0.599731,-0.309481,-0.0162542,500,-7390.7,201.785,115.087,280.892,-8464.19,677.513,439.941,-238.156
32,0.669496,-7188.91,0.12093,0.598452,-0.29009,-0.0166375,500,-7390.7,201.785,115.087,280.892,-8464.19,677.513,439.941,-238.156
33,0.668218,-7188.91,0.120571,0.597173,-0.270694,-0.0169961,500,-7390.7,201.785,115.087,280.892,-8464.19,677.513,439.941,-238.156
34,0.666939,-7188.91,0.120238,0.595895,-0.251294,-0.0173298,500,-7390.7,201.784,115.087,280.892,-8464.19,677.513,439.94,-238.156
35,0.66566,-7188.91,0.119929,0.594616,-0.23189,-0.0176388,500,-7390.7,201.784,115.087,280.892,-8464.19,677.513,439.94,-238.156
36,0.664381,-7188.91,0.119645,0.593337,-0.212481,-0.0179229,500,-7390.7,201.784,115.087,280.892,-8464.19,677.513,439.94,-238.156
37,0.663103,-7188.91,0.119385,0.592058,-0.193066,-0.0181822,500,-7390.7,201.783,115.087,280.892,-8464.19,677.513,439.94,-238.156
38,0.661824,-7188.91,0.119151,0.59078,-0.173646,-0.0184167,500,-7390.7,201.783,115.087,280.892,-8464.19,677.513,439.939,-238.156
39,0.660545,-7188.91,0.118941,0.589501,-0.15422,-0.0186263,500,-7390.7,201.783,115.087,280.892,-8464.19,677.513,439.939,-238.156
40,0.659266,-7188.91,0.118756,0.588222,-0.134788,-0.0188111,500,-7390.7,201.783,115.087,280.892,-8464.19,677.513,439.939,-238.156
41,0.657988,-7188.91,0.118596,0.586943,-0.115349,-0.018971,500,-7390.7,201.783,115.087,280.892,-8464.19,677.513,439.939,-238.156
42,0.656709,-7188.91,0.118461,0.585665,-0.0959028,-0.0191061,500,-7390.7,201.782,115.087,280.892,-8464.19,677.513,439.939,-238.156
43,0.65543,-7188.91,0.118351,0.584386,-0.0764493,-0.0192163,500,-7390.7,201.782,115.087,280.892,-8464.19,677.513,439.939,-238.156
44,0.654151,-7188.91,0.118266,0.583107,-0.056989,-0.0193016,500,-7390.7,201.782,115.087,280.892,-8464.19,677.513,439.938,-238.156
45,0.652873,-7188.91,0.118205,0.581829,-0.0375198,-0.019362,500,-7390.7,201.782,115.087,280.892,-8464.19,677.513,439.938,-238.156
46,0.651594,-7188.91,0.11817,0.58055,-0.0180423,-0.0193975,500,-7390.7,201.782,115.087,280.892,-8464.19,677.513,439.938,-238.156
47,0.650315,-7188.91,0.118159,0.579271,0.00144388,-0.0194081,500,-7390.7,201.782,115.087,280.892,-8464.19,677.513,439.938,-238.156
48,0.649036,-7188.91,0.118174,0.577992,0.0209391,-0.0193938,500,-7390.7,201.782,115.087,280.892,-8464.19,677.513,439.938,-238.156
49,0.647758,-7188.91,0.118213,0.576714,0.0404427,-0.0193546,500,-7390.7,201.782,115.087,280.892,-8464.19,677.513,439.938,-238.156
50,0.646479,-7188.91,0.118277,0.575435,0.0599569,-0.0192904,500,-7390.7,201.782,115.087,280.892,-8464.19,677.513,439.938,-238.156
51,0.6452,-7188.91,0.118366,0.574156,0.0794812,-0.0192012,500,-7390.7,201.782,115.087,280.892,-8464.19,677.513,439.939,-238.156
52,0.643922,-7188.91,0.11848,0.572877,0.0990157,-0.0190871,500,-7390.7,201.782,115.087,280.892,-8464.19,677.513,439.939,-238.156
53,0.642643,-7188.91,0.118619,0.571599,0.11856,-0.018948,500,-7390.7,201.783,115.087,280.892,-8464.19,677.513,439.939,-238.156
54,0.641364,-7188.91,0.118784,0.57032,0.138116,-0.0187839,500,-7390.7,201.783,115.087,280.892,-8464.19,677.513,439.939,-238.156
55,0.640085,-7188.91,0.118973,0.569041,0.157683,-0.0185948,500,-7390.7,201.783,115.087,280.892,-8464.19,677.513,439.939,-238.156
56,0.638807,-7188.91,0.119187,0.567762,0.177262,-0.0183806,500,-7390.7,201.783,115.087,280.892,-8464.19,677.513,439.939,-238.156
