step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.710416,-7189.03,0,0.639372,0.00218444,0,200,-7390.7,201.664,115.087,280.892,-8464.19,677.513,439.82,-238.156
1,0.697629,-7188.91,0.124628,0.626585,-0.653164,-0.00416218,200,-7390.7,201.789,115.087,280.892,-8464.19,677.513,439.945,-238.156
2,0.684841,-7188.9,0.127166,0.613797,-0.522631,-0.0116799,200,-7390.7,201.791,115.087,280.892,-8464.19,677.513,439.947,-238.156
3,0.672054,-7188.91,0.121721,0.60101,-0.328869,-0.0171241,200,-7390.7,201.786,115.087,280.892,-8464.19,677.513,439.942,-238.156
4,0.659266,-7188.91,0.118756,0.588222,-0.134788,-0.0200886,200,-7390.7,201.783,115.087,280.892,-8464.19,677.513,439.939,-238.156
5,0.646479,-7188.91,0.118277,0.575435,0.0599569,-0.0205671,200,-7390.7,201.782,115.087,280.892,-8464.19,677.513,439.938,-238.156
6,0.633692,-7188.9,0.130652,0.562647,0.19433,-0.0189412,200,-7390.7,201.795,115.087,280.892,-8464.19,677.513,439.951,-238.156
7,0.620904,-7188.79,0.243625,0.54986,-0.266731,-0.0194042,200,-7390.7,201.908,115.087,280.892,-8464.19,677.513,440.064,-238.156
8,0.608117,-7188.79,0.241793,0.537072,-0.0198977,-0.0212368,200,-7390.7,201.906,115.087,280.892,-8464.19,677.513,440.062,-238.156
9,0.595329,-7188.79,0.243115,0.524285,0.226725,-0.0199144,200,-7390.7,201.907,115.087,280.892,-8464.19,677.513,440.063,-238.156
10,0.582542,-7188.89,0.13748,0.511498,-0.24602,-0.0200377,200,-7390.7,201.801,115.087,280.892,-8464.19,677.513,439.958,-238.156
11,0.569754,-7188.93,0.102274,0.49871,-0.257923,-0.0232598,200,-7390.7,201.766,115.087,280.892,-8464.19,677.513,439.922,-238.156
12,0.556967,-7188.93,0.100053,0.485923,-0.0903878,-0.0254868,200,-7390.7,201.764,115.087,280.892,-8464.19,677.513,439.92,-238.156
13,0.544179,-7188.93,0.0999392,0.473135,0.071608,-0.0256069,200,-7390.7,201.764,115.087,280.892,-8464.19,677.513,439.92,-238.156
14,0.531392,-7188.97,0.0588834,0.460348,-0.0742113,-0.0256235,200,-7390.7,201.723,115.087,280.892,-8464.19,677.513,439.879,-238.156
15,0.518605,-7189.01,0.024245,0.44756,-0.170971,-0.0271912,200,-7390.7,201.688,115.087,280.892,-8464.19,677.513,439.844,-238.156
16,0.505817,-7189.05,-0.0221866,0.434773,-0.351936,-0.0305345,200,-7390.7,201.642,115.087,280.892,-8464.19,677.513,439.798,-238.156
17,0.49303,-7189.08,-0.0482567,0.421986,-0.417815,-0.0354561,200,-7390.7,201.616,115.087,280.892,-8464.19,677.513,439.772,-238.156
18,0.480242,-7188.98,0.048392,0.409198,-0.997114,-0.0445027,200,-7390.7,201.712,115.087,280.892,-8464.19,677.513,439.869,-238.156
19,0.467455,-7188.98,0.0552854,0.396411,-1.04832,-0.0575806,200,-7390.7,201.719,115.087,280.892,-8464.19,677.513,439.875,-238.156
20,0.454667,-7188.99,0.0422655,0.383623,-0.991381,-0.0706219,200,-7390.7,201.706,115.087,280.892,-8464.19,677.513,439.862,-238.156
21,0.44188,-7189,0.0298415,0.370836,-0.955403,-0.0830691,200,-7390.7,201.694,115.087,280.892,-8464.19,677.513,439.85,-238.156
22,0.429093,-7189.05,-0.0140572,0.358048,-1.16671,-0.0966373,200,-7390.7,201.65,115.087,280.892,-8464.19,677.513,439.806,-238.156
23,0.416305,-7189.09,-0.0625948,0.345261,-1.43075,-0.113245,200,-7390.7,201.601,115.087,280.892,-8464.19,677.513,439.758,-238.156
24,0.403518,-7188.99,0.0383413,0.332473,-2.24385,-0.136739,200,-7390.7,201.702,115.087,280.892,-8464.19,677.513,439.859,-238.156
25,0.39073,-7189.02,0.0093556,0.319686,-2.29341,-0.165749,200,-7390.7,201.673,115.087,280.892,-8464.19,677.513,439.83,-238.156
