step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.568328,-7189.03,0,-0.639372,-0.0019229,0,500,-7390.69,201.657,115.157,280.894,-8464.2,677.464,439.858,-238.201
1,-0.567049,-7189.03,4.21483e-006,-0.638093,0.0106305,5.56742e-006,500,-7390.69,201.657,115.157,280.895,-8464.2,677.464,439.858,-238.201
2,-0.56577,-7189.03,2.58227e-005,-0.636815,0.0231604,2.71724e-005,500,-7390.69,201.657,115.157,280.895,-8464.2,677.464,439.858,-238.201
3,-0.564492,-7189.03,6.34323e-005,-0.635536,0.035656,6.47779e-005,500,-7390.69,201.657,115.157,280.895,-8464.2,677.464,439.858,-238.201
4,-0.563213,-7189.03,0.000116999,-0.634257,0.0481168,0.00011834,500,-7390.69,201.657,115.157,280.895,-8464.2,677.464,439.858,-238.201
5,-0.561934,-7189.03,0.000186477,-0.632978,0.060543,0.000187814,500,-7390.69,201.657,115.157,280.895,-8464.2,677.464,439.858,-238.201
6,-0.560655,-7189.03,0.000271819,-0.6317,0.072934,0.000273155,500,-7390.69,201.657,115.157,280.895,-8464.2,677.464,439.858,-238.201
7,-0.559377,-7189.03,0.000372989,-0.630421,0.0852911,0.00037432,500,-7390.69,201.657,115.157,280.895,-8464.2,677.464,439.859,-238.201
8,-0.558098,-7189.03,0.000489938,-0.629142,0.0976136,0.000491264,500,-7390.69,201.658,115.157,280.895,-8464.2,677.464,439.859,-238.201
9,-0.556819,-7189.03,0.000622622,-0.627863,0.109902,0.000623944,500,-7390.69,201.658,115.157,280.895,-8464.2,677.464,439.859,-238.201
10,-0.55554,-7189.03,0.000770991,-0.626585,0.122155,0.000772314,500,-7390.69,201.658,115.157,280.895,-8464.2,677.464,439.859,-238.201
11,-0.554262,-7189,0.031964,-0.625306,-0.0522868,0.000816986,500,-7390.69,201.689,115.157,280.895,-8464.2,677.464,439.89,-238.201
12,-0.552983,-7189,0.0319058,-0.624027,-0.0388557,0.000758712,500,-7390.69,201.689,115.157,280.895,-8464.2,677.464,439.89,-238.201
13,-0.551704,-7188.99,0.0421708,-0.622748,-0.0878839,0.000677678,500,-7390.69,201.699,115.157,280.895,-8464.2,677.464,439.9,-238.201
14,-0.550425,-7188.97,0.0627398,-0.62147,-0.199762,0.000493765,500,-7390.69,201.72,115.157,280.895,-8464.2,677.464,439.921,-238.201
15,-0.549147,-7188.97,0.0624937,-0.620191,-0.18517,0.00024765,500,-7390.69,201.72,115.157,280.895,-8464.2,677.464,439.921,-238.201
16,-0.547868,-7188.91,0.113853,-0.618912,-0.486098,-0.00018154,500,-7390.69,201.771,115.157,280.895,-8464.2,677.464,439.972,-238.201
17,-0.546589,-7188.9,0.123567,-0.617633,-0.53283,-0.000833014,500,-7390.69,201.781,115.157,280.895,-8464.2,677.464,439.982,-238.201
18,-0.54531,-7188.91,0.122897,-0.616355,-0.515757,-0.00150345,500,-7390.69,201.78,115.157,280.895,-8464.2,677.464,439.981,-238.201
19,-0.544032,-7188.91,0.122248,-0.615076,-0.498739,-0.00215209,500,-7390.69,201.779,115.157,280.895,-8464.2,677.464,439.98,-238.201
20,-0.542753,-7188.91,0.121621,-0.613797,-0.481775,-0.002779,500,-7390.69,201.779,115.157,280.895,-8464.2,677.464,439.98,-238.201
21,-0.541474,-7188.91,0.121016,-0.612518,-0.464865,-0.00338426,500,-7390.69,201.778,115.157,280.895,-8464.2,677.464,439.979,-238.201
22,-0.540195,-7188.91,0.120432,-0.61124,-0.44801,-0.00396793,500,-7390.69,201.777,115.157,280.895,-8464.2,677.464,439.979,-238.201
23,-0.538917,-7188.91,0.11987,-0.609961,-0.431212,-0.00453008,500,-7390.69,201.777,115.157,280.895,-8464.2,677.464,439.978,-238.201
24,-0.537638,-7188.91,0.119329,-0.608682,-0.414469,-0.00507078,500,-7390.69,201.776,115.157,280.895,-8464.2,677.464,439.978,-238.201
25,-0.536359,-7188.91,0.11881,-0.607403,-0.397782,-0.00559011,500,-7390.69,201.776,115.157,280.895,-8464.2,677.464,439.977,-238.201
26,-0.53508,-7188.91,0.118312,-0.606125,-0.381151,-0.00608814,500,-7390.69,201.775,115.157,280.895,-8464.2,677.464,439.977,-238.201
27,-0.533802,-7188.91,0.117835,-0.604846,-0.364579,-0.00656494,500,-7390.69,201.775,115.157,280.895,-8464.2,677.464,439.976,-238.201
28,-0.532523,-7188.92,0.106958,-0.603567,-0.440168,-0.00707947,500,-7390.69,201.764,115.157,280.895,-8464.2,677.464,439.965,-238.201
29,-0.531244,-7188.92,0.106405,-0.602288,-0.424875,-0.00763256,500,-7390.69,201.763,115.157,280.895,-8464.2,677.464,439.965,-238.201
30,-0.529965,-7188.92,0.105871,-0.60101,-0.409656,-0.00816613,500,-7390.69,201.763,115.157,280.895,-8464.2,677.464,439.964,-238.201
31,-0.528687,-7188.92,0.105357,-0.599731,-0.394512,-0.00868029,500,-7390.69,201.762,115.157,280.895,-8464.2,677.464,439.964,-238.201
32,-0.527408,-7188.92,0.104862,-0.598452,-0.379444,-0.00917514,500,-7390.69,201.762,115.157,280.895,-8464.2,677.464,439.963,-238.201
33,-0.526129,-7188.92,0.104387,-0.597173,-0.364451,-0.00965076,500,-7390.69,201.761,115.157,280.895,-8464.2,677.464,439.963,-238.201
34,-0.524851,-7188.92,0.10393,-0.595895,-0.349535,-0.0101073,500,-7390.69,201.761,115.157,280.895,-8464.2,677.464,439.962,-238.201
35,-0.523572,-7188.92,0.103493,-0.594616,-0.334697,-0.0105447,500,-7390.69,201.761,115.157,280.895,-8464.2,677.464,439.962,-238.201
36,-0.522293,-7188.93,0.103074,-0.593337,-0.319937,-0.0109633,500,-7390.69,201.76,115.157,280.895,-8464.2,677.464,439.961,-238.201
37,-0.521014,-7188.93,0.102675,-0.592058,-0.305256,-0.011363,500,-7390.69,201.76,115.157,280.895,-8464.2,677.464,439.961,-238.201
38,-0.519736,-7188.93,0.102294,-0.59078,-0.290655,-0.011744,500,-7390.69,201.759,115.157,280.895,-8464.2,677.464,439.96,-238.201
39,-0.518457,-7188.93,0.101931,-0.589501,-0.276133,-0.0121064,500,-7390.69,201.759,115.157,280.895,-8464.2,677.464,439.96,-238.201
40,-0.517178,-7188.93,0.101587,-0.588222,-0.261694,-0.0124503,500,-7390.69,201.759,115.157,280.895,-8464.2,677.464,439.96,-238.201
41,-0.515899,-7188.93,0.101262,-0.586943,-0.247337,-0.0127758,500,-7390.69,201.758,115.157,280.895,-8464.2,677.464,439.959,-238.201
42,-0.514621,-7188.93,0.100955,-0.585665,-0.233062,-0.0130829,500,-7390.69,201.758,115.157,280.895,-8464.2,677.464,439.959,-238.201
43,-0.513342,-7188.93,0.100666,-0.584386,-0.218871,-0.0133719,500,-7390.69,201.758,115.157,280.895,-8464.2,677.464,439.959,-238.201
44,-0.512063,-7188.93,0.100395,-0.583107,-0.204765,-0.0136427,500,-7390.69,201.757,115.157,280.895,-8464.2,677.464,439.959,-238.201
45,-0.510784,-7188.93,0.100142,-0.581829,-0.190745,-0.0138956,500,-7390.69,201.757,115.157,280.895,-8464.2,677.464,439.958,-238.201
46,-0.509506,-7188.93,0.0999071,-0.58055,-0.17681,-0.0141306,500,-7390.69,201.757,115.157,280.895,-8464.2,677.464,439.958,-238.201
47,-0.508227,-7188.93,0.0996899,-0.579271,-0.162964,-0.0143479,500,-7390.69,201.757,115.157,280.895,-8464.2,677.464,439.958,-238.201
48,-0.506948,-7188.93,0.0994903,-0.577992,-0.149205,-0.0145474,500,-7390.69,201.757,115.157,280.895,-8464.2,677.464,439.958,-238.201
49,-0.505669,-7188.93,0.0979322,-0.576714,-0.147286,-0.014737,500,-7390.69,201.755,115.157,280.895,-8464.2,677.464,439.956,-238.201
50,-0.504391,-7188.93,0.097069,-0.575435,-0.139657,-0.0149205,500,-7390.69,201.754,115.157,280.895,-8464.2,677.464,439.955,-238.201
51,-0.503112,-7188.93,0.0962115,-0.574156,-0.132224,-0.0150943,500,-7390.69,201.753,115.157,280.895,-8464.2,677.464,439.954,-238.201
52,-0.501833,-7188.93,0.0953626,-0.572877,-0.124956,-0.0152587,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.954,-238.201
53,-0.500554,-7188.93,0.0952111,-0.571599,-0.112016,-0.0154103,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
54,-0.499276,-7188.93,0.095076,-0.57032,-0.0991754,-0.0155453,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
55,-0.497997,-7188.93,0.0949574,-0.569041,-0.0864347,-0.015664,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
56,-0.496718,-7188.93,0.0948549,-0.567762,-0.0737956,-0.0157664,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
57,-0.495439,-7188.93,0.0947686,-0.566484,-0.0612599,-0.0158528,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
58,-0.494161,-7188.93,0.0946982,-0.565205,-0.0488278,-0.0159231,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
59,-0.492882,-7188.93,0.0946437,-0.563926,-0.036501,-0.0159777,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
60,-0.491603,-7188.93,0.0946048,-0.562647,-0.0242809,-0.0160166,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
61,-0.490324,-7188.93,0.0945815,-0.561369,-0.0121694,-0.0160399,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
62,-0.489046,-7188.93,0.0945737,-0.56009,-0.000166703,-0.0160478,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
63,-0.487767,-7188.93,0.0945811,-0.558811,0.0117252,-0.0160404,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
64,-0.486488,-7188.93,0.0946036,-0.557532,0.023505,-0.0160178,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
65,-0.485209,-7188.93,0.0946411,-0.556254,0.0351712,-0.0159803,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
66,-0.483931,-7188.93,0.0946935,-0.554975,0.0467217,-0.015928,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
67,-0.482652,-7188.92,0.105103,-0.553696,-0.00414147,-0.0159007,500,-7390.69,201.762,115.157,280.895,-8464.2,677.464,439.963,-238.201
