step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.568328,-7189.03,0,-0.639372,-0.0019229,0,500,-7390.69,201.657,115.157,280.894,-8464.2,677.464,439.858,-238.201
1,-0.561934,-7189.03,0.000186477,-0.632978,0.060543,0.0001874,500,-7390.69,201.657,115.157,280.895,-8464.2,677.464,439.858,-238.201
2,-0.55554,-7189.03,0.000770991,-0.626585,0.122155,0.00077146,500,-7390.69,201.658,115.157,280.895,-8464.2,677.464,439.859,-238.201
3,-0.549147,-7188.97,0.0624937,-0.620191,-0.18517,0.00057001,500,-7390.69,201.72,115.157,280.895,-8464.2,677.464,439.921,-238.201
4,-0.542753,-7188.91,0.121621,-0.613797,-0.481775,-0.00156212,500,-7390.69,201.779,115.157,280.895,-8464.2,677.464,439.98,-238.201
5,-0.536359,-7188.91,0.11881,-0.607403,-0.397782,-0.00437394,500,-7390.69,201.776,115.157,280.895,-8464.2,677.464,439.977,-238.201
6,-0.529965,-7188.92,0.105871,-0.60101,-0.409656,-0.0069552,500,-7390.69,201.763,115.157,280.895,-8464.2,677.464,439.964,-238.201
7,-0.523572,-7188.92,0.103493,-0.594616,-0.334697,-0.00933479,500,-7390.69,201.761,115.157,280.895,-8464.2,677.464,439.962,-238.201
8,-0.517178,-7188.93,0.101587,-0.588222,-0.261694,-0.0112414,500,-7390.69,201.759,115.157,280.895,-8464.2,677.464,439.96,-238.201
9,-0.510784,-7188.93,0.100142,-0.581829,-0.190745,-0.0126878,500,-7390.69,201.757,115.157,280.895,-8464.2,677.464,439.958,-238.201
10,-0.504391,-7188.93,0.097069,-0.575435,-0.139657,-0.013744,500,-7390.69,201.754,115.157,280.895,-8464.2,677.464,439.955,-238.201
11,-0.497997,-7188.93,0.0949574,-0.569041,-0.0864347,-0.0144668,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
12,-0.491603,-7188.93,0.0946048,-0.562647,-0.0242809,-0.0148207,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
13,-0.485209,-7188.93,0.0946411,-0.556254,0.0351712,-0.0147859,500,-7390.69,201.752,115.157,280.895,-8464.2,677.464,439.953,-238.201
14,-0.478816,-7188.89,0.13591,-0.54986,-0.156168,-0.0151727,500,-7390.69,201.793,115.157,280.895,-8464.2,677.464,439.994,-238.201
15,-0.472422,-7188.81,0.215984,-0.543466,-0.591679,-0.0175635,500,-7390.69,201.873,115.157,280.895,-8464.2,677.464,440.074,-238.201
16,-0.466028,-7188.82,0.212445,-0.537072,-0.515974,-0.0211045,500,-7390.69,201.869,115.157,280.895,-8464.2,677.464,440.071,-238.201
17,-0.459635,-7188.82,0.209377,-0.530679,-0.444322,-0.0241744,500,-7390.69,201.866,115.157,280.895,-8464.2,677.464,440.068,-238.201
