step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,0.710416,-7192.19,0,0.639372,0.0136815,0,500,-7390.82,198.629,115.087,280.881,-8464.3,677.513,436.824,-238.196
1,0.704022,-7192.09,0.10121,0.632978,-0.539167,-0.0016799,500,-7390.82,198.73,115.087,280.881,-8464.3,677.513,436.926,-238.196
2,0.697629,-7191.9,0.286735,0.626585,-1.48759,-0.00815915,500,-7390.82,198.915,115.087,280.881,-8464.3,677.513,437.111,-238.196
3,0.691235,-7191.89,0.30106,0.620191,-1.41063,-0.0174243,500,-7390.82,198.93,115.087,280.881,-8464.3,677.513,437.126,-238.196
4,0.684841,-7191.9,0.29275,0.613797,-1.1889,-0.0257347,500,-7390.82,198.921,115.087,280.881,-8464.3,677.513,437.117,-238.196
5,0.678448,-7191.9,0.285857,0.607403,-0.967241,-0.0326276,500,-7390.82,198.914,115.087,280.881,-8464.3,677.513,437.11,-238.196
6,0.672054,-7191.91,0.280381,0.60101,-0.745565,-0.0381032,500,-7390.82,198.909,115.087,280.881,-8464.3,677.513,437.105,-238.196
7,0.66566,-7191.91,0.276323,0.594616,-0.523789,-0.0421611,500,-7390.82,198.905,115.087,280.881,-8464.3,677.513,437.101,-238.196
8,0.659266,-7191.92,0.273684,0.588222,-0.301829,-0.0448005,500,-7390.82,198.902,115.087,280.881,-8464.3,677.513,437.098,-238.196
9,0.652873,-7191.92,0.272464,0.581829,-0.0795865,-0.0460198,500,-7390.82,198.901,115.087,280.881,-8464.3,677.513,437.097,-238.196
10,0.646479,-7191.92,0.272667,0.575435,0.143029,-0.045817,500,-7390.82,198.901,115.087,280.881,-8464.3,677.513,437.097,-238.196
11,0.640085,-7191.92,0.274294,0.569041,0.366113,-0.0441894,500,-7390.82,198.903,115.087,280.881,-8464.3,677.513,437.099,-238.196
12,0.633692,-7191.89,0.301159,0.562647,0.449215,-0.0415829,500,-7390.82,198.93,115.087,280.881,-8464.3,677.513,437.126,-238.196
13,0.627298,-7191.74,0.445629,0.556254,-0.165915,-0.0406772,500,-7390.82,199.074,115.087,280.881,-8464.3,677.513,437.27,-238.196
14,0.620904,-7191.63,0.560923,0.54986,-0.609303,-0.0431555,500,-7390.82,199.19,115.087,280.881,-8464.3,677.513,437.385,-238.196
15,0.61451,-7191.63,0.557926,0.543466,-0.328087,-0.0461522,500,-7390.82,199.187,115.087,280.881,-8464.3,677.513,437.382,-238.196
16,0.608117,-7191.63,0.556727,0.537072,-0.0470052,-0.0473513,500,-7390.82,199.185,115.087,280.881,-8464.3,677.513,437.381,-238.196
17,0.601723,-7191.63,0.557325,0.530679,0.233956,-0.0467536,500,-7390.82,199.186,115.087,280.881,-8464.3,677.513,437.382,-238.196
18,0.595329,-7191.63,0.559719,0.524285,0.51481,-0.0443599,500,-7390.82,199.188,115.087,280.881,-8464.3,677.513,437.384,-238.196
19,0.588936,-7191.68,0.508837,0.517891,0.352466,-0.0415874,500,-7390.82,199.137,115.087,280.881,-8464.3,677.513,437.333,-238.196
20,0.582542,-7191.87,0.316585,0.511498,-0.572493,-0.0422908,500,-7390.82,198.945,115.087,280.881,-8464.3,677.513,437.141,-238.196
21,0.576148,-7191.95,0.240027,0.505104,-0.797001,-0.0466688,500,-7390.82,198.869,115.087,280.881,-8464.3,677.513,437.065,-238.196
22,0.569754,-7191.95,0.235559,0.49871,-0.601305,-0.051139,500,-7390.82,198.864,115.087,280.881,-8464.3,677.513,437.06,-238.196
23,0.563361,-7191.96,0.232332,0.492316,-0.408447,-0.0543671,500,-7390.82,198.861,115.087,280.881,-8464.3,677.513,437.057,-238.196
24,0.556967,-7191.96,0.230329,0.485923,-0.218498,-0.0563713,500,-7390.82,198.859,115.087,280.881,-8464.3,677.513,437.055,-238.196
25,0.550573,-7191.96,0.229532,0.479529,-0.0315462,-0.0571707,500,-7390.82,198.858,115.087,280.881,-8464.3,677.513,437.054,-238.196
26,0.544179,-7191.96,0.229919,0.473135,0.152303,-0.0567846,500,-7390.82,198.858,115.087,280.881,-8464.3,677.513,437.054,-238.196
27,0.537786,-7191.98,0.206525,0.466742,0.112297,-0.0559388,500,-7390.82,198.835,115.087,280.881,-8464.3,677.513,437.031,-238.196
28,0.531392,-7192.06,0.135346,0.460348,-0.181292,-0.0561593,500,-7390.82,198.764,115.087,280.881,-8464.3,677.513,436.96,-238.196
29,0.524998,-7192.13,0.0615581,0.453954,-0.493872,-0.0583177,500,-7390.82,198.69,115.087,280.881,-8464.3,677.513,436.886,-238.196
30,0.518605,-7192.14,0.0553632,0.44756,-0.402901,-0.0611846,500,-7390.82,198.684,115.087,280.881,-8464.3,677.513,436.88,-238.196
31,0.512211,-7192.14,0.0478343,0.441167,-0.335518,-0.0635452,500,-7390.82,198.676,115.087,280.881,-8464.3,677.513,436.872,-238.196
32,0.505817,-7192.24,-0.0519354,0.434773,-0.818154,-0.0672333,500,-7390.82,198.577,115.087,280.881,-8464.3,677.513,436.773,-238.196
33,0.499423,-7192.3,-0.105585,0.428379,-1.02605,-0.073129,500,-7390.82,198.523,115.087,280.881,-8464.3,677.513,436.719,-238.196
34,0.49303,-7192.3,-0.111945,0.421986,-0.964505,-0.0794925,500,-7390.82,198.517,115.087,280.881,-8464.3,677.513,436.713,-238.196
35,0.486636,-7192.28,-0.0941815,0.415592,-1.05292,-0.085942,500,-7390.82,198.534,115.087,280.881,-8464.3,677.513,436.73,-238.196
36,0.480242,-7192.08,0.110234,0.409198,-2.28513,-0.0966133,500,-7390.82,198.739,115.087,280.881,-8464.3,677.513,436.935,-238.196
37,0.473849,-7192.05,0.141831,0.402804,-2.48093,-0.11185,500,-7390.82,198.77,115.087,280.881,-8464.3,677.513,436.966,-238.196
38,0.467455,-7192.06,0.126249,0.396411,-2.39466,-0.127436,500,-7390.82,198.755,115.087,280.881,-8464.3,677.513,436.951,-238.196
39,0.461061,-7192.08,0.111188,0.390017,-2.31842,-0.142503,500,-7390.82,198.74,115.087,280.881,-8464.3,677.513,436.936,-238.196
40,0.454667,-7192.09,0.0965806,0.383623,-2.25256,-0.157116,500,-7390.82,198.725,115.087,280.881,-8464.3,677.513,436.921,-238.196
41,0.448274,-7192.11,0.0823606,0.377229,-2.19734,-0.171342,500,-7390.82,198.711,115.087,280.881,-8464.3,677.513,436.907,-238.196
42,0.44188,-7192.12,0.068459,0.370836,-2.15298,-0.185249,500,-7390.82,198.697,115.087,280.881,-8464.3,677.513,436.893,-238.196
43,0.435486,-7192.14,0.0548062,0.364442,-2.11955,-0.198908,500,-7390.82,198.683,115.087,280.881,-8464.3,677.513,436.879,-238.196
44,0.429093,-7192.22,-0.0317858,0.358048,-2.61188,-0.214034,500,-7390.82,198.597,115.087,280.881,-8464.3,677.513,436.793,-238.196
