step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.568328,-7192.19,0,-0.639372,-0.0136976,0,500,-7390.82,198.628,115.086,280.889,-8464.31,677.514,436.824,-238.196
1,-0.561934,-7192.19,0.000388054,-0.632978,0.130089,0.000372086,500,-7390.82,198.628,115.086,280.889,-8464.31,677.514,436.824,-238.196
2,-0.55554,-7192.19,0.001674,-0.626585,0.271842,0.001657,500,-7390.82,198.629,115.086,280.889,-8464.31,677.514,436.825,-238.196
3,-0.549147,-7192.05,0.143545,-0.620191,-0.431699,0.00114597,500,-7390.82,198.771,115.086,280.889,-8464.31,677.514,436.967,-238.196
4,-0.542753,-7191.91,0.279458,-0.613797,-1.11086,-0.00378539,500,-7390.82,198.907,115.086,280.889,-8464.31,677.514,437.103,-238.196
5,-0.536359,-7191.92,0.272973,-0.607403,-0.918259,-0.0102722,500,-7390.82,198.901,115.086,280.889,-8464.31,677.514,437.097,-238.196
6,-0.529965,-7191.95,0.243203,-0.60101,-0.945174,-0.0162293,500,-7390.82,198.871,115.086,280.889,-8464.31,677.514,437.067,-238.196
7,-0.523572,-7191.95,0.237712,-0.594616,-0.773089,-0.0217224,500,-7390.82,198.865,115.086,280.889,-8464.31,677.514,437.061,-238.196
8,-0.517178,-7191.96,0.233308,-0.588222,-0.605431,-0.0261293,500,-7390.82,198.861,115.086,280.889,-8464.31,677.514,437.057,-238.196
9,-0.510784,-7191.96,0.22996,-0.581829,-0.442411,-0.0294791,500,-7390.82,198.858,115.086,280.889,-8464.31,677.514,437.054,-238.196
10,-0.504391,-7191.97,0.222481,-0.575435,-0.328235,-0.0319428,500,-7390.82,198.85,115.086,280.889,-8464.31,677.514,437.046,-238.196
11,-0.497997,-7191.97,0.217312,-0.569041,-0.208204,-0.0336577,500,-7390.82,198.845,115.086,280.889,-8464.31,677.514,437.041,-238.196
12,-0.491603,-7191.97,0.21644,-0.562647,-0.0653471,-0.0345322,500,-7390.82,198.844,115.086,280.889,-8464.31,677.514,437.04,-238.196
13,-0.485209,-7191.97,0.216463,-0.556254,0.0715007,-0.0345125,500,-7390.82,198.844,115.086,280.889,-8464.31,677.514,437.04,-238.196
14,-0.478816,-7191.88,0.311307,-0.54986,-0.366047,-0.0354542,500,-7390.82,198.939,115.086,280.889,-8464.31,677.514,437.135,-238.196
15,-0.472422,-7191.7,0.495387,-0.543466,-1.36285,-0.0409812,500,-7390.82,199.123,115.086,280.889,-8464.31,677.514,437.319,-238.196
16,-0.466028,-7191.7,0.487236,-0.537072,-1.18825,-0.0491367,500,-7390.82,199.115,115.086,280.889,-8464.31,677.514,437.311,-238.196
17,-0.459635,-7191.71,0.480174,-0.530679,-1.02238,-0.0562038,500,-7390.82,199.108,115.086,280.889,-8464.31,677.514,437.304,-238.196
18,-0.453241,-7191.72,0.474143,-0.524285,-0.865706,-0.0622397,500,-7390.82,199.102,115.086,280.889,-8464.31,677.514,437.298,-238.196
19,-0.446847,-7191.82,0.372609,-0.517891,-1.31273,-0.0692039,500,-7390.82,199,115.086,280.889,-8464.31,677.514,437.196,-238.196
20,-0.440453,-7192.02,0.169556,-0.511498,-2.38127,-0.0810131,500,-7390.82,198.797,115.086,280.889,-8464.31,677.514,436.993,-238.196
21,-0.43406,-7192.04,0.154543,-0.505104,-2.31683,-0.0960322,500,-7390.82,198.782,115.086,280.889,-8464.31,677.514,436.978,-238.196
22,-0.427666,-7192.08,0.115169,-0.49871,-2.43993,-0.111239,500,-7390.82,198.743,115.086,280.889,-8464.31,677.514,436.939,-238.196
23,-0.421272,-7192.21,-0.0222866,-0.492316,-3.25816,-0.129455,500,-7390.82,198.605,115.086,280.889,-8464.31,677.514,436.801,-238.196
24,-0.414879,-7192.23,-0.0431693,-0.485923,-3.2764,-0.150345,500,-7390.82,198.584,115.086,280.889,-8464.31,677.514,436.781,-238.196
