step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.56922,-7292.2,0,-0.639372,0.17633,-0.0701524,-7395.99,103.79,113.294,297.387,-8479.05,672.379,354.833,-251.044,0,0
1,-0.556432,-7292.2,0.00371307,-0.626585,0.404267,-0.0701524,-7395.99,103.793,113.294,297.387,-8479.05,672.379,354.837,-251.044,0,0
2,-0.543645,-7292,0.198886,-0.613797,-0.519211,-0.0701524,-7395.99,103.989,113.294,297.387,-8479.05,672.379,355.032,-251.044,0,0
3,-0.530858,-7292,0.19421,-0.60101,-0.212516,-0.0701524,-7395.99,103.984,113.294,297.387,-8479.05,672.379,355.027,-251.044,0,0
4,-0.51807,-7292.01,0.193443,-0.588222,0.0923092,-0.0701524,-7395.99,103.983,113.294,297.387,-8479.05,672.379,355.027,-251.044,0,0
5,-0.505283,-7292,0.194314,-0.575435,0.376597,-0.0701524,-7395.99,103.984,113.294,297.387,-8479.05,672.379,355.028,-251.044,0,0
6,-0.492495,-7292,0.196152,-0.562648,0.634969,-0.0701524,-7395.99,103.986,113.294,297.387,-8479.05,672.379,355.029,-251.044,0,0
7,-0.479708,-7291.93,0.271428,-0.54986,0.533419,-0.0701524,-7395.99,104.061,113.294,297.387,-8479.05,672.379,355.105,-251.044,0,0
8,-0.46692,-7291.8,0.403752,-0.537073,0.0924571,-0.0701524,-7395.99,104.193,113.294,297.387,-8479.05,672.379,355.237,-251.044,0,0
9,-0.454133,-7291.79,0.407312,-0.524285,0.463632,-0.0701524,-7395.99,104.197,113.294,297.387,-8479.05,672.379,355.241,-251.044,0,0
10,-0.441345,-7291.95,0.246867,-0.511498,-0.20121,-0.0701524,-7395.99,104.037,113.294,297.387,-8479.05,672.379,355.08,-251.044,0,0
11,-0.428558,-7291.99,0.210859,-0.49871,-0.121649,-0.0701524,-7395.99,104,113.294,297.387,-8479.05,672.379,355.044,-251.044,0,0
12,-0.415771,-7292.09,0.107055,-0.485923,-0.576157,-0.0701524,-7395.99,103.897,113.294,297.387,-8479.05,672.379,354.94,-251.044,0,0
13,-0.402983,-7292.1,0.100971,-0.473135,-0.377193,-0.0701524,-7395.99,103.891,113.294,297.387,-8479.05,672.379,354.934,-251.044,0,0
14,-0.390196,-7292.1,0.0973639,-0.460348,-0.188736,-0.0701524,-7395.99,103.887,113.294,297.387,-8479.05,672.379,354.931,-251.044,0,0
15,-0.377408,-7292.1,0.0961014,-0.447561,-0.0103473,-0.0701524,-7395.99,103.886,113.294,297.387,-8479.05,672.379,354.929,-251.044,0,0
16,-0.364621,-7292.13,0.0643136,-0.434773,-0.0372408,-0.0701524,-7395.99,103.854,113.294,297.387,-8479.05,672.379,354.898,-251.044,0,0
17,-0.351833,-7292.2,-0.00393507,-0.421986,-0.292993,-0.0701524,-7395.99,103.786,113.294,297.387,-8479.05,672.379,354.829,-251.044,0,0
18,-0.339046,-7292.21,-0.006951,-0.409198,-0.180129,-0.0701524,-7395.99,103.783,113.294,297.387,-8479.05,672.379,354.826,-251.044,0,0
19,-0.326258,-7292.02,0.178396,-0.396411,-1.22888,-0.0701524,-7395.99,103.968,113.294,297.387,-8479.05,672.379,355.012,-251.044,0,0
20,-0.313471,-7292.04,0.163832,-0.383623,-1.0506,-0.0701524,-7395.99,103.953,113.294,297.387,-8479.05,672.379,354.997,-251.044,0,0
21,-0.300684,-7292.05,0.151489,-0.370836,-0.881188,-0.0701524,-7395.99,103.941,113.294,297.387,-8479.05,672.379,354.985,-251.044,0,0
22,-0.287896,-7292.06,0.141264,-0.358048,-0.71913,-0.0701524,-7395.99,103.931,113.294,297.387,-8479.05,672.379,354.975,-251.044,0,0
