step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	0.000125365	-6259.23	-6259.23	-6259.19	0	0	0	0	0	
10	0.0225844	-6259.19	-6259.15	-6259.42	0	0	0	0	0	
20	0.0335333	-6259.41	-6259.34	-6259.45	0	0	0	0	0	
30	0.0476949	-6259.51	-6259.41	-6259.48	0	0	0	0	0	
40	0.0521068	-6259.64	-6259.53	-6259.65	0	0	0	0	0	
50	0.0408281	-6259.69	-6259.61	-6259.72	0	0	0	0	0	
60	0.0335066	-6259.77	-6259.7	-6259.74	0	0	0	0	0	
70	0.0340619	-6259.76	-6259.69	-6259.57	0	0	0	0	0	
80	0.0419797	-6259.79	-6259.7	-6259.51	0	0	0	0	0	
90	0.0435831	-6259.82	-6259.73	-6259.8	0	0	0	0	0	
100	0.0367873	-6259.75	-6259.67	-6259.69	0	0	0	0	0	
110	1.53132	-6259.46	-6256.4	-6259.42	0	0	0	0	0	
120	2.61814	-6258.66	-6253.44	-6258.81	0	0	0	0	0	
130	3.17525	-6257.68	-6251.34	-6258.12	0	0	0	0	0	
140	3.44153	-6256.65	-6249.79	-6257.33	0	0	0	0	0	
150	3.80684	-6256.14	-6248.55	-6256.64	0	0	0	0	0	
160	4.23472	-6255.88	-6247.43	-6256.21	0	0	0	0	0	
170	4.58632	-6255.85	-6246.7	-6256.18	0	0	0	0	0	
180	4.75634	-6255.42	-6245.93	-6255.53	0	0	0	0	0	
190	4.82949	-6254.79	-6245.15	-6254.77	0	0	0	0	0	
200	4.63899	-6253.41	-6244.15	-6253.35	0	0	0	0	0	
210	6.43384	-6252.31	-6239.47	-6252.23	0	0	0	0	0	
220	7.59665	-6250.9	-6235.74	-6250.88	0	0	0	0	0	
230	8.80927	-6250.42	-6232.84	-6250.41	0	0	0	0	0	
240	9.5003	-6249.84	-6230.88	-6249.75	0	0	0	0	0	
250	10.2439	-6249.94	-6229.5	-6249.94	0	0	0	0	0	
260	10.354	-6249	-6228.34	-6248.94	0	0	0	0	0	
270	10.6285	-6248.77	-6227.56	-6248.66	0	0	0	0	0	
280	10.4432	-6247.42	-6226.58	-6247.32	0	0	0	0	0	
290	10.6931	-6247.4	-6226.06	-6247.43	0	0	0	0	0	
300	10.9266	-6246.91	-6225.11	-6246.94	0	0	0	0	0	
310	13.3142	-6247.56	-6220.99	-6247.57	0	0	0	0	0	
320	14.8495	-6247.4	-6217.76	-6247.39	0	0	0	0	0	
330	15.9464	-6247.3	-6215.47	-6247.29	0	0	0	0	0	
340	16.5811	-6247.34	-6214.25	-6247.34	0	0	0	0	0	
350	16.937	-6247.03	-6213.23	-6247.04	0	0	0	0	0	
360	17.1322	-6246.47	-6212.28	-6246.36	0	0	0	0	0	
370	17.5946	-6247.25	-6212.14	-6247.31	0	0	0	0	0	
380	18.0055	-6247.95	-6212.02	-6247.98	0	0	0	0	0	
390	18.4653	-6248.97	-6212.12	-6248.99	0	0	0	0	0	
400	18.7958	-6250.16	-6212.65	-6250.16	0	0	0	0	0	
410	20.6691	-6250.45	-6209.21	-6250.43	0	0	0	0	0	
420	21.9122	-6251.1	-6207.37	-6251.1	0	0	0	0	0	
430	22.5641	-6251.07	-6206.04	-6251.07	0	0	0	0	0	
440	22.9265	-6251.14	-6205.39	-6250.88	0	0	0	0	0	
450	23.215	-6250.81	-6204.49	-6250.88	0	0	0	0	0	
460	23.1822	-6250.23	-6203.97	-6250.2	0	0	0	0	0	
470	23.1487	-6250.02	-6203.83	-6250.02	0	0	0	0	0	
480	22.9829	-6248.92	-6203.06	-6248.98	0	0	0	0	0	
490	22.6132	-6247.43	-6202.31	-6247.71	0	0	0	0	0	
500	22.4857	-6246.72	-6201.85	-6246.73	0	0	0	0	0	
510	24.003	-6244.83	-6196.93	-6245.12	0	0	0	0	0	
520	25.079	-6243.4	-6193.35	-6243.42	0	0	0	0	0	
530	25.5966	-6240.91	-6189.83	-6240.93	0	0	0	0	0	
540	26.1988	-6239.24	-6186.96	-6239.23	0	0	0	0	0	
550	26.7919	-6238.16	-6184.7	-6238.13	0	0	0	0	1	
560	27.3798	-6237.11	-6182.48	-6237.06	0	0	0	0	0	
570	28.088	-6236.91	-6180.86	-6236.89	0	0	0	0	0	
580	28.467	-6236.54	-6179.73	-6236.53	0	0	0	0	0	
590	28.7929	-6236.57	-6179.11	-6236.57	0	0	1	0	0	
600	28.8864	-6235.84	-6178.2	-6235.8	0	0	1	0	0	
610	31.1256	-6235.89	-6173.78	-6235.91	0	0	1	0	0	
620	32.6133	-6235.7	-6170.62	-6235.89	0	0	1	1	0	
630	34.334	-6237.49	-6168.98	-6237.49	0	0	1	0	0	
640	35.2023	-6238.23	-6167.99	-6238.36	0	0	1	0	0	
650	36.1521	-6239.79	-6167.65	-6239.79	0	0	1	0	0	
660	36.5339	-6240.96	-6168.06	-6240.97	0	0	1	0	0	
670	36.532	-6241.23	-6168.33	-6241.22	0	0	1	0	0	
680	36.9907	-6242.59	-6168.77	-6242.59	0	0	1	0	0	
690	37.0831	-6243.71	-6169.71	-6243.74	0	0	1	0	0	
700	37.524	-6245.76	-6170.88	-6245.76	0	0	1	0	0	
710	39.2958	-6246.79	-6168.38	-6246.78	0	0	1	0	0	
720	40.2077	-6247.06	-6166.83	-6247.04	0	0	1	0	0	
730	40.7088	-6247.05	-6165.81	-6247.03	0	0	1	0	0	
740	40.55	-6245.64	-6164.72	-6245.58	0	0	1	0	0	
750	40.9436	-6245.72	-6164.02	-6245.71	0	0	1	0	0	
760	41.0599	-6245.18	-6163.25	-6245.16	0	0	1	0	0	
770	41.5027	-6245.72	-6162.9	-6245.71	0	0	1	0	0	
780	41.6487	-6245.86	-6162.75	-6245.98	0	0	1	0	0	
790	41.1227	-6244.44	-6162.38	-6244.44	0	0	1	0	0	
800	40.7876	-6243.14	-6161.75	-6243.25	0	0	1	0	0	
810	42.0797	-6240.91	-6156.94	-6240.91	0	0	1	0	0	
820	42.8636	-6238.38	-6152.85	-6238.59	0	0	1	0	0	
830	43.0038	-6234.89	-6149.08	-6234.89	0	0	1	0	0	
840	42.2769	-6229.8	-6145.44	-6230.13	0	0	1	0	0	
850	41.8226	-6224.47	-6141.01	-6224.87	0	0	1	0	0	
860	43.1165	-6222.66	-6136.62	-6222.71	0	0	1	0	0	
870	45.9125	-6225.28	-6133.66	-6225.29	0	0	1	0	0	
880	48.5685	-6229.71	-6132.79	-6229.92	0	0	1	0	0	
890	48.8572	-6231.12	-6133.62	-6231.1	0	0	1	0	0	
900	48.34	-6230.53	-6134.07	-6230.66	0	0	1	0	0	
910	49.6438	-6229.66	-6130.59	-6229.65	0	0	1	0	0	
920	49.8173	-6226.91	-6127.5	-6227.06	0	0	1	0	0	
930	48.4998	-6220.95	-6124.17	-6220.95	0	0	1	0	0	
940	46.4255	-6211.81	-6119.17	-6211.81	0	0	1	0	0	
950	48.2697	-6209.85	-6113.53	-6210.12	0	0	1	0	0	
960	54.5457	-6220.28	-6111.43	-6220.16	0	0	1	0	0	
970	58.5783	-6230.62	-6113.72	-6230.82	0	0	1	0	0	
980	59.2265	-6235.84	-6117.65	-6236.21	0	0	1	0	0	
990	58.3518	-6238.08	-6121.64	-6238.08	0	0	1	0	0	
1000	58.0745	-6240.67	-6124.79	-6240.69	0	0	1	0	0	
1010	59.9197	-6243.81	-6124.24	-6243.8	0	0	1	0	0	
1020	61.2817	-6246.74	-6124.45	-6246.81	0	0	1	0	0	
1030	61.252	-6247.87	-6125.65	-6247.93	0	0	1	0	0	
1040	60.4557	-6246.92	-6126.28	-6246.92	0	0	1	0	0	
1050	60.1173	-6246.66	-6126.69	-6246.6	0	0	1	0	0	
1060	58.5028	-6243.05	-6126.31	-6243.04	0	0	1	0	0	
1070	58.2822	-6241.45	-6125.15	-6241.39	0	0	1	0	0	
1080	58.4619	-6240.21	-6123.55	-6240.23	0	0	1	0	0	
1090	57.4315	-6236.56	-6121.96	-6237.14	0	0	1	0	0	
1100	57.0594	-6234.61	-6120.75	-6234.58	0	0	1	0	0	
1110	58.3952	-6230.76	-6114.24	-6231	0	0	1	0	0	
1120	59.4223	-6227.76	-6109.19	-6227.64	0	0	1	0	0	
1130	60.571	-6225.37	-6104.5	-6225.65	0	0	1	0	0	
1140	62.7063	-6226.56	-6101.43	-6227.16	0	0	1	0	0	
1150	64.0822	-6227.89	-6100.01	-6227.86	0	0	1	0	0	
1160	64.5808	-6227.47	-6098.6	-6227.35	0	0	1	0	0	
1170	65.4544	-6228.75	-6098.13	-6228.68	0	0	1	0	0	
1180	65.5225	-6228.35	-6097.6	-6228.53	0	0	1	0	0	
1190	65.688	-6228.61	-6097.53	-6228.78	0	0	1	0	1	
1200	66.1541	-6229.77	-6097.77	-6229.66	0	0	1	0	0	
1210	68.689	-6231.3	-6094.23	-6231.32	0	0	1	0	0	
1220	68.7283	-6228.81	-6091.67	-6229.47	0	0	1	0	0	
1230	67.698	-6224.28	-6089.19	-6224.29	0	0	2	0	0	
1240	65.4817	-6216.02	-6085.35	-6215.98	0	0	2	0	0	
1250	65.6347	-6211.06	-6080.09	-6210.91	0	0	2	1	0	
1260	68.7576	-6213.59	-6076.38	-6213.55	0	0	2	0	0	
1270	71.6493	-6217.79	-6074.82	-6217.91	0	0	2	0	0	
1280	73.0607	-6221.12	-6075.33	-6221.24	0	0	2	0	0	
1290	72.4334	-6220.46	-6075.92	-6220.46	0	0	2	0	0	
1300	72.2691	-6220.26	-6076.05	-6220.26	0	0	2	0	0	
1310	74.0667	-6219.97	-6072.17	-6219.99	0	0	2	0	0	
1320	74.9773	-6218.63	-6069.02	-6218.64	0	0	2	0	0	
1330	74.9863	-6216.49	-6066.85	-6216.44	0	0	2	0	0	
1340	74.1559	-6212.3	-6064.33	-6212.3	0	0	2	0	0	
1350	72.8858	-6206.32	-6060.88	-6206.43	0	0	2	0	0	
1360	73.4788	-6203.43	-6056.8	-6203.56	0	0	2	0	0	
1370	75.0008	-6203.44	-6053.77	-6203.45	0	0	2	0	0	
1380	75.0289	-6200.99	-6051.27	-6201.03	0	0	2	0	0	
1390	75.4498	-6199.91	-6049.35	-6199.91	0	0	2	0	0	
1400	75.8561	-6198.84	-6047.47	-6198.85	0	0	2	0	0	
1410	77.1079	-6196.03	-6042.16	-6196.04	0	0	2	0	0	
1420	77.5078	-6191.68	-6037.01	-6191.69	0	0	2	0	0	
1430	78.6771	-6189.53	-6032.53	-6189.48	0	0	2	0	0	
1440	80.7457	-6190.6	-6029.47	-6190.72	0	0	2	0	0	
1450	81.3335	-6189.95	-6027.66	-6189.92	0	0	2	0	0	
1460	81.5305	-6188.36	-6025.67	-6188.35	0	0	2	0	0	
1470	81.9547	-6187.69	-6024.16	-6187.7	0	0	2	0	0	
1480	82.484	-6187.39	-6022.8	-6187.93	0	0	2	0	0	
1490	83.8815	-6189.54	-6022.16	-6189.55	0	0	2	0	0	
1500	85.2202	-6192.56	-6022.51	-6193.06	0	0	2	0	0	
1510	87.7705	-6195.51	-6020.37	-6195.53	0	0	2	0	0	
1520	89.4055	-6197.47	-6019.06	-6198.52	0	0	2	0	0	
1530	88.5207	-6196.28	-6019.64	-6196.24	0	0	2	0	0	
1540	85.9064	-6189.16	-6017.74	-6188.89	0	0	2	0	0	
1550	82.768	-6178.23	-6013.07	-6178.25	0	0	2	0	0	
1560	83.0563	-6173.05	-6007.31	-6173.03	0	0	2	0	0	
1570	83.766	-6169.63	-6002.47	-6169.63	0	0	2	0	0	
1580	86.4316	-6170.98	-5998.5	-6170.85	0	0	2	0	0	
1590	89.6356	-6175.9	-5997.03	-6175.91	0	0	2	0	0	
1600	90.4833	-6177.68	-5997.12	-6177.7	0	0	2	0	0	
1610	92.4406	-6178.52	-5994.06	-6178.44	0	0	2	0	0	
1620	93.5626	-6178.53	-5991.82	-6178.52	0	0	2	0	0	
1630	93.7872	-6177.5	-5990.34	-6177.48	0	0	2	0	0	
1640	93.3696	-6175.27	-5988.95	-6175.25	0	0	2	0	0	
1650	92.3027	-6171.03	-5986.84	-6171.03	0	0	2	0	0	
1660	91.8041	-6167.5	-5984.31	-6167.5	0	0	2	0	0	
1670	92.779	-6165.99	-5980.85	-6165.69	0	0	2	0	0	
1680	93.9929	-6166.39	-5978.83	-6166.39	0	0	2	0	0	
