frame(num)	angle (degree)
0	6,070602
1	2,203448
2	7,155329
3	3,439402
4	14,489454
5	3,866701
6	8,062778
7	5,196406
8	1,685279
9	6,054143
10	6,516079
11	2,22818
12	6,011706
13	9,955285
14	4,446512
15	4,609
16	5,663581
17	7,636482
18	9,431881
19	6,334595
20	9,269064
21	5,695055
22	8,164477
23	5,349216
24	6,79685
25	0,25793
26	5,202172
27	4,555522
28	5,242992
29	9,122079
30	1,486616
31	10,592249
32	1,977343
33	12,117006
34	6,955223
35	3,065288
36	8,782862
37	6,915145
38	9,198896
39	5,218869
40	8,169958
41	16,820795
42	5,698357
43	1,433541
44	7,976293
45	6,008673
46	9,168747
47	12,983032
48	5,189917
49	6,552242
50	4,772083
51	6,277792
52	8,286076
53	8,279082
54	2,182116
55	5,247475
56	3,490035
57	5,010437
58	8,46413
59	1,779713
60	12,279956
61	3,934127
62	4,942368
63	4,080488
64	7,528298
65	6,575724
66	4,459268
67	8,621723
68	4,384097
69	3,968176
70	1,397038
71	7,889762
72	7,767131
73	1,416927
74	3,767488
75	6,189476
76	10,356873
77	10,148521
78	4,295278
79	6,471266
80	9,007935
81	5,024494
82	13,55178
83	4,842783
84	8,096503
85	7,356501
86	1,710636
87	12,804798
88	4,012833
89	10,864027
90	3,636958
91	5,977764
92	11,085302
93	4,247823
94	11,420201
95	3,030993
96	6,833084
97	1,751783
98	7,17001
99	5,92943
100	11,339824
101	9,384959
102	14,082737
103	5,679236
104	4,885515
105	8,614567
106	5,697738
107	8,043787
108	3,929595
109	11,812846
110	3,838543
111	5,706228
112	5,632977
113	0,848345
114	8,923766
115	2,024777
116	14,353414
117	2,504522
118	2,217261
119	7,970113
120	1,36845
121	12,339752
122	2,824245
123	10,346763
124	3,687483
125	2,315875
126	8,238427
127	7,837067
128	6,842922
129	3,441451
130	8,22834
131	4,392711
132	8,013615
133	3,041824
134	1,847162
135	4,85014
136	2,143111
137	4,421598
138	7,246869
139	6,828374
140	2,166905
141	5,035011
142	5,140489
143	5,279825
144	7,835339
145	4,594357
146	9,817484
147	3,913065
148	5,414464
149	7,587265
150	8,042616
151	6,856037
152	7,881074
153	8,127675
154	4,555437
155	10,015944
156	6,509304
157	2,885612
158	9,984616
159	1,992527
160	8,450477
161	3,252572
162	1,754574
163	8,12057
164	3,714307
165	11,335342
166	2,362315
167	6,088628
168	5,773701
169	0,547512
170	6,15842
171	2,309273
172	6,101654
173	8,290766
174	6,588713
175	2,665429
176	12,342085
177	3,724731
178	8,404525
179	4,706527
180	13,367852
181	4,140707
182	6,248303
183	6,773465
184	7,243511
185	3,642929
186	3,212418
187	10,214537
188	4,756211
189	2,423174
190	4,637852
191	6,129575
192	3,983986
193	3,351001
194	8,061438
195	4,458434
196	7,761722
197	4,506674
198	4,472032
