step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.575806,-2942.12,0,0.640652,0.982562,0.0648458,-3315.72,373.6,100.695,399.86,-4642.01,825.733,367.247,6.35377,0,0
1,0.562993,-2942.59,-0.463129,0.627839,0.803146,0.0648458,-3315.72,373.137,100.695,399.86,-4642.01,825.733,366.784,6.35377,0,0
2,0.55018,-2942.12,0.00379169,0.615026,0.571723,0.0648458,-3315.72,373.604,100.695,399.86,-4642.01,825.733,367.25,6.35379,0,0
3,0.537367,-2942.09,0.0338584,0.602213,3.98826,0.0648458,-3315.72,373.634,100.695,399.861,-4642.01,825.733,367.28,6.35381,0,0
4,0.524554,-2942.02,0.101915,0.5894,6.45426,0.0648458,-3315.72,373.702,100.695,399.862,-4642.01,825.732,367.348,6.35383,0,0
5,0.511741,-2941.93,0.194288,0.576587,7.76292,0.0648458,-3315.72,373.794,100.695,399.863,-4642.01,825.732,367.44,6.35386,0,0
6,0.498928,-2941.83,0.295705,0.563774,7.87323,0.0648458,-3315.72,373.895,100.695,399.864,-4642.01,825.731,367.541,6.35389,0,0
7,0.486115,-2941.26,0.857898,0.55096,2.79856,0.0648458,-3315.72,374.457,100.695,399.865,-4642.01,825.731,368.103,6.35393,0,0
8,0.473302,-2941.24,0.885881,0.538147,1.45679,0.0648458,-3315.72,374.484,100.695,399.867,-4642.01,825.73,368.13,6.35395,0,0
9,0.460489,-2941.23,0.893182,0.525334,-0.362582,0.0648458,-3315.72,374.491,100.695,399.868,-4642.01,825.73,368.137,6.35398,0,0
10,0.447676,-2941.25,0.876338,0.512521,-2.24089,0.0648458,-3315.72,374.474,100.695,399.869,-4642.01,825.729,368.12,6.354,0,0
11,0.434863,-2941.3,0.819308,0.499708,-3.97283,0.0648458,-3315.72,374.417,100.695,399.869,-4642.01,825.729,368.063,6.35403,0,0
12,0.42205,-2941.87,0.2504,0.486895,-9.25992,0.0648458,-3315.72,373.848,100.695,399.87,-4642.01,825.729,367.494,6.35404,0,0
13,0.409236,-2942,0.123431,0.474082,-9.59341,0.0648458,-3315.73,373.729,100.747,399.914,-4642.01,825.626,367.374,6.35537,0,0
14,0.396423,-2942.12,0.00398177,0.461269,-8.87193,0.0648458,-3315.73,373.609,100.747,399.911,-4642.01,825.627,367.254,6.35539,0,0
15,0.38361,-2942.48,-0.357573,0.448456,-9.61418,0.0648458,-3315.79,373.307,100.695,399.882,-4642.01,825.642,366.952,6.35525,0,0
16,0.370797,-2942.59,-0.466726,0.435643,-7.30502,0.0648458,-3315.79,373.198,100.695,399.881,-4642.01,825.642,366.843,6.35525,0,0
17,0.357984,-2942.66,-0.54242,0.42283,-4.44768,0.0648458,-3315.79,373.122,100.695,399.881,-4642.01,825.643,366.766,6.35522,0,0
18,0.345171,-2942.95,-0.825905,0.410017,-3.48794,0.0648458,-3315.79,372.837,100.696,399.879,-4642,825.644,366.482,6.3552,0,0
19,0.332358,-2942.55,-0.430855,0.397204,-4.60008,0.0648458,-3315.78,373.231,100.696,399.877,-4642,825.646,366.876,6.35514,0,0
20,0.319545,-2942.6,-0.473079,0.384391,-2.10963,0.0648458,-3315.78,373.187,100.697,399.875,-4642,825.647,366.832,6.3551,0,0
21,0.306732,-2942.61,-0.488378,0.371578,-0.424927,0.0648458,-3315.78,373.171,100.697,399.874,-4642,825.648,366.816,6.35506,0,0
22,0.293919,-2942.61,-0.487819,0.358765,0.363449,0.0648458,-3315.78,373.171,100.697,399.872,-4642,825.649,366.816,6.35503,0,0
23,0.281106,-2942.6,-0.482648,0.345952,0.317818,0.0648458,-3315.78,373.175,100.698,399.871,-4642,825.65,366.82,6.355,0,0
24,0.268293,-2942.15,-0.0301948,0.333139,-4.35417,0.0648458,-3315.78,373.626,100.698,399.868,-4642,825.651,367.271,6.35494,0,0
25,0.25548,-2942.22,-0.0941086,0.320326,-4.91211,0.0648458,-3315.84,373.62,100.72,399.752,-4642.01,825.704,367.264,6.35606,0,0
26,0.242667,-2942.28,-0.160154,0.307513,-5.34163,0.0648458,-3315.84,373.554,100.72,399.753,-4642.01,825.703,367.198,6.35605,0,0
27,0.229854,-2942.35,-0.22849,0.2947,-5.18344,0.0648458,-3315.84,373.485,100.72,399.754,-4642.01,825.701,367.129,6.35605,0,0
28,0.217041,-2942.65,-0.531029,0.281887,-6.07473,0.0648458,-3315.84,373.183,100.72,399.755,-4642.01,825.7,366.826,6.35605,0,0
29,0.204228,-2942.97,-0.84328,0.269074,-5.47963,0.0648458,-3315.84,372.87,100.72,399.756,-4642.01,825.699,366.514,6.35605,0,0
30,0.191415,-2943.01,-0.885257,0.256261,-0.622149,0.0648458,-3315.84,372.828,100.721,399.756,-4642.01,825.699,366.472,6.35605,0,0
31,0.178602,-2942.97,-0.84581,0.243448,7.38554,0.0648458,-3315.84,372.868,100.721,399.757,-4642.01,825.698,366.512,6.35606,0,0
32,0.165789,-2942.8,-0.677873,0.230635,19.6526,0.0648458,-3315.84,373.036,100.721,399.757,-4642.01,825.698,366.68,6.35606,0,0
33,0.152976,-2942.42,-0.301729,0.217822,36.8018,0.0648458,-3315.73,373.304,100.756,401.403,-4643.13,825.238,366.953,6.35159,0,0
34,0.140163,-2942.28,-0.155979,0.205009,58.3923,0.0648458,-3315.73,373.449,100.759,401.4,-4643.12,825.238,367.098,6.35155,0,0
35,0.12735,-2940.86,1.26562,0.192196,90.9184,0.0648458,-3315.72,374.868,100.768,401.39,-4643.12,825.236,368.516,6.35141,0,0
36,0.114537,-2939.38,2.74673,0.179382,143.199,0.0648458,-3315.72,376.344,100.783,401.375,-4643.11,825.233,369.993,6.35121,0,0
37,0.101724,-2937.1,5.02,0.166569,215.288,0.0648458,-3315.71,378.61,100.805,401.354,-4643.1,825.229,372.259,6.35091,0,0
38,0.0889106,-2933.76,8.36273,0.153756,310.412,0.0648458,-3315.7,381.944,100.831,401.328,-4643.09,825.224,375.593,6.35054,0,0
39,0.0760976,-2929.05,13.0685,0.140943,427.188,0.0648458,-3315.69,386.641,100.857,401.304,-4643.07,825.219,380.291,6.35019,0,0
40,0.0632846,-2922.76,19.3582,0.12813,554.802,0.0648458,-3315.69,392.927,100.867,401.294,-4643.07,825.217,386.577,6.35006,0,0
41,0.0504715,-2914.47,27.6569,0.115317,664.657,0.0648458,-3315.69,401.226,100.867,401.294,-4643.07,825.217,394.876,6.35005,0,0
42,0.0376585,-2916.36,25.7622,0.102504,366.308,0.0648458,-3304.17,387.809,106.084,452.87,-4669.11,805.991,381.379,6.43019,0,0
