step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.704271,-2935.57,0,-0.639661,-0.979715,0.0646107,-3322.9,387.332,94.2075,393.995,-4639.18,828.077,383.03,4.30206,0,0
1,-0.691478,-2935.56,0.0123608,-0.626868,2.81478,0.0646107,-3322.9,387.345,94.2068,393.997,-4639.18,828.076,383.043,4.30203,0,0
2,-0.678685,-2935.5,0.0687058,-0.614074,5.83589,0.0646107,-3322.9,387.402,94.2055,394.002,-4639.19,828.075,383.1,4.30196,0,0
3,-0.665892,-2935.41,0.157093,-0.601281,7.78647,0.0646107,-3322.91,387.492,94.204,394.007,-4639.19,828.073,383.19,4.30189,0,0
4,-0.653099,-2935.31,0.262738,-0.588488,8.52445,0.0646107,-3322.91,387.598,94.2026,394.012,-4639.19,828.072,383.296,4.30183,0,0
5,-0.640305,-2934.71,0.859134,-0.575695,3.81537,0.0646107,-3322.91,388.195,94.2018,394.014,-4639.19,828.071,383.893,4.30179,0,0
6,-0.627512,-2934.67,0.902493,-0.562901,2.81606,0.0646107,-3322.91,388.239,94.2006,394.018,-4639.2,828.07,383.938,4.30173,0,0
7,-0.614719,-2934.64,0.928196,-0.550108,1.11831,0.0646107,-3322.91,388.266,94.1998,394.021,-4639.2,828.069,383.964,4.30169,0,0
8,-0.601926,-2934.64,0.929888,-0.537315,-0.863802,0.0646107,-3322.91,388.268,94.1993,394.023,-4639.2,828.068,383.966,4.30167,0,0
9,-0.589133,-2934.66,0.906797,-0.524522,-2.6816,0.0646107,-3322.91,388.245,94.1992,394.023,-4639.2,828.068,383.943,4.30167,0,0
10,-0.576339,-2934.71,0.863805,-0.511729,-3.90889,0.0646107,-3322.91,388.202,94.1992,394.023,-4639.2,828.068,383.9,4.30166,0,0
11,-0.563546,-2935.17,0.404592,-0.498935,-7.68243,0.0646107,-3322.83,387.659,94.2705,393.954,-4639.14,828.09,383.357,4.30223,0,0
12,-0.550753,-2935.41,0.161557,-0.486142,-8.4366,0.0646107,-3322.87,387.464,94.2422,394.048,-4639.19,828.023,383.161,4.30325,0,0
13,-0.53796,-2935.51,0.062525,-0.473349,-6.86066,0.0646107,-3322.91,387.402,94.2242,394.044,-4639.22,828.037,383.099,4.30323,0,0
14,-0.525166,-2935.58,-0.00913488,-0.460556,-4.17574,0.0646107,-3322.92,387.341,94.2156,394.028,-4639.22,828.051,383.038,4.30313,0,0
15,-0.512373,-2935.61,-0.0407001,-0.447763,-0.646654,0.0646107,-3322.93,387.321,94.2064,394.012,-4639.22,828.066,383.017,4.30301,0,0
16,-0.49958,-2935.37,0.200401,-0.434969,-3.61384,0.0646107,-3322.91,387.541,94.2133,394.002,-4639.18,828.055,383.239,4.30226,0,0
17,-0.486787,-2935.52,0.0473707,-0.422176,-0.553291,0.0646107,-3322.91,387.388,94.2134,394.002,-4639.18,828.054,383.086,4.30225,0,0
18,-0.473994,-2935.65,-0.0793188,-0.409383,1.86793,0.0646107,-3322.91,387.262,94.2135,394.003,-4639.18,828.054,382.959,4.30224,0,0
19,-0.4612,-2935.61,-0.0372266,-0.39659,4.54921,0.0646107,-3322.91,387.304,94.2136,394.003,-4639.18,828.053,383.001,4.30222,0,0
20,-0.448407,-2935.56,0.0126368,-0.383796,5.92603,0.0646107,-3322.91,387.353,94.2138,394.004,-4639.18,828.052,383.051,4.3022,0,0
21,-0.435614,-2935.48,0.0923833,-0.371003,6.35194,0.0646107,-3322.91,387.433,94.2139,394.004,-4639.18,828.051,383.131,4.30219,0,0
22,-0.422821,-2934.92,0.655547,-0.35821,1.44021,0.0646107,-3322.91,387.996,94.2143,394.006,-4639.18,828.048,383.694,4.30214,0,0
23,-0.410028,-2934.9,0.668224,-0.345417,0.423694,0.0646107,-3322.91,388.009,94.2144,394.006,-4639.18,828.048,383.706,4.30214,0,0
24,-0.397234,-2934.91,0.664161,-0.332624,-1.11292,0.0646107,-3322.91,388.004,94.2144,394.006,-4639.18,828.048,383.702,4.30213,0,0
25,-0.384441,-2935.2,0.368189,-0.31983,-5.36699,0.0646107,-3322.91,387.708,94.2146,394.006,-4639.18,828.047,383.406,4.30212,0,0
26,-0.371648,-2935.28,0.288247,-0.307037,-7.05323,0.0646107,-3322.91,387.628,94.2146,394.007,-4639.18,828.047,383.326,4.30211,0,0
27,-0.358855,-2935.38,0.19045,-0.294244,-8.10259,0.0646107,-3322.91,387.531,94.2147,394.007,-4639.18,828.047,383.228,4.3021,0,0
28,-0.346061,-2935.49,0.0848654,-0.281451,-8.23314,0.0646107,-3322.91,387.425,94.2147,394.007,-4639.18,828.046,383.123,4.3021,0,0
29,-0.333268,-2935.86,-0.288749,-0.268658,-9.58198,0.0646107,-3322.91,387.051,94.2147,394.007,-4639.18,828.046,382.749,4.30209,0,0
30,-0.320475,-2935.97,-0.400873,-0.255864,-7.77336,0.0646107,-3322.91,386.939,94.2148,394.007,-4639.18,828.046,382.637,4.30209,0,0
31,-0.307682,-2936.05,-0.48357,-0.243071,-5.01403,0.0646107,-3322.91,386.856,94.2148,394.007,-4639.18,828.046,382.554,4.30209,0,0
32,-0.294889,-2936.1,-0.526168,-0.230278,-1.55455,0.0646107,-3322.91,386.814,94.2149,394.008,-4639.18,828.046,382.512,4.30208,0,0
33,-0.282095,-2935.6,-0.0321854,-0.217485,-2.04569,0.0646107,-3322.91,387.308,94.2149,394.008,-4639.18,828.045,383.006,4.30207,0,0
34,-0.269302,-2936.16,-0.589663,-0.204691,-2.57541,0.0646107,-3322.91,386.75,94.2148,394.008,-4639.18,828.045,382.448,4.30207,0,0
35,-0.256509,-2936.17,-0.599834,-0.191898,0.910555,0.0646107,-3322.91,386.74,94.2149,394.008,-4639.18,828.045,382.438,4.30206,0,0
36,-0.243716,-2936.14,-0.568499,-0.179105,3.90358,0.0646107,-3322.91,386.771,94.215,394.008,-4639.18,828.045,382.469,4.30206,0,0
37,-0.230923,-2936.07,-0.501823,-0.166312,6.46877,0.0646107,-3322.91,386.838,94.2151,394.009,-4639.18,828.044,382.536,4.30205,0,0
38,-0.218129,-2935.72,-0.145412,-0.153519,6.7145,0.0646107,-3322.91,387.194,94.2152,394.009,-4639.18,828.044,382.892,4.30204,0,0
39,-0.205336,-2935.39,0.185244,-0.140725,7.96354,0.0646107,-3322.89,387.508,94.351,394.242,-4639.61,828.127,383.208,4.29976,0,0
40,-0.192543,-2935.25,0.3204,-0.127932,13.6332,0.0646107,-3322.89,387.643,94.3533,394.248,-4639.62,828.125,383.344,4.29968,0,0
41,-0.17975,-2935.02,0.550685,-0.115139,23.228,0.0646107,-3322.89,387.874,94.3573,394.258,-4639.63,828.12,383.575,4.29955,0,0
42,-0.166956,-2934.63,0.943351,-0.102346,39.5713,0.0646107,-3322.9,388.268,94.3638,394.275,-4639.65,828.113,383.969,4.29932,0,0
43,-0.154163,-2933.96,1.60824,-0.0895525,66.5207,0.0646107,-3322.9,388.934,94.3745,394.303,-4639.68,828.101,384.635,4.29896,0,0
44,-0.14137,-2932.86,2.71146,-0.0767593,108.991,0.0646107,-3322.9,390.039,94.3917,394.347,-4639.72,828.082,385.741,4.29837,0,0
45,-0.128577,-2931.62,3.95066,-0.0639661,167.932,0.0646107,-3322.9,391.281,94.4196,394.417,-4639.79,828.052,386.983,4.29743,0,0
46,-0.115784,-2928.93,6.63875,-0.0511729,256.886,0.0646107,-3322.9,393.971,94.4625,394.523,-4639.9,828.006,389.675,4.29602,0,0
47,-0.10299,-2924.93,10.6401,-0.0383796,372.922,0.0646107,-3322.9,397.972,94.527,394.679,-4640.05,827.94,393.678,4.29396,0,0
48,-0.0901972,-2919.3,16.2681,-0.0255864,509.055,0.0646107,-3322.9,403.593,94.6192,394.894,-4640.26,827.849,399.302,4.29114,0,0
49,-0.077404,-2911.52,24.0551,-0.0127932,641.536,0.0646107,-3322.88,411.362,94.7423,395.17,-4640.52,827.734,407.075,4.28756,0,0
50,-0.0646107,-2902.89,32.6819,0,736.999,0.0646107,-3322.84,419.955,94.8922,395.489,-4640.83,827.602,415.671,4.28347,0,0
51,-0.0518175,-2893.38,42.1915,0.0127932,753.271,0.0646107,-3322.8,429.417,95.0484,395.807,-4641.13,827.474,425.137,4.27945,0,0
52,-0.0390243,-2884.27,51.3048,0.0255864,649.167,0.0646107,-3322.75,438.482,95.1785,396.061,-4641.36,827.372,434.206,4.27627,0,0
53,-0.0262311,-2877.33,58.2367,0.0383796,414.28,0.0646107,-3322.72,445.388,95.2429,396.183,-4641.47,827.323,441.114,4.27474,0,0
54,-0.0134379,-2899.03,36.5428,0.0511729,20.0712,0.0646107,-3303.9,404.875,100.022,472.635,-4675.77,799.213,400.648,4.22625,0,0
55,-0.000644674,-2899.09,36.4784,0.0639661,-108.982,0.0646107,-3303.91,404.818,100.036,472.621,-4675.79,799.226,400.592,4.22615,0,0
56,0.0121485,-2901.17,34.399,0.0767593,-210.458,0.0646107,-3303.94,402.766,100.087,472.568,-4675.87,799.277,398.54,4.22575,0,0
57,0.0249418,-2904.3,31.2666,0.0895525,-271.833,0.0646107,-3303.98,399.671,100.168,472.489,-4675.99,799.354,395.446,4.22516,0,0
58,0.037735,-2907.94,27.6321,0.102346,-289.455,0.0646107,-3304.01,396.074,100.263,472.4,-4676.12,799.443,391.85,4.22448,0,0
59,0.0505282,-2914.38,21.1907,0.115139,-382.005,0.0646107,-3314.11,399.727,98.886,437.128,-4662.14,812.013,395.534,4.19293,0,0
60,0.0633214,-2919.15,16.421,0.127932,-358.464,0.0646107,-3316.72,397.572,97.9989,426.988,-4657.43,815.717,393.376,4.19545,0,0
61,0.0761146,-2924.02,11.5548,0.140725,-314.07,0.0646107,-3318.84,394.827,97.0844,418.023,-4653,819.045,390.62,4.20705,0,0
62,0.0889078,-2927.71,7.8594,0.153519,-252.346,0.0646107,-3320.39,392.679,96.2496,410.708,-4649.15,821.801,388.454,4.2251,0,0
63,0.101701,-2930.43,5.13685,0.166312,-176.251,0.0646107,-3320.43,389.998,96.1511,410.405,-4648.91,821.92,385.769,4.22829,0,0
64,0.114494,-2932.93,2.64301,0.179105,-133.384,0.0646107,-3322.1,389.171,95.0308,401.202,-4643.77,825.436,384.908,4.26261,0,0
65,0.127287,-2934.31,1.26429,0.191898,-84.8138,0.0646107,-3322.13,387.822,94.9964,401.039,-4643.6,825.44,383.559,4.2629,0,0
66,0.140081,-2934.85,0.725655,0.204691,-54.3855,0.0646107,-3322.15,387.303,94.9735,400.926,-4643.49,825.443,383.04,4.26311,0,0
67,0.152874,-2936.12,-0.544638,0.217485,-34.5606,0.0646107,-3322.16,386.046,94.9585,400.849,-4643.41,825.445,381.783,4.26326,0,0
68,0.165667,-2936.25,-0.674968,0.230278,-19.6836,0.0646107,-3322.99,386.74,94.1989,394.86,-4639.87,827.825,382.443,4.29731,0,0
69,0.17846,-2936.41,-0.842933,0.243071,-7.39803,0.0646107,-3322.99,386.573,94.1971,394.857,-4639.87,827.826,382.276,4.2973,0,0
70,0.191254,-2936.45,-0.882341,0.255864,0.63092,0.0646107,-3322.99,386.534,94.196,394.854,-4639.87,827.828,382.237,4.29729,0,0
71,0.204047,-2936.16,-0.588748,0.268658,3.34595,0.0646107,-3322.99,386.828,94.1949,394.852,-4639.86,827.829,382.531,4.29728,0,0
72,0.21684,-2935.85,-0.282456,0.281451,3.91052,0.0646107,-3322.99,387.135,94.1943,394.85,-4639.86,827.83,382.838,4.29728,0,0
73,0.229633,-2935.79,-0.222716,0.294244,5.19332,0.0646107,-3322.99,387.195,94.1938,394.849,-4639.86,827.83,382.898,4.29727,0,0
74,0.242426,-2935.73,-0.159659,0.307037,5.32227,0.0646107,-3323.02,387.292,94.2228,393.877,-4639.18,828.062,382.987,4.3045,0,0
75,0.25522,-2935.67,-0.0939112,0.31983,4.89997,0.0646107,-3323.02,387.357,94.2242,393.877,-4639.19,828.062,383.053,4.30455,0,0
76,0.268013,-2935.61,-0.034698,0.332624,4.37887,0.0646107,-3323.02,387.417,94.2265,393.877,-4639.19,828.062,383.112,4.30464,0,0
77,0.280806,-2935.55,0.0195561,0.345417,4.18937,0.0646107,-3323.02,387.47,94.229,393.877,-4639.19,828.062,383.166,4.30474,0,0
78,0.293599,-2936.07,-0.494738,0.35821,-0.321715,0.0646107,-3323.02,386.956,94.2306,393.877,-4639.19,828.062,382.651,4.3048,0,0
79,0.306392,-2936.07,-0.494591,0.371003,0.49426,0.0646107,-3323.02,386.956,94.2329,393.877,-4639.19,828.062,382.651,4.3049,0,0
80,0.319186,-2936.05,-0.478234,0.383796,2.20969,0.0646107,-3323.02,386.972,94.2351,393.877,-4639.2,828.063,382.667,4.305,0,0
81,0.331979,-2936.01,-0.434594,0.39659,4.73164,0.0646107,-3323.02,387.015,94.2372,393.877,-4639.2,828.063,382.71,4.30509,0,0
82,0.344772,-2935.68,-0.106799,0.409383,5.72826,0.0646107,-3323.02,387.343,94.2387,393.877,-4639.2,828.064,383.038,4.30516,0,0
