step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	7547.85	79310.3	88818	-2248.88	0	0	0	0	0	
10	16582.2	3986.01	24873.7	3957.71	0	0	0	0	0	
20	9983.24	5532.61	18108	5532.69	0	0	0	0	0	
30	5259.16	8345.07	14969.8	8344.05	0	0	0	0	0	
40	5227.99	5590.26	12175.7	5588.96	0	0	0	0	0	
50	3805.78	5463.71	10257.7	5463.88	0	0	0	0	0	
60	3793.07	3454.56	8232.49	3443.8	0	0	0	0	0	
70	3100.71	2775.34	6681.15	2734.13	0	0	0	0	0	
80	2972.89	1334.95	5079.75	1304.56	0	0	0	0	0	
90	2340.82	841.205	3789.81	771.973	0	0	0	0	0	
100	1913.6	271.373	2681.84	186.831	0	0	0	0	0	
110	1699.51	-410.468	1730.31	-507.236	0	0	0	0	0	
120	1589.76	-1154.2	848.339	-1231.97	0	0	0	0	0	
130	1417.27	-1760.54	24.718	-1803.32	0	0	0	0	0	
140	1217.23	-2173.6	-640.316	-2194.43	0	0	0	0	0	
150	885.559	-2304.53	-1189.04	-2327.46	0	0	0	0	0	
160	682.709	-2436.76	-1576.79	-2456.65	0	0	0	0	0	
170	504.845	-2525.72	-1889.79	-2530.49	0	0	0	0	0	
180	480.089	-2726.95	-2122.21	-2726.95	0	0	0	0	0	
190	373.144	-2802.45	-2332.42	-2816.13	0	0	0	0	0	
200	314.643	-2906.06	-2509.72	-2907.65	0	0	0	0	0	
210	226.089	-2921.41	-2636.62	-2924.31	0	0	0	0	0	
220	202.222	-2994.39	-2739.66	-3021.17	0	0	0	0	0	
230	180.262	-3082.28	-2855.21	-3091.23	0	0	0	0	0	
240	146.695	-3125.13	-2940.35	-3130.65	0	0	0	0	0	
250	110.503	-3141.95	-3002.75	-3153.87	0	0	0	0	0	
260	83.8608	-3163.45	-3057.82	-3174.06	0	0	0	0	0	
270	76.4093	-3197.64	-3101.4	-3201.38	0	0	0	0	0	
280	72.5135	-3226.8	-3135.46	-3229.68	0	0	0	0	0	
290	65.6218	-3249.85	-3167.19	-3255.7	0	0	0	0	0	
300	49.1937	-3257.49	-3195.52	-3265.52	0	0	0	0	0	
310	40.2241	-3268.57	-3217.9	-3276.97	0	0	0	0	0	
320	35.1882	-3280.29	-3235.97	-3288.08	0	0	0	0	0	
330	31.1769	-3291.75	-3252.48	-3296.88	0	0	0	0	0	
340	30.4734	-3301.73	-3263.35	-3304.56	0	0	0	0	0	
350	25.213	-3303.82	-3272.06	-3306.35	0	0	0	0	0	
360	20.3367	-3302.01	-3276.39	-3304.49	0	0	0	0	0	
370	20.6548	-3306.57	-3280.55	-3307.9	0	0	0	0	0	
380	20.9956	-3309.31	-3282.86	-3310.09	0	0	0	0	0	
390	22.145	-3313.56	-3285.67	-3314.8	0	0	0	0	0	
400	20.3394	-3313.95	-3288.33	-3315.03	0	0	0	0	0	
410	24.0572	-3318.99	-3288.69	-3319.24	0	0	0	0	0	
420	22.0144	-3316.12	-3288.39	-3316.25	0	0	0	0	0	
430	24.2299	-3318.77	-3288.24	-3319.23	0	0	0	0	0	
440	20.1785	-3313.22	-3287.8	-3313.92	0	0	0	0	0	
450	24.5665	-3318.72	-3287.77	-3318.69	0	0	0	0	0	
460	21.5467	-3314.39	-3287.25	-3314.33	0	0	0	0	0	
470	24.9268	-3318.39	-3286.99	-3318.69	0	0	0	0	0	
480	22.4601	-3315.43	-3287.14	-3315.94	0	0	0	0	0	
490	25.8785	-3320.47	-3287.87	-3320.8	0	0	0	0	0	
500	24.531	-3319.82	-3288.92	-3320.11	0	0	0	0	0	
510	28.0297	-3322.73	-3287.42	-3322.87	0	0	0	0	0	
520	29.5041	-3324.52	-3287.36	-3324.47	0	0	0	0	0	
530	25.61	-3318.52	-3286.26	-3318.46	0	0	0	0	0	
540	26.7309	-3318.28	-3284.61	-3318.34	0	0	0	0	0	
550	26.0904	-3315.84	-3282.97	-3315.76	0	0	0	0	0	
560	28.5765	-3318.05	-3282.05	-3317.8	0	0	0	0	0	
570	27.8815	-3316.26	-3281.14	-3316.03	0	0	0	0	0	
580	26.1761	-3313.12	-3280.15	-3313.02	0	0	0	0	0	
590	28.1865	-3313.95	-3278.45	-3313.83	0	0	0	0	0	
600	33.3658	-3321.23	-3279.2	-3321.32	0	0	0	0	0	
610	34.7559	-3322.92	-3279.14	-3323.29	0	0	0	0	0	
620	29.6598	-3315.61	-3278.25	-3315.55	0	0	0	0	0	
630	28.5062	-3311.52	-3275.62	-3311.1	0	0	0	0	0	
640	29.2019	-3308.7	-3271.92	-3309.27	0	0	0	0	0	
650	34.8753	-3315.95	-3272.02	-3317.49	0	0	0	0	0	
660	36.4938	-3319.72	-3273.75	-3176.97	0	0	0	0	0	
670	39.2534	-3326.39	-3276.94	-3326.83	0	0	0	0	0	
680	35.0326	-3322.53	-3278.4	-3323.02	0	0	0	0	0	
690	31.8639	-3318.93	-3278.79	-3321.04	0	0	0	0	0	
700	35.0836	-3324.27	-3280.07	-3324.8	0	0	0	0	0	
710	36.3913	-3324.03	-3278.19	-3324.17	0	0	0	0	0	
720	39.6178	-3326.52	-3276.62	-3326.63	0	0	0	0	0	
730	32.2581	-3314.47	-3273.84	-3314.71	0	0	0	0	0	
740	37.5066	-3317.87	-3270.62	-3318.14	0	0	0	0	0	
750	37.3707	-3315.69	-3268.62	-3315.83	0	0	0	0	0	
760	39.8692	-3317.74	-3267.52	-3317.75	0	0	0	0	0	
770	37.259	-3312.67	-3265.74	-3313.22	0	0	0	0	0	
780	35.4263	-3309.04	-3264.41	-3309.21	0	0	0	0	0	
790	32.2799	-3301.17	-3260.51	-3300.89	0	0	0	0	0	
800	39.3039	-3306.81	-3257.3	-3306.46	0	0	0	0	0	
