step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.574579,-3670.74,0,0.639635,2.15253,0.0650559,-4065.83,395.095,66.8911,192.775,-4932.23,606.726,395.041,0.054042,0,0
1,0.561786,-3670.75,-0.00675904,0.626842,-2.40099,0.0650559,-4065.84,395.091,66.8954,192.781,-4932.23,606.722,395.037,0.0540476,0,0
2,0.548994,-3670.75,-0.011666,0.614049,1.54748,0.0650559,-4065.84,395.086,66.8956,192.781,-4932.23,606.722,395.032,0.0540466,0,0
3,0.536201,-3670.71,0.0297709,0.601257,4.78128,0.0650559,-4065.84,395.127,66.8966,192.78,-4932.23,606.722,395.073,0.0540431,0,0
4,0.523408,-3670.63,0.106251,0.588464,6.98506,0.0650559,-4065.84,395.204,66.8978,192.778,-4932.23,606.723,395.15,0.0540385,0,0
5,0.510615,-3670.54,0.203367,0.575671,7.99403,0.0650559,-4065.84,395.301,66.8993,192.777,-4932.24,606.723,395.247,0.0540332,0,0
6,0.497823,-3670.31,0.42606,0.562879,6.76851,0.0650559,-4065.84,395.523,66.901,192.775,-4932.24,606.724,395.469,0.0540277,0,0
7,0.48503,-3669.89,0.852459,0.550086,2.61132,0.0650559,-4065.84,395.95,66.903,192.773,-4932.24,606.724,395.896,0.0540207,0,0
8,0.472237,-3669.86,0.876903,0.537293,1.11599,0.0650559,-4065.84,395.974,66.904,192.772,-4932.24,606.725,395.92,0.0540171,0,0
9,0.459445,-3669.86,0.879492,0.524501,-0.734208,0.0650559,-4065.84,395.976,66.9048,192.772,-4932.24,606.725,395.922,0.0540145,0,0
10,0.446652,-3669.88,0.858471,0.511708,-2.50192,0.0650559,-4065.84,395.955,66.9051,192.771,-4932.24,606.725,395.901,0.0540133,0,0
11,0.433859,-3670.05,0.691138,0.498915,-4.89082,0.0650559,-4065.84,395.788,66.9053,192.771,-4932.24,606.725,395.734,0.0540126,0,0
12,0.421067,-3670.51,0.228538,0.486122,-8.86639,0.0650559,-4065.84,395.325,66.9055,192.771,-4932.24,606.725,395.271,0.0540117,0,0
13,0.408274,-3670.67,0.0690681,0.47333,-9.22753,0.0650559,-4065.84,395.166,66.9056,192.771,-4932.24,606.725,395.112,0.0540116,0,0
14,0.395481,-3670.78,-0.042286,0.460537,-7.99305,0.0650559,-4065.84,395.055,66.9057,192.771,-4932.24,606.725,395.001,0.0540109,0,0
15,0.382688,-3671,-0.258631,0.447744,-6.91841,0.0650559,-4065.84,394.838,66.906,192.771,-4932.24,606.725,394.784,0.0540099,0,0
16,0.369896,-3671.07,-0.328791,0.434952,-3.939,0.0650559,-4065.84,394.768,66.9063,192.77,-4932.24,606.725,394.714,0.054009,0,0
17,0.357103,-3670.97,-0.23303,0.422159,-1.56902,0.0650559,-4065.84,394.864,66.9063,192.77,-4932.24,606.725,394.81,0.0540088,0,0
18,0.34431,-3671.02,-0.277634,0.409366,-4.45882,0.0650559,-4065.84,394.819,66.9064,192.771,-4932.24,606.725,394.765,0.0540086,0,0
19,0.331518,-3671.05,-0.313392,0.396574,-1.23324,0.0650559,-4065.84,394.783,66.9065,192.77,-4932.24,606.725,394.729,0.054008,0,0
20,0.318725,-3671.06,-0.32021,0.383781,1.143,0.0650559,-4065.88,394.826,66.9255,192.862,-4932.37,606.701,394.772,0.0541407,0,0
21,0.305932,-3671.03,-0.29498,0.370988,2.62618,0.0650559,-4065.88,394.85,66.9265,192.861,-4932.37,606.702,394.796,0.0541393,0,0
22,0.29314,-3671,-0.257522,0.358195,3.05916,0.0650559,-4065.88,394.885,66.9285,192.859,-4932.37,606.703,394.83,0.0541364,0,0
23,0.280347,-3670.59,0.146064,0.345403,-0.665501,0.0650559,-4065.88,395.284,66.9323,192.854,-4932.37,606.705,395.229,0.054131,0,0
24,0.267554,-3670.49,0.245716,0.33261,-2.45913,0.0650559,-4065.87,395.38,66.9353,192.851,-4932.36,606.706,395.326,0.0541269,0,0
25,0.254762,-3670.53,0.208722,0.319817,-3.30219,0.0650559,-4065.87,395.34,66.9376,192.848,-4932.36,606.707,395.286,0.0541239,0,0
26,0.241969,-3670.58,0.163396,0.307025,-3.62871,0.0650559,-4065.87,395.293,66.9391,192.847,-4932.36,606.707,395.239,0.0541218,0,0
27,0.229176,-3670.62,0.122041,0.294232,-2.498,0.0650559,-4065.87,395.251,66.9394,192.847,-4932.36,606.708,395.197,0.0541215,0,0
28,0.216383,-3670.63,0.111283,0.281439,1.42187,0.0650559,-4065.87,395.24,66.9395,192.847,-4932.36,606.708,395.186,0.0541213,0,0
29,0.203591,-3670.96,-0.221836,0.268647,6.68117,0.0650559,-4065.87,394.907,66.9402,192.846,-4932.36,606.708,394.852,0.0541205,0,0
30,0.190798,-3670.78,-0.0419857,0.255854,23.1659,0.0650559,-4065.87,395.086,66.9402,192.846,-4932.36,606.708,395.032,0.0541205,0,0
31,0.178005,-3670.36,0.381504,0.243061,48.8991,0.0650559,-4066.32,395.964,67.0577,193.421,-4933.29,606.489,395.909,0.055013,0,0
32,0.165213,-3669.43,1.30386,0.230269,100.229,0.0650559,-4066.32,396.888,67.0585,193.431,-4933.3,606.485,396.833,0.0550037,0,0
33,0.15242,-3667.62,3.11532,0.217476,191.747,0.0650559,-4066.33,398.704,67.0601,193.454,-4933.32,606.475,398.649,0.0549832,0,0
34,0.139627,-3664.11,6.62407,0.204683,349.69,0.0650559,-4066.33,402.22,67.0636,193.499,-4933.35,606.457,402.165,0.0549418,0,0
35,0.126835,-3658.1,12.6339,0.19189,639.273,0.0650559,-4066.35,408.246,67.0715,193.597,-4933.44,606.417,408.191,0.0548535,0,0
36,0.114042,-3646.9,23.841,0.179098,1163.2,0.0650559,-4066.38,419.483,67.0897,193.8,-4933.6,606.335,419.428,0.0546696,0,0
37,0.101249,-3626.62,44.1141,0.166305,2094.06,0.0650559,-4066.43,439.805,67.1368,194.233,-4933.96,606.161,439.751,0.0542819,0,0
38,0.0884565,-3590.35,80.3907,0.153512,3719.71,0.0650559,-4066.47,476.122,67.2743,195.165,-4934.71,605.798,476.069,0.0534674,0,0
39,0.0756638,-3526.78,143.961,0.14072,6467.86,0.0650559,-4066.28,539.503,67.7242,197.167,-4936.23,605.059,539.451,0.0517961,0,0
40,0.0628711,-3417.36,253.377,0.127927,10846.3,0.0650559,-4064.77,647.41,69.3082,201.492,-4939.2,603.629,647.361,0.0485052,0,0
41,0.0500784,-3240.77,429.964,0.115134,17141.3,0.0650559,-4057.71,816.939,74.8408,210.798,-4944.48,601.131,816.897,0.0425389,0,0
42,0.0372857,-2974.69,696.053,0.102342,24607.2,0.0650559,-4032.5,1057.81,92.2338,230.186,-4952.43,597.513,1057.78,0.033256,0,0
43,0.024493,-2616.19,1054.55,0.0895489,30756.5,0.0650559,-3965.16,1348.97,136.034,266.294,-4961.32,593.833,1348.95,0.0223253,0,0
44,0.0117003,-2205.99,1464.75,0.0767562,32422.9,0.0650559,-3836.85,1630.86,217.301,321.264,-4967.47,592.05,1630.85,0.0142864,0,0
45,-0.00109238,-1811.03,1859.71,0.0639635,28331.4,0.0650559,-3662.83,1851.81,326.282,386.447,-4968.65,593.083,1851.8,0.0104305,0,0
46,-0.0138851,-1501.11,2169.63,0.0511708,19664.2,0.0650559,-3489.42,1988.31,434.442,446.46,-4966.18,595.86,1988.3,0.00912658,0,0
47,-0.0266778,-3536.4,134.338,0.0383781,198.296,0.0650559,-4023.5,487.103,90.1309,256.029,-4962.22,592.556,487.099,0.00373719,0,0
48,-0.0394705,-3397.23,273.504,0.0255854,389.074,0.0650559,-4018.65,621.412,92.6972,261.012,-4964.3,591.946,621.408,0.00370656,0,0
49,-0.0522632,-3397.61,273.132,0.0127927,-711.857,0.0650559,-4017.35,619.747,93.4282,261.861,-4964.54,591.894,619.743,0.00372444,0,0
50,-0.0650559,-3412.84,257.898,0,-1657.21,0.0650559,-4017.08,604.236,93.5854,262.035,-4964.58,591.885,604.232,0.00372872,0,0
51,-0.0778485,-3548.65,122.089,-0.0127927,-595.623,0.0650559,-4021,472.35,86.7044,256.317,-4961.52,597.502,472.348,0.00231241,0,0
52,-0.0906412,-3557.66,113.08,-0.0255854,-749.015,0.0650559,-4023.08,465.422,84.536,253.892,-4960.91,599.402,465.419,0.00265315,0,0
53,-0.103434,-3568.11,102.624,-0.0383781,-881.409,0.0650559,-4026.25,458.133,82.05,250.337,-4960.03,601.397,458.129,0.00325819,0,0
54,-0.116227,-3549.91,120.827,-0.0511708,-2436.1,0.0650559,-4025.42,475.509,83.0199,250.549,-4959.97,600.981,475.505,0.00322264,0,0
55,-0.129019,-3593.65,77.0866,-0.0639635,-1045.45,0.0650559,-4035.58,441.929,76.667,239.85,-4957.21,605.108,441.924,0.00545016,0,0
