step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.704491,-3669.18,0,-0.63918,-0.0811869,0.0653108,-4070.58,401.401,62.2596,191.614,-4931.21,606.756,401.399,0.00271018,0,0
1,-0.691708,-3669.44,-0.257171,-0.626397,1.72035,0.0653108,-4070.57,401.136,62.247,191.598,-4931.17,606.757,401.133,0.00270153,0,0
2,-0.678924,-3669.39,-0.212949,-0.613613,5.05632,0.0653108,-4070.56,401.163,62.2525,191.587,-4931.15,606.756,401.16,0.0026953,0,0
3,-0.66614,-3669.31,-0.132028,-0.60083,7.41612,0.0653108,-4070.55,401.243,62.2527,191.588,-4931.15,606.756,401.24,0.00269449,0,0
4,-0.653357,-3669.21,-0.0284512,-0.588046,8.58223,0.0653108,-4070.55,401.345,62.253,191.591,-4931.15,606.755,401.343,0.00269312,0,0
5,-0.640573,-3668.71,0.466479,-0.575262,5.16941,0.0653108,-4070.55,401.839,62.2534,191.593,-4931.15,606.755,401.836,0.0026918,0,0
6,-0.62779,-3668.53,0.645582,-0.562479,3.35249,0.0653108,-4070.55,402.016,62.2539,191.596,-4931.15,606.755,402.013,0.00269002,0,0
7,-0.615006,-3668.5,0.679608,-0.549695,1.86446,0.0653108,-4070.55,402.048,62.2545,191.599,-4931.16,606.755,402.046,0.00268822,0,0
8,-0.602222,-3668.49,0.69142,-0.536912,-0.0515338,0.0653108,-4070.55,402.058,62.2552,191.602,-4931.16,606.755,402.056,0.0026865,0,0
9,-0.589439,-3668.5,0.678367,-0.524128,-1.94985,0.0653108,-4070.54,402.043,62.2558,191.604,-4931.16,606.754,402.041,0.00268492,0,0
10,-0.576655,-3668.54,0.643533,-0.511344,-3.38889,0.0653108,-4070.54,402.007,62.2564,191.607,-4931.16,606.754,402.004,0.00268352,0,0
11,-0.563872,-3668.85,0.328151,-0.498561,-6.33151,0.0653108,-4070.54,401.691,62.2568,191.608,-4931.16,606.754,401.688,0.00268267,0,0
12,-0.551088,-3669.21,-0.0277784,-0.485777,-8.4262,0.0653108,-4070.54,401.334,62.2569,191.608,-4931.16,606.754,401.332,0.00268235,0,0
