step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.573648,-3450.75,0,0.638986,-0.144655,0.065338,-3977.91,527.166,99.6579,253.388,-4940.93,609.972,526.98,0.186412,0,0
1,0.560868,-3450.87,-0.124168,0.626206,0.997907,0.065338,-3977.91,527.042,99.6582,253.388,-4940.93,609.972,526.856,0.18642,0,0
2,0.548088,-3450.99,-0.247663,0.613426,1.93078,0.065338,-3977.91,526.92,99.6588,253.389,-4940.93,609.971,526.733,0.186437,0,0
3,0.535309,-3450.95,-0.200044,0.600647,5.36128,0.065338,-3977.91,526.968,99.6593,253.389,-4940.93,609.97,526.782,0.186452,0,0
4,0.522529,-3450.86,-0.115366,0.587867,7.68602,0.065338,-3977.92,527.054,99.6597,253.39,-4940.93,609.969,526.867,0.186467,0,0
5,0.509749,-3450.76,-0.00909107,0.575087,8.72626,0.065338,-3977.92,527.161,99.6602,253.391,-4940.94,609.968,526.975,0.186482,0,0
6,0.49697,-3450.53,0.217523,0.562308,7.49648,0.065338,-3977.92,527.389,99.6608,253.392,-4940.94,609.966,527.202,0.1865,0,0
7,0.48419,-3450.09,0.657801,0.549528,3.12312,0.065338,-3977.92,527.83,99.6612,253.392,-4940.94,609.966,527.643,0.186513,0,0
8,0.47141,-3450.06,0.687471,0.536748,1.41645,0.065338,-3977.92,527.86,99.6614,253.392,-4940.94,609.965,527.673,0.186523,0,0
9,0.45863,-3450.05,0.692297,0.523968,-0.689756,0.065338,-3977.92,527.865,99.6616,253.393,-4940.94,609.965,527.678,0.186529,0,0
10,0.445851,-3450.08,0.670116,0.511189,-2.73211,0.065338,-3977.92,527.843,99.6618,253.393,-4940.94,609.964,527.656,0.186533,0,0
11,0.433071,-3450.12,0.624658,0.498409,-4.26231,0.065338,-3977.92,527.798,99.6619,253.393,-4940.94,609.964,527.611,0.186536,0,0
12,0.420291,-3450.62,0.12832,0.485629,-9.17491,0.065338,-3977.92,527.301,99.6619,253.393,-4940.94,609.964,527.115,0.186536,0,0
13,0.407511,-3451.01,-0.267042,0.472849,-11.5891,0.065338,-3977.92,526.907,99.6622,253.394,-4940.94,609.963,526.72,0.186547,0,0
14,0.394732,-3451.16,-0.410864,0.46007,-10.7253,0.065338,-3977.92,526.763,99.6623,253.394,-4940.94,609.963,526.576,0.186549,0,0
15,0.381952,-3451.28,-0.536488,0.44729,-8.76655,0.065338,-3977.92,526.638,99.6624,253.394,-4940.94,609.963,526.451,0.186552,0,0
16,0.369172,-3451.38,-0.631219,0.43451,-5.94023,0.065338,-3977.92,526.543,99.6625,253.394,-4940.94,609.963,526.356,0.186556,0,0
17,0.356393,-3451.59,-0.841069,0.421731,-6.06663,0.065338,-3977.96,526.371,99.6664,253.534,-4941.07,609.907,526.184,0.186799,0,0
18,0.343613,-3451.29,-0.541406,0.408951,-5.9325,0.065338,-3977.96,526.67,99.6668,253.534,-4941.07,609.907,526.483,0.186784,0,0
19,0.330833,-3451.62,-0.869121,0.396171,-4.85071,0.065338,-3977.96,526.343,99.6691,253.533,-4941.07,609.907,526.156,0.186685,0,0
20,0.318053,-3451.66,-0.913883,0.383391,-2.25688,0.065338,-3977.96,526.298,99.6717,253.531,-4941.07,609.907,526.111,0.186581,0,0
21,0.305274,-3451.68,-0.929257,0.370612,-0.227045,0.065338,-3977.96,526.283,99.6745,253.53,-4941.07,609.907,526.096,0.186465,0,0
