step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.704282,-3446.03,0,-0.638821,0.0954691,0.0654611,-3982.23,536.203,96.0804,253.334,-4941.52,609.87,536.028,0.175132,0,0
1,-0.691505,-3446.27,-0.241483,-0.626044,2.29007,0.0654611,-3982.23,535.956,96.0806,253.341,-4941.52,609.869,535.781,0.175144,0,0
2,-0.678729,-3446.22,-0.188525,-0.613268,5.84569,0.0654611,-3982.22,536.004,96.0809,253.347,-4941.52,609.867,535.828,0.175156,0,0
3,-0.665953,-3446.13,-0.0967413,-0.600491,8.319,0.0654611,-3982.22,536.089,96.0812,253.355,-4941.52,609.865,535.914,0.17517,0,0
4,-0.653176,-3445.88,0.15063,-0.587715,8.37437,0.0654611,-3982.21,536.33,96.0815,253.362,-4941.52,609.863,536.155,0.175182,0,0
5,-0.6404,-3445.52,0.515143,-0.574939,6.11351,0.0654611,-3982.2,536.689,96.0819,253.369,-4941.52,609.862,536.514,0.175193,0,0
6,-0.627623,-3445.32,0.711254,-0.562162,4.04824,0.0654611,-3982.2,536.88,96.0822,253.376,-4941.52,609.86,536.704,0.175203,0,0
7,-0.614847,-3445.28,0.752735,-0.549386,2.33056,0.0654611,-3982.19,536.917,96.0825,253.381,-4941.52,609.859,536.741,0.175211,0,0
8,-0.602071,-3445.26,0.768839,-0.536609,0.152949,0.0654611,-3982.19,536.929,96.0827,253.385,-4941.52,609.858,536.754,0.175217,0,0
9,-0.589294,-3445.27,0.756728,-0.523833,-2.0048,0.0654611,-3982.19,536.915,96.0829,253.387,-4941.52,609.857,536.74,0.175221,0,0
10,-0.576518,-3445.31,0.719731,-0.511057,-3.66668,0.0654611,-3982.19,536.877,96.0829,253.388,-4941.52,609.857,536.702,0.175222,0,0
11,-0.563741,-3445.64,0.39251,-0.49828,-6.84928,0.0654611,-3982.19,536.55,96.0829,253.389,-4941.52,609.857,536.374,0.175223,0,0
12,-0.550965,-3445.73,0.304786,-0.485504,-6.66928,0.0654611,-3982.19,536.462,96.0829,253.389,-4941.52,609.857,536.286,0.175224,0,0
13,-0.538188,-3446.09,-0.0564469,-0.472727,-7.52114,0.0654611,-3982.19,536.1,96.0829,253.389,-4941.52,609.857,535.925,0.175224,0,0
14,-0.525412,-3446.17,-0.137583,-0.459951,-4.98427,0.0654611,-3982.19,536.018,96.083,253.39,-4941.52,609.856,535.843,0.175224,0,0
15,-0.512636,-3446.22,-0.187675,-0.447175,-1.47987,0.0654611,-3982.2,535.985,96.0784,253.369,-4941.48,609.826,535.809,0.175288,0,0
16,-0.499859,-3445.96,0.0716923,-0.434398,0.534469,0.0654611,-3982.2,536.244,96.0786,253.37,-4941.48,609.825,536.069,0.175284,0,0
17,-0.487083,-3445.83,0.205058,-0.421622,1.63382,0.0654611,-3982.2,536.378,96.0795,253.374,-4941.48,609.824,536.202,0.175264,0,0
18,-0.474306,-3446.26,-0.226755,-0.408845,1.30742,0.0654611,-3982.2,535.946,96.081,253.38,-4941.49,609.821,535.771,0.175235,0,0
19,-0.46153,-3446.22,-0.190292,-0.396069,4.2247,0.0654611,-3982.2,535.983,96.0825,253.387,-4941.49,609.818,535.808,0.175203,0,0
20,-0.448754,-3446.15,-0.123868,-0.383292,5.95808,0.0654611,-3982.2,536.05,96.0841,253.394,-4941.5,609.815,535.875,0.175169,0,0
21,-0.435977,-3446.21,-0.180811,-0.370516,5.3406,0.0654611,-3982.21,535.994,96.0858,253.401,-4941.5,609.812,535.819,0.175135,0,0
22,-0.423201,-3445.78,0.253476,-0.35774,1.13393,0.0654611,-3982.21,536.429,96.0874,253.408,-4941.51,609.809,536.254,0.175105,0,0
23,-0.410424,-3445.65,0.377505,-0.344963,-1.6018,0.0654611,-3982.21,536.553,96.0886,253.413,-4941.51,609.807,536.378,0.175082,0,0
24,-0.397648,-3445.69,0.343331,-0.332187,-3.81904,0.0654611,-3982.21,536.519,96.0895,253.417,-4941.52,609.805,536.344,0.175064,0,0
25,-0.384872,-3445.75,0.279364,-0.31941,-6.16163,0.0654611,-3982.21,536.456,96.09,253.419,-4941.52,609.804,536.28,0.175053,0,0
26,-0.372095,-3445.84,0.188287,-0.306634,-7.93463,0.0654611,-3982.21,536.365,96.0903,253.42,-4941.52,609.804,536.189,0.175049,0,0
27,-0.359319,-3446.09,-0.0555535,-0.293858,-9.51881,0.0654611,-3982.21,536.121,96.0904,253.42,-4941.52,609.803,535.946,0.175048,0,0
28,-0.346542,-3446.34,-0.309279,-0.281081,-8.67054,0.0654611,-3982.21,535.867,96.0905,253.421,-4941.52,609.803,535.692,0.175044,0,0
29,-0.333766,-3446.55,-0.5217,-0.268305,-3.62544,0.0654611,-3982.21,535.655,96.0907,253.422,-4941.52,609.803,535.48,0.175041,0,0
30,-0.320989,-3446.67,-0.639265,-0.255528,8.08768,0.0654611,-3982.21,535.537,96.0908,253.422,-4941.52,609.803,535.362,0.17504,0,0
31,-0.308213,-3446.45,-0.419489,-0.242752,30.5977,0.0654611,-3981.64,535.187,95.9713,254.278,-4941.74,609.853,535.024,0.162954,0,0
32,-0.295437,-3445.82,0.214247,-0.229975,72.6307,0.0654611,-3981.64,535.82,95.9714,254.278,-4941.74,609.853,535.657,0.162954,0,0
33,-0.28266,-3444.08,1.94871,-0.217199,144.056,0.0654611,-3981.63,537.552,95.974,254.279,-4941.74,609.852,537.39,0.162927,0,0
34,-0.269884,-3441.63,4.3968,-0.204423,273.967,0.0654611,-3981.63,539.995,95.98,254.282,-4941.74,609.85,539.832,0.162862,0,0
35,-0.257107,-3437.04,8.99169,-0.191646,510.839,0.0654611,-3981.62,544.579,95.993,254.287,-4941.74,609.847,544.416,0.162721,0,0
