step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.574761,-3616.23,0,0.639455,1.04439,0.0646941,-4050.23,434.003,69.9337,182.264,-4915.38,612.958,434.939,-0.935746,0,0
1,0.561971,-3616.35,-0.125239,0.626666,-0.314619,0.0646941,-4050.25,433.896,69.9461,182.265,-4915.43,612.968,434.833,-0.937794,0,0
2,0.549182,-3616.11,0.111306,0.613876,1.49296,0.0646941,-4050.25,434.132,69.9456,182.268,-4915.43,612.967,435.069,-0.937594,0,0
3,0.536393,-3616.07,0.152104,0.601087,4.74047,0.0646941,-4050.25,434.172,69.9452,182.271,-4915.43,612.966,435.11,-0.93737,0,0
4,0.523604,-3616,0.228209,0.588298,6.97266,0.0646941,-4050.25,434.248,69.9447,182.274,-4915.43,612.965,435.185,-0.937153,0,0
5,0.510815,-3615.9,0.325375,0.575509,8.01968,0.0646941,-4050.24,434.345,69.9443,182.276,-4915.43,612.965,435.282,-0.936958,0,0
6,0.498026,-3615.8,0.428256,0.56272,7.8803,0.0646941,-4050.24,434.447,69.944,182.279,-4915.43,612.964,435.384,-0.936798,0,0
7,0.485237,-3615.25,0.977612,0.549931,2.70355,0.0646941,-4050.24,434.996,69.9439,182.28,-4915.43,612.964,435.933,-0.936707,0,0
8,0.472448,-3615.22,1.00341,0.537142,1.23466,0.0646941,-4050.24,435.022,69.9438,182.281,-4915.43,612.963,435.958,-0.93662,0,0
9,0.459659,-3615.22,1.00761,0.524353,-0.605067,0.0646941,-4050.24,435.026,69.9438,182.282,-4915.43,612.963,435.962,-0.93657,0,0
10,0.44687,-3615.24,0.988208,0.511564,-2.38143,0.0646941,-4050.24,435.006,69.9437,182.282,-4915.43,612.963,435.943,-0.936552,0,0
11,0.434081,-3615.53,0.697327,0.498775,-5.90897,0.0646941,-4050.24,434.716,69.9437,182.282,-4915.43,612.963,435.652,-0.936547,0,0
12,0.421291,-3615.94,0.282676,0.485986,-9.72401,0.0646941,-4050.24,434.301,69.9437,182.282,-4915.43,612.963,435.237,-0.93652,0,0
13,0.408502,-3616.07,0.156887,0.473196,-9.76439,0.0646941,-4050.24,434.175,69.9437,182.283,-4915.43,612.963,435.111,-0.936494,0,0
14,0.395713,-3616.19,0.037703,0.460407,-8.68823,0.0646941,-4050.24,434.056,69.9437,182.283,-4915.43,612.963,434.992,-0.936471,0,0
15,0.382924,-3616.42,-0.192769,0.447618,-7.8342,0.0646941,-4050.24,433.825,69.9437,182.284,-4915.43,612.963,434.762,-0.936438,0,0
16,0.370135,-3616.51,-0.280109,0.434829,-5.06481,0.0646941,-4050.28,433.772,69.9568,182.329,-4915.49,612.931,434.712,-0.939764,0,0
17,0.357346,-3616.55,-0.32421,0.42204,-1.78392,0.0646941,-4050.28,433.728,69.9567,182.329,-4915.49,612.932,434.667,-0.939771,0,0
