step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.703232,-3613.01,0,-0.638598,-2.14327,0.064634,-4057.74,444.722,62.3777,178.223,-4911.49,613.15,445.51,-0.787952,0,0
1,-0.69046,-3613.02,-0.00153532,-0.625826,1.82333,0.064634,-4057.74,444.721,62.3774,178.222,-4911.49,613.151,445.508,-0.787913,0,0
2,-0.677688,-3612.97,0.0436754,-0.613054,5.11216,0.064634,-4057.74,444.766,62.3768,178.221,-4911.49,613.152,445.553,-0.787854,0,0
3,-0.664916,-3612.89,0.124745,-0.600282,7.39483,0.064634,-4057.74,444.846,62.3762,178.22,-4911.49,613.154,445.634,-0.787787,0,0
4,-0.652145,-3612.79,0.227481,-0.58751,8.48827,0.064634,-4057.74,444.949,62.3756,178.218,-4911.49,613.156,445.737,-0.787717,0,0
5,-0.639373,-3612.42,0.590819,-0.574739,6.1599,0.064634,-4057.74,445.312,62.375,178.217,-4911.49,613.158,446.1,-0.787648,0,0
6,-0.626601,-3612.12,0.895025,-0.561967,3.18654,0.064634,-4057.74,445.616,62.3744,178.216,-4911.49,613.16,446.403,-0.78757,0,0
7,-0.613829,-3612.09,0.926786,-0.549195,1.68481,0.064634,-4057.74,445.647,62.3739,178.215,-4911.49,613.161,446.435,-0.787517,0,0
8,-0.601057,-3612.08,0.936339,-0.536423,-0.219779,0.064634,-4057.74,445.657,62.3736,178.215,-4911.49,613.162,446.444,-0.787474,0,0
9,-0.588285,-3612.09,0.921336,-0.523651,-2.08577,0.064634,-4057.73,445.642,62.3734,178.214,-4911.49,613.163,446.429,-0.787443,0,0
10,-0.575513,-3612.13,0.885081,-0.510879,-3.4791,0.064634,-4057.73,445.605,62.3732,178.214,-4911.49,613.163,446.393,-0.787423,0,0
11,-0.562741,-3612.44,0.572884,-0.498107,-6.32198,0.064634,-4057.73,445.293,62.3732,178.214,-4911.49,613.163,446.08,-0.78742,0,0
12,-0.549969,-3612.8,0.212335,-0.485335,-8.41515,0.064634,-4057.73,444.933,62.3731,178.214,-4911.49,613.163,445.72,-0.787415,0,0
13,-0.537197,-3612.24,0.772511,-0.472563,-7.15712,0.064634,-4057.7,445.455,62.3795,178.193,-4911.41,613.141,446.241,-0.785502,0,0
14,-0.524425,-3612.32,0.695272,-0.459791,-4.7634,0.064634,-4057.7,445.378,62.3795,178.194,-4911.41,613.141,446.163,-0.785498,0,0
15,-0.511653,-3612.36,0.654739,-0.447019,-1.45707,0.064634,-4057.7,445.337,62.3795,178.194,-4911.41,613.141,446.123,-0.785489,0,0
16,-0.498881,-3612.35,0.660474,-0.434247,2.41537,0.064634,-4057.7,445.343,62.3796,178.195,-4911.41,613.14,446.128,-0.785479,0,0
17,-0.486109,-3612.32,0.69873,-0.421475,-2.13057,0.064634,-4057.7,445.381,62.3796,178.195,-4911.41,613.14,446.167,-0.785474,0,0
18,-0.473337,-3612.32,0.695183,-0.408703,1.47564,0.064634,-4057.7,445.378,62.3797,178.196,-4911.41,613.139,446.163,-0.785462,0,0
19,-0.460565,-3612.41,0.60155,-0.395931,3.24257,0.064634,-4057.7,445.284,62.3798,178.197,-4911.41,613.139,446.069,-0.785454,0,0
20,-0.447793,-3612.36,0.654941,-0.383159,4.92756,0.064634,-4057.7,445.337,62.3799,178.198,-4911.41,613.139,446.123,-0.785443,0,0
21,-0.435021,-3612.29,0.722402,-0.370387,5.43966,0.064634,-4057.7,445.405,62.38,178.198,-4911.41,613.138,446.19,-0.785435,0,0
22,-0.422249,-3611.72,1.29002,-0.357615,0.411005,0.064634,-4057.7,445.972,62.38,178.198,-4911.41,613.138,446.758,-0.785434,0,0
23,-0.409477,-3611.73,1.2892,-0.344843,-0.676034,0.064634,-4057.7,445.971,62.38,178.199,-4911.41,613.138,446.757,-0.78543,0,0
24,-0.396705,-3611.74,1.27005,-0.332071,-2.39458,0.064634,-4057.7,445.952,62.3801,178.199,-4911.41,613.138,446.738,-0.785429,0,0
25,-0.383933,-3611.93,1.08661,-0.319299,-5.67463,0.064634,-4057.7,445.769,62.38,178.199,-4911.41,613.138,446.554,-0.785428,0,0
26,-0.371161,-3612.01,1.00203,-0.306527,-7.48129,0.064634,-4057.7,445.684,62.38,178.199,-4911.41,613.138,446.47,-0.785427,0,0
27,-0.358389,-3612.12,0.898965,-0.293755,-8.474,0.064634,-4057.7,445.581,62.3801,178.199,-4911.41,613.138,446.367,-0.785427,0,0
