step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.571877,-2460.07,0,0.639403,-1.85076,0.0675258,-3031.2,571.132,141.24,452.182,-4260.08,635.455,552.942,18.1904,0,0
1,0.559089,-2460.07,0.000945136,0.626615,1.99036,0.0675258,-3031.2,571.134,141.238,452.184,-4260.08,635.453,552.943,18.191,0,0
2,0.546301,-2459.61,0.458232,0.613827,1.98818,0.0675258,-3031.2,571.591,141.236,452.186,-4260.08,635.452,553.4,18.1918,0,0
3,0.533513,-2459.56,0.505231,0.601039,5.20771,0.0675258,-3031.2,571.639,141.233,452.189,-4260.08,635.45,553.446,18.1926,0,0
4,0.520725,-2459.48,0.58688,0.588251,7.36614,0.0675258,-3031.2,571.721,141.231,452.193,-4260.08,635.448,553.528,18.1935,0,0
5,0.507937,-2459.38,0.688383,0.575462,8.29998,0.0675258,-3031.2,571.823,141.228,452.195,-4260.07,635.447,553.629,18.1942,0,0
6,0.495149,-2459.28,0.793952,0.562674,8.01768,0.0675258,-3031.2,571.929,141.227,452.198,-4260.07,635.445,553.734,18.1948,0,0
7,0.482361,-2458.96,1.10908,0.549886,4.75912,0.0675258,-3031.2,572.244,141.225,452.199,-4260.07,635.445,554.049,18.1953,0,0
8,0.469573,-2458.71,1.35961,0.537098,1.12203,0.0675258,-3031.2,572.495,141.225,452.2,-4260.07,635.444,554.299,18.1955,0,0
9,0.456784,-2458.71,1.36112,0.52431,-0.914828,0.0675258,-3031.2,572.496,141.224,452.201,-4260.07,635.444,554.301,18.1958,0,0
10,0.443996,-2458.73,1.33643,0.511522,-2.90238,0.0675258,-3031.2,572.472,141.224,452.202,-4260.07,635.443,554.276,18.1959,0,0
11,0.431208,-2458.78,1.28886,0.498734,-4.42845,0.0675258,-3031.2,572.424,141.223,452.202,-4260.07,635.443,554.228,18.196,0,0
12,0.41842,-2459.49,0.578214,0.485946,-11.0695,0.0675258,-3031.2,571.714,141.223,452.202,-4260.07,635.443,553.518,18.196,0,0
13,0.405632,-2459.64,0.432894,0.473158,-11.4857,0.0675258,-3031.2,571.568,141.223,452.202,-4260.07,635.443,553.372,18.196,0,0
14,0.392844,-2459.78,0.288953,0.46037,-10.852,0.0675258,-3031.2,571.424,141.223,452.203,-4260.07,635.443,553.228,18.1961,0,0
15,0.380056,-2459.91,0.154996,0.447582,-9.233,0.0675258,-3031.26,571.344,141.257,452.299,-4260.17,635.357,553.156,18.1879,0,0
16,0.367268,-2460.26,-0.188444,0.434794,-9.00295,0.0675258,-3031.26,571.001,141.256,452.3,-4260.17,635.357,552.813,18.1879,0,0
17,0.35448,-2460.36,-0.287207,0.422006,-6.39991,0.0675258,-3031.26,570.903,141.254,452.3,-4260.17,635.357,552.715,18.1881,0,0
18,0.341692,-2460.66,-0.586695,0.409218,-5.66774,0.0675258,-3031.26,570.605,141.252,452.301,-4260.17,635.357,552.417,18.1884,0,0
19,0.328904,-2460.3,-0.234695,0.39643,-7.10531,0.0675258,-3031.26,570.959,141.248,452.302,-4260.17,635.356,552.77,18.1888,0,0
20,0.316116,-2460.38,-0.311884,0.383642,-5.0828,0.0675258,-3031.26,570.883,141.246,452.303,-4260.17,635.356,552.694,18.1891,0,0
21,0.303328,-2460.44,-0.367813,0.370854,-3.78534,0.0675258,-3031.27,570.829,141.243,452.304,-4260.17,635.355,552.64,18.1894,0,0
22,0.29054,-2460.48,-0.411483,0.358066,-3.13263,0.0675258,-3031.27,570.787,141.24,452.305,-4260.17,635.355,552.597,18.1896,0,0
23,0.277752,-2460.52,-0.449301,0.345277,-2.79033,0.0675258,-3031.27,570.75,141.238,452.306,-4260.17,635.355,552.56,18.1899,0,0
24,0.264964,-2460.11,-0.0411556,0.332489,-6.01363,0.0675258,-3031.27,571.161,141.234,452.308,-4260.17,635.354,552.97,18.1904,0,0
25,0.252176,-2460.17,-0.104328,0.319701,-3.52514,0.0675258,-3031.27,571.099,141.232,452.309,-4260.17,635.353,552.908,18.1906,0,0
26,0.239388,-2460.19,-0.118694,0.306913,1.9526,0.0675258,-3031.27,571.086,141.229,452.31,-4260.17,635.353,552.895,18.1909,0,0
27,0.226599,-2460.1,-0.0311365,0.294125,12.9301,0.0675258,-3031.28,571.176,141.226,452.312,-4260.17,635.352,552.984,18.1913,0,0
28,0.213811,-2459.82,0.251797,0.281337,33.3158,0.0675258,-3031.28,571.462,141.22,452.314,-4260.16,635.351,553.27,18.1919,0,0
29,0.201023,-2459.42,0.648273,0.268549,67.2741,0.0675258,-3031.29,571.866,141.209,452.32,-4260.16,635.348,553.673,18.1932,0,0
30,0.188235,-2458.2,1.86585,0.255761,128.478,0.0675258,-3031.3,573.095,141.19,452.328,-4260.16,635.344,554.9,18.1953,0,0
31,0.175447,-2456.2,3.87327,0.242973,229.04,0.0675258,-3031.32,575.123,141.157,452.344,-4260.16,635.335,556.924,18.199,0,0
32,0.162659,-2452.08,7.99043,0.230185,397.383,0.0675258,-3031.36,579.276,141.099,452.372,-4260.15,635.321,561.071,18.2056,0,0
33,0.149871,-2445.39,14.6813,0.217397,670.731,0.0675258,-3031.41,586.021,141.008,452.417,-4260.13,635.298,567.805,18.2161,0,0
34,0.137083,-2434.69,25.3817,0.204609,1104.08,0.0675258,-3031.49,596.804,140.862,452.495,-4260.11,635.26,578.57,18.2335,0,0
35,0.124295,-2416.06,44.0093,0.191821,1786.42,0.0675258,-3031.6,615.54,140.644,452.624,-4260.07,635.2,597.279,18.2612,0,0
36,0.111507,-2386.95,73.1224,0.179033,2839.08,0.0675258,-3031.72,644.77,140.338,452.838,-4260,635.108,626.465,18.3044,0,0
37,0.0987189,-2341.28,118.794,0.166245,4401.47,0.0675258,-3031.77,690.493,139.953,453.191,-4259.89,634.975,672.123,18.3701,0,0
38,0.0859309,-2271.56,188.508,0.153457,6622.21,0.0675258,-3031.58,760.014,139.564,453.769,-4259.7,634.791,741.548,18.4661,0,0
39,0.0731428,-2168.66,291.414,0.140669,9600.7,0.0675258,-3030.77,862.117,139.364,454.699,-4259.39,634.556,843.517,18.6004,0,0
40,0.0603547,-2022.93,437.138,0.127881,13293.3,0.0675258,-3028.77,1005.84,139.71,456.138,-4258.91,634.287,987.064,18.7773,0,0
41,0.0475667,-1826.41,633.655,0.115092,17387.3,0.0675258,-3024.88,1198.46,141.068,458.232,-4258.19,634.018,1179.47,18.9943,0,0
42,0.0347786,-1578.67,881.398,0.102304,21212.8,0.0675258,-3018.73,1440.06,143.759,460.968,-4257.25,633.796,1420.82,19.2347,0,0
43,0.0219906,-1289.62,1170.45,0.0895164,23716.8,0.0675258,-3011.12,1721.5,147.46,463.968,-4256.21,633.66,1702.03,19.4633,0,0
44,0.00920252,-983.576,1476.49,0.0767283,23650.3,0.0675258,-3004.81,2021.24,150.691,466.288,-4255.4,633.607,2001.61,19.6226,0,0
45,-0.00358553,-700.821,1759.25,0.0639403,19937.4,0.0675258,-3004.07,2303.25,151.079,466.554,-4255.31,633.603,2283.61,19.6402,0,0
46,-0.0163736,-1970.91,489.16,0.0511522,643.933,0.0675258,-2727.45,756.543,226.047,768.422,-4288.52,566.595,764.502,-7.95961,0,0
47,-0.0291616,-1972.89,487.18,0.0383642,-773.407,0.0675258,-2704.67,731.784,214.68,803.41,-4289.88,567.121,743.73,-11.946,0,0
48,-0.0419497,-1991.06,469.008,0.0255761,-2025.78,0.0675258,-2697.9,706.839,200.463,819.329,-4289.61,571.92,722.294,-15.4556,0,0
49,-0.0547378,-2019.76,440.309,0.0127881,-2412.58,0.0675258,-2698.75,678.992,200.056,818.935,-4289.79,572.044,694.414,-15.4222,0,0
50,-0.0675258,-2052.02,408.054,0,-2512.56,0.0675258,-2699.61,647.596,199.669,818.504,-4289.98,572.197,662.977,-15.3816,0,0
51,-0.0803139,-2083.74,376.33,-0.0127881,-2369.53,0.0675258,-2700.33,616.592,199.375,818.096,-4290.17,572.364,631.931,-15.3383,0,0
52,-0.0931019,-2111.84,348.233,-0.0255761,-2072.88,0.0675258,-2700.85,589.012,199.199,817.753,-4290.33,572.525,604.31,-15.2973,0,0
53,-0.10589,-2136,324.073,-0.0383642,-1699.95,0.0675258,-2701.18,565.185,199.118,817.485,-4290.45,572.668,580.447,-15.2613,0,0
54,-0.118678,-2266.09,193.975,-0.0511522,-3636.97,0.0675258,-2870.78,604.686,142.764,643.453,-4275.47,618.469,609.102,-4.41652,0,0
55,-0.131466,-2305.07,155,-0.0639403,-2509.93,0.0675258,-2870.68,565.61,142.741,643.357,-4275.38,618.6,569.967,-4.35688,0,0
56,-0.144254,-2331.1,128.966,-0.0767283,-1680.16,0.0675258,-2870.6,539.501,142.738,643.306,-4275.32,618.676,543.823,-4.32263,0,0
