step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.706469,-2454.12,0,-0.639054,-2.09774,0.0674152,-3038.72,584.6,136.011,449.697,-4259.56,635.131,568.823,15.7765,0,0
1,-0.693688,-2454.12,-0.000419233,-0.626273,1.95599,0.0674152,-3038.72,584.6,136.011,449.698,-4259.56,635.131,568.823,15.7765,0,0
2,-0.680907,-2454.07,0.0471414,-0.613492,5.34217,0.0674152,-3038.72,584.649,136.009,449.701,-4259.56,635.131,568.872,15.7766,0,0
3,-0.668126,-2453.99,0.131786,-0.600711,7.71166,0.0674152,-3038.72,584.736,136.007,449.705,-4259.56,635.13,568.959,15.7767,0,0
4,-0.655345,-2453.88,0.239046,-0.587929,8.86142,0.0674152,-3038.72,584.845,136.004,449.71,-4259.57,635.13,569.069,15.7768,0,0
5,-0.642564,-2453.76,0.352947,-0.575148,8.76005,0.0674152,-3038.73,584.962,136.001,449.715,-4259.57,635.13,569.185,15.7769,0,0
6,-0.629783,-2453.21,0.908841,-0.562367,3.60749,0.0674152,-3038.73,585.52,135.999,449.72,-4259.58,635.13,569.743,15.777,0,0
7,-0.617002,-2453.17,0.945238,-0.549586,1.97445,0.0674152,-3038.73,585.558,135.997,449.723,-4259.58,635.129,569.781,15.777,0,0
8,-0.60422,-2453.16,0.957288,-0.536805,-0.131567,0.0674152,-3038.73,585.571,135.995,449.726,-4259.58,635.129,569.794,15.7771,0,0
9,-0.591439,-2453.18,0.941744,-0.524024,-2.26828,0.0674152,-3038.73,585.557,135.994,449.727,-4259.58,635.129,569.779,15.7771,0,0
10,-0.578658,-2453.22,0.901055,-0.511243,-3.99648,0.0674152,-3038.73,585.516,135.994,449.728,-4259.58,635.129,569.739,15.7771,0,0
11,-0.565877,-2453.27,0.842964,-0.498462,-4.93515,0.0674152,-3038.73,585.458,135.994,449.729,-4259.58,635.129,569.681,15.7771,0,0
12,-0.553096,-2453.86,0.25311,-0.485681,-9.24023,0.0674152,-3038.73,584.869,135.993,449.729,-4259.58,635.129,569.092,15.7772,0,0
13,-0.540315,-2453.98,0.135032,-0.4729,-8.36298,0.0674152,-3038.71,584.731,136.034,449.664,-4259.54,635.131,568.958,15.7732,0,0
14,-0.527534,-2454.08,0.0398555,-0.460119,-6.35316,0.0674152,-3038.71,584.637,136.038,449.665,-4259.54,635.127,568.863,15.7735,0,0
