step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.57257,-2820.58,0,0.639363,1.16281,0.0667934,-3161.3,340.719,95.8926,358.129,-4262.07,646.744,337.78,2.93879,0,0
1,0.559782,-2820.47,0.108721,0.626576,-2.13612,0.0667934,-3161.3,340.828,95.8927,358.129,-4262.07,646.744,337.889,2.93879,0,0
2,0.546995,-2820.47,0.106843,0.613789,1.75275,0.0667934,-3161.3,340.826,95.8927,358.129,-4262.07,646.744,337.887,2.93879,0,0
3,0.534208,-2820.43,0.150414,0.601001,4.91029,0.0667934,-3161.3,340.869,95.893,358.129,-4262.07,646.744,337.93,2.93879,0,0
4,0.521421,-2820.35,0.22797,0.588214,7.02866,0.0667934,-3161.3,340.947,95.8933,358.129,-4262.07,646.744,338.008,2.9388,0,0
5,0.508633,-2820.26,0.325048,0.575427,7.95161,0.0667934,-3161.3,341.044,95.8938,358.129,-4262.07,646.744,338.105,2.9388,0,0
6,0.495846,-2820.16,0.426264,0.56264,7.692,0.0667934,-3161.3,341.145,95.8943,358.129,-4262.07,646.744,338.206,2.93881,0,0
7,0.483059,-2819.62,0.963414,0.549852,2.49903,0.0667934,-3161.3,341.682,95.8948,358.13,-4262.07,646.744,338.743,2.93882,0,0
8,0.470272,-2819.6,0.985983,0.537065,0.938384,0.0667934,-3161.3,341.705,95.8954,358.13,-4262.07,646.744,338.766,2.93883,0,0
9,0.457484,-2819.6,0.985925,0.524278,-0.969942,0.0667934,-3161.3,341.705,95.896,358.13,-4262.07,646.744,338.766,2.93884,0,0
10,0.444697,-2819.62,0.96152,0.511491,-2.79837,0.0667934,-3161.3,341.68,95.8967,358.13,-4262.07,646.744,338.741,2.93886,0,0
11,0.43191,-2820.14,0.438641,0.498703,-8.25374,0.0667934,-3161.25,341.105,95.9851,358.164,-4262.06,646.662,338.163,2.94121,0,0
12,0.419123,-2820.26,0.326012,0.485916,-9.2075,0.0667934,-3161.25,340.992,95.9846,358.165,-4262.06,646.662,338.051,2.94119,0,0
13,0.406335,-2820.38,0.199145,0.473129,-9.24064,0.0667934,-3161.25,340.866,95.9829,358.166,-4262.06,646.661,337.925,2.94111,0,0
14,0.393548,-2820.5,0.0774613,0.460341,-8.20755,0.0667934,-3161.25,340.746,95.9806,358.167,-4262.06,646.661,337.805,2.941,0,0
15,0.380761,-2820.71,-0.132336,0.447554,-7.15548,0.0667934,-3161.25,340.537,95.9777,358.168,-4262.06,646.66,337.597,2.94086,0,0
16,0.367974,-2820.92,-0.338711,0.434767,-5.5654,0.0667934,-3161.25,340.333,95.974,358.17,-4262.06,646.66,337.392,2.94069,0,0
17,0.355186,-2820.97,-0.390041,0.42198,-2.41744,0.0667934,-3161.26,340.283,95.9711,358.172,-4262.06,646.659,337.343,2.94055,0,0
18,0.342399,-2820.78,-0.196554,0.409192,-5.39414,0.0667934,-3161.26,340.48,95.9657,358.174,-4262.06,646.658,337.539,2.9403,0,0
19,0.329612,-2820.83,-0.245018,0.396405,-2.27508,0.0667934,-3161.26,340.432,95.9633,358.176,-4262.06,646.658,337.492,2.94019,0,0
20,0.316824,-2820.84,-0.257646,0.383618,0.165825,0.0667934,-3161.26,340.421,95.9611,358.177,-4262.06,646.657,337.481,2.94009,0,0
21,0.304037,-2820.83,-0.244568,0.370831,1.72229,0.0667934,-3161.26,340.435,95.9591,358.178,-4262.05,646.657,337.495,2.93999,0,0
22,0.29125,-2820.8,-0.217664,0.358043,2.3301,0.0667934,-3161.26,340.463,95.9573,358.178,-4262.05,646.656,337.523,2.93991,0,0
23,0.278463,-2820.77,-0.188682,0.345256,2.07323,0.0667934,-3161.26,340.493,95.9558,358.179,-4262.05,646.656,337.553,2.93984,0,0
24,0.265675,-2820.31,0.271135,0.332469,-2.71676,0.0667934,-3161.26,340.954,95.9531,358.18,-4262.05,646.655,338.014,2.93971,0,0
25,0.252888,-2820.35,0.231319,0.319682,-3.54206,0.0667934,-3161.27,340.915,95.9523,358.181,-4262.05,646.655,337.975,2.93968,0,0
26,0.240101,-2820.4,0.180567,0.306894,-4.36251,0.0667934,-3161.27,340.864,95.9519,358.181,-4262.05,646.655,337.925,2.93966,0,0
27,0.227314,-2820.46,0.121431,0.294107,-4.78984,0.0667934,-3161.27,340.805,95.9518,358.181,-4262.05,646.655,337.865,2.93966,0,0
28,0.214526,-2820.52,0.0612887,0.28132,-4.46407,0.0667934,-3161.27,340.745,95.9517,358.181,-4262.05,646.655,337.805,2.93965,0,0
29,0.201739,-2820.83,-0.246749,0.268533,-5.31164,0.0667934,-3161.27,340.437,95.9517,358.181,-4262.05,646.655,337.497,2.93965,0,0
30,0.188952,-2820.88,-0.300698,0.255745,-2.90467,0.0667934,-3161.27,340.383,95.9516,358.181,-4262.05,646.655,337.443,2.93964,0,0
31,0.176165,-2821.15,-0.569059,0.242958,-1.1059,0.0667934,-3161.27,340.115,95.9511,358.181,-4262.05,646.655,337.175,2.93962,0,0
32,0.163377,-2821.13,-0.552477,0.230171,3.93955,0.0667934,-3161.27,340.132,95.9509,358.181,-4262.05,646.655,337.192,2.93962,0,0
33,0.15059,-2821.04,-0.462128,0.217383,10.4352,0.0667934,-3161.27,340.222,95.9507,358.181,-4262.05,646.655,337.282,2.93961,0,0
34,0.137803,-2821.33,-0.743299,0.204596,14.1188,0.0667934,-3161.41,340.08,95.7597,358.659,-4262.52,646.693,337.152,2.92856,0,0
35,0.125016,-2820.65,-0.0651924,0.191809,19.3291,0.0667934,-3161.41,340.758,95.7597,358.659,-4262.52,646.693,337.83,2.92856,0,0
36,0.112228,-2820.33,0.252633,0.179022,30.7178,0.0667934,-3161.41,341.077,95.7583,358.66,-4262.52,646.693,338.148,2.92861,0,0
37,0.099441,-2819.85,0.73012,0.166234,44.3914,0.0667934,-3161.41,341.555,95.7562,358.661,-4262.52,646.694,338.627,2.92868,0,0
38,0.0866537,-2819.18,1.40012,0.153447,60.9247,0.0667934,-3161.41,342.227,95.7532,358.663,-4262.52,646.694,339.298,2.92878,0,0
39,0.0738665,-2818.28,2.30246,0.14066,80.7763,0.0667934,-3161.41,343.131,95.7491,358.665,-4262.52,646.694,340.202,2.92892,0,0
40,0.0610792,-2816.75,3.83014,0.127873,100.739,0.0667934,-3161.41,344.661,95.7439,358.668,-4262.52,646.694,341.732,2.92909,0,0
41,0.0482919,-2815.2,5.3839,0.115085,124.996,0.0667934,-3161.42,346.217,95.7374,358.671,-4262.52,646.695,343.288,2.9293,0,0
42,0.0355047,-2813.44,7.13797,0.102298,148.674,0.0667934,-3161.42,347.975,95.7299,358.675,-4262.52,646.695,345.045,2.92955,0,0
43,0.0227174,-2811.43,9.15513,0.0895108,165.011,0.0667934,-3161.42,349.995,95.7221,358.68,-4262.52,646.696,347.065,2.9298,0,0
44,0.00993014,-2809.29,11.2954,0.0767236,166.663,0.0667934,-3161.42,352.138,95.7154,358.683,-4262.52,646.696,349.208,2.93003,0,0
45,-0.00285712,-2807.77,12.8156,0.0639363,142.541,0.0667934,-3161.43,353.66,95.7108,358.686,-4262.52,646.696,350.73,2.93018,0,0
46,-0.0156444,-2806.2,14.379,0.0511491,98.0254,0.0667934,-3161.43,355.224,95.7098,358.687,-4262.52,646.696,352.294,2.93021,0,0
47,-0.0284317,-2805.35,15.2347,0.0383618,33.1616,0.0667934,-3161.43,356.08,95.7098,358.687,-4262.52,646.696,353.15,2.93022,0,0
48,-0.0412189,-2807.21,13.3701,0.0255745,-27.7419,0.0667934,-3155.83,348.614,97.8733,380.907,-4271.33,636.72,346.25,2.3644,0,0
49,-0.0540062,-2807.88,12.7024,0.0127873,-75.2735,0.0667934,-3155.83,347.948,97.872,380.908,-4271.33,636.718,345.583,2.36441,0,0
50,-0.0667934,-2809.56,11.0177,0,-114.468,0.0667934,-3155.84,346.273,97.8606,380.919,-4271.32,636.703,343.909,2.3646,0,0
51,-0.0795807,-2810.7,9.88159,-0.0127873,-136.171,0.0667934,-3155.86,345.155,97.8411,380.937,-4271.31,636.676,342.79,2.36494,0,0
52,-0.092368,-2812.46,8.12664,-0.0255745,-135.583,0.0667934,-3155.88,343.422,97.8171,380.96,-4271.3,636.642,341.057,2.36537,0,0
