step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.705913,-2814.34,0,-0.639148,-2.20532,0.0667648,-3166.38,352.043,92.2229,360.267,-4264.74,645.871,350.158,1.88442,0,0
1,-0.69313,-2814.34,-0.00220158,-0.626365,1.78728,0.0667648,-3166.37,352.031,92.2217,360.269,-4264.74,645.873,350.147,1.88481,0,0
2,-0.680347,-2814.3,0.043044,-0.613582,5.15063,0.0667648,-3166.37,352.077,92.2217,360.268,-4264.74,645.874,350.192,1.88483,0,0
3,-0.667564,-2814.22,0.124719,-0.600799,7.48225,0.0667648,-3166.34,352.126,92.2315,360.266,-4264.71,645.876,350.241,1.88506,0,0
4,-0.654781,-2814.11,0.229188,-0.588016,8.65514,0.0667648,-3166.34,352.23,92.2316,360.265,-4264.71,645.877,350.345,1.88507,0,0
5,-0.641998,-2813.75,0.5939,-0.575233,6.38926,0.0667648,-3166.34,352.594,92.2318,360.262,-4264.71,645.878,350.709,1.88509,0,0
6,-0.629215,-2813.44,0.899827,-0.56245,3.45618,0.0667648,-3166.34,352.899,92.2322,360.257,-4264.71,645.881,351.014,1.88513,0,0
7,-0.616432,-2813.41,0.934821,-0.549667,1.90719,0.0667648,-3166.34,352.933,92.2325,360.253,-4264.71,645.884,351.048,1.88518,0,0
8,-0.603649,-2813.39,0.946607,-0.536884,-0.104631,0.0667648,-3166.34,352.944,92.233,360.248,-4264.7,645.886,351.059,1.88522,0,0
9,-0.590866,-2813.41,0.932045,-0.524101,-2.14035,0.0667648,-3166.34,352.928,92.2335,360.243,-4264.7,645.889,351.043,1.88526,0,0
10,-0.578083,-2813.45,0.893654,-0.511318,-3.76321,0.0667648,-3166.34,352.889,92.2339,360.238,-4264.7,645.892,351.003,1.8853,0,0
11,-0.5653,-2813.5,0.839226,-0.498535,-4.5939,0.0667648,-3166.33,352.833,92.2342,360.234,-4264.7,645.894,350.948,1.88534,0,0
12,-0.552517,-2814.11,0.232885,-0.485752,-9.0304,0.0667648,-3166.33,352.226,92.2346,360.23,-4264.69,645.896,350.341,1.88538,0,0
13,-0.539734,-2814.22,0.122254,-0.472969,-8.08218,0.0667648,-3166.33,352.115,92.2349,360.228,-4264.69,645.898,350.229,1.88541,0,0
14,-0.526951,-2814.31,0.0311068,-0.460186,-6.00113,0.0667648,-3166.33,352.023,92.2351,360.226,-4264.69,645.899,350.138,1.88543,0,0
15,-0.514168,-2814.37,-0.0271452,-0.447403,-2.97981,0.0667648,-3166.33,351.965,92.2352,360.225,-4264.69,645.9,350.079,1.88544,0,0
16,-0.501385,-2814.38,-0.0424437,-0.43462,0.656152,0.0667648,-3166.33,351.949,92.2353,360.224,-4264.69,645.9,350.064,1.88545,0,0
17,-0.488602,-2814.15,0.194918,-0.421838,-1.92732,0.0667648,-3166.33,352.186,92.2354,360.223,-4264.69,645.9,350.301,1.88545,0,0
18,-0.475819,-2814.15,0.186004,-0.409055,1.77626,0.0667648,-3166.33,352.177,92.2355,360.223,-4264.69,645.901,350.292,1.88545,0,0
19,-0.463036,-2814.12,0.219036,-0.396272,4.78603,0.0667648,-3166.33,352.21,92.2356,360.223,-4264.69,645.901,350.325,1.88546,0,0
20,-0.450253,-2814.31,0.0279047,-0.383489,4.88615,0.0667648,-3166.33,352.019,92.2357,360.222,-4264.69,645.901,350.133,1.88546,0,0
21,-0.43747,-2814.24,0.0974774,-0.370706,5.81762,0.0667648,-3166.33,352.088,92.2358,360.222,-4264.69,645.901,350.203,1.88546,0,0
