step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,0.571309,-2807.12,0,0.637947,-0.530118,0.0666381,-3171.16,364.036,87.3368,352.053,-4258.77,648.219,362.468,1.56782,0,0
1,0.558488,-2807.38,-0.260473,0.625188,-1.45595,0.0667,-3171.16,363.774,87.2868,352.118,-4258.73,648.171,362.212,1.56231,0,0
2,0.545733,-2807.39,-0.264283,0.612429,0.808059,0.0666963,-3171.16,363.77,87.2866,352.119,-4258.73,648.171,362.208,1.56233,0,0
3,0.532974,-2807.36,-0.241608,0.59967,2.66132,0.0666963,-3171.16,363.793,87.2861,352.12,-4258.73,648.172,362.23,1.56236,0,0
4,0.520215,-2807.32,-0.198854,0.586911,3.93384,0.0666963,-3171.16,363.835,87.2854,352.122,-4258.73,648.172,362.273,1.5624,0,0
5,0.507456,-2807.27,-0.144073,0.574152,4.54008,0.0666964,-3171.16,363.89,87.2847,352.124,-4258.74,648.172,362.327,1.56245,0,0
6,0.494697,-2806.89,0.234197,0.561393,1.66392,0.0666964,-3171.16,364.268,87.2838,352.126,-4258.74,648.172,362.705,1.56249,0,0
7,0.481938,-2806.87,0.25321,0.548634,1.33479,0.0666965,-3171.11,364.238,87.3513,352.095,-4258.71,648.155,362.675,1.56288,0,0
8,0.469173,-2806.86,0.26593,0.535875,0.607567,0.0667022,-3171.11,364.253,87.3496,352.092,-4258.71,648.156,362.69,1.56299,0,0
9,0.456414,-2806.85,0.267888,0.523117,-0.313114,0.0667024,-3171.11,364.258,87.3466,352.088,-4258.7,648.158,362.695,1.56318,0,0
10,0.443655,-2806.86,0.258135,0.510358,-1.18821,0.0667027,-3171.12,364.252,87.343,352.083,-4258.7,648.16,362.688,1.56341,0,0
11,0.430896,-2806.88,0.238737,0.497599,-1.78951,0.066703,-3171.12,364.236,87.3389,352.079,-4258.7,648.162,362.672,1.56366,0,0
12,0.418136,-2807.25,-0.125404,0.48484,-4.90006,0.0667034,-3171.12,363.876,87.3341,352.073,-4258.7,648.165,362.313,1.56395,0,0
13,0.405377,-2807.31,-0.187764,0.472081,-4.77419,0.0667038,-3171.13,363.818,87.3302,352.069,-4258.69,648.166,362.253,1.56417,0,0
14,0.392618,-2807.38,-0.256597,0.459322,-4.17556,0.0667041,-3171.13,363.752,87.3267,352.066,-4258.69,648.168,362.188,1.56437,0,0
15,0.379859,-2807.42,-0.302223,0.446563,-2.89082,0.0667043,-3171.16,363.737,87.2876,352.047,-4258.67,648.174,362.171,1.56621,0,0
16,0.367097,-2807.62,-0.498744,0.433804,-2.75761,0.0667068,-3171.16,363.544,87.282,352.047,-4258.67,648.174,361.978,1.56644,0,0
17,0.354338,-2807.4,-0.277639,0.421045,-3.11598,0.0667071,-3171.17,363.768,87.2781,352.047,-4258.67,648.173,362.202,1.5666,0,0
18,0.341579,-2807.43,-0.312318,0.408286,-2.42445,0.0667073,-3171.17,363.736,87.275,352.047,-4258.66,648.173,362.169,1.56673,0,0
19,0.32882,-2807.54,-0.421167,0.395527,-1.31122,0.0667074,-3171.17,363.629,87.2722,352.047,-4258.66,648.172,362.062,1.56684,0,0
20,0.316061,-2807.55,-0.428385,0.382768,0.103561,0.0667076,-3171.17,363.624,87.2701,352.047,-4258.66,648.172,362.057,1.56693,0,0
21,0.303302,-2807.54,-0.42067,0.370009,1.01682,0.0667077,-3171.17,363.632,87.2685,352.047,-4258.66,648.171,362.065,1.567,0,0
22,0.290543,-2807.53,-0.40473,0.35725,1.39407,0.0667078,-3171.18,363.649,87.2674,352.047,-4258.66,648.171,362.082,1.56705,0,0
23,0.277784,-2807.19,-0.0724426,0.344491,-1.51452,0.0667078,-3171.18,363.982,87.267,352.047,-4258.66,648.171,362.415,1.56706,0,0
24,0.265025,-2807.21,-0.0926021,0.331732,-1.69732,0.0667079,-3171.18,363.962,87.2668,352.047,-4258.66,648.171,362.395,1.56707,0,0
