step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2],BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy,NonBondedEnergyC,NonBondedEnergyD
0,-0.704585,-2807.12,0,-0.637947,0.530108,0.0666381,-3171.16,364.036,87.3368,352.053,-4258.77,648.219,362.468,1.56782,0,0
1,-0.691888,-2807.38,-0.260796,-0.625188,0.698594,0.0667,-3171.15,363.768,87.2859,352.114,-4258.72,648.175,362.206,1.56219,0,0
2,-0.679121,-2807.36,-0.238911,-0.612429,2.65356,0.0666923,-3171.14,363.784,87.2885,352.107,-4258.72,648.179,362.222,1.56226,0,0
3,-0.666362,-2807.32,-0.195415,-0.59967,4.06036,0.0666921,-3171.14,363.827,87.2903,352.106,-4258.72,648.178,362.264,1.56238,0,0
4,-0.653603,-2807.26,-0.138147,-0.586911,4.79254,0.0666921,-3171.1,363.843,87.3259,352.068,-4258.68,648.181,362.278,1.5649,0,0
5,-0.640836,-2806.95,0.167025,-0.574152,2.72512,0.066684,-3171.11,364.151,87.3213,352.08,-4258.69,648.182,362.589,1.56252,0,0
6,-0.628083,-2806.85,0.274377,-0.561393,1.74922,0.0666893,-3171.1,364.257,87.3259,352.079,-4258.69,648.182,362.694,1.56259,0,0
7,-0.615324,-2806.83,0.292512,-0.548634,1.03141,0.0666898,-3171.1,364.273,87.3303,352.077,-4258.69,648.182,362.71,1.56267,0,0
8,-0.602566,-2806.82,0.299599,-0.535875,0.0566314,0.0666903,-3171.1,364.278,87.3337,352.077,-4258.69,648.182,362.715,1.56273,0,0
9,-0.589807,-2806.83,0.293901,-0.523117,-0.931242,0.0666906,-3171.1,364.271,87.3356,352.076,-4258.69,648.183,362.709,1.56277,0,0
10,-0.577048,-2806.84,0.276816,-0.510358,-1.68969,0.0666909,-3171.1,364.254,87.336,352.076,-4258.69,648.183,362.691,1.56277,0,0
11,-0.56429,-2806.87,0.252664,-0.497599,-2.0079,0.0666909,-3171.1,364.23,87.3366,352.076,-4258.69,648.183,362.667,1.56278,0,0
12,-0.551531,-2807.24,-0.122269,-0.48484,-4.74435,0.066691,-3171.1,363.855,87.3365,352.076,-4258.69,648.183,362.292,1.56278,0,0
13,-0.538772,-2807.3,-0.179523,-0.472081,-4.12161,0.066691,-3171.1,363.797,87.3366,352.076,-4258.69,648.183,362.234,1.56279,0,0
14,-0.526013,-2807.35,-0.224764,-0.459322,-2.87182,0.066691,-3171.1,363.752,87.3369,352.076,-4258.69,648.183,362.189,1.56279,0,0
15,-0.513254,-2807.37,-0.250578,-0.446563,-1.10048,0.066691,-3171.1,363.726,87.3374,352.075,-4258.69,648.183,362.163,1.56281,0,0
16,-0.500495,-2807.37,-0.251385,-0.433804,1.01311,0.0666911,-3171.1,363.725,87.3375,352.076,-4258.69,648.183,362.162,1.56281,0,0
17,-0.487736,-2807.21,-0.0935179,-0.421045,-0.897461,0.0666911,-3171.1,363.883,87.3377,352.075,-4258.69,648.183,362.32,1.56281,0,0
18,-0.474977,-2807.21,-0.0904308,-0.408286,1.33664,0.0666911,-3171.1,363.886,87.3376,352.075,-4258.69,648.183,362.323,1.56281,0,0
19,-0.462218,-2807.2,-0.0740778,-0.395527,3.05153,0.0666911,-3171.1,363.902,87.3379,352.075,-4258.69,648.183,362.339,1.56282,0,0
20,-0.449459,-2807.32,-0.196899,-0.382768,3.04025,0.0666912,-3171.1,363.779,87.3381,352.075,-4258.69,648.183,362.216,1.56283,0,0
21,-0.4367,-2807.27,-0.153526,-0.370009,3.65799,0.0666912,-3171.1,363.822,87.3384,352.075,-4258.69,648.183,362.259,1.56283,0,0
22,-0.423942,-2806.9,0.217354,-0.35725,0.826266,0.0666912,-3171.1,364.192,87.3387,352.075,-4258.69,648.183,362.629,1.56285,0,0
23,-0.411183,-2806.9,0.224309,-0.344491,0.668577,0.0666913,-3171.18,364.281,87.3307,352.108,-4258.8,648.18,362.716,1.56486,0,0
24,-0.398417,-2806.89,0.229936,-0.331732,0.169256,0.0666845,-3171.18,364.286,87.3313,352.108,-4258.8,648.179,362.721,1.56483,0,0
25,-0.385658,-2806.89,0.227923,-0.318974,-0.495957,0.0666842,-3171.18,364.283,87.3335,352.112,-4258.8,648.176,362.718,1.56473,0,0
26,-0.372898,-2807.08,0.0372863,-0.306215,-2.82294,0.066683,-3171.18,364.092,87.3341,352.114,-4258.8,648.175,362.527,1.5647,0,0
27,-0.360138,-2807.12,-0.00299472,-0.293456,-3.44474,0.0666823,-3171.18,364.051,87.3343,352.115,-4258.8,648.176,362.487,1.56469,0,0
28,-0.347378,-2807.17,-0.0491586,-0.280697,-3.72565,0.0666817,-3171.18,364.005,87.3342,352.115,-4258.8,648.176,362.44,1.56469,0,0
29,-0.334619,-2807.39,-0.270266,-0.267938,-5.05978,0.0666813,-3171.18,363.784,87.334,352.115,-4258.8,648.177,362.219,1.5647,0,0
30,-0.32186,-2807.45,-0.33245,-0.255179,-4.61577,0.0666809,-3171.18,363.722,87.3338,352.115,-4258.8,648.178,362.157,1.56471,0,0
31,-0.309101,-2807.51,-0.386336,-0.24242,-3.77037,0.0666807,-3171.18,363.668,87.3336,352.115,-4258.8,648.179,362.103,1.56471,0,0
32,-0.296341,-2807.55,-0.427336,-0.229661,-2.61412,0.0666806,-3171.18,363.627,87.3335,352.115,-4258.8,648.179,362.062,1.56471,0,0
33,-0.283582,-2807.33,-0.20777,-0.216902,-3.43589,0.0666805,-3171.18,363.846,87.3334,352.115,-4258.8,648.18,362.282,1.56472,0,0
34,-0.270823,-2807.64,-0.517246,-0.204143,-5.51682,0.0666804,-3171.18,363.537,87.3333,352.115,-4258.8,648.18,361.972,1.56472,0,0
35,-0.258064,-2807.7,-0.579043,-0.191384,-4.1876,0.0666804,-3171.18,363.475,87.333,352.114,-4258.8,648.18,361.91,1.56473,0,0
36,-0.245305,-2807.75,-0.624561,-0.178625,-2.9623,0.0666803,-3171.18,363.43,87.3328,352.114,-4258.8,648.181,361.865,1.56474,0,0
37,-0.232546,-2807.78,-0.660552,-0.165866,-1.78346,0.0666802,-3171.18,363.394,87.3327,352.114,-4258.8,648.181,361.829,1.56475,0,0
