"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"	Angle(1 0 2)	Angle-opt(1 0 2)	Angle(1 0 3)	Angle-opt(1 0 3)	Angle(1 0 4)	Angle-opt(1 0 4)	Angle(2 0 3)	Angle-opt(2 0 3)	Angle(2 0 4)	Angle-opt(2 0 4)	Angle(3 0 4)	Angle-opt(3 0 4)
-10.000000	8.537530	8.537530	0.000000	0.000000	8.537530	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	99.471218	-9.211370	109.471220	0.788632	114.212862	5.530274	114.212862	5.530274
-9.966667	8.483198	8.483198	0.000000	0.000000	8.483198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	99.504550	-9.178038	109.471220	0.788632	114.198010	5.515422	114.198005	5.515417
-9.933333	8.429031	8.429031	0.000000	0.000000	8.429031	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	99.537885	-9.144703	109.471220	0.788632	114.183145	5.500557	114.183144	5.500556
-9.900000	8.375039	8.375039	0.000000	0.000000	8.375039	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	99.571217	-9.111371	109.471220	0.788632	114.168278	5.485690	114.168274	5.485686
-9.866667	8.321217	8.321217	0.000000	0.000000	8.321217	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	99.604550	-9.078038	109.471220	0.788632	114.153403	5.470815	114.153396	5.470808
-9.833333	8.267564	8.267564	0.000000	0.000000	8.267564	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	99.637884	-9.044704	109.471220	0.788632	114.138519	5.455931	114.138513	5.455925
-9.800000	8.214083	8.214083	0.000000	0.000000	8.214083	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	99.671217	-9.011371	109.471220	0.788632	114.123629	5.441041	114.123623	5.441035
-9.766667	8.160771	8.160771	0.000000	0.000000	8.160771	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	99.704551	-8.978037	109.471220	0.788632	114.108729	5.426141	114.108728	5.426140
-9.733333	8.107632	8.107632	0.000000	0.000000	8.107632	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	99.737883	-8.944705	109.471220	0.788632	114.093828	5.411240	114.093821	5.411233
-9.700000	8.054663	8.054663	0.000000	0.000000	8.054663	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	99.771216	-8.911372	109.471220	0.788632	114.078917	5.396329	114.078910	5.396322
