"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"	Angle(1 0 2)	Angle-opt(1 0 2)	Angle(1 0 3)	Angle-opt(1 0 3)	Angle(1 0 4)	Angle-opt(1 0 4)	Angle(2 0 3)	Angle-opt(2 0 3)	Angle(2 0 4)	Angle-opt(2 0 4)	Angle(3 0 4)	Angle-opt(3 0 4)
-60.000000	233.611064	233.611064	0.000000	0.000000	233.611064	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	49.471221	-59.211367	109.471219	0.788631	125.093676	16.411088	125.093680	16.411092
-59.800000	232.294192	232.294192	0.000000	0.000000	232.294192	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	49.671221	-59.011367	109.471219	0.788631	125.106381	16.423793	125.106384	16.423796
-59.600000	230.980102	230.980102	0.000000	0.000000	230.980102	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	49.871223	-58.811365	109.471219	0.788631	125.118597	16.436009	125.118598	16.436010
-59.400000	229.668852	229.668852	0.000000	0.000000	229.668852	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	50.071218	-58.611370	109.471219	0.788631	125.130321	16.447733	125.130326	16.447738
-59.200000	228.360364	228.360364	0.000000	0.000000	228.360364	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	50.271218	-58.411370	109.471219	0.788631	125.141557	16.458969	125.141563	16.458975
-59.000000	227.054636	227.054636	0.000000	0.000000	227.054636	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	50.471222	-58.211366	109.471219	0.788631	125.152305	16.469717	125.152307	16.469720
-58.800000	225.751732	225.751732	0.000000	0.000000	225.751732	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	50.671218	-58.011370	109.471219	0.788631	125.162561	16.479973	125.162564	16.479976
-58.600000	224.451565	224.451565	0.000000	0.000000	224.451565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	50.871221	-57.811367	109.471219	0.788631	125.172328	16.489740	125.172329	16.489741
-58.400000	223.154189	223.154189	0.000000	0.000000	223.154189	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	51.071220	-57.611368	109.471219	0.788631	125.181601	16.499013	125.181605	16.499017
-58.200000	221.859574	221.859574	0.000000	0.000000	221.859574	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	51.271220	-57.411368	109.471219	0.788631	125.190385	16.507797	125.190388	16.507800
-58.000000	220.567731	220.567731	0.000000	0.000000	220.567731	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	51.471218	-57.211370	109.471219	0.788631	125.198675	16.516087	125.198683	16.516095
-57.800000	219.278635	219.278635	0.000000	0.000000	219.278635	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	51.671218	-57.011370	109.471219	0.788631	125.206478	16.523890	125.206481	16.523893
-57.600000	217.992282	217.992282	0.000000	0.000000	217.992282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	51.871221	-56.811367	109.471219	0.788631	125.213786	16.531198	125.213791	16.531203
-57.400000	216.708700	216.708700	0.000000	0.000000	216.708700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	52.071219	-56.611368	109.471219	0.788631	125.220603	16.538015	125.220607	16.538019
-57.200000	215.427853	215.427853	0.000000	0.000000	215.427853	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	52.271221	-56.411367	109.471219	0.788631	125.226928	16.544340	125.226931	16.544343
-57.000000	214.149775	214.149775	0.000000	0.000000	214.149775	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	52.471218	-56.211370	109.471219	0.788631	125.232758	16.550170	125.232764	16.550176
-56.800000	212.874426	212.874426	0.000000	0.000000	212.874426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	52.671218	-56.011370	109.471219	0.788631	125.238100	16.555512	125.238100	16.555512
-56.600000	211.601802	211.601802	0.000000	0.000000	211.601802	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	52.871219	-55.811369	109.471219	0.788631	125.242946	16.560358	125.242947	16.560359
-56.400000	210.331920	210.331920	0.000000	0.000000	210.331920	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	53.071221	-55.611367	109.471219	0.788631	125.247299	16.564711	125.247301	16.564713
-56.200000	209.064785	209.064785	0.000000	0.000000	209.064785	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	53.271220	-55.411368	109.471219	0.788631	125.251160	16.568572	125.251160	16.568572
-56.000000	207.800399	207.800399	0.000000	0.000000	207.800399	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471224	0.788636	109.471225	0.788637	53.471218	-55.211370	109.471219	0.788631	125.254523	16.571935	125.254530	16.571942
