step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
0,0.5,-2091.95,0,0.487634,-3.70789,-0.0123663
1,0.49,-2092.01,-0.0617449,0.482529,-4.26516,-0.00747095
2,0.48,-2092.07,-0.121713,0.472651,-4.68165,-0.00734901
3,0.47,-2092.12,-0.170783,0.462791,-5.13907,-0.00720934
4,0.46,-2092.17,-0.22464,0.452913,-5.63954,-0.00708739
5,0.45,-2092.23,-0.283728,0.443035,-6.18565,-0.00696544
6,0.44,-2092.3,-0.348516,0.433157,-6.77947,-0.00684348
7,0.43,-2092.37,-0.419484,0.423278,-7.42207,-0.00672154
8,0.42,-2092.44,-0.497121,0.4134,-8.11292,-0.00659958
9,0.41,-2092.53,-0.581896,0.403522,-8.84894,-0.00647763
10,0.4,-2092.62,-0.674229,0.393644,-9.62311,-0.00635568
11,0.39,-2092.72,-0.774444,0.383766,-10.4224,-0.00623373
12,0.38,-2092.83,-0.88269,0.373888,-11.2247,-0.00611177
13,0.37,-2092.95,-0.998835,0.36401,-11.9945,-0.00598983
14,0.36,-2093.07,-1.12229,0.354132,-12.676,-0.00586787
15,0.35,-2093.2,-1.25178,0.344254,-13.1835,-0.00574593
16,0.34,-2093.33,-1.38496,0.334376,-13.3871,-0.00562397
17,0.33,-2093.47,-1.51788,0.324498,-13.0918,-0.00550204
18,0.32,-2093.59,-1.6442,0.31462,-12.0063,-0.00538007
19,0.31,-2093.7,-1.75397,0.304742,-9.69824,-0.00525813
20,0.3,-2093.78,-1.83198,0.294864,-5.52823,-0.00513617
21,0.29,-2093.8,-1.85514,0.284986,1.44456,-0.00501423
22,0.28,-2093.74,-1.78884,0.275108,12.5972,-0.00489227
23,0.27,-2093.53,-1.58188,0.26523,29.9081,-0.00477034
24,0.26,-2093.11,-1.15817,0.255352,56.1158,-0.00464822
25,0.25,-2092.35,-0.404016,0.245474,95.421,-0.00452592
26,0.24,-2091.1,0.844065,0.235596,153.449,-0.00440397
27,0.23,-2089.8,2.14771,0.225718,206.991,-0.00428201
28,0.22,-2087.93,4.02202,0.215904,302.657,-0.00409561
29,0.21,-2084.3,7.64614,0.205845,433.467,-0.00415508
30,0.2,-2079.26,12.6838,0.195885,603.481,-0.00411532
31,0.19,-2072.21,19.7412,0.185816,808.6,-0.00418432
32,0.18,-2062.93,29.0127,0.175901,1054.79,-0.00409925
33,0.17,-2051.72,40.231,0.165939,1307.71,-0.00406073
34,0.16,-2037.36,54.5922,0.155362,1602.65,-0.00463766
35,0.15,-2020.56,71.3916,0.14554,1847.94,-0.00446018
36,0.14,-2000.85,91.1006,0.135499,2131.6,-0.00450135
37,0.13,-1978.11,113.841,0.124804,2349.51,-0.00519594
38,0.12,-1953.58,138.365,0.112635,2603.58,-0.00736459
39,0.11,-1926.5,165.452,0.104108,2780.39,-0.00589192
40,0.1,-1898.81,193.142,0.0936505,2873.57,-0.00634947
41,0.09,-1872.21,219.733,0.0837945,2716.3,-0.00620546
42,0.08,-1849.6,242.349,0.0740476,2032.78,-0.00595244
43,0.07,-1849.78,242.166,0.0665984,29.6961,-0.00340159
44,0.06,-1853.15,238.797,0.0628466,-311.397,0.00284656
45,0.05,-1857.7,234.244,0.0554578,-595.889,0.00545775
46,0.04,-1864.86,227.085,0.0453798,-841.799,0.00537982
47,0.03,-1874.33,217.616,0.0354953,-1058.83,0.00549527
48,0.02,-1885.67,206.281,0.0255591,-1240.06,0.00555914
49,0.01,-1898.98,192.971,0.0156078,-1389.57,0.0056078
50,3.72966e-017,-1913.74,178.209,0.00556084,-1516.1,0.00556084
