step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_f[2],target_crd[2]
0,-0.5,-2094.6,0,-0.512522,-3.35194,-0.0125218
1,-0.49,-2094.65,-0.0525771,-0.485486,-3.81212,0.00451369
2,-0.48,-2094.69,-0.0924512,-0.475608,-4.16766,0.00439174
3,-0.47,-2094.73,-0.136046,-0.46573,-4.55679,0.0042698
4,-0.46,-2094.78,-0.183713,-0.455852,-4.9824,0.00414784
5,-0.45,-2094.83,-0.23583,-0.445974,-5.44749,0.0040259
6,-0.44,-2094.89,-0.29281,-0.436096,-5.95519,0.00390394
7,-0.43,-2094.95,-0.355092,-0.426218,-6.50865,0.00378199
8,-0.42,-2095.02,-0.423152,-0.41634,-7.111,0.00366003
9,-0.41,-2095.09,-0.497493,-0.406462,-7.76524,0.00353809
10,-0.4,-2095.17,-0.578648,-0.396584,-8.47405,0.00341613
11,-0.39,-2095.26,-0.667173,-0.386706,-9.23956,0.00329419
12,-0.38,-2095.36,-0.763643,-0.376828,-10.063,0.00317223
13,-0.37,-2095.46,-0.86864,-0.36695,-10.9444,0.00305029
14,-0.36,-2095.58,-0.982731,-0.357072,-11.8815,0.00292833
15,-0.35,-2095.7,-1.10645,-0.347194,-12.8691,0.00280638
16,-0.34,-2095.84,-1.24027,-0.337316,-13.8976,0.00268443
17,-0.33,-2095.98,-1.3845,-0.327438,-14.9508,0.00256248
18,-0.32,-2096.14,-1.5393,-0.317559,-16.0032,0.00244052
19,-0.31,-2096.3,-1.70445,-0.307681,-17.015,0.00231858
20,-0.3,-2096.47,-1.87928,-0.297803,-17.9266,0.00219662
21,-0.29,-2096.66,-2.06237,-0.287925,-18.6484,0.00207468
22,-0.28,-2096.85,-2.25119,-0.278047,-19.0474,0.00195272
23,-0.27,-2097.04,-2.44159,-0.268169,-18.9262,0.00183077
24,-0.26,-2097.22,-2.627,-0.258291,-17.9931,0.00170882
25,-0.25,-2097.39,-2.79727,-0.248413,-15.8165,0.00158687
26,-0.24,-2097.53,-2.93697,-0.238535,-11.7583,0.00146491
27,-0.23,-2097.62,-3.02282,-0.228657,-4.87525,0.00134297
28,-0.22,-2097.62,-3.01996,-0.218779,6.22573,0.00122101
29,-0.21,-2097.47,-2.87633,-0.208901,23.595,0.00109907
30,-0.2,-2097.11,-2.51449,-0.199023,50.2251,0.000977105
31,-0.19,-2096.42,-1.81949,-0.189145,90.3842,0.000855166
32,-0.18,-2096.48,-1.88594,-0.179267,98.7954,0.000733198
33,-0.17,-2095.6,-1.00372,-0.168971,140.301,0.00102927
34,-0.16,-2092.91,1.68871,-0.158514,249.823,0.00148568
35,-0.15,-2091.68,2.92019,-0.149329,295.648,0.000670785
36,-0.14,-2088.4,6.19142,-0.139034,399.461,0.000965682
37,-0.13,-2083.84,10.7536,-0.128896,526.414,0.00110385
38,-0.12,-2077.86,16.7362,-0.118573,667.342,0.00142708
39,-0.11,-2070.35,24.2462,-0.108239,820.143,0.00176085
40,-0.1,-2061.66,32.9377,-0.0980123,966.529,0.00198769
41,-0.09,-2051.17,43.4213,-0.0880347,1136.43,0.00196533
42,-0.08,-2039.18,55.4154,-0.0779093,1296.79,0.00209068
