"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"
-60.000000	-1784.949585	-2338.490221	553.540637	87.106749	847.401265	-3391.081875	118.083639	321.832396	231.708241	0.000000	0.000000
-59.800000	-1786.974106	-2340.638610	553.664504	87.106754	845.252871	-3391.081875	118.083639	321.734221	231.930283	0.000000	0.000000
-59.600000	-1788.989016	-2342.780645	553.791629	87.106755	843.110835	-3391.081875	118.083639	321.639192	232.152437	0.000000	0.000000
-59.400000	-1791.024368	-2344.916308	553.891939	87.106755	840.975172	-3391.081875	118.083639	321.517249	232.374690	0.000000	0.000000
-59.200000	-1793.020485	-2347.045705	554.025220	87.106752	838.845778	-3391.081875	118.083639	321.428175	232.597045	0.000000	0.000000
-59.000000	-1795.007250	-2349.168779	554.161529	87.106757	836.722699	-3391.081875	118.083639	321.342042	232.819486	0.000000	0.000000
-58.800000	-1797.014748	-2351.285591	554.270842	87.106756	834.605889	-3391.081875	118.083639	321.228829	233.042013	0.000000	0.000000
-58.600000	-1798.983280	-2353.396144	554.412865	87.106756	832.495335	-3391.081875	118.083639	321.148249	233.264616	0.000000	0.000000
-58.400000	-1800.942758	-2355.500460	554.557702	87.106753	830.391022	-3391.081875	118.083639	321.070414	233.487288	0.000000	0.000000
-58.200000	-1802.893311	-2357.598604	554.705293	87.106752	828.292879	-3391.081875	118.083639	320.995265	233.710028	0.000000	0.000000
-58.000000	-1804.834912	-2359.690474	554.855561	87.106752	826.201009	-3391.081875	118.083639	320.922746	233.932815	0.000000	0.000000
-57.800000	-1806.767722	-2361.776173	555.008451	87.106752	824.115310	-3391.081875	118.083639	320.852798	234.155653	0.000000	0.000000
-57.600000	-1808.691844	-2363.855743	555.163900	87.106751	822.035740	-3391.081875	118.083639	320.785364	234.378536	0.000000	0.000000
-57.400000	-1810.607198	-2365.929034	555.321836	87.106755	819.962445	-3391.081875	118.083639	320.720398	234.601439	0.000000	0.000000
-57.200000	-1812.514064	-2367.996281	555.482217	87.106759	817.895196	-3391.081875	118.083639	320.657838	234.824379	0.000000	0.000000
-57.000000	-1814.412438	-2370.057415	555.644977	87.106753	815.834068	-3391.081875	118.083639	320.597635	235.047342	0.000000	0.000000
-56.800000	-1816.302415	-2372.112479	555.810064	87.106754	813.779003	-3391.081875	118.083639	320.539743	235.270321	0.000000	0.000000
-56.600000	-1818.183913	-2374.161321	555.977408	87.106752	811.730162	-3391.081875	118.083639	320.484117	235.493291	0.000000	0.000000
-56.400000	-1820.057244	-2376.204222	556.146978	87.106753	809.687261	-3391.081875	118.083639	320.430703	235.716275	0.000000	0.000000
-56.200000	-1821.922236	-2378.240936	556.318700	87.106756	807.650543	-3391.081875	118.083639	320.379465	235.939235	0.000000	0.000000
-56.000000	-1823.779153	-2380.271693	556.492540	87.106755	805.619787	-3391.081875	118.083639	320.330350	236.162190	0.000000	0.000000
-55.800000	-1825.627972	-2382.296415	556.668442	87.106757	803.595063	-3391.081875	118.083639	320.283320	236.385122	0.000000	0.000000
-55.600000	-1827.468812	-2384.315173	556.846362	87.106753	801.576309	-3391.081875	118.083639	320.238331	236.608031	0.000000	0.000000
-55.400000	-1829.301607	-2386.327847	557.026240	87.106755	799.563634	-3391.081875	118.083639	320.195348	236.830892	0.000000	0.000000
-55.200000	-1831.126536	-2388.334577	557.208041	87.106753	797.556905	-3391.081875	118.083639	320.154327	237.053714	0.000000	0.000000
-55.000000	-1832.943574	-2390.335287	557.391713	87.106755	795.556193	-3391.081875	118.083639	320.115234	237.276479	0.000000	0.000000
-54.800000	-1834.752896	-2392.330118	557.577222	87.106751	793.561367	-3391.081875	118.083639	320.078026	237.499196	0.000000	0.000000
-54.600000	-1836.554446	-2394.318960	557.764515	87.106756	791.572519	-3391.081875	118.083639	320.042675	237.721840	0.000000	0.000000
-54.400000	-1838.348296	-2396.301846	557.953551	87.106753	789.589636	-3391.081875	118.083639	320.009140	237.944411	0.000000	0.000000
-54.200000	-1840.134517	-2398.278807	558.144290	87.106756	787.612672	-3391.081875	118.083639	319.977392	238.166899	0.000000	0.000000
-54.000000	-1841.913200	-2400.249898	558.336698	87.106755	785.641582	-3391.081875	118.083639	319.947393	238.389305	0.000000	0.000000
-53.800000	-1843.684379	-2402.215111	558.530732	87.106754	783.676369	-3391.081875	118.083639	319.919115	238.611618	0.000000	0.000000
-53.600000	-1845.448064	-2404.174415	558.726351	87.106755	781.717065	-3391.081875	118.083639	319.892526	238.833825	0.000000	0.000000
-53.400000	-1847.204376	-2406.127901	558.923525	87.106754	779.763580	-3391.081875	118.083639	319.867594	239.055930	0.000000	0.000000
-53.200000	-1848.953274	-2408.075481	559.122207	87.106755	777.816000	-3391.081875	118.083639	319.844294	239.277913	0.000000	0.000000
-53.000000	-1850.694863	-2410.017231	559.322368	87.106752	775.874252	-3391.081875	118.083639	319.822593	239.499775	0.000000	0.000000
