step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	1.86329e-005	-1646.97	-1646.97	-1646.97	0	0	0	1	1	
10	0.00364888	-1646.97	-1646.97	-1646.97	0	0	0	0	0	
20	0.00501111	-1646.98	-1646.97	-1646.98	0	0	0	0	0	
30	0.00628116	-1646.98	-1646.97	-1646.98	0	0	0	0	0	
40	0.00706677	-1646.98	-1646.98	-1646.98	0	0	0	0	0	
50	0.00740176	-1646.99	-1646.98	-1646.99	0	0	0	0	0	
60	0.0069154	-1646.99	-1646.98	-1646.99	0	0	0	0	0	
70	0.00625386	-1646.99	-1646.98	-1646.99	0	0	0	0	0	
80	0.00517864	-1646.99	-1646.99	-1646.99	0	0	0	0	0	
90	0.00416276	-1646.99	-1646.99	-1646.99	0	0	0	0	0	
100	0.00316454	-1646.99	-1646.99	-1646.99	0	0	0	0	0	
110	6.81535	-1646.72	-1639.58	-1646.72	0	0	0	0	0	
120	13.0519	-1645.64	-1631.97	-1645.64	0	0	0	0	0	
130	16.4823	-1643.22	-1625.96	-1643.22	0	0	0	0	0	
140	17.7517	-1639.69	-1621.09	-1639.69	0	0	0	0	0	
150	17.6315	-1634.74	-1616.27	-1634.74	0	0	0	0	0	
160	16.8271	-1628.96	-1611.33	-1628.96	0	0	0	0	0	
170	16.0558	-1622.92	-1606.1	-1622.92	0	0	0	0	0	
180	16.388	-1617.93	-1600.76	-1617.93	0	0	0	0	0	
190	17.6556	-1614.16	-1595.66	-1614.16	0	0	0	0	0	
200	20.0773	-1612.39	-1591.36	-1612.39	0	0	0	0	0	
210	32.9283	-1612.9	-1578.41	-1612.9	0	0	0	0	0	
220	43.296	-1615.15	-1569.8	-1615.15	0	0	0	0	0	
230	50.3916	-1617.23	-1564.44	-1617.23	0	0	0	0	0	
240	54.266	-1618.36	-1561.5	-1618.36	0	0	0	0	0	
250	55.1952	-1617.43	-1559.6	-1617.43	0	0	0	0	0	
260	54.074	-1614.35	-1557.7	-1614.35	0	0	0	0	0	
270	51.1534	-1608.57	-1554.98	-1608.57	0	0	0	0	0	
280	47.1206	-1600.13	-1550.77	-1600.13	0	0	0	0	0	
290	43.3674	-1590.46	-1545.03	-1590.46	0	0	0	0	0	
300	38.7807	-1578.4	-1537.77	-1578.4	0	0	0	0	0	
310	43.0698	-1564.2	-1519.08	-1564.2	0	0	0	0	0	
320	44.3207	-1547.81	-1501.38	-1547.81	0	0	0	0	0	
330	43.8557	-1529.6	-1483.65	-1529.6	0	0	0	0	0	
340	43.4435	-1511.4	-1465.89	-1511.4	0	0	0	0	0	
350	42.9571	-1492.98	-1447.97	-1492.98	0	0	0	0	0	
360	43.6808	-1475.72	-1429.96	-1475.72	0	0	0	0	0	
370	49.6683	-1464.98	-1412.95	-1464.98	0	0	0	0	0	
380	58.9347	-1460.61	-1398.87	-1460.61	0	0	0	0	0	
390	65.9855	-1457.15	-1388.03	-1457.15	0	0	0	0	0	
400	79.2076	-1463.74	-1380.76	-1463.74	0	0	0	0	0	
410	104.093	-1478.38	-1369.33	-1478.38	0	0	0	0	0	
420	123.745	-1496.37	-1366.73	-1496.37	0	0	0	0	0	
430	136.574	-1513.89	-1370.82	-1513.89	0	0	0	0	0	
440	139.752	-1524.22	-1377.81	-1524.22	0	0	0	0	0	
450	138.263	-1530.21	-1385.36	-1530.21	0	0	0	0	0	
460	134.105	-1532.39	-1391.9	-1532.39	0	0	0	0	0	
470	122.606	-1523.94	-1395.49	-1523.94	0	0	0	0	0	
480	110.204	-1509.72	-1394.27	-1509.72	0	0	0	0	0	
490	101.206	-1494.67	-1388.64	-1494.67	0	0	0	0	0	
500	90.6763	-1474.34	-1379.35	-1474.34	0	0	0	0	0	
510	94.8772	-1456.38	-1356.98	-1456.38	0	0	0	0	0	
520	101.259	-1442.78	-1336.7	-1442.78	0	0	0	0	0	
530	110.162	-1434.32	-1318.91	-1434.32	0	0	0	0	0	
540	129.315	-1442.14	-1306.67	-1442.14	0	0	0	0	0	
550	153.746	-1463.69	-1302.63	-1463.69	0	0	0	0	0	
560	173.34	-1489.41	-1307.82	-1489.41	0	0	0	0	0	
570	190.807	-1520.17	-1320.27	-1520.17	0	0	0	0	0	
580	190.013	-1535.96	-1336.9	-1535.96	0	0	0	0	0	
590	181.096	-1540.64	-1350.92	-1540.64	0	0	0	0	0	
600	167.714	-1537	-1361.3	-1537	0	0	0	0	0	
610	159.728	-1522.48	-1355.15	-1522.48	0	0	0	0	0	
620	147.897	-1500.2	-1345.26	-1500.2	0	0	0	0	0	
630	139.306	-1476.92	-1330.98	-1476.92	0	0	0	0	0	
640	131.364	-1451.16	-1313.54	-1451.16	0	0	0	0	0	
650	127.073	-1427.07	-1293.94	-1427.07	0	0	0	0	0	
660	122.831	-1401.27	-1272.59	-1401.27	0	0	0	0	0	
670	120.7	-1376.15	-1249.7	-1376.15	0	0	0	0	0	
680	130.642	-1364.69	-1227.83	-1364.69	0	0	0	0	0	
690	152.982	-1372.65	-1212.38	-1372.65	0	0	0	0	0	
700	177.667	-1391.71	-1205.58	-1391.71	0	0	0	0	0	
710	208.775	-1418.08	-1199.36	-1418.08	0	0	0	0	0	
720	226.085	-1438.49	-1201.64	-1438.49	0	0	0	0	0	
730	243.627	-1466.6	-1211.37	-1466.6	0	0	0	0	0	
740	246.544	-1483.6	-1225.31	-1483.6	0	0	0	0	0	
750	243.799	-1494.54	-1239.13	-1494.54	0	0	0	0	0	
760	239.696	-1502.81	-1251.7	-1502.81	0	0	0	0	0	
770	232.146	-1505.7	-1262.5	-1505.7	0	0	0	0	0	
780	225.184	-1505.68	-1269.77	-1505.68	0	0	0	0	0	
790	214.325	-1498.52	-1273.99	-1498.52	0	0	0	0	0	
800	205.523	-1489.32	-1274.01	-1489.32	0	0	0	0	0	
810	212.534	-1484.16	-1261.51	-1484.16	0	0	0	0	0	
820	226.459	-1490.41	-1253.17	-1490.41	0	0	0	0	0	
830	240.903	-1502.92	-1250.54	-1502.92	0	0	0	0	0	
840	252.243	-1517.53	-1253.28	-1517.53	0	0	0	0	0	
850	260.114	-1532.29	-1259.79	-1532.29	0	0	0	0	0	
860	257.599	-1537.61	-1267.75	-1537.61	0	0	0	0	0	
870	252.681	-1538.4	-1273.68	-1538.4	0	0	0	0	0	
880	237.838	-1525.6	-1276.44	-1525.6	0	0	0	0	0	
890	223.907	-1507.13	-1272.55	-1507.13	0	0	0	0	0	
900	215.953	-1491.39	-1265.16	-1491.39	0	0	0	0	0	
910	211.762	-1465.16	-1243.31	-1465.16	0	0	0	0	0	
920	207.367	-1437.47	-1220.22	-1437.47	0	0	0	0	0	
930	200.377	-1404.22	-1194.3	-1404.22	0	0	0	0	0	
940	194.87	-1370.23	-1166.08	-1370.23	0	0	0	0	0	
950	185.224	-1328.8	-1134.76	-1328.8	0	0	0	0	0	
960	195.031	-1307.36	-1103.04	-1307.36	0	0	0	0	0	
970	207.567	-1293.75	-1076.29	-1293.75	0	0	0	0	0	
980	224.767	-1290.04	-1054.56	-1290.04	0	0	0	0	0	
990	230.441	-1279.86	-1038.45	-1279.86	0	0	0	0	0	
1000	233.066	-1266.64	-1022.48	-1266.64	0	0	0	0	0	
1010	235.645	-1266.07	-1019.2	-1266.07	0	0	0	0	0	
1020	226.935	-1253.17	-1015.42	-1253.17	0	0	0	0	0	
1030	227.575	-1249.87	-1011.46	-1249.87	0	0	0	0	0	
1040	224.511	-1242.78	-1007.58	-1242.78	0	0	0	0	0	
1050	223.72	-1237.99	-1003.61	-1237.99	0	0	0	0	0	
1060	219.403	-1229.29	-999.434	-1229.29	0	0	0	0	0	
1070	207.481	-1212.17	-994.808	-1212.17	0	0	0	0	0	
1080	197.027	-1196.07	-989.662	-1196.07	0	0	0	0	0	
1090	188.537	-1181.62	-984.107	-1181.62	0	0	0	0	0	
1100	191.751	-1179.23	-978.351	-1179.23	0	0	0	0	0	
1110	198.863	-1181.34	-973.001	-1181.34	0	0	0	0	0	
1120	223.395	-1202.18	-968.147	-1202.18	0	0	0	0	0	
1130	253.795	-1230.72	-964.836	-1230.72	0	0	0	0	0	
1140	285.957	-1262.89	-963.31	-1262.89	0	0	0	0	0	
1150	325.882	-1304.88	-963.48	-1304.88	0	0	0	0	0	
1160	356.727	-1339.34	-965.619	-1339.34	0	0	0	0	0	
1170	395.653	-1384.04	-969.542	-1384.04	0	0	0	0	0	
1180	414.889	-1409.83	-975.185	-1409.83	0	0	0	0	0	
1190	425.77	-1427.35	-981.299	-1427.35	0	0	0	0	0	
1200	439.052	-1448.18	-988.22	-1448.18	0	0	0	0	0	
1210	431.725	-1447.39	-995.107	-1447.39	0	0	0	0	0	
1220	429.034	-1451.53	-1002.06	-1451.53	0	0	0	0	0	
1230	405.295	-1432.87	-1008.27	-1432.87	0	0	0	0	0	
1240	381.587	-1412.99	-1013.23	-1412.99	0	0	0	0	0	
1250	346.946	-1380.36	-1016.89	-1380.36	0	0	0	0	0	
1260	319.588	-1353.43	-1018.62	-1353.43	0	0	0	0	0	
1270	292.978	-1326.05	-1019.12	-1326.05	0	0	0	0	0	
1280	296.168	-1329.04	-1018.76	-1329.04	0	0	0	0	0	
1290	315.543	-1349.55	-1018.98	-1349.55	0	0	0	0	0	
1300	317.263	-1351.98	-1019.61	-1351.98	0	0	0	0	0	
1310	330.132	-1366.71	-1020.85	-1366.71	0	0	0	0	0	
1320	325.498	-1363.23	-1022.23	-1363.23	0	0	0	0	0	
1330	307.612	-1345.37	-1023.11	-1345.37	0	0	0	0	0	
1340	282.377	-1318.71	-1022.88	-1318.71	0	0	0	0	0	
1350	259.67	-1293.23	-1021.19	-1293.23	0	0	0	0	0	
1360	243.075	-1273.22	-1018.57	-1273.22	0	0	0	0	0	
1370	237.171	-1263.97	-1015.51	-1263.97	0	0	0	0	0	
1380	230.579	-1253.6	-1012.04	-1253.6	0	0	0	0	0	
1390	232.971	-1252.34	-1008.28	-1252.34	0	0	0	0	0	
1400	257.312	-1274.99	-1005.42	-1274.99	0	0	0	0	0	
1410	281.961	-1299.11	-1003.72	-1299.11	0	0	0	0	0	
1420	314.5	-1333.13	-1003.65	-1333.13	0	0	0	0	0	
1430	353.461	-1375.67	-1005.37	-1375.67	0	0	0	0	0	
1440	380.289	-1407.39	-1008.99	-1407.39	0	0	0	0	0	
1450	400.901	-1433.86	-1013.87	-1433.86	0	0	0	0	0	
1460	397.432	-1435.66	-1019.29	-1435.66	0	0	0	0	0	
1470	392.106	-1435.05	-1024.27	-1435.05	0	0	0	0	0	
1480	377.393	-1424.29	-1028.93	-1424.29	0	0	0	0	0	
1490	361.684	-1411.37	-1032.46	-1411.37	0	0	0	0	0	
1500	342.306	-1394.06	-1035.45	-1394.06	0	0	0	0	0	
1510	324.369	-1377.05	-1037.24	-1377.05	0	0	0	0	0	
1520	322.415	-1376.28	-1038.51	-1376.28	0	0	0	0	0	
1530	306.049	-1359.95	-1039.33	-1359.95	0	0	0	0	0	
1540	297.632	-1351.34	-1039.54	-1351.34	0	0	0	0	0	
1550	283.62	-1336.01	-1038.88	-1336.01	0	0	0	0	0	
1560	284.594	-1336.29	-1038.14	-1336.29	0	0	0	0	0	
1570	280.58	-1331.24	-1037.3	-1331.24	0	0	0	0	0	
1580	268.973	-1317.45	-1035.67	-1317.45	0	0	0	0	0	
1590	270.548	-1317.53	-1034.1	-1317.53	0	0	0	0	0	
1600	273.948	-1319.67	-1032.67	-1319.67	0	0	0	0	0	
1610	283.863	-1329.02	-1031.64	-1329.02	0	0	0	0	0	
1620	287.187	-1331.99	-1031.12	-1331.99	0	0	0	0	0	
1630	289.077	-1333.23	-1030.39	-1333.23	0	0	0	0	0	
1640	282.804	-1326.13	-1029.85	-1326.13	0	0	0	0	0	
1650	288.166	-1331.04	-1029.15	-1331.04	0	0	0	0	0	
1660	280.583	-1322.37	-1028.42	-1322.37	0	0	0	0	0	
1670	268.485	-1308.3	-1027.03	-1308.3	0	0	0	0	0	
1680	258.173	-1295.58	-1025.11	-1295.58	0	0	0	0	0	
1690	247.853	-1282.06	-1022.4	-1282.06	0	0	0	0	0	
1700	238.961	-1269.77	-1019.43	-1269.77	0	0	0	0	0	
1710	238.434	-1266.02	-1016.23	-1266.02	0	0	0	0	0	
1720	228.461	-1251.64	-1012.3	-1251.64	0	0	0	0	0	
1730	257.249	-1278.8	-1009.3	-1278.8	0	0	0	0	0	
1740	286.944	-1308.65	-1008.04	-1308.65	0	0	0	0	0	
1750	311.449	-1334.09	-1007.81	-1334.09	0	0	0	0	0	
1760	318.336	-1342.58	-1009.08	-1342.58	0	0	0	0	0	
1770	320.594	-1345.49	-1009.62	-1345.49	0	0	0	0	0	
1780	324.584	-1350.65	-1010.61	-1350.65	0	0	0	0	0	
1790	320.083	-1347.14	-1011.82	-1347.14	0	0	0	0	0	
1800	322.947	-1351.39	-1013.06	-1351.39	0	0	0	0	0	
1810	316.281	-1345.4	-1014.06	-1345.4	0	0	0	0	0	
1820	323.614	-1354.21	-1015.18	-1354.21	0	0	0	0	0	
1830	335.082	-1367.66	-1016.62	-1367.66	0	0	0	0	0	
1840	338.388	-1373.13	-1018.63	-1373.13	0	0	0	0	0	
1850	330.477	-1366.71	-1020.5	-1366.71	0	0	0	0	0	
1860	320.082	-1357.21	-1021.88	-1357.21	0	0	0	0	0	
1870	317.147	-1354.97	-1022.72	-1354.97	0	0	0	0	0	
1880	307.151	-1345.1	-1023.32	-1345.1	0	0	0	0	0	
1890	297.895	-1335.5	-1023.41	-1335.5	0	0	0	0	0	
1900	275.741	-1311.77	-1022.9	-1311.77	0	0	0	0	0	
1910	255.619	-1288.81	-1021.02	-1288.81	0	0	0	0	0	
1920	229.852	-1258.62	-1017.82	-1258.62	0	0	0	0	0	
1930	222.697	-1247.35	-1014.04	-1247.35	0	0	0	0	0	
1940	225.577	-1246.44	-1010.12	-1246.44	0	0	0	0	0	
1950	229.287	-1246.44	-1006.23	-1246.44	0	0	0	0	0	
1960	253.371	-1268.56	-1003.12	-1268.56	0	0	0	0	0	
