step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
3510,319.483,0.497636,0.497636,-1373.23,1.13806e-005,7.85492e-006,-0.250361,0.0431381,0.00064685,0.490879,0.0998729,0.0697479,-2.77308,0.0432319,0.00068239,-0.0067577,0.621924,0.639742,1
3520,246.666,0.495984,0.495984,-1299.65,2.54547e-005,1.78198e-005,-0.25071,0.0431382,0.000646913,0.489626,0.12466,0.089873,-2.8081,0.0433734,0.000131472,-0.00635773,0.621342,0.639937,1
3530,252.577,0.495136,0.495133,-1307.2,4.28091e-005,3.06943e-005,-0.251062,0.0431384,0.000647033,0.488372,0.216262,0.152487,-2.69506,0.0435635,-0.000858488,-0.00676167,0.620692,0.639903,1
3540,290.43,0.494964,0.494957,-1348.55,7.01646e-005,5.09561e-005,-0.251402,0.0431387,0.000647236,0.487115,0.217976,0.170445,-2.72919,0.04399,-0.00178016,-0.00784185,0.62006,0.639775,1
3550,333.834,0.494886,0.494877,-1395.6,9.66935e-005,7.30795e-005,-0.251745,0.0431391,0.000647546,0.485858,0.203813,0.181838,-2.76378,0.0438298,-0.00228905,-0.00901973,0.619791,0.639793,1
3560,341.358,0.494699,0.49469,-1403.66,0.000120856,9.61954e-005,-0.252093,0.0431396,0.000647969,0.484598,0.181764,0.186686,-2.79013,0.0429352,-0.00228265,-0.0100924,0.619791,0.639793,1
3570,320.339,0.494867,0.494859,-1381.34,0.0001422,0.000119672,-0.252443,0.0431403,0.000648508,0.483337,0.159741,0.188193,-2.80458,0.0424086,-0.00210954,-0.011522,0.619791,0.639793,1
3580,301.093,0.495593,0.495586,-1360.98,0.000161046,0.000143263,-0.252795,0.0431411,0.000649166,0.482074,0.143198,0.180057,-2.81908,0.0431971,-0.00190524,-0.0135129,0.619791,0.639793,1
3590,282.57,0.496422,0.496415,-1341.26,0.000178342,0.000166008,-0.253149,0.0431419,0.000649938,0.480809,0.134846,0.184087,-2.84247,0.0444562,-0.00162532,-0.0156068,0.619791,0.639793,1
3600,273.65,0.497031,0.497024,-1331.82,0.000201132,0.000186898,-0.253497,0.0431429,0.000650822,0.479542,0.207462,0.163988,-2.75721,0.0453674,-0.0010248,-0.0174816,0.619791,0.639793,1
3610,267.579,0.497183,0.497174,-1325.6,0.000227364,0.000207798,-0.253847,0.0431439,0.000651809,0.478274,0.212721,0.169715,-2.84731,0.0458875,-0.000359004,-0.0189006,0.619791,0.639793,1
3620,249.717,0.496439,0.496429,-1306.43,0.000254585,0.00022937,-0.25421,0.0431451,0.000652901,0.477004,0.222881,0.175324,-2.9481,0.0462164,0.000222208,-0.0194253,0.619791,0.639793,1
3630,270.416,0.494899,0.494889,-1328.37,0.000283282,0.000251887,-0.254584,0.0431465,0.000654104,0.475732,0.236004,0.18565,-3.03071,0.0462362,0.000690531,-0.0191575,0.619609,0.63977,1
3640,269.648,0.493525,0.493516,-1327.46,0.00030836,0.000271978,-0.254982,0.043148,0.00065542,0.474458,0.167796,0.0992048,-3.33412,0.0459817,0.00110268,-0.0190585,0.619309,0.639695,1
3650,256.35,0.492743,0.492737,-1313.45,0.000329945,0.000285757,-0.255404,0.0431496,0.000656813,0.473182,0.17685,0.123277,-3.40454,0.0456286,0.0011128,-0.0195552,0.61886,0.639552,1
3660,235.718,0.491976,0.491972,-1292.3,0.000352365,0.000302203,-0.255835,0.0431513,0.000658281,0.471904,0.183561,0.146457,-3.47724,0.0450647,0.00063285,-0.0200687,0.618323,0.639347,1
3670,239.78,0.49077,0.490767,-1297.4,0.000376232,0.000322467,-0.256273,0.0431531,0.000659841,0.470623,0.199794,0.176053,-3.52668,0.0444655,-0.000166839,-0.020144,0.617925,0.639164,1
3680,252.652,0.48923,0.489225,-1311.51,0.000402585,0.000355521,-0.256722,0.043155,0.000661524,0.469341,0.225377,0.337502,-3.6402,0.0444343,-0.00104546,-0.0198844,0.617386,0.638891,1
3690,237.88,0.48791,0.487899,-1296.92,0.000433802,0.000398705,-0.257179,0.0431571,0.000663409,0.468056,0.275399,0.350616,-3.66357,0.0451355,-0.00199867,-0.0198425,0.616654,0.638553,1
3700,215.208,0.487193,0.487176,-1275.14,0.000472424,0.000426534,-0.257629,0.0431594,0.000665474,0.466769,0.334426,0.218872,-3.59471,0.0454861,-0.00271563,-0.0204067,0.61568,0.638132,1
3710,220.344,0.486751,0.486737,-1284.41,0.000516804,0.000454292,-0.258079,0.0431619,0.000667676,0.46548,0.371106,0.225277,-3.59225,0.0448886,-0.00261871,-0.0212572,0.614743,0.63775,1
3720,225.553,0.485875,0.485869,-1293.4,0.000564411,0.000483536,-0.258529,0.0431646,0.000670019,0.464188,0.387707,0.251202,-3.58738,0.0438775,-0.00160926,-0.0216804,0.613934,0.637445,1
3730,252.738,0.484282,0.484281,-1324.51,0.000612878,0.000516099,-0.258979,0.0431675,0.000672517,0.462895,0.385385,0.271601,-3.61607,0.0434417,-0.000256487,-0.0213865,0.613362,0.637244,1
3740,218.459,0.482029,0.482029,-1288.9,0.000660846,0.000552121,-0.259435,0.0431707,0.000675186,0.461599,0.381171,0.303035,-3.67217,0.0434269,0.00088829,-0.0204305,0.613178,0.637188,1
3750,218.353,0.479412,0.479411,-1288.91,0.000708278,0.000591552,-0.2599,0.0431741,0.000678044,0.4603,0.376209,0.32521,-3.75565,0.0435977,0.0015368,-0.019111,0.613178,0.637188,1
3760,239.219,0.476951,0.47695,-1311.03,0.00075469,0.000633085,-0.260375,0.0431778,0.000681105,0.459,0.363577,0.336784,-3.83475,0.0437998,0.00144758,-0.0179504,0.613178,0.637188,1
3770,251.48,0.475,0.474999,-1324.11,0.000798884,0.000675331,-0.260859,0.0431816,0.000684376,0.457696,0.341762,0.335427,-3.89509,0.0438312,0.000819148,-0.0173028,0.613178,0.637188,1
3780,243.882,0.473132,0.473132,-1316.11,0.00083976,0.000731059,-0.261358,0.0431857,0.000687888,0.456391,0.316833,0.45338,-4.02318,0.0429113,0.000242168,-0.0167408,0.613178,0.637188,1
3790,223.475,0.470931,0.470928,-1294.39,0.000878781,0.000785408,-0.261865,0.04319,0.000691681,0.455083,0.30879,0.413117,-4.08016,0.0416541,-4.76796e-005,-0.0158448,0.613178,0.637188,1
3800,240.823,0.468402,0.468395,-1312.62,0.000917562,0.000834289,-0.262379,0.0431945,0.000695733,0.453772,0.312587,0.368138,-4.14311,0.0408444,-0.000595154,-0.0146225,0.613178,0.637188,1
3810,262.315,0.465937,0.465927,-1335.59,0.000956936,0.000877476,-0.262902,0.0431992,0.000700015,0.452459,0.252929,0.287179,-4.32703,0.0409333,-0.00144638,-0.0134676,0.613178,0.637188,1
3820,287.685,0.463614,0.463601,-1362.38,0.000989275,0.000910976,-0.263444,0.0432041,0.000704488,0.451143,0.263849,0.249404,-4.32241,0.0413222,-0.00213846,-0.0124583,0.613178,0.637188,1
3830,284.894,0.461302,0.461293,-1359.49,0.00102308,0.000940541,-0.263983,0.0432091,0.000709118,0.449825,0.277152,0.226908,-4.2972,0.0423274,-0.0020162,-0.0114686,0.613178,0.637188,1
3840,273.751,0.458674,0.458669,-1347.82,0.00105896,0.00096899,-0.264521,0.0432143,0.000713891,0.448503,0.290791,0.237606,-4.31245,0.0436707,-0.00121257,-0.0101659,0.613178,0.637188,1
3850,290.439,0.456059,0.456055,-1365.59,0.00109735,0.000985489,-0.265056,0.0432197,0.000718782,0.447179,0.320799,0.127145,-4.3044,0.0450112,0.000121292,-0.00887553,0.613178,0.637188,1
3860,288.196,0.453831,0.453824,-1362.86,0.00113864,0.00100365,-0.2656,0.0432253,0.000723753,0.445853,0.334296,0.16217,-4.38632,0.045677,0.00136782,-0.00797094,0.613178,0.637188,1
