step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
3510,318.603,0.497506,-0.497504,-1347.4,2.35137e-006,0.000106162,0.450274,0.044596,0.00285781,-0.523862,-0.12761,0.681113,2.32734,0.0440968,0.00158323,-0.0263581,0.622492,0.640774,1
3520,343.026,0.496266,-0.496257,-1373.33,-1.66507e-005,0.000190932,0.450569,0.044596,0.00285855,-0.52161,-0.175779,0.67355,2.37366,0.0436564,0.00018945,-0.0253529,0.622338,0.640862,1
3530,356.26,0.495794,-0.495779,-1387.54,-4.74503e-005,0.000271388,0.450879,0.0445958,0.00285971,-0.519357,-0.294896,0.623476,2.54647,0.0434691,-0.000773509,-0.0235772,0.622338,0.640862,1
3540,353.207,0.495223,-0.495208,-1384.35,-9.28991e-005,0.000343027,0.451204,0.0445955,0.00286125,-0.517102,-0.440959,0.54661,2.57858,0.0438006,-0.000884358,-0.0218932,0.622043,0.640908,1
3550,333.321,0.494579,-0.494567,-1363.51,-0.000148304,0.000403612,0.451535,0.0445949,0.00286313,-0.514845,-0.447119,0.430672,2.71398,0.0438973,-0.000530187,-0.0202775,0.621889,0.640882,1
3560,302.723,0.494069,-0.494058,-1331.12,-0.000206655,0.000456229,0.451876,0.044594,0.00286528,-0.512586,-0.484748,0.409158,2.73277,0.0439767,-0.000366136,-0.0185282,0.621889,0.640882,1
3570,288.849,0.492961,-0.49295,-1316.42,-0.000269554,0.000505642,0.45222,0.0445928,0.00286769,-0.510326,-0.520422,0.37851,2.7658,0.0444196,-0.000388534,-0.0173758,0.621866,0.640873,1
3580,302.692,0.490484,-0.490472,-1331.16,-0.000345339,0.000546015,0.452553,0.0445912,0.00287032,-0.508064,-0.627187,0.299509,2.68319,0.0450669,-0.000590715,-0.0175924,0.621866,0.640873,1
3590,318.708,0.487465,-0.48745,-1348.15,-0.000426419,0.000580321,0.452892,0.0445893,0.00287314,-0.5058,-0.668993,0.247215,2.73024,0.0449269,-0.000900802,-0.0183506,0.621698,0.640763,1
3600,323.176,0.485433,-0.485419,-1352.97,-0.000512779,0.00060775,0.453236,0.044587,0.00287611,-0.503535,-0.710487,0.191293,2.76213,0.0444084,-0.000850195,-0.0181163,0.621607,0.640587,1
3610,319.009,0.484491,-0.484481,-1348.69,-0.000604706,0.000623057,0.453585,0.0445842,0.0028792,-0.501268,-0.780821,0.0400162,2.79698,0.0441037,-0.000144872,-0.0167871,0.621607,0.640587,1
3620,301.778,0.483308,-0.483301,-1330.43,-0.000702669,0.000624665,0.453941,0.0445809,0.00288232,-0.498999,-0.712243,-0.0277305,2.9679,0.0440547,0.000439646,-0.0156979,0.621603,0.640562,1
