"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"
-60.000000	-1350.690168	-1980.808303	630.118135	45.922830	811.503944	-3027.044158	188.809081	259.518131	370.600004	0.000000	0.000000
-59.800000	-1352.428216	-1982.552940	630.124725	45.922830	809.757207	-3027.042059	188.809081	259.516112	370.608613	0.000000	0.000000
-59.600000	-1354.160607	-1984.292112	630.131505	45.922830	808.015619	-3027.039643	188.809081	259.514145	370.617360	0.000000	0.000000
-59.400000	-1355.887202	-1986.025675	630.138473	45.922830	806.279323	-3027.036910	188.809081	259.512229	370.626243	0.000000	0.000000
-59.200000	-1357.608096	-1987.753723	630.145627	45.922830	804.548225	-3027.033860	188.809081	259.510363	370.635264	0.000000	0.000000
-59.000000	-1359.323393	-1989.476359	630.152966	45.922830	802.822221	-3027.030492	188.809081	259.508546	370.644421	0.000000	0.000000
-58.800000	-1361.032968	-1991.193456	630.160488	45.922830	801.101438	-3027.026806	188.809081	259.506776	370.653712	0.000000	0.000000
-58.600000	-1362.736884	-1992.905075	630.168192	45.922830	799.385814	-3027.022801	188.809081	259.505053	370.663139	0.000000	0.000000
-58.400000	-1364.435242	-1994.611317	630.176075	45.922830	797.675249	-3027.018477	188.809081	259.503376	370.672699	0.000000	0.000000
-58.200000	-1366.128012	-1996.312148	630.184136	45.922830	795.969776	-3027.013835	188.809081	259.501742	370.682393	0.000000	0.000000
-58.000000	-1367.815236	-1998.007609	630.192373	45.922830	794.269352	-3027.008873	188.809081	259.500153	370.692220	0.000000	0.000000
-57.800000	-1369.496902	-1999.697687	630.200785	45.922830	792.573994	-3027.003592	188.809081	259.498605	370.702180	0.000000	0.000000
-57.600000	-1371.173017	-2001.382387	630.209370	45.922830	790.883693	-3026.997992	188.809081	259.497100	370.712270	0.000000	0.000000
-57.400000	-1372.843750	-2003.061877	630.218127	45.922830	789.198283	-3026.992072	188.809081	259.495635	370.722493	0.000000	0.000000
-57.200000	-1374.508926	-2004.735980	630.227054	45.922830	787.517941	-3026.985833	188.809081	259.494210	370.732845	0.000000	0.000000
-57.000000	-1376.168659	-2006.404808	630.236150	45.922830	785.842556	-3026.979275	188.809081	259.492823	370.743327	0.000000	0.000000
-56.800000	-1377.822992	-2008.068404	630.245412	45.922830	784.172083	-3026.972399	188.809081	259.491475	370.753938	0.000000	0.000000
-56.600000	-1379.471875	-2009.726716	630.254841	45.922830	782.506577	-3026.965204	188.809081	259.490163	370.764677	0.000000	0.000000
-56.400000	-1381.115459	-2011.379892	630.264433	45.922830	780.845887	-3026.957691	188.809081	259.488889	370.775545	0.000000	0.000000
-56.200000	-1382.753586	-2013.027774	630.274188	45.922830	779.190175	-3026.949861	188.809081	259.487649	370.786539	0.000000	0.000000
-56.000000	-1384.386442	-2014.670546	630.284104	45.922830	777.539256	-3026.941713	188.809081	259.486445	370.797659	0.000000	0.000000
-55.800000	-1386.017543	-2016.308084	630.290541	45.922830	775.893254	-3026.933250	188.809081	259.481636	370.808905	0.000000	0.000000
-55.600000	-1387.639771	-2017.940537	630.300765	45.922830	774.252022	-3026.924470	188.809081	259.480488	370.820277	0.000000	0.000000
-55.400000	-1389.256706	-2019.567851	630.311145	45.922830	772.615613	-3026.915375	188.809081	259.479373	370.831772	0.000000	0.000000
-55.200000	-1390.868352	-2021.190033	630.321681	45.922830	770.984023	-3026.905967	188.809081	259.478289	370.843391	0.000000	0.000000
-55.000000	-1392.474818	-2022.807189	630.332371	45.922830	769.357145	-3026.896245	188.809081	259.477237	370.855133	0.000000	0.000000
-54.800000	-1394.076020	-2024.419234	630.343213	45.922830	767.735065	-3026.886210	188.809081	259.476216	370.866997	0.000000	0.000000
-54.600000	-1395.671999	-2026.026206	630.354207	45.922830	766.117747	-3026.875865	188.809081	259.475224	370.878983	0.000000	0.000000
-54.400000	-1397.262811	-2027.628162	630.365351	45.922830	764.505136	-3026.865209	188.809081	259.474262	370.891089	0.000000	0.000000
-54.200000	-1398.848560	-2029.225203	630.376644	45.922830	762.897128	-3026.854243	188.809081	259.473329	370.903315	0.000000	0.000000
-54.000000	-1400.429028	-2030.817112	630.388084	45.922830	761.293947	-3026.842971	188.809081	259.472424	370.915660	0.000000	0.000000
-53.800000	-1402.004440	-2032.404110	630.399669	45.922830	759.695370	-3026.831391	188.809081	259.471546	370.928124	0.000000	0.000000
-53.600000	-1403.574685	-2033.986085	630.411400	45.922830	758.101510	-3026.819507	188.809081	259.470695	370.940705	0.000000	0.000000
-53.400000	-1405.139893	-2035.563167	630.423274	45.922830	756.512239	-3026.807318	188.809081	259.469871	370.953403	0.000000	0.000000
-53.200000	-1406.703882	-2037.135281	630.431399	45.922830	754.927635	-3026.794827	188.809081	259.465181	370.966217	0.000000	0.000000
-53.000000	-1408.262915	-2038.702558	630.439643	45.922830	753.347567	-3026.782036	188.809081	259.460496	370.979147	0.000000	0.000000
-52.800000	-1409.812950	-2040.264864	630.451914	45.922830	751.772170	-3026.768945	188.809081	259.459723	370.992191	0.000000	0.000000
-52.600000	-1411.357981	-2041.822304	630.464323	45.922830	750.201342	-3026.755557	188.809081	259.458975	371.005349	0.000000	0.000000
-52.400000	-1412.898011	-2043.374881	630.476870	45.922830	748.635081	-3026.741874	188.809081	259.458250	371.018620	0.000000	0.000000
-52.200000	-1414.433083	-2044.922635	630.489552	45.922830	747.073350	-3026.727897	188.809081	259.457550	371.032003	0.000000	0.000000
-52.000000	-1415.963129	-2046.465498	630.502369	45.922830	745.516219	-3026.713628	188.809081	259.456872	371.045497	0.000000	0.000000
-51.800000	-1417.488286	-2048.003605	630.515318	45.922830	743.963553	-3026.699070	188.809081	259.456216	371.059102	0.000000	0.000000
-51.600000	-1419.008452	-2049.536851	630.528400	45.922830	742.415461	-3026.684223	188.809081	259.455583	371.072817	0.000000	0.000000
-51.400000	-1420.523737	-2051.065349	630.541612	45.922830	740.871831	-3026.669091	188.809081	259.454972	371.086640	0.000000	0.000000
-51.200000	-1422.034091	-2052.589045	630.554954	45.922830	739.332719	-3026.653676	188.809081	259.454382	371.100572	0.000000	0.000000
-51.000000	-1423.539540	-2054.107964	630.568424	45.922830	737.798105	-3026.637980	188.809081	259.453813	371.114611	0.000000	0.000000
-50.800000	-1425.040135	-2055.622155	630.582020	45.922830	736.267938	-3026.622005	188.809081	259.453265	371.128756	0.000000	0.000000
-50.600000	-1426.535889	-2057.131632	630.595743	45.922830	734.742209	-3026.605753	188.809081	259.452736	371.143007	0.000000	0.000000
-50.400000	-1428.026763	-2058.636353	630.609590	45.922830	733.220963	-3026.589227	188.809081	259.452228	371.157362	0.000000	0.000000
-50.200000	-1429.512826	-2060.136386	630.623560	45.922830	731.704132	-3026.572430	188.809081	259.451739	371.171821	0.000000	0.000000
-50.000000	-1430.994008	-2061.631661	630.637652	45.922830	730.191793	-3026.555364	188.809081	259.451269	371.186383	0.000000	0.000000
-49.800000	-1432.470462	-2063.122328	630.651866	45.922830	728.683793	-3026.538032	188.809081	259.450818	371.201047	0.000000	0.000000
-49.600000	-1433.942125	-2064.608323	630.666199	45.922830	727.180201	-3026.520436	188.809081	259.450386	371.215813	0.000000	0.000000
-49.400000	-1435.408975	-2066.089626	630.680650	45.922830	725.681042	-3026.502580	188.809081	259.449972	371.230678	0.000000	0.000000
-49.200000	-1436.871009	-2067.566227	630.695218	45.922830	724.186327	-3026.484466	188.809081	259.449576	371.245643	0.000000	0.000000
-49.000000	-1438.328362	-2069.038265	630.709903	45.922830	722.695920	-3026.466096	188.809081	259.449197	371.260706	0.000000	0.000000
-48.800000	-1439.780995	-2070.505698	630.724703	45.922830	721.209865	-3026.447474	188.809081	259.448835	371.275868	0.000000	0.000000
-48.600000	-1441.228883	-2071.968499	630.739617	45.922830	719.728193	-3026.428604	188.809081	259.448491	371.291126	0.000000	0.000000
-48.400000	-1442.672054	-2073.426697	630.754643	45.922830	718.250879	-3026.409487	188.809081	259.448163	371.306479	0.000000	0.000000
