step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
3510,324.031,0.497824,0.497823,-1367.59,2.76922e-006,-1.56917e-005,-0.100176,0.0447814,0.00126258,0.483694,0.0630368,-0.242955,-2.79449,0.0440368,0.00068701,-0.014129,0.62298,0.637865,1
3520,306.731,0.496475,0.496472,-1358.14,7.46847e-006,-2.93505e-005,-0.100342,0.0447815,0.00126246,0.483193,0.0924141,-0.214713,-2.76434,0.0436414,0.00011692,-0.0132793,0.622894,0.63674,1
3530,283.083,0.495797,0.495793,-1339.31,1.35385e-005,-4.13121e-005,-0.100505,0.0447815,0.00126229,0.482691,0.109129,-0.186277,-2.72335,0.0438559,-0.000675137,-0.0131018,0.622763,0.63635,1
3540,263.465,0.495715,0.495708,-1319.39,2.02578e-005,-4.80549e-005,-0.100673,0.0447816,0.00126206,0.482188,0.115517,-0.0773049,-2.83057,0.0444433,-0.00136558,-0.0135198,0.622591,0.636128,1
3550,256.849,0.495638,0.495631,-1312.41,2.72175e-005,-5.16729e-005,-0.100841,0.0447817,0.00126181,0.481684,0.116934,-0.0439307,-2.80664,0.0454157,-0.00134098,-0.0139466,0.622591,0.636128,1
3560,256.863,0.495016,0.495008,-1312.55,3.41476e-005,-5.32998e-005,-0.101008,0.0447819,0.00126155,0.48118,0.115058,-0.0108605,-2.79837,0.0460371,-0.00132362,-0.013828,0.622591,0.636128,1
3570,266.2,0.493809,0.493798,-1322.44,4.09118e-005,-5.30489e-005,-0.101176,0.0447821,0.00126128,0.480674,0.111349,0.0182206,-2.82025,0.0458372,-0.00178317,-0.0131241,0.622591,0.636128,1
3580,295.819,0.492525,0.492511,-1353.72,4.80418e-005,-5.09648e-005,-0.101344,0.0447823,0.00126102,0.480168,0.177551,0.0755457,-2.73537,0.044893,-0.00232843,-0.0123437,0.622591,0.636128,1
3590,299.554,0.491929,0.491916,-1357.46,5.83233e-005,-4.61904e-005,-0.10151,0.0447826,0.00126078,0.479661,0.167421,0.0831426,-2.81552,0.0443797,-0.00228748,-0.0122551,0.622591,0.636128,1
3600,293.224,0.492214,0.492204,-1350.51,6.81102e-005,-4.11393e-005,-0.10168,0.0447829,0.00126056,0.479153,0.16182,0.0859808,-2.90289,0.0443761,-0.00196686,-0.0130509,0.62241,0.636297,1
3610,295.683,0.492821,0.492814,-1353.09,7.78239e-005,-3.58792e-005,-0.101856,0.0447832,0.00126036,0.478644,0.165676,0.0913221,-2.98979,0.0446493,-0.00144778,-0.0141697,0.62241,0.636297,1
3620,313.237,0.492674,0.492669,-1371.78,8.81223e-005,-3.00673e-005,-0.102037,0.0447837,0.0012602,0.478134,0.181359,0.105281,-3.05814,0.0446216,-0.000934826,-0.0145345,0.622593,0.636549,1
3630,320.907,0.491294,0.491289,-1380.44,9.96204e-005,-2.30884e-005,-0.102221,0.0447841,0.00126007,0.477623,0.204691,0.130417,-3.10814,0.0447493,-0.000879151,-0.0136659,0.622653,0.63658,1
3640,303.091,0.489407,0.489399,-1361.53,0.000112402,-7.4841e-006,-0.102412,0.0447846,0.00125999,0.477112,0.225777,0.301329,-3.25481,0.0446447,-0.00141445,-0.0122875,0.622653,0.63658,1
3650,293.866,0.488533,0.488524,-1351.72,0.000126653,1.21977e-005,-0.102609,0.0447852,0.00126,0.476599,0.250547,0.348334,-3.32652,0.0443169,-0.00166127,-0.0119247,0.622653,0.63658,1
3660,287.559,0.488866,0.488859,-1344.94,0.000142273,3.38321e-005,-0.102809,0.0447859,0.00126011,0.476086,0.272579,0.374721,-3.38803,0.0440412,-0.00121229,-0.0127736,0.622653,0.63658,1
3670,282.195,0.489128,0.489124,-1339.25,0.00015907,5.66651e-005,-0.103013,0.0447867,0.00126034,0.475571,0.289258,0.388704,-3.43115,0.0446487,-0.000729054,-0.0135527,0.622727,0.636314,1
3680,263.431,0.488223,0.488218,-1319.56,0.000176462,7.61426e-005,-0.103221,0.0447875,0.00126067,0.475056,0.292511,0.243793,-3.54954,0.045156,-0.000767996,-0.0131628,0.622226,0.635976,1
3690,277.895,0.486545,0.486539,-1335.49,0.000194177,9.0267e-005,-0.103433,0.0447884,0.00126109,0.474539,0.30123,0.228904,-3.56092,0.0450878,-0.00109414,-0.0120005,0.621666,0.63612,1
3700,283.082,0.485042,0.485035,-1341.9,0.000212376,0.000103293,-0.103645,0.0447895,0.00126158,0.474021,0.307491,0.203357,-3.55802,0.0446176,-0.00134528,-0.0110132,0.620821,0.636382,1
3710,300.105,0.484134,0.484127,-1362.8,0.000230902,0.000115087,-0.103857,0.0447906,0.00126212,0.473503,0.312553,0.193463,-3.52011,0.0444863,-0.00133919,-0.0106246,0.61905,0.637064,1
3720,305.675,0.4838,0.483794,-1381.7,0.000249776,0.000126397,-0.104065,0.0447918,0.00126273,0.472983,0.384193,0.152023,-3.32088,0.04431,-0.000970617,-0.0108114,0.618281,0.637264,1
3730,289.076,0.483784,0.483782,-1366.18,0.00027248,0.000134391,-0.104261,0.0447931,0.00126338,0.472462,0.382261,-0.00243282,-3.19066,0.0445477,-0.000112336,-0.0113203,0.617804,0.637316,1
3740,276.639,0.483343,0.483343,-1353.7,0.000295273,0.00013397,-0.104451,0.0447945,0.00126405,0.47194,0.383031,-0.0135236,-3.17559,0.0454519,0.000753162,-0.0114025,0.617415,0.637426,1
3750,254.986,0.481462,0.481458,-1331.37,0.000318315,0.000132731,-0.10464,0.044796,0.00126472,0.471417,0.389948,-0.0266325,-3.17996,0.046669,0.0012376,-0.0100405,0.617165,0.637542,1
3760,221.668,0.478188,0.478183,-1296.27,0.000339062,0.000132696,-0.104836,0.0447977,0.00126538,0.470894,0.325797,0.0175377,-3.32912,0.0468737,0.00170932,-0.00728962,0.617139,0.637569,1
3770,215.607,0.47501,0.475007,-1290.08,0.000358587,0.000134319,-0.105034,0.0447994,0.00126605,0.470369,0.327602,0.0381761,-3.32472,0.0460297,0.00239078,-0.0046383,0.616586,0.638216,1
3780,234.319,0.473384,0.473382,-1313.14,0.000378006,0.000137291,-0.105232,0.0448013,0.00126672,0.469843,0.322146,0.0612904,-3.30428,0.0449719,0.00266291,-0.00353876,0.615954,0.639036,1
3790,235.09,0.47297,0.472969,-1318.69,0.00039689,0.000141624,-0.105429,0.0448032,0.00126742,0.469317,0.309994,0.0841583,-3.29338,0.0442915,0.00197035,-0.00365242,0.615639,0.63952,1
3800,231.422,0.472041,0.472039,-1316.38,0.000412969,0.000146264,-0.105629,0.0448052,0.00126814,0.468789,0.221793,0.0670544,-3.4468,0.0437143,0.00114636,-0.00325033,0.61544,0.639886,1
3810,235.769,0.4698,0.469798,-1321.92,0.000425963,0.000150881,-0.105836,0.0448073,0.00126888,0.46826,0.21516,0.0863649,-3.49495,0.0433849,0.00106477,-0.00153757,0.61537,0.639943,1
3820,240.3,0.467379,0.467378,-1326.78,0.000438814,0.000156426,-0.106046,0.0448095,0.00126965,0.467731,0.216722,0.0988334,-3.54676,0.0436066,0.00143685,0.000352922,0.61537,0.639943,1
3830,246.959,0.465948,0.465947,-1333.75,0.000451892,0.000162697,-0.106259,0.0448117,0.00127045,0.4672,0.221797,0.112503,-3.58119,0.043938,0.00145337,0.00125289,0.61537,0.639943,1
3840,253.711,0.465081,0.46508,-1340.59,0.000465323,0.000170064,-0.106473,0.044814,0.00127128,0.466668,0.229098,0.13639,-3.60007,0.0439405,0.00108189,0.00158769,0.615224,0.640116,1
3850,287.16,0.464048,0.464047,-1376.21,0.000479297,0.000179168,-0.106689,0.0448164,0.00127215,0.466135,0.239483,0.169892,-3.62844,0.0439814,0.000433561,0.00208833,0.615224,0.640116,1
3860,302.262,0.463109,0.463107,-1392.06,0.00049388,0.000190415,-0.106907,0.0448188,0.00127308,0.465601,0.248716,0.207293,-3.68395,0.0446169,1.52627e-005,0.00249445,0.615224,0.640116,1
3870,309.182,0.462834,0.462833,-1399.29,0.000508962,0.000204754,-0.107128,0.0448213,0.00127406,0.465066,0.258068,0.379406,-3.6596,0.0452069,0.000412496,0.00223334,0.615224,0.640116,1
