step,T,r,rz,Epot,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
3510,352.659,0.496721,-0.496721,-1375.56,-1.42102e-005,3.41232e-005,0.600152,0.0462329,0.001227,-0.524845,-0.255163,0.541079,2.45544,0.0454263,0.000976484,-0.0281244,0.622163,0.641034,1
3520,372.197,0.494914,-0.494912,-1397.45,-3.10829e-005,6.28064e-005,0.600305,0.0462328,0.00122724,-0.521844,-0.310264,0.441868,2.64731,0.0448514,0.000813023,-0.0269319,0.621981,0.641311,1
3530,381.56,0.494172,-0.494168,-1407.86,-5.11259e-005,8.80503e-005,0.600465,0.0462326,0.00122762,-0.518842,-0.330864,0.31538,2.81598,0.0443771,0.000414276,-0.0246737,0.621981,0.641311,1
3540,367.465,0.493215,-0.49321,-1393.07,-7.52138e-005,0.000106257,0.600631,0.0462323,0.00122811,-0.515839,-0.486658,0.297239,2.74236,0.0441838,0.000163611,-0.0226297,0.621981,0.641311,1
3550,351.173,0.49138,-0.491373,-1375.62,-0.000105835,0.000122942,0.600796,0.0462319,0.00122868,-0.512836,-0.539785,0.262728,2.78874,0.0439218,5.81329e-005,-0.0214624,0.621533,0.641455,1
3560,321.941,0.489304,-0.489296,-1345.48,-0.000139604,0.000137635,0.600964,0.0462312,0.00122933,-0.509831,-0.591703,0.229453,2.83318,0.0436066,2.44545e-005,-0.0205357,0.621533,0.641455,1
3570,308.034,0.487371,-0.487359,-1330.76,-0.000178266,0.000149196,0.601131,0.0462305,0.00123005,-0.506826,-0.709481,0.15377,2.74565,0.0432837,-0.000333874,-0.0194665,0.621511,0.641443,1
3580,309.703,0.484932,-0.484919,-1332.68,-0.00022012,0.000155351,0.601299,0.0462295,0.00123082,-0.50382,-0.579655,0.0067814,3.05104,0.0433566,-0.000641712,-0.0189005,0.621446,0.641341,1
3590,306.676,0.481734,-0.481724,-1329.42,-0.000256063,0.000154082,0.601483,0.0462283,0.00123159,-0.500813,-0.625918,-0.0501639,3.11946,0.0436076,-0.000643482,-0.0190894,0.621214,0.640868,1
3600,304.543,0.478806,-0.478798,-1328.37,-0.000294803,0.000149375,0.601672,0.0462269,0.00123235,-0.497805,-0.671767,-0.106465,3.18621,0.0437717,-0.00012201,-0.0190068,0.621085,0.640492,1
3610,307.395,0.476966,-0.476959,-1331.75,-0.000337003,0.000141435,0.601862,0.0462253,0.00123308,-0.494796,-0.813009,-0.170705,3.12055,0.0439018,0.000310995,-0.017837,0.621085,0.640492,1
3620,311.605,0.47548,-0.475475,-1336.29,-0.000386568,0.000130139,0.60205,0.0462235,0.00123376,-0.491786,-0.849174,-0.207348,3.17647,0.0443205,0.000221101,-0.016311,0.621085,0.640492,1
3630,306.757,0.473345,-0.47334,-1330.76,-0.000438698,0.000116573,0.602241,0.0462214,0.00123438,-0.488776,-0.897643,-0.246693,3.24401,0.0447136,-0.000521025,-0.0154361,0.621091,0.640468,1
3640,293.196,0.470788,-0.470778,-1316.24,-0.000493863,0.00010061,0.602438,0.0462191,0.00123492,-0.485764,-0.952838,-0.289351,3.34472,0.0445227,-0.00124238,-0.0149861,0.621091,0.640468,1
3650,269.414,0.468737,-0.468724,-1290.94,-0.000551422,8.12485e-005,0.602643,0.0462165,0.00123538,-0.482751,-0.940362,-0.383413,3.589,0.043911,-0.0013625,-0.0140274,0.621091,0.640468,1
3660,283.413,0.467218,-0.467206,-1305.59,-0.000605568,5.74483e-005,0.602864,0.0462136,0.00123573,-0.479738,-0.88149,-0.416095,3.81803,0.0434304,-0.000705189,-0.0125318,0.621157,0.640424,1
3670,310.703,0.465485,-0.465476,-1334.5,-0.000659253,3.09636e-005,0.603094,0.0462104,0.00123595,-0.476723,-0.915308,-0.471125,3.88409,0.0435614,1.36585e-005,-0.011247,0.621311,0.640266,1
3680,332.332,0.463335,-0.46333,-1357.65,-0.000714528,1.26118e-006,0.603328,0.046207,0.00123603,-0.473707,-0.93706,-0.52541,3.96034,0.0441334,0.000120173,-0.0103771,0.62163,0.639878,1
3690,326.7,0.461032,-0.461027,-1352.73,-0.00077103,-3.18984e-005,0.603567,0.0462033,0.00123596,-0.470689,-0.956191,-0.587484,4.06115,0.0447339,-0.000387725,-0.00966247,0.621807,0.639618,1
3700,320.423,0.458398,-0.45839,-1346.39,-0.000828561,-6.89322e-005,0.603813,0.0461993,0.00123571,-0.467671,-0.97204,-0.653649,4.17593,0.0443419,-0.000869536,-0.00928115,0.621883,0.639484,1
3710,317.651,0.455212,-0.455195,-1343.34,-0.000886774,-0.000109635,0.604066,0.046195,0.00123526,-0.464651,-0.981587,-0.711497,4.29068,0.0429123,-0.00110555,-0.00945662,0.621948,0.639344,1
3720,316.287,0.452187,-0.452154,-1341.93,-0.000945639,-0.000153731,0.604324,0.0461904,0.00123461,-0.46163,-0.991187,-0.765792,4.3728,0.0413182,-0.00112749,-0.009476,0.622008,0.639181,1
3730,313.431,0.450061,-0.450025,-1338.98,-0.00100501,-0.000200857,0.604587,0.0461856,0.00123372,-0.458608,-0.998611,-0.811954,4.4323,0.0409411,-0.000950166,-0.00858282,0.622066,0.638974,1
3740,300.506,0.448256,-0.448229,-1325.26,-0.00106513,-0.000250636,0.604853,0.0461804,0.00123259,-0.455584,-1.1073,-0.940596,4.56818,0.0416509,-0.000660293,-0.00735559,0.622111,0.638741,1
3750,286.367,0.445468,-0.445453,-1310.52,-0.00112823,-0.000305526,0.605134,0.0461749,0.0012312,-0.452559,-1.0432,-0.917405,4.77304,0.0428487,-0.000342646,-0.00710684,0.622133,0.638521,1
3760,289.059,0.441881,-0.441873,-1313.58,-0.00119052,-0.000360219,0.605421,0.0461691,0.00122954,-0.449533,-1.04311,-0.910772,4.84421,0.0437526,3.26773e-005,-0.00765992,0.622133,0.638358,1
3770,287.92,0.439,-0.438997,-1312.49,-0.00125255,-0.000413736,0.605712,0.046163,0.0012276,-0.446505,-1.03546,-0.881846,4.90845,0.0447142,0.000710101,-0.00750831,0.622111,0.638126,1
3780,285.548,0.437561,-0.437561,-1310.31,-0.001314,-0.000465705,0.606007,0.0461566,0.0012254,-0.443476,-1.0231,-0.864985,4.9919,0.045795,0.0013563,-0.0059147,0.622111,0.638126,1
3790,273.692,0.43645,-0.436448,-1297.62,-0.00137442,-0.000517666,0.606308,0.0461499,0.00122294,-0.440445,-0.999351,-0.882375,5.09356,0.0471202,0.00171598,-0.00399689,0.622111,0.638126,1
3800,286.147,0.434575,-0.43457,-1310.89,-0.00143434,-0.000577503,0.606619,0.0461428,0.00122021,-0.437413,-0.989549,-1.06266,5.28989,0.0481078,0.0017364,-0.00284244,0.622111,0.638126,1
3810,303.178,0.432399,-0.432391,-1329.23,-0.00149163,-0.000642947,0.606938,0.0461355,0.00121716,-0.434379,-0.92766,-1.13381,5.40222,0.0486245,0.00175456,-0.00198752,0.621844,0.637605,1
3820,315.189,0.430765,-0.43076,-1343.37,-0.00154467,-0.000712966,0.607264,0.0461279,0.00121377,-0.431343,-0.847883,-1.2128,5.51291,0.0481703,0.00152289,-0.000583587,0.621523,0.637022,1
