step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	8.60215e-007	-1647.07	-1647.07	-1647.06	0	0	0	1	1	
10	0.000189356	-1647.1	-1647.1	-1647.09	0	0	0	0	0	
20	0.000336469	-1647.13	-1647.13	-1647.12	0	0	0	0	0	
30	0.000538438	-1647.16	-1647.16	-1647.16	0	0	0	0	0	
40	0.000768788	-1647.2	-1647.2	-1647.19	0	0	0	0	0	
50	0.000941096	-1647.24	-1647.24	-1647.23	0	0	0	0	0	
60	0.00106073	-1647.31	-1647.31	-1647.31	0	0	0	0	0	
70	0.0011328	-1647.36	-1647.36	-1647.36	0	0	0	0	0	
80	0.00112249	-1647.42	-1647.42	-1647.41	0	0	0	0	0	
90	0.00106878	-1647.48	-1647.47	-1647.47	0	0	0	0	0	
100	0.00101597	-1647.54	-1647.54	-1647.53	0	0	0	0	0	
110	0.000976738	-1647.85	-1647.85	-1647.85	0	0	0	0	0	
120	0.000877094	-1647.96	-1647.96	-1647.95	0	0	0	0	0	
130	0.000767594	-1648.06	-1648.05	-1648.05	0	0	0	0	0	
140	0.000671738	-1648.16	-1648.16	-1648.15	0	0	0	0	0	
150	0.000591901	-1648.27	-1648.27	-1648.26	0	0	0	0	0	
160	0.000580946	-1648.39	-1648.38	-1648.38	0	0	0	0	0	
170	0.000664254	-1648.51	-1648.51	-1648.51	0	0	0	0	0	
180	0.000774307	-1648.65	-1648.65	-1648.64	0	0	0	0	0	
190	0.000930156	-1648.79	-1648.79	-1648.79	0	0	0	0	0	
200	0.00115118	-1648.95	-1648.94	-1648.94	0	0	0	0	0	
210	0.00133788	-1649.1	-1649.1	-1649.1	0	0	0	0	0	
220	0.001528	-1649.27	-1649.27	-1649.27	0	0	0	0	0	
230	0.00167923	-1649.45	-1649.44	-1649.44	0	0	0	0	0	
240	0.00184283	-1649.63	-1649.63	-1649.62	0	0	0	0	0	
250	0.00199078	-1649.82	-1649.82	-1649.81	0	0	0	0	0	
260	0.00211087	-1650.08	-1650.08	-1650.07	0	0	0	0	0	
270	0.00222392	-1650.28	-1650.28	-1650.28	0	0	0	0	0	
280	0.00231244	-1650.63	-1650.62	-1650.62	0	0	0	0	0	
290	0.00238332	-1650.84	-1650.84	-1650.83	0	0	0	0	0	
300	0.00240962	-1651.05	-1651.05	-1651.05	0	0	0	0	0	
310	0.00248036	-1651.29	-1651.28	-1651.28	0	0	0	0	0	
320	0.00256112	-1651.48	-1651.48	-1651.47	0	0	0	0	0	
330	0.00265617	-1651.65	-1651.65	-1651.65	0	0	0	0	0	
340	0.00281127	-1651.79	-1651.79	-1651.79	0	0	0	0	-1	
350	0.00294184	-1651.96	-1651.96	-1651.96	0	0	0	0	0	
360	0.00310544	-1652.01	-1652.01	-1652.01	0	0	0	0	0	
370	0.00333559	-1652	-1652	-1652	0	0	0	0	0	
380	0.00360317	-1651.91	-1651.9	-1651.9	0	0	0	0	0	
390	0.00395274	-1651.72	-1651.72	-1651.72	0	0	0	0	0	
400	0.0045012	-1651.43	-1651.43	-1651.43	0	0	0	0	0	
