step,T,rz,Epot,prob_atom_crd[0],prob_atom_crd[1],prob_atom_crd[2],prob_atom_f[0],prob_atom_f[1],prob_atom_f[2],target_crd[0],target_crd[1],target_crd[2]
0,8.60215e-007,0.5,-1647.07,0.0444673,-9.68575e-008,0.492447,0.000341284,-0.000354143,-2.72477,0.0444673,-9.68575e-008,-0.00755322
10,0.000189356,0.49,-1647.1,0.0444671,-9.05485e-008,0.482448,0.00037483,-0.000389933,-2.96241,0.0444671,-9.05485e-008,-0.00755201
20,0.000336469,0.48,-1647.13,0.0444665,-3.54054e-008,0.472451,0.000414746,-0.000428348,-3.21938,0.0444665,-3.54054e-008,-0.00754904
30,0.000538438,0.47,-1647.16,0.0444664,9.11919e-008,0.462454,0.000462886,-0.000469173,-3.49688,0.0444664,9.11919e-008,-0.00754561
40,0.000768788,0.46,-1647.2,0.0444662,1.76944e-007,0.452459,0.000508309,-0.000513141,-3.79598,0.0444662,1.76944e-007,-0.00754125
50,0.000941096,0.45,-1647.24,0.044466,1.8956e-007,0.442465,0.000544918,-0.000560472,-4.11778,0.044466,1.8956e-007,-0.00753498
60,0.00106073,0.44,-1647.31,0.0444658,2.248e-007,0.432473,0.000553682,-0.000565381,-4.64097,0.0444658,2.248e-007,-0.00752718
70,0.0011328,0.43,-1647.36,0.0444659,3.16165e-007,0.422481,0.000592318,-0.000612925,-5.01779,0.0444659,3.16165e-007,-0.00751895
80,0.00112249,0.42,-1647.42,0.0444653,3.35776e-007,0.412489,0.000626514,-0.000650149,-5.43801,0.0444653,3.35776e-007,-0.00751054
90,0.00106878,0.41,-1647.48,0.0444643,2.60735e-007,0.402498,0.000658636,-0.000698784,-5.86617,0.0444643,2.60735e-007,-0.00750187
100,0.00101597,0.4,-1647.54,0.0444635,1.97235e-007,0.392506,0.000690557,-0.000745665,-6.32048,0.0444635,1.97235e-007,-0.00749365
110,0.000976738,0.39,-1647.85,0.0444634,1.84354e-007,0.382513,-0.122362,-0.0731495,-8.55132,0.0444634,1.84354e-007,-0.00748661
120,0.000877094,0.38,-1647.96,0.0444634,1.50948e-007,0.37252,0.000998773,-0.00109272,-9.261,0.0444634,1.50948e-007,-0.00748023
130,0.000767594,0.37,-1648.06,0.0444637,1.33911e-007,0.362526,0.00103177,-0.00113442,-9.9309,0.0444637,1.33911e-007,-0.00747362
140,0.000671738,0.36,-1648.16,0.0444641,2.07763e-007,0.352533,0.00106897,-0.0011614,-10.6339,0.0444641,2.07763e-007,-0.00746709
150,0.000591901,0.35,-1648.27,0.0444644,3.14961e-007,0.342538,0.00110292,-0.00117416,-11.3685,0.0444644,3.14961e-007,-0.00746156
160,0.000580946,0.34,-1648.39,0.044464,3.39902e-007,0.332543,0.00108606,-0.00117814,-12.1328,0.044464,3.39902e-007,-0.00745691
170,0.000664254,0.33,-1648.51,0.0444635,3.17206e-007,0.322548,0.00102635,-0.00117182,-12.9234,0.0444635,3.17206e-007,-0.0074522
180,0.000774307,0.32,-1648.65,0.0444637,3.15372e-007,0.312553,0.000954394,-0.00114824,-13.7479,0.0444637,3.15372e-007,-0.00744735
190,0.000930156,0.31,-1648.79,0.0444643,2.93223e-007,0.302557,0.000883825,-0.00110608,-14.5875,0.0444643,2.93223e-007,-0.00744307
200,0.00115118,0.3,-1648.95,0.044465,2.1317e-007,0.29256,0.000772076,-0.00104572,-15.4251,0.044465,2.1317e-007,-0.00743968
210,0.00133788,0.29,-1649.1,0.0444655,1.53743e-007,0.282563,0.000592784,-0.000958825,-16.2619,0.0444655,1.53743e-007,-0.007437
220,0.001528,0.28,-1649.27,0.0444655,1.40559e-007,0.272565,0.000378299,-0.000843667,-17.0853,0.0444655,1.40559e-007,-0.00743498
230,0.00167923,0.27,-1649.45,0.0444648,7.39075e-008,0.262566,0.000160522,-0.000708772,-17.8786,0.0444648,7.39075e-008,-0.00743368
240,0.00184283,0.26,-1649.63,0.0444641,-6.66561e-008,0.252567,3.39091e-006,-0.000558179,-18.6206,0.0444641,-6.66561e-008,-0.00743266
250,0.00199078,0.25,-1649.82,0.0444643,-1.61413e-007,0.242569,-0.0001543,-0.000393546,-19.2835,0.0444643,-1.61413e-007,-0.00743108
260,0.00211087,0.24,-1650.08,0.0444654,-1.55386e-007,0.232572,-0.000330042,-0.000237945,-20.1736,0.0444654,-1.55386e-007,-0.0074284
270,0.00222392,0.23,-1650.28,0.0444659,-1.23034e-007,0.222575,-0.000556589,-7.23803e-005,-20.5729,0.0444659,-1.23034e-007,-0.00742485
280,0.00231244,0.22,-1650.63,0.0444656,-8.62944e-008,0.212579,-0.000700398,6.93121e-005,-21.4336,0.0444656,-8.62944e-008,-0.0074207
290,0.00238332,0.21,-1650.84,0.0444649,-2.85977e-008,0.202585,-0.000627639,0.000131747,-21.3387,0.0444649,-2.85977e-008,-0.00741547
300,0.00240962,0.2,-1651.05,0.0444644,-1.52741e-008,0.192592,-0.000161446,3.52146e-005,-20.853,0.0444644,-1.52741e-008,-0.00740839
310,0.00248036,0.19,-1651.29,0.0444642,-1.22034e-007,0.182601,0.00100908,-0.000310254,-19.9747,0.0444642,-1.22034e-007,-0.0073992
320,0.00256112,0.18,-1651.48,0.0444645,-2.58122e-007,0.172612,0.00296209,-0.00107134,-18.3361,0.0444645,-2.58122e-007,-0.00738836
330,0.00265617,0.17,-1651.65,0.0444648,-3.18008e-007,0.162623,0.00598567,-0.00252755,-15.8918,0.0444648,-3.18008e-007,-0.0073767
340,0.00281127,0.16,-1651.79,0.0444648,-3.34474e-007,0.152635,0.00978612,-0.00503947,-12.4676,0.0444648,-3.34474e-007,-0.00736492
350,0.00294184,0.15,-1651.96,0.0444642,-3.94858e-007,0.142647,0.0163888,-0.00885352,-8.08745,0.0444642,-3.94858e-007,-0.00735324
360,0.00310544,0.14,-1652.01,0.0444638,-4.76374e-007,0.132658,0.0233347,-0.0143809,-2.18985,0.0444638,-4.76374e-007,-0.00734159
370,0.00333559,0.13,-1652,0.0444637,-5.67888e-007,0.12267,0.0334199,-0.0220193,5.11599,0.0444637,-5.67888e-007,-0.00733
380,0.00360317,0.12,-1651.91,0.0444636,-6.8586e-007,0.112681,0.0417909,-0.0323154,13.8155,0.0444636,-6.8586e-007,-0.00731929
390,0.00395274,0.11,-1651.72,0.0444634,-7.71856e-007,0.102689,0.0570573,-0.0451182,23.7234,0.0444634,-7.71856e-007,-0.00731117
400,0.0045012,0.1,-1651.43,0.0444641,-6.94965e-007,0.0926928,0.0641268,-0.0603759,34.4355,0.0444641,-6.94965e-007,-0.00730718
410,0.00526545,0.09,-1651.04,0.0444644,-5.05743e-007,0.0826927,0.0738439,-0.0765898,45.2484,0.0444644,-5.05743e-007,-0.00730733
420,0.00635689,0.08,-1650.53,0.0444639,-3.67228e-007,0.0726893,0.0625987,-0.0920466,55.1698,0.0444639,-3.67228e-007,-0.00731074
430,0.00775885,0.07,-1649.94,0.0444628,-3.18905e-007,0.0626827,0.0576814,-0.103353,62.9557,0.0444628,-3.18905e-007,-0.00731731
