step,T,rz,Epot,prob_atom_crd[0],prob_atom_crd[1],prob_atom_crd[2],prob_atom_f[0],prob_atom_f[1],prob_atom_f[2],target_crd[0],target_crd[1],target_crd[2]
0,0.00293999,-0.5,-1639.94,0.0442949,1.33614e-006,-0.510047,-0.00374436,0.00136574,2.88521,0.0442949,1.33614e-006,-0.0100467
10,0.744288,-0.49,-1640.76,0.0442979,1.35031e-006,-0.499999,-0.00413733,0.00152357,3.13782,0.0442979,1.35031e-006,-0.00999861
20,1.77268,-0.48,-1641.88,0.0443108,1.21782e-006,-0.489876,-0.00447231,0.0016924,3.41088,0.0443108,1.21782e-006,-0.00987602
30,2.70531,-0.47,-1642.91,0.044328,1.03833e-006,-0.479729,-0.00472,0.0018726,3.70564,0.044328,1.03833e-006,-0.00972932
40,3.77549,-0.46,-1644.1,0.044341,1.07969e-006,-0.469614,-0.00489525,0.00207138,4.02444,0.044341,1.07969e-006,-0.0096135
50,4.6316,-0.45,-1645.07,0.0443411,1.47511e-006,-0.459526,-0.00507364,0.00228265,4.36963,0.0443411,1.47511e-006,-0.00952614
60,5.00959,-0.44,-1645.56,0.0443358,1.84763e-006,-0.449441,-0.00527737,0.00249759,4.74257,0.0443358,1.84763e-006,-0.00944102
70,5.22057,-0.43,-1646.13,0.0443315,2.09469e-006,-0.439293,-0.00555287,0.00272239,5.14384,0.0443315,2.09469e-006,-0.00929255
80,5.17027,-0.42,-1646.15,0.0443343,2.24845e-006,-0.429042,-0.00607678,0.00295483,5.57342,0.0443343,2.24845e-006,-0.00904169
90,4.75919,-0.41,-1646.08,0.0443417,2.45479e-006,-0.4187,-0.00693589,0.00319429,6.03271,0.0443417,2.45479e-006,-0.00870025
100,4.07226,-0.4,-1645.6,0.0443523,2.59876e-006,-0.408359,-0.238439,-0.128038,6.95257,0.0443523,2.59876e-006,-0.0083594
110,3.81107,-0.39,-1645.79,0.0443608,2.64694e-006,-0.398072,-0.0110172,0.00405134,8.09719,0.0443608,2.64694e-006,-0.00807215
120,3.61814,-0.38,-1645.93,0.0443703,2.6045e-006,-0.38781,-0.012882,0.00425531,8.69894,0.0443703,2.6045e-006,-0.00780984
130,3.45594,-0.37,-1646.14,0.0443869,2.53281e-006,-0.377476,-0.014005,0.00443626,9.32988,0.0443869,2.53281e-006,-0.00747618
140,3.81607,-0.36,-1646.92,0.0444191,2.22569e-006,-0.367046,-0.0136421,0.00459527,9.9814,0.0444191,2.22569e-006,-0.00704646
150,4.32,-0.35,-1647.85,0.0444621,1.7828e-006,-0.356595,-0.0116922,0.00493593,10.921,0.0444621,1.7828e-006,-0.00659527
160,4.68971,-0.34,-1648.52,0.0445051,1.50486e-006,-0.346247,-0.00819269,0.00503635,11.6309,0.0445051,1.50486e-006,-0.00624702
170,5.2522,-0.33,-1649.29,0.0445358,1.39664e-006,-0.336043,-0.00419304,0.00508196,12.3688,0.0445358,1.39664e-006,-0.00604337
180,5.54146,-0.32,-1649.87,0.0445507,1.186e-006,-0.325928,-0.000729515,0.00513072,13.6672,0.0445507,1.186e-006,-0.00592763
190,5.18291,-0.31,-1649.72,0.0445478,1.00217e-006,-0.3158,0.00181602,0.00505764,14.4911,0.0445478,1.00217e-006,-0.00579968
200,4.43605,-0.3,-1649.22,0.0445342,9.91508e-007,-0.305612,0.00158816,0.00494487,15.3177,0.0445342,9.91508e-007,-0.00561162
210,3.74013,-0.29,-1648.78,0.0445236,9.80333e-007,-0.29539,-0.00118524,0.00472085,16.1354,0.0445236,9.80333e-007,-0.00539014
220,2.99611,-0.28,-1648.24,0.0445263,8.31537e-007,-0.285204,-0.0043796,0.00435785,16.9381,0.0445263,8.31537e-007,-0.00520367
230,2.28105,-0.27,-1647.71,0.0445415,6.37828e-007,-0.275091,-0.00597904,0.00386647,17.7315,0.0445415,6.37828e-007,-0.00509088
240,2.00876,-0.26,-1647.62,0.0445609,4.57672e-007,-0.265033,-0.0052164,0.00324786,18.4939,0.0445609,4.57672e-007,-0.00503334
250,1.95469,-0.25,-1647.75,0.0445725,3.18855e-007,-0.255009,-0.00300546,0.00255031,19.2072,0.0445725,3.18855e-007,-0.00500948
260,1.94782,-0.24,-1647.94,0.044567,4.27523e-007,-0.245024,-0.000930049,0.00179737,19.8096,0.044567,4.27523e-007,-0.00502419
270,2.52437,-0.23,-1648.78,0.0445528,8.87088e-007,-0.235102,0.00260586,0.00101926,20.3846,0.0445528,8.87088e-007,-0.00510173
280,3.2752,-0.22,-1649.88,0.0445509,1.53262e-006,-0.22524,0.00941048,0.00034404,20.8262,0.0445509,1.53262e-006,-0.00524049
290,3.81932,-0.21,-1650.61,0.0445733,1.9244e-006,-0.215434,0.0174038,-7.45179e-005,20.8403,0.0445733,1.9244e-006,-0.00543363
300,4.1129,-0.2,-1651.14,0.0446036,1.953e-006,-0.205664,0.0201625,-9.76681e-005,20.5298,0.0446036,1.953e-006,-0.00566432
310,3.97402,-0.19,-1651.22,0.0446162,1.83357e-006,-0.19593,0.0176956,0.000560625,20.0101,0.0446162,1.83357e-006,-0.00593001
320,3.47674,-0.18,-1650.89,0.044598,1.82818e-006,-0.18619,0.0118429,0.00262916,18.7859,0.044598,1.82818e-006,-0.00619032
330,2.88381,-0.17,-1650.46,0.0445616,1.82771e-006,-0.176401,3.37516e-005,0.00704338,16.9116,0.0445616,1.82771e-006,-0.00640098
340,2.2977,-0.16,-1650.01,0.0445278,1.84008e-006,-0.166528,-0.0215591,0.0142378,14.3391,0.0445278,1.84008e-006,-0.00652784
350,1.65726,-0.15,-1649.53,0.0445168,1.71081e-006,-0.156605,-0.0496396,0.0252467,11.1662,0.0445168,1.71081e-006,-0.00660539
360,1.13763,-0.14,-1649.08,0.0445293,1.27238e-006,-0.146681,-0.0823873,0.0413191,6.73411,0.0445293,1.27238e-006,-0.00668078
370,1.25282,-0.13,-1649.24,0.0445514,6.24317e-007,-0.136819,-0.129335,0.0675853,0.553071,0.0445514,6.24317e-007,-0.00681908
380,1.80986,-0.12,-1649.84,0.0445609,3.2645e-007,-0.127032,-0.16576,0.105682,-6.99252,0.0445609,3.2645e-007,-0.00703202
390,2.5402,-0.11,-1650.49,0.0445552,4.21892e-007,-0.117284,-0.203066,0.161173,-16.4263,0.0445552,4.21892e-007,-0.00728409
400,3.60952,-0.1,-1651.37,0.044542,6.55807e-007,-0.107482,-0.289208,0.221049,-25.6606,0.044542,6.55807e-007,-0.00748169
410,4.63227,-0.09,-1652.13,0.0445348,7.65305e-007,-0.0976002,-0.550625,0.291454,-36.0451,0.0445348,7.65305e-007,-0.00760022
420,5.23148,-0.08,-1652.39,0.0445394,7.30786e-007,-0.0876826,-0.792334,0.364457,-45.1451,0.0445394,7.30786e-007,-0.0076826
430,5.56582,-0.07,-1652.28,0.0445625,4.32859e-007,-0.0778021,-0.921516,0.461131,-55.4479,0.0445625,4.32859e-007,-0.00780212
440,5.49231,-0.06,-1651.66,0.0445926,1.93911e-008,-0.0679351,-0.885077,0.546742,-62.2415,0.0445926,1.93911e-008,-0.00793511
450,4.89755,-0.05,-1650.46,0.0446077,-3.12459e-007,-0.0580274,-1.0838,0.632416,-67.0338,0.0446077,-3.12459e-007,-0.00802745
460,4.01309,-0.04,-1648.93,0.0445884,-3.75132e-007,-0.0480567,-1.18562,0.662929,-64.5538,0.0445884,-3.75132e-007,-0.00805669
470,3.1675,-0.03,-1647.51,0.0445471,-3.15805e-007,-0.0380887,-1.25559,0.671521,-58.4047,0.0445471,-3.15805e-007,-0.00808868
480,2.49445,-0.02,-1646.32,0.0445082,-2.85579e-007,-0.0281603,-1.33952,0.647861,-46.0914,0.0445082,-2.85579e-007,-0.00816031
490,2.01092,-0.01,-1645.46,0.0444912,-3.3978e-007,-0.0182706,-1.94086,0.585819,-30.3552,0.0444912,-3.3978e-007,-0.00827055
500,1.98155,1.56125e-017,-1645.3,0.0444955,-3.6748e-007,-0.00840044,-1.91726,0.448154,-10.1063,0.0444955,-3.6748e-007,-0.00840044
510,2.2848,0.01,-1645.67,0.0445137,-4.62214e-007,0.00143218,-1.00999,0.271318,11.427,0.0445137,-4.62214e-007,-0.00856782
520,2.56978,0.02,-1646.19,0.0445297,-6.79312e-007,0.0112396,0.113787,0.0974325,31.3749,0.0445297,-6.79312e-007,-0.00876039
530,3.09079,0.03,-1647.13,0.0445366,-8.01114e-007,0.0210527,0.317024,-0.0539951,47.7429,0.0445366,-8.01114e-007,-0.00894726
540,3.74425,0.04,-1648.35,0.0445427,-7.81146e-007,0.0308959,0.227317,-0.15667,59.3025,0.0445427,-7.81146e-007,-0.00910409
550,4.09315,0.05,-1649.34,0.0445613,-9.652e-007,0.0407474,0.299528,-0.226655,65.1596,0.0445613,-9.652e-007,-0.00925258
560,4.22024,0.06,-1650.15,0.0445834,-1.48811e-006,0.0505775,0.310049,-0.269543,66.222,0.0445834,-1.48811e-006,-0.00942251
570,4.05736,0.07,-1650.66,0.0445874,-2.14855e-006,0.0603638,0.177264,-0.28155,62.2612,0.0445874,-2.14855e-006,-0.00963616
580,3.51338,0.08,-1650.7,0.0445644,-2.82031e-006,0.0701015,0.127716,-0.270537,55.7288,0.0445644,-2.82031e-006,-0.00989849
590,2.82344,0.09,-1650.48,0.0445288,-3.35679e-006,0.079812,0.221279,-0.238073,45.8445,0.0445288,-3.35679e-006,-0.010188
600,2.34089,0.1,-1650.37,0.0445,-3.52706e-006,0.0895477,0.226577,-0.198718,35.5039,0.0445,-3.52706e-006,-0.0104523
610,2.04041,0.11,-1650.36,0.0444855,-3.35703e-006,0.0993524,0.194244,-0.155806,24.1479,0.0444855,-3.35703e-006,-0.0106476
620,1.84047,0.12,-1650.34,0.0444829,-3.22427e-006,0.109208,0.182089,-0.11928,14.3738,0.0444829,-3.22427e-006,-0.0107922
630,2.03889,0.13,-1650.64,0.0444894,-3.35559e-006,0.119075,0.192995,-0.0860071,5.2772,0.0444894,-3.35559e-006,-0.0109246
640,2.64995,0.14,-1651.28,0.0445039,-3.71118e-006,0.12896,0.137521,-0.0606436,-1.93096,0.0445039,-3.71118e-006,-0.0110402
650,3.21313,0.15,-1651.81,0.0445218,-3.99509e-006,0.138929,0.0612882,-0.0401883,-8.08078,0.0445218,-3.99509e-006,-0.0110714
660,3.80502,0.16,-1652.25,0.0445391,-4.03714e-006,0.149018,0.0140748,-0.0253039,-12.4432,0.0445391,-4.03714e-006,-0.0109819
670,4.25896,0.17,-1652.41,0.0445502,-3.81224e-006,0.159208,0.00763592,-0.014186,-15.9634,0.0445502,-3.81224e-006,-0.0107923
680,4.23788,0.18,-1652.21,0.0445531,-3.46288e-006,0.16943,0.00861936,-0.00696789,-18.3913,0.0445531,-3.46288e-006,-0.0105697
690,3.86436,0.19,-1651.63,0.0445482,-3.12398e-006,0.179645,0.00937035,-0.00219567,-20.0468,0.0445482,-3.12398e-006,-0.0103546
700,3.36745,0.2,-1650.91,0.0445429,-3.11505e-006,0.189841,0.00840966,0.000609945,-20.9273,0.0445429,-3.11505e-006,-0.010159
710,2.68593,0.21,-1650.05,0.0445367,-3.35086e-006,0.200063,0.0097895,0.00208895,-21.4162,0.0445367,-3.35086e-006,-0.0099374
720,2.14095,0.22,-1649.34,0.0445275,-3.49522e-006,0.210346,0.0169119,0.00268929,-21.5339,0.0445275,-3.49522e-006,-0.00965418
730,1.95416,0.23,-1648.89,0.0445112,-3.26426e-006,0.220691,0.0248214,0.00273509,-20.6457,0.0445112,-3.26426e-006,-0.00930881
740,2.06836,0.24,-1648.81,0.0444944,-2.83796e-006,0.231037,0.0275698,0.00263817,-19.8876,0.0444944,-2.83796e-006,-0.00896348
750,2.27476,0.25,-1649.08,0.0444839,-2.34957e-006,0.241364,0.0226703,0.00252594,-19.2749,0.0444839,-2.34957e-006,-0.00863552
760,2.78621,0.26,-1649.47,0.0444833,-2.14325e-006,0.251703,0.0179033,0.00231457,-18.5713,0.0444833,-2.14325e-006,-0.00829685
770,3.60961,0.27,-1650.16,0.0444802,-2.40127e-006,0.262101,0.0166348,0.00202766,-17.7799,0.0444802,-2.40127e-006,-0.00789926
780,4.20861,0.28,-1650.63,0.0444692,-3.04551e-006,0.272516,0.0165441,0.00170878,-16.9652,0.0444692,-3.04551e-006,-0.00748395
790,4.46359,0.29,-1650.73,0.044456,-3.49992e-006,0.282889,0.0125706,0.00145259,-16.1084,0.044456,-3.49992e-006,-0.00711144
800,4.50586,0.3,-1650.63,0.0444563,-3.62828e-006,0.293187,0.00585627,0.00125039,-15.2448,0.0444563,-3.62828e-006,-0.00681326
810,4.11824,0.31,-1650.07,0.0444684,-3.5531e-006,0.303458,0.00011287,0.00105203,-14.3583,0.0444684,-3.5531e-006,-0.00654181
820,3.40222,0.32,-1649.17,0.0444836,-3.63988e-006,0.313716,-0.00178377,0.00081467,-13.4949,0.0444836,-3.63988e-006,-0.00628404
830,2.6037,0.33,-1648.2,0.0444901,-3.99171e-006,0.323944,-0.00125102,0.000573202,-12.6689,0.0444901,-3.99171e-006,-0.00605558
840,1.84232,0.34,-1647.28,0.0444886,-4.66279e-006,0.334113,-7.95866e-005,0.000350196,-11.8815,0.0444886,-4.66279e-006,-0.00588749
850,1.18893,0.35,-1646.48,0.0444803,-5.37663e-006,0.344253,0.000382806,0.000160337,-11.1211,0.0444803,-5.37663e-006,-0.00574744
860,0.898867,0.36,-1646.06,0.0444729,-5.88145e-006,0.354387,0.00088753,-1.38345e-005,-10.3932,0.0444729,-5.88145e-006,-0.00561257
870,1.09888,0.37,-1646.17,0.0444701,-5.97126e-006,0.364516,0.00244066,-0.000178639,-9.69835,0.0444701,-5.97126e-006,-0.00548404
880,1.57921,0.38,-1646.58,0.0444738,-5.89322e-006,0.374593,0.00477182,-0.000336197,-9.04415,0.0444738,-5.89322e-006,-0.00540724
890,2.24302,0.39,-1647.12,0.044475,-5.84752e-006,0.384602,0.00665701,-0.000467892,-8.14405,0.044475,-5.84752e-006,-0.00539779
900,3.12373,0.4,-1647.78,0.04447,-5.80102e-006,0.394546,0.00460861,-0.000442879,-6.17417,0.04447,-5.80102e-006,-0.0054543
910,3.70326,0.41,-1648.32,0.04446,-5.61613e-006,0.40444,0.0035851,-0.000531343,-5.74292,0.04446,-5.61613e-006,-0.00555968
920,3.99627,0.42,-1648.59,0.0444497,-5.52388e-006,0.414289,0.00306685,-0.000618941,-5.31761,0.0444497,-5.52388e-006,-0.00571146
930,4.13868,0.43,-1648.67,0.0444394,-5.56485e-006,0.424106,0.00310878,-0.000687407,-4.932,0.0444394,-5.56485e-006,-0.00589384
940,3.94804,0.44,-1648.43,0.0444351,-5.5127e-006,0.433902,0.00319053,-0.000731813,-4.56831,0.0444351,-5.5127e-006,-0.00609767
950,3.32413,0.45,-1647.71,0.0444424,-5.2581e-006,0.443676,0.00340396,-0.000788775,-4.05885,0.0444424,-5.2581e-006,-0.00632373
960,2.71402,0.46,-1647.03,0.0444601,-5.03587e-006,0.453432,0.00363986,-0.000785202,-3.75004,0.0444601,-5.03587e-006,-0.00656762
970,2.12759,0.47,-1646.37,0.0444786,-5.0405e-006,0.463197,0.00395362,-0.0007707,-3.46574,0.0444786,-5.0405e-006,-0.00680265
980,1.76402,0.48,-1645.95,0.0444918,-5.34665e-006,0.472983,0.00403212,-0.000749013,-3.20123,0.0444918,-5.34665e-006,-0.00701675
990,1.70175,0.49,-1645.86,0.0445016,-5.98887e-006,0.482756,0.00373169,-0.000720358,-2.95306,0.0445016,-5.98887e-006,-0.007244
